state,district,year,rice_kharif_area_hectare,rice_kharif_production_tonne,rice_kharif_yield_tonne_per_hectare,rice_autumn_area_hectare,rice_autumn_production_tonne,rice_autumn_yield_tonne_per_hectare,rice_rabi_area_hectare,rice_rabi_production_tonne,rice_rabi_yield_tonne_per_hectare,rice_summer_area_hectare,rice_summer_production_tonne,rice_summer_yield_tonne_per_hectare,rice_winter_area_hectare,rice_winter_production_tonne,rice_winter_yield_tonne_per_hectare,rice_whole_year_area_hectare,rice_whole_year_production_tonne,rice_whole_year_yield_tonne_per_hectare
,,2007 - 2008,,,1.44,,,,,,,,,,,,,,,
,,2008 - 2009,,,1.38,,,,,,,,,,,,,,,
,,2009 - 2010,,,1.02,,,,,,,,,,,,,,,
,,2010 - 2011,,,1.68,,,,,,,,,,,,,,,
,,2011 - 2012,,,1.84,,,,,,,,,,,,,,,
,,2012 - 2013,,,1.99,,,,,,,,,,,,,,,
,,2013 - 2014,,,2.06,,,,,,,,,,,,,,,
,,2014 - 2015,,,2.01,,,,,,,,,,,,,,,
,,2015 - 2016,,,1.16,,,,,,,,,,,,,,,
,,2016 - 2017,,,2.35,,,,,,,,,,,,,,,
,,2017 - 2018,,,1.13,,,,,,,,,,,,,,,
,,2018 - 2019,,,1.87,,,,,,,,,,,,,,,
,,2019 - 2020,,,2.19,,,,,,,,,,,,,,,
,,2020 - 2021,,,2.61,,,,,,,,,,,,,,,
,,2021 - 2022,,,2.54,,,,,,,,,,,,,,,
,,2022 - 2023,,,3.39,,,,,,,,,,,,,,,
,Dantewada,2000 - 2001,,,0.85,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.31,,,,,,,,,,,,,,,
,,2002 - 2003,,,0.56,,,,,,,,,,,,,,,
,,2003 - 2004,,,1.36,,,,,,,,,,,,,,,
,,2004 - 2005,,,1.02,,,,,,,,,,,,,,,
,,2005 - 2006,,,0.82,,,,,,,,,,,,,,,
,,2006 - 2007,,,1.78,,,,,,,,,,,,,,,
,,2007 - 2008,,,1.4,,,,,,,,,,,,,,,
,,2008 - 2009,,,1.11,,,,,,,,,,,,,,,
,,2009 - 2010,,,0.72,,,,,,,,,,,,,,,
,,2010 - 2011,,,1.9,,,,,,,,,,,,,,,
,,2011 - 2012,,,1.27,,,,,,,,,,,,,,,
,,2012 - 2013,,,2.43,,,,,,,,,,,,,,,
,,2013 - 2014,,,1.66,,,,,,,,,,,,,,,
,,2014 - 2015,,,1.87,,,,,,,,,,,,,,,
,,2015 - 2016,,,0.72,,,,,,,,,,,,,,,
,,2016 - 2017,,,1.68,,,,,,,,,,,,,,,
,,2017 - 2018,,,0.74,,,,,,,,,,,,,,,
,,2018 - 2019,,,1.3,,,,,,,,,,,,,,,
,,2019 - 2020,,,1.55,,,,,,,,,,,,,,,
,,2020 - 2021,,,1.54,,,,,,,,,,,,,,,
,,2021 - 2022,,,1.43,,,,,,,,,,,,,,,
,,2022 - 2023,,,1.99,,,,,,,,,,,,,,,
,Dhamtari,2000 - 2001,,,0.97,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.5,,,,,,,,,,,,,,,
,,2002 - 2003,,,1.18,,,,,,,,,,,,,,,
,,2003 - 2004,,,1.54,,,,,,,,,,,,,,,
,,2004 - 2005,,,1.39,,,,,,,,,,,,,,,
,,2005 - 2006,,,1.82,,,,,,,,,,,,,,,
,,2006 - 2007,,,2.01,,,,,,,,,,,,,,,
,,2007 - 2008,,,1.98,,,,,,,,,,,,,,,
,,2008 - 2009,,,1.76,,,,,,,,,,,,,,,
,,2009 - 2010,,,1.81,,,,,,,,,,,,,,,
,,2010 - 2011,,,2.34,,,,,,,,,,,,,,,
,,2011 - 2012,,,2.49,,,,,,,,,,,,,,,
,,2012 - 2013,,,2.64,,,,,,,,,,,,,,,
,,2013 - 2014,,,2.24,,,,,,,,,,,,,,,
,,2014 - 2015,,,3.13,,,,,,,,,,,,,,,
,,2015 - 2016,,,1.81,,,,,,,,,,,,,,,
,,2016 - 2017,,,3.29,,,,,,,,,,,,,,,
,,2017 - 2018,,,2.15,,,,,,,,,,,,,,,
,,2018 - 2019,,,2.42,,,,,,,,,,,,,,,
,,2019 - 2020,,,3.2,,,,,,,,,,,,,,,
,,2020 - 2021,,,3.09,,,,,,,,,,,,,,,
,,2021 - 2022,,,2.75,,,,,,,,,,,,,,,
,,2022 - 2023,,,3.27,,,,,,,,,,,,,,,
,Durg,2000 - 2001,,,0.51,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.39,,,,,,,,,,,,,,,
,,2002 - 2003,,,0.54,,,,,,,,,,,,,,,
,,2003 - 2004,,,1.62,,,,,,,,,,,,,,,
,,2004 - 2005,,,1.41,,,,,,,,,,,,,,,
,,2005 - 2006,,,1.65,,,,,,,,,,,,,,,
,,2006 - 2007,,,1.46,,,,,,,,,,,,,,,
,,2007 - 2008,,,1.57,,,,,,,,,,,,,,,
,,2008 - 2009,,,0.91,,,,,,,,,,,,,,,
,,2009 - 2010,,,0.79,,,,,,,,,,,,,,,
,,2010 - 2011,,,1.83,,,,,,,,,,,,,,,
,,2011 - 2012,,,1.92,,,,,,,,,,,,,,,
,,2012 - 2013,,,2.28,,,,,,,,,,,,,,,
,,2013 - 2014,,,1.94,,,,,,,,,,,,,,,
,,2014 - 2015,,,1.86,,,,,,,,,,,,,,,
,,2015 - 2016,,,1.34,,,,,,,,,,,,,,,
,,2016 - 2017,,,2.96,,,,,,,,,,,,,,,
,,2017 - 2018,,,1.37,,,,,,,,,,,,,,,
,,2018 - 2019,,,2.1,,,,,,,,,,,,,,,
,,2019 - 2020,,,2.73,,,,,,,,,,,,,,,
,,2020 - 2021,,,2.47,,,,,,,,,,,,,,,
,,2021 - 2022,,,2.32,,,,,,,,,,,,,,,
,,2022 - 2023,,,2.86,,,,,,,,,,,,,,,
,Gariyaband,2011 - 2012,,,1.14,,,,,,,,,,,,,,,
,,2012 - 2013,,,1.56,,,,,,,,,,,,,,,
,,2013 - 2014,,,1.48,,,,,,,,,,,,,,,
,,2014 - 2015,,,1.7,,,,,,,,,,,,,,,
,,2015 - 2016,,,0.75,,,,,,,,,,,,,,,
,,2016 - 2017,,,2.38,,,,,,,,,,,,,,,
,,2017 - 2018,,,1.33,,,,,,,,,,,,,,,
,,2018 - 2019,,,1.6,,,,,,,,,,,,,,,
,,2019 - 2020,,,2.21,,,,,,,,,,,,,,,
,,2020 - 2021,,,2.14,,,,,,,,,,,,,,,
,,2021 - 2022,,,1.87,,,,,,,,,,,,,,,
,,2022 - 2023,,,2.6,,,,,,,,,,,,,,,
,Gaurella-pendra-marwahi,2019 - 2020,,,2.07,,,,,,,,,,,,,,,
,,2020 - 2021,,,1.27,,,,,,,,,,,,,,,
,,2021 - 2022,,,2.43,,,,,,,,,,,,,,,
,,2022 - 2023,,,3.66,,,,,,,,,,,,,,,
,Janjgir-champa,2000 - 2001,,,0.66,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.52,,,,,,,,,,,,,,,
,,2002 - 2003,,,1.18,,,,,,,,,,,,,,,
,,2003 - 2004,,,1.35,,,,,,,,,,,,,,,
,,2004 - 2005,,,1.24,,,,,,,,,,,,,,,
,,2005 - 2006,,,1.78,,,,,,,,,,,,,,,
,,2006 - 2007,,,1.9,,,,,,,,,,,,,,,
,,2007 - 2008,,,2.12,,,,,,,,,,,,,,,
,,2008 - 2009,,,1.68,,,,,,,,,,,,,,,
,,2009 - 2010,,,2.2,,,,,,,,,,,,,,,
,,2010 - 2011,,,2.59,,,,,,,,,,,,,,,
,,2011 - 2012,,,2.63,,,,,,,,,,,,,,,
,,2012 - 2013,,,3.01,,,,,,,,,,,,,,,
,,2013 - 2014,,,2.88,,,,,,,,,,,,,,,
,,2014 - 2015,,,3.16,,,,,,,,,,,,,,,
,,2015 - 2016,,,2.82,,,,,,,,,,,,,,,
,,2016 - 2017,,,3.28,,,,,,,,,,,,,,,
,,2017 - 2018,,,2.67,,,,,,,,,,,,,,,
,,2018 - 2019,,,2.29,,,,,,,,,,,,,,,
,,2019 - 2020,,,3.0,,,,,,,,,,,,,,,
,,2020 - 2021,,,2.02,,,,,,,,,,,,,,,
,,2021 - 2022,,,3.02,,,,,,,,,,,,,,,
,,2022 - 2023,,,3.17,,,,,,,,,,,,,,,
,Jashpur,2000 - 2001,,,0.67,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.23,,,,,,,,,,,,,,,
,,2002 - 2003,,,0.64,,,,,,,,,,,,,,,
,,2003 - 2004,,,1.25,,,,,,,,,,,,,,,
,,2004 - 2005,,,0.93,,,,,,,,,,,,,,,
,,2005 - 2006,,,0.88,,,,,,,,,,,,,,,
,,2006 - 2007,,,1.05,,,,,,,,,,,,,,,
,,2007 - 2008,,,1.21,,,,,,,,,,,,,,,
,,2008 - 2009,,,1.13,,,,,,,,,,,,,,,
,,2009 - 2010,,,1.07,,,,,,,,,,,,,,,
,,2010 - 2011,,,1.38,,,,,,,,,,,,,,,
,,2011 - 2012,,,1.49,,,,,,,,,,,,,,,
,,2012 - 2013,,,1.53,,,,,,,,,,,,,,,
,,2013 - 2014,,,1.54,,,,,,,,,,,,,,,
,,2014 - 2015,,,1.61,,,,,,,,,,,,,,,
,,2015 - 2016,,,0.9,,,,,,,,,,,,,,,
,,2016 - 2017,,,1.12,,,,,,,,,,,,,,,
,,2017 - 2018,,,1.17,,,,,,,,,,,,,,,
,,2018 - 2019,,,0.87,,,,,,,,,,,,,,,
,,2019 - 2020,,,1.04,,,,,,,,,,,,,,,
,,2020 - 2021,,,1.5,,,,,,,,,,,,,,,
,,2021 - 2022,,,1.14,,,,,,,,,,,,,,,
,,2022 - 2023,,,1.68,,,,,,,,,,,,,,,
,Kabirdham,2000 - 2001,,,0.52,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.18,,,,,,,,,,,,,,,
,,2002 - 2003,,,0.88,,,,,,,,,,,,,,,
,,2003 - 2004,,,1.09,,,,,,,,,,,,,,,
,,2004 - 2005,,,0.9,,,,,,,,,,,,,,,
,,2005 - 2006,,,1.1,,,,,,,,,,,,,,,
,,2006 - 2007,,,1.4,,,,,,,,,,,,,,,
,,2007 - 2008,,,1.12,,,,,,,,,,,,,,,
,,2008 - 2009,,,1.06,,,,,,,,,,,,,,,
,,2009 - 2010,,,0.81,,,,,,,,,,,,,,,
,,2010 - 2011,,,1.58,,,,,,,,,,,,,,,
,,2011 - 2012,,,1.62,,,,,,,,,,,,,,,
,,2012 - 2013,,,1.49,,,,,,,,,,,,,,,
,,2013 - 2014,,,1.33,,,,,,,,,,,,,,,
,,2014 - 2015,,,1.36,,,,,,,,,,,,,,,
,,2015 - 2016,,,1.0,,,,,,,,,,,,,,,
,,2016 - 2017,,,1.28,,,,,,,,,,,,,,,
,,2017 - 2018,,,1.08,,,,,,,,,,,,,,,
,,2018 - 2019,,,1.04,,,,,,,,,,,,,,,
,,2019 - 2020,,,1.27,,,,,,,,,,,,,,,
,,2020 - 2021,,,1.24,,,,,,,,,,,,,,,
,,2021 - 2022,,,1.29,,,,,,,,,,,,,,,
,,2022 - 2023,,,2.13,,,,,,,,,,,,,,,
,Kanker,2000 - 2001,,,0.82,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.59,,,,,,,,,,,,,,,
,,2002 - 2003,,,0.55,,,,,,,,,,,,,,,
,,2003 - 2004,,,1.95,,,,,,,,,,,,,,,
,,2004 - 2005,,,1.5,,,,,,,,,,,,,,,
,,2005 - 2006,,,1.65,,,,,,,,,,,,,,,
,,2006 - 2007,,,1.77,,,,,,,,,,,,,,,
,,2007 - 2008,,,1.65,,,,,,,,,,,,,,,
,,2008 - 2009,,,1.3,,,,,,,,,,,,,,,
,,2009 - 2010,,,1.25,,,,,,,,,,,,,,,
,,2010 - 2011,,,2.22,,,,,,,,,,,,,,,
,,2011 - 2012,,,1.39,,,,,,,,,,,,,,,
,,2012 - 2013,,,2.59,,,,,,,,,,,,,,,
,,2013 - 2014,,,2.43,,,,,,,,,,,,,,,
,,2014 - 2015,,,2.67,,,,,,,,,,,,,,,
,,2015 - 2016,,,1.22,,,,,,,,,,,,,,,
,,2016 - 2017,,,2.33,,,,,,,,,,,,,,,
,,2017 - 2018,,,1.27,,,,,,,,,,,,,,,
,,2018 - 2019,,,1.47,,,,,,,,,,,,,,,
,,2019 - 2020,,,2.18,,,,,,,,,,,,,,,
,,2020 - 2021,,,2.07,,,,,,,,,,,,,,,
,,2021 - 2022,,,1.57,,,,,,,,,,,,,,,
,,2022 - 2023,,,2.83,,,,,,,,,,,,,,,
,Khairgarh chhuikhadan gandai,2022 - 2023,,,1.93,,,,,,,,,,,,,,,
,Kondagaon,2011 - 2012,,,1.06,,,,,,,,,,,,,,,
,,2012 - 2013,,,1.73,,,,,,,,,,,,,,,
,,2013 - 2014,,,1.81,,,,,,,,,,,,,,,
,,2014 - 2015,,,1.93,,,,,,,,,,,,,,,
,,2015 - 2016,,,1.11,,,,,,,,,,,,,,,
,,2016 - 2017,,,1.76,,,,,,,,,,,,,,,
,,2017 - 2018,,,1.13,,,,,,,,,,,,,,,
,,2018 - 2019,,,1.36,,,,,,,,,,,,,,,
,,2019 - 2020,,,1.63,,,,,,,,,,,,,,,
,,2020 - 2021,,,1.36,,,,,,,,,,,,,,,
,,2021 - 2022,,,1.27,,,,,,,,,,,,,,,
,,2022 - 2023,,,2.13,,,,,,,,,,,,,,,
,Korba,2000 - 2001,,,0.55,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.32,,,,,,,,,,,,,,,
,,2002 - 2003,,,0.76,,,,,,,,,,,,,,,
,,2003 - 2004,,,1.22,,,,,,,,,,,,,,,
,,2004 - 2005,,,0.92,,,,,,,,,,,,,,,
,,2005 - 2006,,,1.18,,,,,,,,,,,,,,,
,,2006 - 2007,,,0.87,,,,,,,,,,,,,,,
,,2007 - 2008,,,1.1,,,,,,,,,,,,,,,
,,2008 - 2009,,,1.01,,,,,,,,,,,,,,,
,,2009 - 2010,,,0.93,,,,,,,,,,,,,,,
,,2010 - 2011,,,1.2,,,,,,,,,,,,,,,
,,2011 - 2012,,,1.39,,,,,,,,,,,,,,,
,,2012 - 2013,,,1.6,,,,,,,,,,,,,,,
,,2013 - 2014,,,1.38,,,,,,,,,,,,,,,
,,2014 - 2015,,,1.5,,,,,,,,,,,,,,,
,,2015 - 2016,,,0.79,,,,,,,,,,,,,,,
,,2016 - 2017,,,1.64,,,,,,,,,,,,,,,
,,2017 - 2018,,,1.33,,,,,,,,,,,,,,,
,,2018 - 2019,,,1.16,,,,,,,,,,,,,,,
,,2019 - 2020,,,1.53,,,,,,,,,,,,,,,
,,2020 - 2021,,,2.48,,,,,,,,,,,,,,,
,,2021 - 2022,,,1.32,,,,,,,,,,,,,,,
,,2022 - 2023,,,2.05,,,,,,,,,,,,,,,
,Korea,2000 - 2001,,,0.67,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.45,,,,,,,,,,,,,,,
,,2002 - 2003,,,0.54,,,,,,,,,,,,,,,
,,2003 - 2004,,,1.42,,,,,,,,,,,,,,,
,,2004 - 2005,,,1.07,,,,,,,,,,,,,,,
,,2005 - 2006,,,0.88,,,,,,,,,,,,,,,
,,2006 - 2007,,,0.93,,,,,,,,,,,,,,,
,,2007 - 2008,,,0.8,,,,,,,,,,,,,,,
,,2008 - 2009,,,1.19,,,,,,,,,,,,,,,
,,2009 - 2010,,,0.72,,,,,,,,,,,,,,,
,,2010 - 2011,,,1.09,,,,,,,,,,,,,,,
,,2011 - 2012,,,1.5,,,,,,,,,,,,,,,
,,2012 - 2013,,,1.76,,,,,,,,,,,,,,,
,,2013 - 2014,,,1.61,,,,,,,,,,,,,,,
,,2014 - 2015,,,1.78,,,,,,,,,,,,,,,
,,2015 - 2016,,,0.73,,,,,,,,,,,,,,,
,,2016 - 2017,,,1.75,,,,,,,,,,,,,,,
,,2017 - 2018,,,1.06,,,,,,,,,,,,,,,
,,2018 - 2019,,,1.35,,,,,,,,,,,,,,,
,,2019 - 2020,,,1.61,,,,,,,,,,,,,,,
,,2020 - 2021,,,2.24,,,,,,,,,,,,,,,
,,2021 - 2022,,,1.42,,,,,,,,,,,,,,,
,,2022 - 2023,,,1.5,,,,,,,,,,,,,,,
,Mahasamund,2000 - 2001,,,0.49,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.2,,,,,,,,,,,,,,,
,,2002 - 2003,,,0.45,,,,,,,,,,,,,,,
,,2003 - 2004,,,1.55,,,,,,,,,,,,,,,
,,2004 - 2005,,,1.27,,,,,,,,,,,,,,,
,,2005 - 2006,,,0.99,,,,,,,,,,,,,,,
,,2006 - 2007,,,1.29,,,,,,,,,,,,,,,
,,2007 - 2008,,,1.37,,,,,,,,,,,,,,,
,,2008 - 2009,,,1.12,,,,,,,,,,,,,,,
,,2009 - 2010,,,1.11,,,,,,,,,,,,,,,
,,2010 - 2011,,,1.82,,,,,,,,,,,,,,,
,,2011 - 2012,,,1.42,,,,,,,,,,,,,,,
,,2012 - 2013,,,1.93,,,,,,,,,,,,,,,
,,2013 - 2014,,,1.75,,,,,,,,,,,,,,,
,,2014 - 2015,,,1.87,,,,,,,,,,,,,,,
,,2015 - 2016,,,1.44,,,,,,,,,,,,,,,
,,2016 - 2017,,,1.79,,,,,,,,,,,,,,,
,,2017 - 2018,,,1.45,,,,,,,,,,,,,,,
,,2018 - 2019,,,1.25,,,,,,,,,,,,,,,
,,2019 - 2020,,,1.62,,,,,,,,,,,,,,,
,,2020 - 2021,,,1.68,,,,,,,,,,,,,,,
,,2021 - 2022,,,1.63,,,,,,,,,,,,,,,
,,2022 - 2023,,,2.13,,,,,,,,,,,,,,,
,Manendragarh chirimiri bharatpur,2022 - 2023,,,1.48,,,,,,,,,,,,,,,
,Mohla manpur ambagarh chouki,2022 - 2023,,,1.89,,,,,,,,,,,,,,,
,Mungeli,2011 - 2012,,,1.97,,,,,,,,,,,,,,,
,,2012 - 2013,,,2.26,,,,,,,,,,,,,,,
,,2013 - 2014,,,1.73,,,,,,,,,,,,,,,
,,2014 - 2015,,,2.03,,,,,,,,,,,,,,,
,,2015 - 2016,,,2.18,,,,,,,,,,,,,,,
,,2016 - 2017,,,2.54,,,,,,,,,,,,,,,
,,2017 - 2018,,,1.66,,,,,,,,,,,,,,,
,,2018 - 2019,,,1.69,,,,,,,,,,,,,,,
,,2019 - 2020,,,2.44,,,,,,,,,,,,,,,
,,2020 - 2021,,,2.62,,,,,,,,,,,,,,,
,,2021 - 2022,,,1.89,,,,,,,,,,,,,,,
,,2022 - 2023,,,2.32,,,,,,,,,,,,,,,
,Narayanpur,2006 - 2007,,,0.0,,,,,,,,,,,,,,,
,,2007 - 2008,,,1.47,,,,,,,,,,,,,,,
,,2008 - 2009,,,1.57,,,,,,,,,,,,,,,
,,2009 - 2010,,,1.09,,,,,,,,,,,,,,,
,,2010 - 2011,,,1.72,,,,,,,,,,,,,,,
,,2011 - 2012,,,1.09,,,,,,,,,,,,,,,
,,2012 - 2013,,,1.44,,,,,,,,,,,,,,,
,,2013 - 2014,,,1.6,,,,,,,,,,,,,,,
,,2014 - 2015,,,1.77,,,,,,,,,,,,,,,
,,2015 - 2016,,,0.71,,,,,,,,,,,,,,,
,,2016 - 2017,,,1.65,,,,,,,,,,,,,,,
,,2017 - 2018,,,0.88,,,,,,,,,,,,,,,
,,2018 - 2019,,,1.03,,,,,,,,,,,,,,,
,,2019 - 2020,,,1.53,,,,,,,,,,,,,,,
,,2020 - 2021,,,1.29,,,,,,,,,,,,,,,
,,2021 - 2022,,,1.22,,,,,,,,,,,,,,,
,,2022 - 2023,,,1.91,,,,,,,,,,,,,,,
,Raigarh,2000 - 2001,,,0.48,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.26,,,,,,,,,,,,,,,
,,2002 - 2003,,,0.7,,,,,,,,,,,,,,,
,,2003 - 2004,,,1.33,,,,,,,,,,,,,,,
,,2004 - 2005,,,1.04,,,,,,,,,,,,,,,
,,2005 - 2006,,,1.16,,,,,,,,,,,,,,,
,,2006 - 2007,,,1.28,,,,,,,,,,,,,,,
,,2007 - 2008,,,1.29,,,,,,,,,,,,,,,
,,2008 - 2009,,,1.22,,,,,,,,,,,,,,,
,,2009 - 2010,,,1.16,,,,,,,,,,,,,,,
,,2010 - 2011,,,1.4,,,,,,,,,,,,,,,
,,2011 - 2012,,,1.39,,,,,,,,,,,,,,,
,,2012 - 2013,,,1.51,,,,,,,,,,,,,,,
,,2013 - 2014,,,1.27,,,,,,,,,,,,,,,
,,2014 - 2015,,,1.61,,,,,,,,,,,,,,,
,,2015 - 2016,,,1.1,,,,,,,,,,,,,,,
,,2016 - 2017,,,2.31,,,,,,,,,,,,,,,
,,2017 - 2018,,,1.79,,,,,,,,,,,,,,,
,,2018 - 2019,,,1.65,,,,,,,,,,,,,,,
,,2019 - 2020,,,2.12,,,,,,,,,,,,,,,
,,2020 - 2021,,,1.89,,,,,,,,,,,,,,,
,,2021 - 2022,,,1.65,,,,,,,,,,,,,,,
,,2022 - 2023,,,2.68,,,,,,,,,,,,,,,
,Raipur,2000 - 2001,,,0.41,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.19,,,,,,,,,,,,,,,
,,2002 - 2003,,,0.75,,,,,,,,,,,,,,,
,,2003 - 2004,,,1.37,,,,,,,,,,,,,,,
,,2004 - 2005,,,1.2,,,,,,,,,,,,,,,
,,2005 - 2006,,,1.55,,,,,,,,,,,,,,,
,,2006 - 2007,,,1.47,,,,,,,,,,,,,,,
,,2007 - 2008,,,1.49,,,,,,,,,,,,,,,
,,2008 - 2009,,,1.31,,,,,,,,,,,,,,,
,,2009 - 2010,,,1.44,,,,,,,,,,,,,,,
,,2010 - 2011,,,1.41,,,,,,,,,,,,,,,
,,2011 - 2012,,,1.3,,,,,,,,,,,,,,,
,,2012 - 2013,,,2.04,,,,,,,,,,,,,,,
,,2013 - 2014,,,1.7,,,,,,,,,,,,,,,
,,2014 - 2015,,,2.02,,,,,,,,,,,,,,,
,,2015 - 2016,,,1.6,,,,,,,,,,,,,,,
,,2016 - 2017,,,3.24,,,,,,,,,,,,,,,
,,2017 - 2018,,,2.03,,,,,,,,,,,,,,,
,,2018 - 2019,,,2.27,,,,,,,,,,,,,,,
,,2019 - 2020,,,2.96,,,,,,,,,,,,,,,
,,2020 - 2021,,,2.96,,,,,,,,,,,,,,,
,,2021 - 2022,,,2.94,,,,,,,,,,,,,,,
,,2022 - 2023,,,3.48,,,,,,,,,,,,,,,
,Rajnandgaon,2000 - 2001,,,0.84,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.17,,,,,,,,,,,,,,,
,,2002 - 2003,,,0.76,,,,,,,,,,,,,,,
,,2003 - 2004,,,1.39,,,,,,,,,,,,,,,
,,2004 - 2005,,,1.12,,,,,,,,,,,,,,,
,,2005 - 2006,,,1.37,,,,,,,,,,,,,,,
,,2006 - 2007,,,1.35,,,,,,,,,,,,,,,
,,2007 - 2008,,,1.08,,,,,,,,,,,,,,,
,,2008 - 2009,,,0.78,,,,,,,,,,,,,,,
,,2009 - 2010,,,0.78,,,,,,,,,,,,,,,
,,2010 - 2011,,,1.6,,,,,,,,,,,,,,,
,,2011 - 2012,,,1.66,,,,,,,,,,,,,,,
,,2012 - 2013,,,1.85,,,,,,,,,,,,,,,
,,2013 - 2014,,,1.52,,,,,,,,,,,,,,,
,,2014 - 2015,,,1.67,,,,,,,,,,,,,,,
,,2015 - 2016,,,0.74,,,,,,,,,,,,,,,
,,2016 - 2017,,,1.86,,,,,,,,,,,,,,,
,,2017 - 2018,,,1.05,,,,,,,,,,,,,,,
,,2018 - 2019,,,1.37,,,,,,,,,,,,,,,
,,2019 - 2020,,,1.8,,,,,,,,,,,,,,,
,,2020 - 2021,,,1.93,,,,,,,,,,,,,,,
,,2021 - 2022,,,1.84,,,,,,,,,,,,,,,
,,2022 - 2023,,,1.93,,,,,,,,,,,,,,,
,Sakti,2022 - 2023,,,3.03,,,,,,,,,,,,,,,
,Sarangarh bilaigarh,2022 - 2023,,,2.49,,,,,,,,,,,,,,,
,Sukma,2011 - 2012,,,1.28,,,,,,,,,,,,,,,
,,2012 - 2013,,,2.14,,,,,,,,,,,,,,,
,,2013 - 2014,,,2.36,,,,,,,,,,,,,,,
,,2014 - 2015,,,2.22,,,,,,,,,,,,,,,
,,2015 - 2016,,,1.28,,,,,,,,,,,,,,,
,,2016 - 2017,,,1.75,,,,,,,,,,,,,,,
,,2017 - 2018,,,1.44,,,,,,,,,,,,,,,
,,2018 - 2019,,,1.35,,,,,,,,,,,,,,,
,,2019 - 2020,,,1.61,,,,,,,,,,,,,,,
,,2020 - 2021,,,1.83,,,,,,,,,,,,,,,
,,2021 - 2022,,,1.79,,,,,,,,,,,,,,,
,,2022 - 2023,,,2.79,,,,,,,,,,,,,,,
,Surajpur,2011 - 2012,,,1.38,,,,,,,,,,,,,,,
,,2012 - 2013,,,1.28,,,,,,,,,,,,,,,
,,2013 - 2014,,,1.75,,,,,,,,,,,,,,,
,,2014 - 2015,,,1.84,,,,,,,,,,,,,,,
,,2015 - 2016,,,1.26,,,,,,,,,,,,,,,
,,2016 - 2017,,,1.72,,,,,,,,,,,,,,,
,,2017 - 2018,,,1.39,,,,,,,,,,,,,,,
,,2018 - 2019,,,1.56,,,,,,,,,,,,,,,
,,2019 - 2020,,,1.58,,,,,,,,,,,,,,,
,,2020 - 2021,,,1.65,,,,,,,,,,,,,,,
,,2021 - 2022,,,1.61,,,,,,,,,,,,,,,
,,2022 - 2023,,,2.28,,,,,,,,,,,,,,,
,Surguja,2000 - 2001,,,0.63,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.31,,,,,,,,,,,,,,,
,,2002 - 2003,,,0.71,,,,,,,,,,,,,,,
,,2003 - 2004,,,1.29,,,,,,,,,,,,,,,
,,2004 - 2005,,,0.96,,,,,,,,,,,,,,,
,,2005 - 2006,,,1.09,,,,,,,,,,,,,,,
,,2006 - 2007,,,1.1,,,,,,,,,,,,,,,
,,2007 - 2008,,,1.22,,,,,,,,,,,,,,,
,,2008 - 2009,,,1.17,,,,,,,,,,,,,,,
,,2009 - 2010,,,0.72,,,,,,,,,,,,,,,
,,2010 - 2011,,,1.07,,,,,,,,,,,,,,,
,,2011 - 2012,,,1.4,,,,,,,,,,,,,,,
,,2012 - 2013,,,1.67,,,,,,,,,,,,,,,
,,2013 - 2014,,,1.73,,,,,,,,,,,,,,,
,,2014 - 2015,,,1.76,,,,,,,,,,,,,,,
,,2015 - 2016,,,1.43,,,,,,,,,,,,,,,
,,2016 - 2017,,,1.66,,,,,,,,,,,,,,,
,,2017 - 2018,,,1.48,,,,,,,,,,,,,,,
,,2018 - 2019,,,1.28,,,,,,,,,,,,,,,
,,2019 - 2020,,,1.53,,,,,,,,,,,,,,,
,,2020 - 2021,,,1.63,,,,,,,,,,,,,,,
,,2021 - 2022,,,1.62,,,,,,,,,,,,,,,
,,2022 - 2023,,,2.3,,,,,,,,,,,,,,,
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2000 - 2001,,,1.85,,,,,,2.17,,,,,,,,,
,,2001 - 2002,,,2.24,,,,386.0,838.0,2.17,,,,,,,,,
,,2002 - 2003,,,2.82,,,,382.0,839.0,2.2,,,,,,,,,
,,2003 - 2004,,,2.01,,,,583.0,,2.01,,,,,,,,,
,,2004 - 2005,,,2.08,,,,653.0,,2.12,,,,,,,,,
,,2005 - 2006,,,2.5,,,,657.0,,2.05,,,,,,,,,
,,2006 - 2007,,,2.21,,,,,,2.38,,,,,,,,,
,,2007 - 2008,,,1.74,,,,,,,,,,,,,,,
,,2008 - 2009,,,1.72,,,,,,,,,,,,,,,
,,2009 - 2010,,,1.08,,,,,,,,,,,,,,,
