state,district,year,urad_rabi_area_hectare,urad_rabi_production_tonne,urad_rabi_yield_tonne_per_hectare,urad_kharif_area_hectare,urad_kharif_production_tonne,urad_kharif_yield_tonne_per_hectare,urad_summer_area_hectare,urad_summer_production_tonne,urad_summer_yield_tonne_per_hectare,urad_autumn_area_hectare,urad_autumn_production_tonne,urad_autumn_yield_tonne_per_hectare,urad_whole_year_area_hectare,urad_whole_year_production_tonne,urad_whole_year_yield_tonne_per_hectare,urad_winter_area_hectare,urad_winter_production_tonne,urad_winter_yield_tonne_per_hectare
,,2016 - 2017,289.0,235.0,0.81,491.0,339.0,0.69,,,,,,,,,,,,
,,2017 - 2018,447.0,347.0,0.78,455.0,309.0,0.68,,,,,,,,,,,,
,,2018 - 2019,425.0,314.17,0.74,325.0,202.46,0.62,,,,,,,,,,,,
,,2019 - 2020,459.0,347.0,0.76,437.0,289.72,0.66,,,,,,,,,,,,
,,2020 - 2021,688.0,560.0,0.81,833.0,620.0,0.74,,,,,,,,,,,,
,,2021 - 2022,546.0,428.0,0.78,632.0,451.0,0.71,,,,,,,,,,,,
,,2022 - 2023,702.0,550.0,0.78,629.0,524.0,0.83,,,,,,,,,,,,
,Unakoti,2012 - 2013,118.0,65.0,0.55,68.0,36.0,0.53,,,,,,,,,,,,
,,2013 - 2014,88.0,61.0,0.69,68.0,33.0,0.49,,,,,,,,,,,,
,,2014 - 2015,88.0,60.0,0.68,99.0,49.0,0.49,,,,,,,,,,,,
,,2015 - 2016,116.0,80.0,0.69,313.0,156.0,0.5,,,,,,,,,,,,
,,2016 - 2017,116.0,84.0,0.72,214.0,110.0,0.51,,,,,,,,,,,,
,,2017 - 2018,208.0,142.0,0.68,196.0,106.0,0.54,,,,,,,,,,,,
,,2018 - 2019,217.0,137.88,0.64,217.0,124.34,0.57,,,,,,,,,,,,
,,2019 - 2020,158.0,102.0,0.65,197.0,118.75,0.6,,,,,,,,,,,,
,,2020 - 2021,136.0,98.0,0.72,245.0,167.0,0.68,,,,,,,,,,,,
,,2021 - 2022,149.0,100.0,0.67,130.0,81.0,0.62,,,,,,,,,,,,
,,2022 - 2023,156.0,115.0,0.74,278.0,206.0,0.74,,,,,,,,,,,,
,West tripura,2004 - 2005,121.0,59.0,0.49,211.0,115.0,0.55,,,,,,,,,,,,
,,2005 - 2006,129.0,62.0,0.48,298.0,157.0,0.53,,,,,,,,,,,,
,,2006 - 2007,108.0,54.0,0.5,394.0,211.0,0.54,,,,,,,,,,,,
,,2007 - 2008,78.0,40.0,0.51,184.0,103.0,0.56,,,,,,,,,,,,
,,2008 - 2009,74.0,29.0,0.39,112.0,69.0,0.62,,,,,,,,,,,,
,,2009 - 2010,60.0,33.0,0.55,55.0,31.0,0.56,,,,,,,,,,,,
,,2010 - 2011,72.0,41.0,0.57,243.0,141.0,0.58,,,,,,,,,,,,
,,2011 - 2012,104.0,55.0,0.53,238.0,148.0,0.62,,,,,,,,,,,,
,,2012 - 2013,32.0,19.0,0.59,33.0,18.0,0.55,,,,,,,,,,,,
,,2013 - 2014,11.0,7.0,0.64,75.0,43.0,0.57,,,,,,,,,,,,
,,2014 - 2015,38.0,25.0,0.66,52.0,27.0,0.52,,,,,,,,,,,,
,,2015 - 2016,192.0,132.0,0.69,300.0,155.0,0.52,,,,,,,,,,,,
,,2016 - 2017,125.0,91.0,0.73,266.0,144.0,0.54,,,,,,,,,,,,
,,2017 - 2018,365.0,240.0,0.66,349.0,199.0,0.57,,,,,,,,,,,,
,,2018 - 2019,274.0,190.07,0.69,325.0,189.84,0.58,,,,,,,,,,,,
,,2019 - 2020,233.0,168.66,0.72,348.0,213.88,0.61,,,,,,,,,,,,
,,2020 - 2021,536.0,425.0,0.79,576.0,401.0,0.7,,,,,,,,,,,,
,,2021 - 2022,371.0,283.0,0.76,476.0,313.0,0.66,,,,,,,,,,,,
,,2022 - 2023,427.0,331.0,0.78,149.0,114.0,0.77,,,,,,,,,,,,
Uttar Pradesh,Agra,2000 - 2001,3.0,1.0,0.33,642.0,267.0,0.42,,,,,,,,,,,,
,,2001 - 2002,21.0,6.0,0.29,506.0,206.0,0.41,,,,,,,,,,,,
,,2002 - 2003,,,,357.0,143.0,0.4,4.0,2.0,0.5,,,,,,,,,
,,2003 - 2004,,,,335.0,79.0,0.24,13.0,7.0,0.54,,,,,,,,,
,,2007 - 2008,,,,266.0,116.0,0.44,2.0,1.0,0.5,,,,,,,,,
,,2008 - 2009,,,,258.0,139.0,0.54,3.0,3.0,1.0,,,,,,,,,
,,2009 - 2010,,,,228.0,87.0,0.38,1.0,1.0,1.0,,,,,,,,,
,,2010 - 2011,,,,275.0,185.0,0.67,5.0,4.0,0.8,,,,,,,,,
,,2011 - 2012,,,,244.0,163.0,0.67,4.0,5.0,1.25,,,,,,,,,
,,2012 - 2013,,,,344.0,228.0,0.66,2.0,2.0,1.0,,,,,,,,,
,,2013 - 2014,,,,215.0,96.0,0.45,,,,,,,,,,,,
,,2014 - 2015,,,,150.0,66.0,0.44,,,,,,,,,,,,
,,2015 - 2016,,,,327.0,95.0,0.29,3.0,3.0,1.0,,,,,,,,,
,,2016 - 2017,,,,300.0,162.0,0.54,,,,,,,,,,,,
,,2017 - 2018,,,,132.0,66.0,0.5,,,,,,,,,,,,
,,2018 - 2019,,,,358.0,199.0,0.56,,,,,,,,,,,,
,,2019 - 2020,,,,287.0,118.0,0.41,,,,,,,,,,,,
,,2020 - 2021,,,,261.0,145.0,0.56,,,,,,,,,,,,
,,2021 - 2022,,,,205.0,102.0,0.5,,,,,,,,,,,,
,,2022 - 2023,,,,268.0,135.0,0.5,77.0,98.0,1.27,,,,,,,,,
,Aligarh,2000 - 2001,84.0,37.0,0.44,516.0,215.0,0.42,,,,,,,,,,,,
,,2001 - 2002,76.0,24.0,0.32,614.0,251.0,0.41,,,,,,,,,,,,
,,2002 - 2003,,,,596.0,238.0,0.4,67.0,28.0,0.42,,,,,,,,,
,,2003 - 2004,,,,607.0,144.0,0.24,54.0,30.0,0.56,,,,,,,,,
,,2007 - 2008,,,,655.0,287.0,0.44,57.0,39.0,0.68,,,,,,,,,
,,2008 - 2009,,,,445.0,239.0,0.54,53.0,50.0,0.94,,,,,,,,,
,,2009 - 2010,,,,413.0,158.0,0.38,121.0,86.0,0.71,,,,,,,,,
,,2010 - 2011,,,,885.0,597.0,0.67,393.0,310.0,0.79,,,,,,,,,
,,2011 - 2012,,,,556.0,372.0,0.67,106.0,94.0,0.89,,,,,,,,,
,,2012 - 2013,,,,714.0,473.0,0.66,147.0,150.0,1.02,,,,,,,,,
,,2013 - 2014,,,,452.0,202.0,0.45,68.0,63.0,0.93,,,,,,,,,
,,2014 - 2015,,,,806.0,432.0,0.54,49.0,41.0,0.84,,,,,,,,,
,,2015 - 2016,,,,729.0,212.0,0.29,90.0,30.0,0.33,,,,,,,,,
,,2016 - 2017,,,,,827.0,0.54,95.0,62.0,0.65,,,,,,,,,
,,2017 - 2018,,,,561.0,281.0,0.5,35.0,21.0,0.6,,,,,,,,,
,,2018 - 2019,,,,536.0,297.0,0.55,48.0,49.0,1.02,,,,,,,,,
,,2019 - 2020,,,,547.0,224.0,0.41,47.0,54.0,1.15,,,,,,,,,
,,2020 - 2021,,,,905.0,503.0,0.56,142.0,165.0,1.16,,,,,,,,,
,,2021 - 2022,,,,689.0,343.0,0.5,78.0,82.0,1.05,,,,,,,,,
,,2022 - 2023,,,,638.0,320.0,0.5,245.0,219.0,0.89,,,,,,,,,
,Allahabad,2000 - 2001,,,0.37,,620.0,0.46,,,,,,,,,,,,
,,2001 - 2002,,,0.52,,480.0,0.44,,,,,,,,,,,,
,,2002 - 2003,,,,,,,929.0,383.0,0.41,,,,,,,,,
,,2003 - 2004,,,,742.0,332.0,0.45,,,0.41,,,,,,,,,
,,2007 - 2008,,,,,632.0,0.53,,,0.46,,,,,,,,,
,,2008 - 2009,,,,754.0,388.0,0.51,,,0.65,,,,,,,,,
,,2009 - 2010,,,,538.0,248.0,0.46,,,0.56,,,,,,,,,
,,2010 - 2011,,,,664.0,421.0,0.63,,,0.93,,,,,,,,,
,,2011 - 2012,,,,678.0,424.0,0.63,,,0.96,,,,,,,,,
,,2012 - 2013,,,,604.0,424.0,0.7,,,1.02,,,,,,,,,
,,2013 - 2014,,,,805.0,497.0,0.62,,,0.58,,,,,,,,,
,,2014 - 2015,,,,,814.0,0.47,,605.0,0.22,,,,,,,,,
,,2015 - 2016,,,,727.0,311.0,0.43,,,0.42,,,,,,,,,
,,2016 - 2017,,,,386.0,174.0,0.45,,,0.54,,,,,,,,,
,,2017 - 2018,,,,609.0,457.0,0.75,,,0.38,,,,,,,,,
,,2018 - 2019,,,,611.0,254.0,0.42,,,1.06,,,,,,,,,
,,2019 - 2020,,,,655.0,417.0,0.64,,,0.7,,,,,,,,,
,,2020 - 2021,,,,603.0,441.0,0.73,,,0.62,,,,,,,,,
,,2021 - 2022,,,,706.0,534.0,0.76,,,0.75,,,,,,,,,
,,2022 - 2023,,,,922.0,500.0,0.54,,,0.73,,,,,,,,,
,Ambedkar nagar,2000 - 2001,,,0.45,157.0,69.0,0.44,,,,,,,,,,,,
,,2001 - 2002,,,0.55,154.0,63.0,0.41,,,,,,,,,,,,
,,2002 - 2003,,,,154.0,91.0,0.59,,849.0,0.29,,,,,,,,,
,,2003 - 2004,,,,144.0,98.0,0.68,,,0.46,,,,,,,,,
,,2007 - 2008,,,,148.0,100.0,0.68,,641.0,0.24,,,,,,,,,
,,2008 - 2009,,,,108.0,58.0,0.54,,,0.49,,,,,,,,,
,,2009 - 2010,,,,99.0,56.0,0.57,,981.0,0.46,,,,,,,,,
,,2010 - 2011,,,,78.0,42.0,0.54,,,0.36,,,,,,,,,
,,2011 - 2012,,,,22.0,12.0,0.55,,,0.47,,,,,,,,,
,,2012 - 2013,,,,64.0,48.0,0.75,567.0,369.0,0.65,,,,,,,,,
,,2013 - 2014,,,,86.0,32.0,0.37,827.0,410.0,0.5,,,,,,,,,
,,2014 - 2015,,,,106.0,56.0,0.53,,,0.55,,,,,,,,,
,,2015 - 2016,,,,140.0,23.0,0.16,,,0.63,,,,,,,,,
,,2016 - 2017,,,,59.0,26.0,0.44,,,0.65,,,,,,,,,
,,2017 - 2018,,,,55.0,22.0,0.4,,,0.42,,,,,,,,,
,,2018 - 2019,,,,143.0,55.0,0.38,,,0.78,,,,,,,,,
,,2019 - 2020,,,,202.0,88.0,0.44,,855.0,0.4,,,,,,,,,
,,2020 - 2021,,,,74.0,35.0,0.47,,666.0,0.35,,,,,,,,,
,,2021 - 2022,,,,104.0,48.0,0.46,,,0.49,,,,,,,,,
,,2022 - 2023,,,,135.0,44.0,0.33,,,1.31,,,,,,,,,
,Amethi,2010 - 2011,,,,,,0.47,,,,,,,,,,,,
,,2011 - 2012,,,,,,0.57,,,0.52,,,,,,,,,
,,2012 - 2013,,,,,,0.56,,,0.64,,,,,,,,,
,,2013 - 2014,,,,,,0.37,,,0.45,,,,,,,,,
,,2014 - 2015,,,,,,0.52,,,0.55,,,,,,,,,
,,2015 - 2016,,,,,373.0,0.16,,,0.53,,,,,,,,,
,,2016 - 2017,,,,,,0.44,,,0.54,,,,,,,,,
,,2017 - 2018,,,,,,0.41,,,0.52,,,,,,,,,
,,2018 - 2019,,,,,,0.39,,,0.58,,,,,,,,,
,,2019 - 2020,,,,,,0.44,,,0.45,,,,,,,,,
,,2020 - 2021,,,,,,0.47,,,0.54,,,,,,,,,
,,2021 - 2022,,,,,,0.46,,,0.49,,,,,,,,,
,,2022 - 2023,,,,,,0.32,,,0.79,,,,,,,,,
,Amroha,2000 - 2001,10.0,5.0,0.5,,,0.82,,,,,,,,,,,,
,,2001 - 2002,20.0,10.0,0.5,,,0.41,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.82,19.0,10.0,0.53,,,,,,,,,
,,2003 - 2004,,,,,,0.51,20.0,10.0,0.5,,,,,,,,,
,,2007 - 2008,,,,,,0.84,,,,,,,,,,,,
,,2008 - 2009,,,,,,0.93,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.94,,,,,,,,,,,,
,,2010 - 2011,,,,,,0.88,2.0,1.0,0.5,,,,,,,,,
,,2011 - 2012,,,,,,0.79,4.0,3.0,0.75,,,,,,,,,
,,2012 - 2013,,,,,,0.91,1.0,1.0,1.0,,,,,,,,,
,,2013 - 2014,,,,,,0.77,10.0,6.0,0.6,,,,,,,,,
,,2014 - 2015,,,,,,0.89,1.0,1.0,1.0,,,,,,,,,
,,2015 - 2016,,,,,,0.65,,,,,,,,,,,,
,,2016 - 2017,,,,,,0.83,3.0,2.0,0.67,,,,,,,,,
,,2017 - 2018,,,,,,0.73,6.0,4.0,0.67,,,,,,,,,
,,2018 - 2019,,,,,,1.02,5.0,4.0,0.8,,,,,,,,,
,,2019 - 2020,,,,,,0.76,6.0,4.0,0.67,,,,,,,,,
,,2020 - 2021,,,,,,0.85,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.79,3.0,2.0,0.67,,,,,,,,,
,,2022 - 2023,,,,,,0.72,68.0,61.0,0.9,,,,,,,,,
,Auraiya,2000 - 2001,537.0,267.0,0.5,,885.0,0.55,,,,,,,,,,,,
,,2001 - 2002,615.0,386.0,0.63,,,0.5,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.66,412.0,346.0,0.84,,,,,,,,,
,,2003 - 2004,,,,,,0.65,593.0,520.0,0.88,,,,,,,,,
,,2007 - 2008,,,,,,0.81,813.0,531.0,0.65,,,,,,,,,
,,2008 - 2009,,,,944.0,866.0,0.92,878.0,858.0,0.98,,,,,,,,,
,,2009 - 2010,,,,,544.0,0.46,,914.0,0.8,,,,,,,,,
,,2010 - 2011,,,,,,1.2,674.0,696.0,1.03,,,,,,,,,
,,2011 - 2012,,,,,,1.01,666.0,566.0,0.85,,,,,,,,,
,,2012 - 2013,,,,,713.0,0.69,712.0,576.0,0.81,,,,,,,,,
,,2013 - 2014,,,,,711.0,0.57,758.0,537.0,0.71,,,,,,,,,
,,2014 - 2015,,,,903.0,701.0,0.78,,978.0,0.7,,,,,,,,,
,,2015 - 2016,,,,,355.0,0.35,,,0.73,,,,,,,,,
,,2016 - 2017,,,,,694.0,0.63,949.0,886.0,0.93,,,,,,,,,
,,2017 - 2018,,,,,983.0,0.81,676.0,541.0,0.8,,,,,,,,,
,,2018 - 2019,,,,,,1.11,774.0,811.0,1.05,,,,,,,,,
,,2019 - 2020,,,,,,0.77,749.0,702.0,0.94,,,,,,,,,
,,2020 - 2021,,,,,806.0,0.7,850.0,,1.3,,,,,,,,,
,,2021 - 2022,,,,,,0.71,780.0,,1.46,,,,,,,,,
,,2022 - 2023,,,,,,0.42,,,1.55,,,,,,,,,
,Azamgarh,2000 - 2001,267.0,123.0,0.46,178.0,74.0,0.42,,,,,,,,,,,,
,,2001 - 2002,264.0,129.0,0.49,185.0,75.0,0.41,,,,,,,,,,,,
,,2002 - 2003,,,,156.0,62.0,0.4,196.0,104.0,0.53,,,,,,,,,
,,2003 - 2004,,,,151.0,36.0,0.24,210.0,103.0,0.49,,,,,,,,,
,,2007 - 2008,,,,133.0,58.0,0.44,197.0,111.0,0.56,,,,,,,,,
,,2008 - 2009,,,,183.0,98.0,0.54,138.0,86.0,0.62,,,,,,,,,
,,2009 - 2010,,,,257.0,98.0,0.38,170.0,105.0,0.62,,,,,,,,,
,,2010 - 2011,,,,211.0,142.0,0.67,175.0,109.0,0.62,,,,,,,,,
,,2011 - 2012,,,,308.0,206.0,0.67,175.0,116.0,0.66,,,,,,,,,
,,2012 - 2013,,,,246.0,163.0,0.66,170.0,118.0,0.69,,,,,,,,,
,,2013 - 2014,,,,154.0,69.0,0.45,124.0,72.0,0.58,,,,,,,,,
,,2014 - 2015,,,,189.0,101.0,0.53,97.0,52.0,0.54,,,,,,,,,
,,2015 - 2016,,,,158.0,46.0,0.29,91.0,52.0,0.57,,,,,,,,,
,,2016 - 2017,,,,236.0,127.0,0.54,149.0,97.0,0.65,,,,,,,,,
,,2017 - 2018,,,,163.0,82.0,0.5,141.0,89.0,0.63,,,,,,,,,
,,2018 - 2019,,,,189.0,105.0,0.56,155.0,122.0,0.79,,,,,,,,,
,,2019 - 2020,,,,181.0,74.0,0.41,133.0,95.0,0.71,,,,,,,,,
,,2020 - 2021,,,,183.0,102.0,0.56,143.0,109.0,0.76,,,,,,,,,
,,2021 - 2022,,,,212.0,106.0,0.5,190.0,139.0,0.73,,,,,,,,,
,,2022 - 2023,,,,276.0,139.0,0.5,94.0,84.0,0.89,,,,,,,,,
,Baghpat,2000 - 2001,196.0,106.0,0.54,217.0,90.0,0.41,,,,,,,,,,,,
,,2001 - 2002,180.0,87.0,0.48,301.0,123.0,0.41,,,,,,,,,,,,
,,2002 - 2003,,,,336.0,134.0,0.4,226.0,91.0,0.4,,,,,,,,,
,,2003 - 2004,,,,307.0,73.0,0.24,177.0,87.0,0.49,,,,,,,,,
,,2007 - 2008,,,,,,,70.0,39.0,0.56,,,,,,,,,
,,2008 - 2009,,,,361.0,194.0,0.54,139.0,86.0,0.62,,,,,,,,,
,,2009 - 2010,,,,421.0,161.0,0.38,137.0,85.0,0.62,,,,,,,,,
,,2010 - 2011,,,,486.0,328.0,0.67,122.0,76.0,0.62,,,,,,,,,
,,2011 - 2012,,,,408.0,273.0,0.67,137.0,91.0,0.66,,,,,,,,,
,,2012 - 2013,,,,521.0,345.0,0.66,180.0,124.0,0.69,,,,,,,,,
,,2013 - 2014,,,,430.0,192.0,0.45,137.0,79.0,0.58,,,,,,,,,
,,2014 - 2015,,,,290.0,156.0,0.54,111.0,60.0,0.54,,,,,,,,,
,,2015 - 2016,,,,,558.0,0.29,185.0,107.0,0.58,,,,,,,,,
,,2016 - 2017,,,,739.0,434.0,0.59,137.0,89.0,0.65,,,,,,,,,
,,2017 - 2018,,,,368.0,327.0,0.89,110.0,69.0,0.63,,,,,,,,,
,,2018 - 2019,,,,400.0,359.0,0.9,208.0,164.0,0.79,,,,,,,,,
,,2019 - 2020,,,,313.0,343.0,1.1,123.0,88.0,0.72,,,,,,,,,
,,2020 - 2021,,,,346.0,423.0,1.22,185.0,140.0,0.76,,,,,,,,,
,,2021 - 2022,,,,562.0,631.0,1.12,138.0,101.0,0.73,,,,,,,,,
,,2022 - 2023,,,,741.0,973.0,1.31,180.0,161.0,0.89,,,,,,,,,
,Bahraich,2000 - 2001,225.0,103.0,0.46,,288.0,0.23,,,,,,,,,,,,
,,2001 - 2002,263.0,129.0,0.49,,532.0,0.36,,,,,,,,,,,,
,,2002 - 2003,,,,781.0,168.0,0.22,218.0,116.0,0.53,,,,,,,,,
,,2003 - 2004,,,,903.0,264.0,0.29,279.0,137.0,0.49,,,,,,,,,
,,2007 - 2008,,,,,646.0,0.44,554.0,311.0,0.56,,,,,,,,,
,,2008 - 2009,,,,,621.0,0.54,327.0,204.0,0.62,,,,,,,,,
,,2009 - 2010,,,,,507.0,0.38,385.0,239.0,0.62,,,,,,,,,
,,2010 - 2011,,,,,952.0,0.68,721.0,449.0,0.62,,,,,,,,,
,,2011 - 2012,,,,,920.0,0.67,352.0,234.0,0.66,,,,,,,,,
,,2012 - 2013,,,,,939.0,0.66,394.0,273.0,0.69,,,,,,,,,
,,2013 - 2014,,,,,554.0,0.45,284.0,164.0,0.58,,,,,,,,,
,,2014 - 2015,,,,,756.0,0.54,296.0,160.0,0.54,,,,,,,,,
,,2015 - 2016,,,,,312.0,0.29,773.0,446.0,0.58,,,,,,,,,
,,2016 - 2017,,,,,707.0,0.54,385.0,251.0,0.65,,,,,,,,,
,,2017 - 2018,,,,,661.0,0.5,263.0,166.0,0.63,,,,,,,,,
,,2018 - 2019,,,,,686.0,0.56,251.0,197.0,0.78,,,,,,,,,
,,2019 - 2020,,,,,498.0,0.41,325.0,233.0,0.72,,,,,,,,,
,,2020 - 2021,,,,,781.0,0.56,297.0,225.0,0.76,,,,,,,,,
,,2021 - 2022,,,,,673.0,0.5,268.0,197.0,0.74,,,,,,,,,
,,2022 - 2023,,,,,885.0,0.5,723.0,647.0,0.89,,,,,,,,,
,Ballia,2000 - 2001,11.0,5.0,0.45,7.0,3.0,0.43,,,,,,,,,,,,
,,2001 - 2002,10.0,5.0,0.5,20.0,8.0,0.4,,,,,,,,,,,,
,,2002 - 2003,,,,5.0,2.0,0.4,6.0,3.0,0.5,,,,,,,,,
,,2003 - 2004,,,,10.0,2.0,0.2,11.0,5.0,0.45,,,,,,,,,
,,2007 - 2008,,,,4.0,2.0,0.5,2.0,1.0,0.5,,,,,,,,,
,,2008 - 2009,,,,1.0,1.0,1.0,17.0,11.0,0.65,,,,,,,,,
,,2009 - 2010,,,,1.0,1.0,1.0,9.0,6.0,0.67,,,,,,,,,
,,2010 - 2011,,,,1.0,1.0,1.0,36.0,22.0,0.61,,,,,,,,,
,,2011 - 2012,,,,61.0,41.0,0.67,33.0,22.0,0.67,,,,,,,,,
,,2012 - 2013,,,,,,,31.0,21.0,0.68,,,,,,,,,
,,2013 - 2014,,,,5.0,2.0,0.4,22.0,13.0,0.59,,,,,,,,,
,,2014 - 2015,,,,4.0,2.0,0.5,9.0,5.0,0.56,,,,,,,,,
,,2015 - 2016,,,,4.0,1.0,0.25,10.0,6.0,0.6,,,,,,,,,
,,2016 - 2017,,,,,,,22.0,15.0,0.68,,,,,,,,,
,,2017 - 2018,,,,,,,337.0,213.0,0.63,,,,,,,,,
,,2018 - 2019,,,,,,,28.0,22.0,0.79,,,,,,,,,
,,2020 - 2021,,,,,,,14.0,11.0,0.79,,,,,,,,,
,,2021 - 2022,,,,,,,22.0,16.0,0.73,,,,,,,,,
,,2022 - 2023,,,,212.0,106.0,0.5,9.0,8.0,0.89,,,,,,,,,
,Balrampur,2000 - 2001,8.0,4.0,0.5,,439.0,0.23,,,,,,,,,,,,
,,2001 - 2002,10.0,5.0,0.5,,696.0,0.36,,,,,,,,,,,,
,,2002 - 2003,,,,,451.0,0.22,10.0,5.0,0.5,,,,,,,,,
,,2003 - 2004,,,,,615.0,0.29,13.0,6.0,0.46,,,,,,,,,
,,2007 - 2008,,,,,788.0,0.44,27.0,15.0,0.56,,,,,,,,,
,,2008 - 2009,,,,,797.0,0.54,23.0,14.0,0.61,,,,,,,,,
,,2009 - 2010,,,,,699.0,0.38,31.0,19.0,0.61,,,,,,,,,
,,2010 - 2011,,,,,946.0,0.68,32.0,20.0,0.63,,,,,,,,,
,,2011 - 2012,,,,,,0.67,7.0,4.0,0.57,,,,,,,,,
,,2012 - 2013,,,,,990.0,0.66,33.0,23.0,0.7,,,,,,,,,
,,2013 - 2014,,,,,674.0,0.45,,,,,,,,,,,,
,,2014 - 2015,,,,,772.0,0.54,23.0,13.0,0.57,,,,,,,,,
,,2015 - 2016,,,,,392.0,0.29,42.0,24.0,0.57,,,,,,,,,
,,2016 - 2017,,,,,760.0,0.54,26.0,17.0,0.65,,,,,,,,,
,,2017 - 2018,,,,,789.0,0.5,28.0,18.0,0.64,,,,,,,,,
,,2018 - 2019,,,,,730.0,0.55,30.0,24.0,0.8,,,,,,,,,
,,2019 - 2020,,,,,519.0,0.41,28.0,20.0,0.71,,,,,,,,,
,,2020 - 2021,,,,,721.0,0.56,29.0,22.0,0.76,,,,,,,,,
,,2021 - 2022,,,,,686.0,0.5,21.0,15.0,0.71,,,,,,,,,
,,2022 - 2023,,,,,640.0,0.5,13.0,12.0,0.92,,,,,,,,,
,Banda,2000 - 2001,,,,,,0.34,,,,,,,,,,,,
,,2001 - 2002,,,,,,0.32,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.31,1.0,1.0,1.0,,,,,,,,,
,,2003 - 2004,,,,,,0.41,,,,,,,,,,,,
,,2007 - 2008,,,,,729.0,0.21,,,,,,,,,,,,
,,2008 - 2009,,,,,774.0,0.2,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.22,,,,,,,,,,,,
,,2010 - 2011,,,,,,0.34,3.0,2.0,0.67,,,,,,,,,
,,2011 - 2012,,,,,,0.28,2.0,1.0,0.5,,,,,,,,,
,,2012 - 2013,,,,,,0.45,,,,,,,,,,,,
,,2013 - 2014,,,,,,0.43,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.32,11.0,6.0,0.55,,,,,,,,,
,,2015 - 2016,,,,,605.0,0.16,9.0,5.0,0.56,,,,,,,,,
,,2016 - 2017,,,,,,0.32,1.0,1.0,1.0,,,,,,,,,
,,2017 - 2018,,,,,,0.59,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.54,1.0,1.0,1.0,,,,,,,,,
,,2019 - 2020,,,,,,0.67,1.0,1.0,1.0,,,,,,,,,
,,2020 - 2021,,,,,,0.53,1.0,1.0,1.0,,,,,,,,,
,,2021 - 2022,,,,,,0.6,,,,,,,,,,,,
,,2022 - 2023,,,,,,0.55,2.0,2.0,1.0,,,,,,,,,
,Barabanki,2000 - 2001,,,0.43,,,0.44,,,,,,,,,,,,
,,2001 - 2002,,,0.43,,,0.41,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.59,,,0.5,,,,,,,,,
,,2003 - 2004,,,,,,0.68,,769.0,0.23,,,,,,,,,
,,2007 - 2008,,,,,,0.67,,,0.48,,,,,,,,,
,,2008 - 2009,,,,,,0.54,,808.0,0.43,,,,,,,,,
,,2009 - 2010,,,,,,0.57,,570.0,0.37,,,,,,,,,
,,2010 - 2011,,,,,,0.62,,652.0,0.47,,,,,,,,,
,,2011 - 2012,,,,,,0.5,708.0,411.0,0.58,,,,,,,,,
,,2012 - 2013,,,,,,0.59,891.0,431.0,0.48,,,,,,,,,
,,2013 - 2014,,,,,,0.49,618.0,278.0,0.45,,,,,,,,,
,,2014 - 2015,,,,,,0.52,456.0,172.0,0.38,,,,,,,,,
,,2015 - 2016,,,,,,0.16,563.0,274.0,0.49,,,,,,,,,
,,2016 - 2017,,,,,,0.44,,464.0,0.42,,,,,,,,,
,,2017 - 2018,,,,,,0.41,827.0,367.0,0.44,,,,,,,,,
,,2018 - 2019,,,,,,0.39,932.0,734.0,0.79,,,,,,,,,
,,2019 - 2020,,,,,,0.44,946.0,861.0,0.91,,,,,,,,,
,,2020 - 2021,,,,,,0.47,,980.0,0.96,,,,,,,,,
,,2021 - 2022,,,,,,0.46,849.0,390.0,0.46,,,,,,,,,
,,2022 - 2023,,,,,,0.32,722.0,305.0,0.42,,,,,,,,,
,Bareilly,2000 - 2001,15.0,7.0,0.47,986.0,693.0,0.7,,,,,,,,,,,,
,,2001 - 2002,15.0,7.0,0.47,,,0.5,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.58,17.0,9.0,0.53,,,,,,,,,
,,2003 - 2004,,,,,,0.46,12.0,6.0,0.5,,,,,,,,,
,,2007 - 2008,,,,,,0.94,12.0,7.0,0.58,,,,,,,,,
,,2008 - 2009,,,,,,0.8,7.0,4.0,0.57,,,,,,,,,
,,2009 - 2010,,,,,,0.83,7.0,4.0,0.57,,,,,,,,,
,,2010 - 2011,,,,,,0.51,6.0,4.0,0.67,,,,,,,,,
,,2011 - 2012,,,,,,0.88,1.0,1.0,1.0,,,,,,,,,
,,2012 - 2013,,,,,,0.7,,,,,,,,,,,,
,,2013 - 2014,,,,,,0.49,77.0,45.0,0.58,,,,,,,,,
,,2014 - 2015,,,,,,0.65,26.0,14.0,0.54,,,,,,,,,
,,2015 - 2016,,,,,,0.33,59.0,34.0,0.58,,,,,,,,,
,,2016 - 2017,,,,,,0.64,127.0,83.0,0.65,,,,,,,,,
,,2017 - 2018,,,,,,0.54,77.0,49.0,0.64,,,,,,,,,
,,2018 - 2019,,,,,,1.34,79.0,62.0,0.78,,,,,,,,,
,,2019 - 2020,,,,,,1.34,,,,,,,,,,,,
