state,district,year,urad_rabi_area_hectare,urad_rabi_production_tonne,urad_rabi_yield_tonne_per_hectare,urad_kharif_area_hectare,urad_kharif_production_tonne,urad_kharif_yield_tonne_per_hectare,urad_summer_area_hectare,urad_summer_production_tonne,urad_summer_yield_tonne_per_hectare,urad_autumn_area_hectare,urad_autumn_production_tonne,urad_autumn_yield_tonne_per_hectare,urad_whole_year_area_hectare,urad_whole_year_production_tonne,urad_whole_year_yield_tonne_per_hectare,urad_winter_area_hectare,urad_winter_production_tonne,urad_winter_yield_tonne_per_hectare
,,2017 - 2018,,,0.33,,,0.44,,,,,,,,,,,,
,,2018 - 2019,,,0.4,,648.0,0.4,,,,,,,,,,,,
,,2019 - 2020,,,0.99,,,1.05,,,,,,,,,,,,
,,2020 - 2021,,,0.42,,,0.5,,,,,,,,,,,,
,,2021 - 2022,,,0.7,,,0.59,,,,,,,,,,,,
,,2022 - 2023,,,0.44,,,0.95,,,,,,,,,,,,
,Spsr nellore,2000 - 2001,,,0.8,456.0,27.0,0.06,,,,,,,,,,,,
,,2001 - 2002,,,0.68,274.0,99.0,0.36,,,,,,,,,,,,
,,2002 - 2003,,,0.27,114.0,6.0,0.05,,,,,,,,,,,,
,,2003 - 2004,,,0.31,40.0,25.0,0.63,,,,,,,,,,,,
,,2004 - 2005,,,0.55,9.0,4.0,0.44,,,,,,,,,,,,
,,2005 - 2006,,,0.61,118.0,41.0,0.35,,,,,,,,,,,,
,,2006 - 2007,,,0.64,94.0,36.0,0.38,,,,,,,,,,,,
,,2007 - 2008,,,0.44,,,0.6,,,,,,,,,,,,
,,2008 - 2009,,,0.49,319.0,116.0,0.36,,,,,,,,,,,,
,,2009 - 2010,,,0.65,,419.0,0.29,,,,,,,,,,,,
,,2010 - 2011,,,0.44,,880.0,0.42,,,,,,,,,,,,
,,2011 - 2012,,,0.57,992.0,497.0,0.5,,,,,,,,,,,,
,,2012 - 2013,,,0.73,,,0.5,,,,,,,,,,,,
,,2013 - 2014,,,0.87,,,0.62,,,,,,,,,,,,
,,2014 - 2015,,,0.81,,,1.02,,,,,,,,,,,,
,,2015 - 2016,,,0.42,,,0.49,,,,,,,,,,,,
,,2016 - 2017,,,0.15,,420.0,0.31,,,,,,,,,,,,
,,2017 - 2018,,,0.68,,,0.77,,,,,,,,,,,,
,,2018 - 2019,,,0.41,,,0.53,,,,,,,,,,,,
,,2019 - 2020,,,0.79,29.0,23.0,0.79,,,,,,,,,,,,
,,2020 - 2021,,,0.1,447.0,16.0,0.04,,,,,,,,,,,,
,,2021 - 2022,,,0.66,334.0,349.0,1.04,,,,,,,,,,,,
,,2022 - 2023,,,0.99,230.0,249.0,1.08,,,,,,,,,,,,
,Sri sathya sai,2022 - 2023,6.0,8.0,1.33,12.0,9.0,0.75,,,,,,,,,,,,
,Srikakulam,2000 - 2001,,,0.35,160.0,9.0,0.06,,,,,,,,,,,,
,,2001 - 2002,,,0.51,131.0,47.0,0.36,,,,,,,,,,,,
,,2002 - 2003,,,0.3,140.0,7.0,0.05,,,,,,,,,,,,
,,2003 - 2004,,,0.49,670.0,413.0,0.62,,,,,,,,,,,,
,,2004 - 2005,,,0.36,463.0,223.0,0.48,,,,,,,,,,,,
,,2005 - 2006,,,0.37,616.0,212.0,0.34,,,,,,,,,,,,
,,2006 - 2007,,,0.43,619.0,237.0,0.38,,,,,,,,,,,,
,,2007 - 2008,,,0.49,,,0.0,,,,,,,,,,,,
,,2008 - 2009,,,0.57,589.0,214.0,0.36,,,,,,,,,,,,
,,2009 - 2010,,,0.52,593.0,175.0,0.3,,,,,,,,,,,,
,,2010 - 2011,,,0.62,,565.0,0.42,,,,,,,,,,,,
,,2011 - 2012,,,0.58,,627.0,0.5,,,,,,,,,,,,
,,2012 - 2013,,,0.5,,,0.0,,,,,,,,,,,,
,,2013 - 2014,,,0.56,640.0,400.0,0.63,,,,,,,,,,,,
,,2014 - 2015,,,0.52,465.0,477.0,1.03,,,,,,,,,,,,
,,2015 - 2016,,,0.64,143.0,90.0,0.63,,,,,,,,,,,,
,,2016 - 2017,,,0.5,194.0,124.0,0.64,,,,,,,,,,,,
,,2017 - 2018,,,0.53,130.0,109.0,0.84,,,,,,,,,,,,
,,2018 - 2019,,,0.56,269.0,208.0,0.77,,,,,,,,,,,,
,,2019 - 2020,,,0.48,165.0,166.0,1.01,,,,,,,,,,,,
,,2020 - 2021,,,0.51,35.0,27.0,0.77,,,,,,,,,,,,
,,2021 - 2022,,,0.56,101.0,70.0,0.69,,,,,,,,,,,,
,,2022 - 2023,,,0.73,30.0,32.0,1.07,,,,,,,,,,,,
,Tirupati,2022 - 2023,746.0,379.0,0.51,32.0,24.0,0.75,,,,,,,,,,,,
,Visakhapatanam,2000 - 2001,,,0.8,,139.0,0.06,,,,,,,,,,,,
,,2001 - 2002,,,0.68,,,0.36,,,,,,,,,,,,
