state,district,year,sesamum_summer_area_hectare,sesamum_summer_production_tonne,sesamum_summer_yield_tonne_per_hectare,sesamum_rabi_area_hectare,sesamum_rabi_production_tonne,sesamum_rabi_yield_tonne_per_hectare,sesamum_kharif_area_hectare,sesamum_kharif_production_tonne,sesamum_kharif_yield_tonne_per_hectare,sesamum_winter_area_hectare,sesamum_winter_production_tonne,sesamum_winter_yield_tonne_per_hectare,sesamum_whole_year_area_hectare,sesamum_whole_year_production_tonne,sesamum_whole_year_yield_tonne_per_hectare,sesamum_autumn_area_hectare,sesamum_autumn_production_tonne,sesamum_autumn_yield_tonne_per_hectare
,,2015 - 2016,,,,,,0.48,,,0.14,,,,,,,,,
,,2016 - 2017,,,,,539.0,0.2,,,0.17,,,,,,,,,
,,2017 - 2018,,,,,463.0,0.25,,,0.25,,,,,,,,,
,,2018 - 2019,,,,,213.0,0.08,,538.0,0.26,,,,,,,,,
,,2019 - 2020,,,,,,0.44,716.0,298.0,0.42,,,,,,,,,
,,2020 - 2021,,,,,427.0,0.16,,577.0,0.14,,,,,,,,,
,,2021 - 2022,,,,,683.0,0.21,,866.0,0.2,,,,,,,,,
,,2022 - 2023,,,,,255.0,0.25,,988.0,0.19,,,,,,,,,
,Spsr nellore,2000 - 2001,,,,442.0,92.0,0.21,,,0.23,,,,,,,,,
,,2001 - 2002,,,,250.0,64.0,0.26,,318.0,0.17,,,,,,,,,
,,2002 - 2003,,,,596.0,108.0,0.18,,281.0,0.1,,,,,,,,,
,,2003 - 2004,,,,,399.0,0.21,,305.0,0.29,,,,,,,,,
,,2004 - 2005,,,,219.0,52.0,0.24,,,0.1,,,,,,,,,
,,2005 - 2006,,,,350.0,80.0,0.23,,697.0,0.17,,,,,,,,,
,,2006 - 2007,,,,205.0,41.0,0.2,,380.0,0.18,,,,,,,,,
,,2007 - 2008,,,,,,,,,0.33,,,,,,,,,
,,2008 - 2009,,,,582.0,104.0,0.18,,635.0,0.39,,,,,,,,,
,,2009 - 2010,,,,,230.0,0.2,,720.0,0.41,,,,,,,,,
,,2010 - 2011,,,,453.0,103.0,0.23,,,0.41,,,,,,,,,
,,2011 - 2012,,,,622.0,134.0,0.22,,448.0,0.23,,,,,,,,,
,,2012 - 2013,,,,,,,,,0.0,,,,,,,,,
,,2013 - 2014,,,,,311.0,0.21,666.0,126.0,0.19,,,,,,,,,
,,2014 - 2015,,,,,900.0,0.19,757.0,111.0,0.15,,,,,,,,,
,,2015 - 2016,,,,989.0,314.0,0.32,,388.0,0.33,,,,,,,,,
,,2016 - 2017,,,,,,0.22,,,0.51,,,,,,,,,
,,2017 - 2018,,,,545.0,160.0,0.29,360.0,31.0,0.09,,,,,,,,,
,,2018 - 2019,,,,,355.0,0.13,561.0,80.0,0.14,,,,,,,,,
,,2019 - 2020,,,,,363.0,0.22,138.0,87.0,0.63,,,,,,,,,
,,2020 - 2021,,,,647.0,194.0,0.3,,531.0,0.39,,,,,,,,,
,,2021 - 2022,,,,614.0,154.0,0.25,140.0,43.0,0.31,,,,,,,,,
,,2022 - 2023,,,,673.0,232.0,0.34,,378.0,0.18,,,,,,,,,
,Sri sathya sai,2022 - 2023,,,,2.0,1.0,0.5,1.0,0.35,0.35,,,,,,,,,
,Srikakulam,2000 - 2001,,,,,604.0,0.16,,466.0,0.23,,,,,,,,,
,,2001 - 2002,,,,,,0.26,,552.0,0.17,,,,,,,,,
,,2002 - 2003,,,,,462.0,0.19,,201.0,0.1,,,,,,,,,
,,2003 - 2004,,,,,989.0,0.19,,494.0,0.29,,,,,,,,,
,,2004 - 2005,,,,,859.0,0.17,,212.0,0.1,,,,,,,,,
,,2005 - 2006,,,,,639.0,0.12,,432.0,0.17,,,,,,,,,
,,2006 - 2007,,,,,729.0,0.16,,235.0,0.12,,,,,,,,,
,,2007 - 2008,,,,,,0.17,,,0.0,,,,,,,,,
,,2008 - 2009,,,,,561.0,0.15,,299.0,0.1,,,,,,,,,
,,2009 - 2010,,,,,680.0,0.14,,302.0,0.13,,,,,,,,,
,,2010 - 2011,,,,,975.0,0.16,,268.0,0.16,,,,,,,,,
,,2011 - 2012,,,,,618.0,0.16,,558.0,0.23,,,,,,,,,
,,2012 - 2013,,,,,,0.33,,,0.0,,,,,,,,,
,,2013 - 2014,,,,,525.0,0.13,,254.0,0.21,,,,,,,,,
,,2014 - 2015,,,,,672.0,0.1,322.0,46.0,0.14,,,,,,,,,
,,2015 - 2016,,,,,927.0,0.22,845.0,111.0,0.13,,,,,,,,,
,,2016 - 2017,,,,,791.0,0.23,183.0,26.0,0.14,,,,,,,,,
,,2017 - 2018,,,,,,0.2,91.0,13.0,0.14,,,,,,,,,
,,2018 - 2019,,,,,,0.15,120.0,18.0,0.15,,,,,,,,,
,,2019 - 2020,,,,,,0.2,62.0,10.0,0.16,,,,,,,,,
,,2020 - 2021,,,,,,0.19,43.0,6.0,0.14,,,,,,,,,
,,2021 - 2022,,,,,928.0,0.13,12.0,2.0,0.17,,,,,,,,,
,,2022 - 2023,,,,,832.0,0.3,6.0,1.0,0.17,,,,,,,,,
,Tirupati,2022 - 2023,,,,516.0,124.0,0.24,424.0,147.0,0.35,,,,,,,,,
,Visakhapatanam,2000 - 2001,,,,,,0.26,,,0.27,,,,,,,,,
,,2001 - 2002,,,,,,0.25,,,0.15,,,,,,,,,
,,2002 - 2003,,,,,211.0,0.1,,807.0,0.12,,,,,,,,,
,,2003 - 2004,,,,,826.0,0.24,,540.0,0.15,,,,,,,,,
,,2004 - 2005,,,,,930.0,0.3,,,0.26,,,,,,,,,
,,2005 - 2006,,,,,682.0,0.31,,869.0,0.15,,,,,,,,,
,,2006 - 2007,,,,,511.0,0.21,,,0.17,,,,,,,,,
,,2007 - 2008,,,,,,0.33,,,0.2,,,,,,,,,
,,2008 - 2009,,,,,692.0,0.26,,,0.23,,,,,,,,,
,,2009 - 2010,,,,,306.0,0.17,,427.0,0.17,,,,,,,,,
,,2010 - 2011,,,,,484.0,0.21,,713.0,0.17,,,,,,,,,
,,2011 - 2012,,,,,387.0,0.15,,806.0,0.19,,,,,,,,,
,,2012 - 2013,,,,,,0.5,,,0.25,,,,,,,,,
,,2013 - 2014,,,,,776.0,0.21,,751.0,0.25,,,,,,,,,
,,2014 - 2015,,,,,597.0,0.19,,,0.26,,,,,,,,,
,,2015 - 2016,,,,,900.0,0.27,,502.0,0.16,,,,,,,,,
,,2016 - 2017,,,,,834.0,0.29,,439.0,0.18,,,,,,,,,
,,2017 - 2018,,,,,839.0,0.28,,337.0,0.18,,,,,,,,,
,,2018 - 2019,,,,,948.0,0.28,,388.0,0.18,,,,,,,,,
,,2019 - 2020,,,,,629.0,0.27,996.0,113.0,0.11,,,,,,,,,
,,2020 - 2021,,,,,519.0,0.25,,458.0,0.22,,,,,,,,,
,,2021 - 2022,,,,,675.0,0.26,,156.0,0.1,,,,,,,,,
,,2022 - 2023,,,,101.0,30.0,0.3,413.0,80.0,0.19,,,,,,,,,
,Vizianagaram,2000 - 2001,,,,,725.0,0.2,,,0.27,,,,,,,,,
,,2001 - 2002,,,,,,0.27,,,0.17,,,,,,,,,
,,2002 - 2003,,,,,811.0,0.21,,,0.11,,,,,,,,,
,,2003 - 2004,,,,,,0.19,,,0.16,,,,,,,,,
,,2004 - 2005,,,,,,0.26,,,0.12,,,,,,,,,
,,2005 - 2006,,,,,,0.32,,,0.13,,,,,,,,,
,,2006 - 2007,,,,,442.0,0.29,,,0.18,,,,,,,,,
,,2007 - 2008,,,,,,0.2,,,0.08,,,,,,,,,
,,2008 - 2009,,,,,207.0,0.12,,,0.1,,,,,,,,,
,,2009 - 2010,,,,,,0.24,,,0.26,,,,,,,,,
,,2010 - 2011,,,,,,0.3,,,0.12,,,,,,,,,
,,2011 - 2012,,,,,,0.27,,,0.12,,,,,,,,,
,,2012 - 2013,,,,,,0.2,,,0.22,,,,,,,,,
,,2013 - 2014,,,,,,0.27,,,0.16,,,,,,,,,
,,2014 - 2015,,,,,,0.24,,,0.29,,,,,,,,,
,,2015 - 2016,,,,,,0.39,,,0.2,,,,,,,,,
,,2016 - 2017,,,,,,0.34,,,0.17,,,,,,,,,
,,2017 - 2018,,,,,,0.41,,761.0,0.17,,,,,,,,,
,,2018 - 2019,,,,,,0.27,,,0.27,,,,,,,,,
,,2019 - 2020,,,,,,0.32,,501.0,0.14,,,,,,,,,
,,2020 - 2021,,,,,,0.31,,,0.2,,,,,,,,,
,,2021 - 2022,,,,,,0.26,,,0.16,,,,,,,,,
,,2022 - 2023,,,,698.0,228.0,0.33,,,0.18,,,,,,,,,
,West godavari,2000 - 2001,,,,612.0,168.0,0.27,18.0,4.0,0.22,,,,,,,,,
,,2001 - 2002,,,,527.0,134.0,0.25,7.0,1.0,0.14,,,,,,,,,
,,2002 - 2003,,,,,184.0,0.18,12.0,1.0,0.08,,,,,,,,,
,,2003 - 2004,,,,,452.0,0.21,20.0,6.0,0.3,,,,,,,,,
,,2004 - 2005,,,,772.0,182.0,0.24,,,,,,,,,,,,
,,2005 - 2006,,,,766.0,175.0,0.23,6.0,1.0,0.17,,,,,,,,,
,,2006 - 2007,,,,742.0,147.0,0.2,27.0,7.0,0.26,,,,,,,,,
,,2007 - 2008,,,,,,0.0,,,,,,,,,,,,
,,2008 - 2009,,,,528.0,95.0,0.18,29.0,6.0,0.21,,,,,,,,,
,,2009 - 2010,,,,,406.0,0.2,4.0,1.0,0.25,,,,,,,,,
,,2010 - 2011,,,,916.0,209.0,0.23,43.0,7.0,0.16,,,,,,,,,
,,2011 - 2012,,,,,243.0,0.22,4.0,1.0,0.25,,,,,,,,,
,,2012 - 2013,,,,,,0.0,,,,,,,,,,,,
,,2013 - 2014,,,,489.0,103.0,0.21,12.0,5.0,0.42,,,,,,,,,
,,2014 - 2015,,,,727.0,137.0,0.19,61.0,17.0,0.28,,,,,,,,,
,,2015 - 2016,,,,572.0,227.0,0.4,65.0,11.0,0.17,,,,,,,,,
,,2016 - 2017,,,,528.0,151.0,0.29,16.0,4.0,0.25,,,,,,,,,
,,2017 - 2018,,,,381.0,116.0,0.3,31.0,7.0,0.23,,,,,,,,,
,,2018 - 2019,,,,364.0,112.0,0.31,10.0,3.0,0.3,,,,,,,,,
,,2019 - 2020,,,,188.0,65.0,0.35,,,,,,,,,,,,
,,2020 - 2021,,,,172.0,51.0,0.3,1.0,0.0,0.0,,,,,,,,,
,,2021 - 2022,,,,226.0,53.0,0.23,9.0,2.0,0.22,,,,,,,,,
Arunachal Pradesh,Anjaw,2016 - 2017,,,,,,,62.0,11.0,0.18,,,,,,,,,
,,2017 - 2018,,,,,,,47.0,13.0,0.28,,,,,,,,,
