state,district,year,sesamum_summer_area_hectare,sesamum_summer_production_tonne,sesamum_summer_yield_tonne_per_hectare,sesamum_rabi_area_hectare,sesamum_rabi_production_tonne,sesamum_rabi_yield_tonne_per_hectare,sesamum_kharif_area_hectare,sesamum_kharif_production_tonne,sesamum_kharif_yield_tonne_per_hectare,sesamum_winter_area_hectare,sesamum_winter_production_tonne,sesamum_winter_yield_tonne_per_hectare,sesamum_whole_year_area_hectare,sesamum_whole_year_production_tonne,sesamum_whole_year_yield_tonne_per_hectare,sesamum_autumn_area_hectare,sesamum_autumn_production_tonne,sesamum_autumn_yield_tonne_per_hectare
,,2009 - 2010,,,,,,,,275.0,0.1,,,,,,,,,
,,2010 - 2011,,,,,,,,469.0,0.2,,,,,,,,,
,,2011 - 2012,,,,,,,,586.0,0.26,,,,,,,,,
,,2012 - 2013,,,,,,,,641.0,0.2,,,,,,,,,
,,2013 - 2014,,,,,,,,88.0,0.04,,,,,,,,,
,,2014 - 2015,,,,,,,,106.0,0.04,,,,,,,,,
,,2015 - 2016,,,,,,,,160.0,0.06,,,,,,,,,
,,2016 - 2017,,,,,,,,507.0,0.28,,,,,,,,,
,,2017 - 2018,,,,,,,,502.0,0.22,,,,,,,,,
,,2018 - 2019,,,,,,,,667.0,0.19,,,,,,,,,
,,2019 - 2020,,,,,,,,210.0,0.08,,,,,,,,,
,,2020 - 2021,,,,,,,,100.0,0.04,,,,,,,,,
,,2021 - 2022,,,,,,,,392.0,0.14,,,,,,,,,
,,2022 - 2023,,,,,,,,764.0,0.25,,,,,,,,,
,Kasganj,2009 - 2010,,,,,,,174.0,18.0,0.1,,,,,,,,,
,,2010 - 2011,,,,,,,713.0,141.0,0.2,,,,,,,,,
,,2011 - 2012,,,,,,,598.0,130.0,0.22,,,,,,,,,
,,2012 - 2013,,,,,,,586.0,110.0,0.19,,,,,,,,,
,,2013 - 2014,,,,,,,729.0,107.0,0.15,,,,,,,,,
,,2014 - 2015,,,,,,,,225.0,0.2,,,,,,,,,
,,2015 - 2016,,,,,,,872.0,264.0,0.3,,,,,,,,,
,,2016 - 2017,,,,,,,733.0,157.0,0.21,,,,,,,,,
,,2017 - 2018,,,,,,,543.0,160.0,0.29,,,,,,,,,
,,2018 - 2019,,,,,,,786.0,178.0,0.23,,,,,,,,,
,,2019 - 2020,,,,,,,798.0,147.0,0.18,,,,,,,,,
,,2020 - 2021,,,,,,,769.0,238.0,0.31,,,,,,,,,
,,2021 - 2022,,,,,,,985.0,224.0,0.23,,,,,,,,,
,,2022 - 2023,,,,,,,744.0,173.0,0.23,,,,,,,,,
,Kaushambi,2000 - 2001,,,,,,,,321.0,0.28,,,,,,,,,
,,2001 - 2002,,,,,,,864.0,225.0,0.26,,,,,,,,,
,,2002 - 2003,,,,,,,528.0,172.0,0.33,,,,,,,,,
,,2003 - 2004,,,,,,,,343.0,0.26,,,,,,,,,
,,2004 - 2005,,,,,,,,426.0,0.25,,,,,,,,,
,,2005 - 2006,,,,,,,696.0,177.0,0.25,,,,,,,,,
,,2006 - 2007,,,,,,,,500.0,0.16,,,,,,,,,
,,2007 - 2008,,,,,,,,462.0,0.23,,,,,,,,,
,,2008 - 2009,,,,,,,,210.0,0.11,,,,,,,,,
,,2009 - 2010,,,,,,,,694.0,0.29,,,,,,,,,
,,2010 - 2011,,,,,,,,617.0,0.2,,,,,,,,,
,,2011 - 2012,,,,,,,,333.0,0.25,,,,,,,,,
,,2012 - 2013,,,,,,,,266.0,0.2,,,,,,,,,
,,2013 - 2014,,,,,,,,261.0,0.17,,,,,,,,,
,,2014 - 2015,,,,,,,,234.0,0.15,,,,,,,,,
,,2015 - 2016,,,,,,,,255.0,0.16,,,,,,,,,
,,2016 - 2017,,,,,,,,183.0,0.18,,,,,,,,,
,,2017 - 2018,,,,,,,,212.0,0.15,,,,,,,,,
,,2018 - 2019,,,,,,,,174.0,0.12,,,,,,,,,
,,2019 - 2020,,,,,,,,253.0,0.12,,,,,,,,,
,,2020 - 2021,,,,,,,,547.0,0.29,,,,,,,,,
,,2021 - 2022,,,,,,,,453.0,0.27,,,,,,,,,
,,2022 - 2023,,,,,,,,176.0,0.13,,,,,,,,,
,Kheri,2000 - 2001,,,,,,,,,0.19,,,,,,,,,
,,2001 - 2002,,,,,,,,,0.25,,,,,,,,,
,,2002 - 2003,,,,,,,,642.0,0.14,,,,,,,,,
,,2003 - 2004,,,,,,,,257.0,0.06,,,,,,,,,
,,2004 - 2005,,,,,,,,545.0,0.12,,,,,,,,,
,,2005 - 2006,,,,,,,,537.0,0.13,,,,,,,,,
,,2006 - 2007,,,,,,,,295.0,0.09,,,,,,,,,
,,2007 - 2008,,,,,,,,426.0,0.12,,,,,,,,,
,,2008 - 2009,,,,,,,,306.0,0.07,,,,,,,,,
,,2009 - 2010,,,,,,,,520.0,0.1,,,,,,,,,
,,2010 - 2011,,,,,,,,,0.25,,,,,,,,,
,,2011 - 2012,,,,,,,,,0.25,,,,,,,,,
,,2012 - 2013,,,,,,,,826.0,0.23,,,,,,,,,
,,2013 - 2014,,,,,,,,857.0,0.25,,,,,,,,,
,,2014 - 2015,,,,,,,,707.0,0.22,,,,,,,,,
,,2015 - 2016,,,,,,,,,0.84,,,,,,,,,
,,2016 - 2017,,,,,,,,86.0,0.02,,,,,,,,,
,,2017 - 2018,,,,,,,,697.0,0.19,,,,,,,,,
,,2018 - 2019,,,,,,,,581.0,0.14,,,,,,,,,
,,2019 - 2020,,,,,,,,376.0,0.11,,,,,,,,,
,,2020 - 2021,,,,,,,,,0.32,,,,,,,,,
,,2021 - 2022,,,,,,,,992.0,0.18,,,,,,,,,
,,2022 - 2023,,,,,,,,,0.39,,,,,,,,,
,Kushi nagar,2000 - 2001,,,,,,,29.0,5.0,0.17,,,,,,,,,
,,2001 - 2002,,,,,,,30.0,8.0,0.27,,,,,,,,,
,,2002 - 2003,,,,,,,25.0,4.0,0.16,,,,,,,,,
,,2003 - 2004,,,,,,,19.0,3.0,0.16,,,,,,,,,
,,2004 - 2005,,,,,,,69.0,11.0,0.16,,,,,,,,,
,,2005 - 2006,,,,,,,22.0,4.0,0.18,,,,,,,,,
,,2006 - 2007,,,,,,,104.0,18.0,0.17,,,,,,,,,
,,2007 - 2008,,,,,,,112.0,17.0,0.15,,,,,,,,,
,,2008 - 2009,,,,,,,96.0,16.0,0.17,,,,,,,,,
,,2009 - 2010,,,,,,,84.0,9.0,0.11,,,,,,,,,
,,2010 - 2011,,,,,,,196.0,38.0,0.19,,,,,,,,,
,,2011 - 2012,,,,,,,69.0,15.0,0.22,,,,,,,,,
,,2012 - 2013,,,,,,,63.0,12.0,0.19,,,,,,,,,
,,2013 - 2014,,,,,,,77.0,11.0,0.14,,,,,,,,,
,,2014 - 2015,,,,,,,73.0,15.0,0.21,,,,,,,,,
,,2015 - 2016,,,,,,,75.0,23.0,0.31,,,,,,,,,
,,2016 - 2017,,,,,,,123.0,26.0,0.21,,,,,,,,,
,,2017 - 2018,,,,,,,79.0,23.0,0.29,,,,,,,,,
,,2018 - 2019,,,,,,,69.0,16.0,0.23,,,,,,,,,
,,2019 - 2020,,,,,,,69.0,13.0,0.19,,,,,,,,,
,,2020 - 2021,,,,,,,55.0,17.0,0.31,,,,,,,,,
,,2021 - 2022,,,,,,,115.0,26.0,0.23,,,,,,,,,
,,2022 - 2023,,,,,,,90.0,21.0,0.23,,,,,,,,,
,Lalitpur,2000 - 2001,,,,,,,,828.0,0.21,,,,,,,,,
,,2001 - 2002,,,,,,,,455.0,0.13,,,,,,,,,
,,2002 - 2003,,,,,,,,109.0,0.04,,,,,,,,,
,,2003 - 2004,,,,,,,,642.0,0.17,,,,,,,,,
,,2004 - 2005,,,,,,,,,0.15,,,,,,,,,
,,2005 - 2006,,,,,,,,645.0,0.12,,,,,,,,,
,,2006 - 2007,,,,,,,,,0.16,,,,,,,,,
,,2007 - 2008,,,,,,,,914.0,0.15,,,,,,,,,
,,2008 - 2009,,,,,,,,,0.17,,,,,,,,,
,,2009 - 2010,,,,,,,,,0.3,,,,,,,,,
,,2010 - 2011,,,,,,,,,0.27,,,,,,,,,
,,2011 - 2012,,,,,,,,,0.22,,,,,,,,,
,,2012 - 2013,,,,,,,,,0.18,,,,,,,,,
,,2013 - 2014,,,,,,,,593.0,0.08,,,,,,,,,
,,2014 - 2015,,,,,,,,,0.17,,,,,,,,,
,,2015 - 2016,,,,,,,,931.0,0.13,,,,,,,,,
,,2016 - 2017,,,,,,,,,0.15,,,,,,,,,
,,2017 - 2018,,,,,,,,778.0,0.11,,,,,,,,,
,,2018 - 2019,,,,,,,,880.0,0.12,,,,,,,,,
,,2019 - 2020,,,,,,,,289.0,0.03,,,,,,,,,
,,2020 - 2021,,,,,,,,867.0,0.1,,,,,,,,,
,,2021 - 2022,,,,,,,,,0.11,,,,,,,,,
,,2022 - 2023,,,,,,,,866.0,0.1,,,,,,,,,
,Lucknow,2000 - 2001,,,,,,,944.0,123.0,0.13,,,,,,,,,
,,2001 - 2002,,,,,,,,230.0,0.21,,,,,,,,,
,,2002 - 2003,,,,,,,728.0,138.0,0.19,,,,,,,,,
,,2003 - 2004,,,,,,,736.0,94.0,0.13,,,,,,,,,
,,2004 - 2005,,,,,,,854.0,140.0,0.16,,,,,,,,,
,,2005 - 2006,,,,,,,722.0,114.0,0.16,,,,,,,,,
,,2006 - 2007,,,,,,,986.0,211.0,0.21,,,,,,,,,
,,2007 - 2008,,,,,,,678.0,142.0,0.21,,,,,,,,,
,,2008 - 2009,,,,,,,764.0,178.0,0.23,,,,,,,,,
,,2009 - 2010,,,,,,,926.0,198.0,0.21,,,,,,,,,
,,2010 - 2011,,,,,,,918.0,157.0,0.17,,,,,,,,,
,,2011 - 2012,,,,,,,620.0,104.0,0.17,,,,,,,,,
,,2012 - 2013,,,,,,,896.0,163.0,0.18,,,,,,,,,
,,2013 - 2014,,,,,,,877.0,176.0,0.2,,,,,,,,,
,,2014 - 2015,,,,,,,541.0,106.0,0.2,,,,,,,,,
,,2015 - 2016,,,,,,,468.0,271.0,0.58,,,,,,,,,
,,2016 - 2017,,,,,,,,,0.63,,,,,,,,,
,,2017 - 2018,,,,,,,844.0,360.0,0.43,,,,,,,,,
,,2018 - 2019,,,,,,,789.0,216.0,0.27,,,,,,,,,
,,2019 - 2020,,,,,,,,597.0,0.35,,,,,,,,,
,,2020 - 2021,,,,,,,909.0,371.0,0.41,,,,,,,,,
,,2021 - 2022,,,,,,,,398.0,0.37,,,,,,,,,
,,2022 - 2023,,,,,,,854.0,337.0,0.39,,,,,,,,,
,Maharajganj,2000 - 2001,,,,,,,52.0,8.0,0.15,,,,,,,,,
,,2001 - 2002,,,,,,,81.0,20.0,0.25,,,,,,,,,
,,2002 - 2003,,,,,,,90.0,14.0,0.16,,,,,,,,,
,,2003 - 2004,,,,,,,85.0,11.0,0.13,,,,,,,,,
,,2004 - 2005,,,,,,,133.0,22.0,0.17,,,,,,,,,
,,2005 - 2006,,,,,,,1.0,,0.0,,,,,,,,,
,,2006 - 2007,,,,,,,133.0,22.0,0.17,,,,,,,,,
,,2007 - 2008,,,,,,,214.0,33.0,0.15,,,,,,,,,
,,2008 - 2009,,,,,,,3.0,1.0,0.33,,,,,,,,,
,,2009 - 2010,,,,,,,108.0,11.0,0.1,,,,,,,,,
,,2010 - 2011,,,,,,,50.0,10.0,0.2,,,,,,,,,
,,2011 - 2012,,,,,,,48.0,10.0,0.21,,,,,,,,,
,,2012 - 2013,,,,,,,74.0,14.0,0.19,,,,,,,,,
,,2013 - 2014,,,,,,,83.0,12.0,0.14,,,,,,,,,
,,2014 - 2015,,,,,,,35.0,7.0,0.2,,,,,,,,,
,,2015 - 2016,,,,,,,152.0,46.0,0.3,,,,,,,,,
,,2016 - 2017,,,,,,,67.0,15.0,0.22,,,,,,,,,
,,2017 - 2018,,,,,,,147.0,43.0,0.29,,,,,,,,,
,,2018 - 2019,,,,,,,64.0,14.0,0.22,,,,,,,,,
,,2019 - 2020,,,,,,,51.0,9.0,0.18,,,,,,,,,
,,2020 - 2021,,,,,,,50.0,15.0,0.3,,,,,,,,,
,,2021 - 2022,,,,,,,110.0,25.0,0.23,,,,,,,,,
,,2022 - 2023,,,,,,,94.0,22.0,0.23,,,,,,,,,
,Mahoba,2000 - 2001,,,,,,,,745.0,0.12,,,,,,,,,
,,2001 - 2002,,,,,,,,403.0,0.09,,,,,,,,,
,,2002 - 2003,,,,,,,,309.0,0.11,,,,,,,,,
,,2003 - 2004,,,,,,,,302.0,0.07,,,,,,,,,
,,2004 - 2005,,,,,,,,763.0,0.1,,,,,,,,,
,,2005 - 2006,,,,,,,,409.0,0.09,,,,,,,,,
,,2006 - 2007,,,,,,,,,0.16,,,,,,,,,
,,2007 - 2008,,,,,,,,798.0,0.08,,,,,,,,,
,,2008 - 2009,,,,,,,,,0.11,,,,,,,,,
,,2009 - 2010,,,,,,,,,0.05,,,,,,,,,
,,2010 - 2011,,,,,,,,,0.13,,,,,,,,,
,,2011 - 2012,,,,,,,,,0.12,,,,,,,,,
,,2012 - 2013,,,,,,,,,0.13,,,,,,,,,
,,2013 - 2014,,,,,,,,,0.11,,,,,,,,,
,,2014 - 2015,,,,,,,,,0.09,,,,,,,,,
,,2015 - 2016,,,,,,,,,0.11,,,,,,,,,
,,2016 - 2017,,,,,,,,,0.07,,,,,,,,,
,,2017 - 2018,,,,,,,,,0.26,,,,,,,,,
,,2018 - 2019,,,,,,,,,0.59,,,,,,,,,
,,2019 - 2020,,,,,,,,,0.09,,,,,,,,,
,,2020 - 2021,,,,,,,,,0.34,,,,,,,,,
,,2021 - 2022,,,,,,,,,0.13,,,,,,,,,
,,2022 - 2023,,,,,,,,,0.19,,,,,,,,,
,Mainpuri,2000 - 2001,,,,,,,196.0,46.0,0.23,,,,,,,,,
,,2001 - 2002,,,,,,,87.0,25.0,0.29,,,,,,,,,
,,2002 - 2003,,,,,,,21.0,3.0,0.14,,,,,,,,,
,,2003 - 2004,,,,,,,134.0,17.0,0.13,,,,,,,,,
,,2004 - 2005,,,,,,,78.0,13.0,0.17,,,,,,,,,
,,2005 - 2006,,,,,,,125.0,22.0,0.18,,,,,,,,,
,,2006 - 2007,,,,,,,78.0,13.0,0.17,,,,,,,,,
,,2007 - 2008,,,,,,,279.0,43.0,0.15,,,,,,,,,
,,2008 - 2009,,,,,,,257.0,42.0,0.16,,,,,,,,,
,,2009 - 2010,,,,,,,269.0,28.0,0.1,,,,,,,,,
,,2010 - 2011,,,,,,,236.0,46.0,0.19,,,,,,,,,
,,2011 - 2012,,,,,,,236.0,51.0,0.22,,,,,,,,,
,,2012 - 2013,,,,,,,297.0,56.0,0.19,,,,,,,,,
,,2013 - 2014,,,,,,,463.0,50.0,0.11,,,,,,,,,
,,2014 - 2015,,,,,,,86.0,8.0,0.09,,,,,,,,,
,,2015 - 2016,,,,,,,214.0,65.0,0.3,,,,,,,,,
,,2016 - 2017,,,,,,,531.0,69.0,0.13,,,,,,,,,
,,2017 - 2018,,,,,,,391.0,44.0,0.11,,,,,,,,,
,,2018 - 2019,,,,,,,318.0,35.0,0.11,,,,,,,,,
,,2019 - 2020,,,,,,,427.0,50.0,0.12,,,,,,,,,
,,2020 - 2021,,,,,,,451.0,116.0,0.26,,,,,,,,,
,,2021 - 2022,,,,,,,614.0,23.0,0.04,,,,,,,,,
,,2022 - 2023,,,,,,,365.0,49.0,0.13,,,,,,,,,
,Mathura,2000 - 2001,,,,,,,,290.0,0.23,,,,,,,,,
,,2001 - 2002,,,,,,,,474.0,0.29,,,,,,,,,
,,2002 - 2003,,,,,,,473.0,76.0,0.16,,,,,,,,,
,,2003 - 2004,,,,,,,484.0,63.0,0.13,,,,,,,,,
,,2004 - 2005,,,,,,,488.0,78.0,0.16,,,,,,,,,
,,2005 - 2006,,,,,,,399.0,71.0,0.18,,,,,,,,,
,,2006 - 2007,,,,,,,488.0,82.0,0.17,,,,,,,,,
,,2007 - 2008,,,,,,,455.0,70.0,0.15,,,,,,,,,
,,2008 - 2009,,,,,,,462.0,76.0,0.16,,,,,,,,,
,,2009 - 2010,,,,,,,558.0,58.0,0.1,,,,,,,,,
,,2010 - 2011,,,,,,,644.0,126.0,0.2,,,,,,,,,
,,2011 - 2012,,,,,,,306.0,67.0,0.22,,,,,,,,,
,,2012 - 2013,,,,,,,419.0,79.0,0.19,,,,,,,,,
,,2013 - 2014,,,,,,,422.0,45.0,0.11,,,,,,,,,
,,2014 - 2015,,,,,,,561.0,54.0,0.1,,,,,,,,,
,,2015 - 2016,,,,,,,529.0,160.0,0.3,,,,,,,,,
,,2016 - 2017,,,,,,,528.0,69.0,0.13,,,,,,,,,
,,2017 - 2018,,,,,,,339.0,38.0,0.11,,,,,,,,,
,,2018 - 2019,,,,,,,470.0,52.0,0.11,,,,,,,,,
,,2019 - 2020,,,,,,,443.0,52.0,0.12,,,,,,,,,
,,2020 - 2021,,,,,,,646.0,167.0,0.26,,,,,,,,,
,,2021 - 2022,,,,,,,506.0,19.0,0.04,,,,,,,,,
,,2022 - 2023,,,,,,,444.0,59.0,0.13,,,,,,,,,
,Mau,2000 - 2001,,,,,,,17.0,3.0,0.18,,,,,,,,,
,,2001 - 2002,,,,,,,18.0,4.0,0.22,,,,,,,,,
,,2002 - 2003,,,,,,,11.0,2.0,0.18,,,,,,,,,
,,2003 - 2004,,,,,,,20.0,3.0,0.15,,,,,,,,,
,,2004 - 2005,,,,,,,24.0,4.0,0.17,,,,,,,,,
,,2005 - 2006,,,,,,,32.0,6.0,0.19,,,,,,,,,
,,2006 - 2007,,,,,,,22.0,4.0,0.18,,,,,,,,,
,,2008 - 2009,,,,,,,20.0,3.0,0.15,,,,,,,,,
,,2009 - 2010,,,,,,,10.0,1.0,0.1,,,,,,,,,
,,2010 - 2011,,,,,,,22.0,4.0,0.18,,,,,,,,,
,,2011 - 2012,,,,,,,27.0,6.0,0.22,,,,,,,,,
,,2012 - 2013,,,,,,,30.0,5.0,0.17,,,,,,,,,
,,2013 - 2014,,,,,,,19.0,3.0,0.16,,,,,,,,,
,,2014 - 2015,,,,,,,36.0,7.0,0.19,,,,,,,,,
,,2015 - 2016,,,,,,,24.0,7.0,0.29,,,,,,,,,
,,2016 - 2017,,,,,,,19.0,4.0,0.21,,,,,,,,,
,,2017 - 2018,,,,,,,17.0,5.0,0.29,,,,,,,,,
,,2018 - 2019,,,,,,,35.0,8.0,0.23,,,,,,,,,
,,2019 - 2020,,,,,,,30.0,6.0,0.2,,,,,,,,,
,,2020 - 2021,,,,,,,17.0,5.0,0.29,,,,,,,,,
,,2021 - 2022,,,,,,,26.0,6.0,0.23,,,,,,,,,
,,2022 - 2023,,,,,,,20.0,5.0,0.25,,,,,,,,,
,Meerut,2000 - 2001,,,,,,,4.0,1.0,0.25,,,,,,,,,
,,2001 - 2002,,,,,,,1.0,0.1,0.1,,,,,,,,,
,,2011 - 2012,,,,,,,2.0,1.0,0.5,,,,,,,,,
,,2014 - 2015,,,,,,,1.0,,0.0,,,,,,,,,
,,2015 - 2016,,,,,,,8.0,2.0,0.25,,,,,,,,,
,,2017 - 2018,,,,,,,1.0,,0.0,,,,,,,,,
,,2018 - 2019,,,,,,,4.0,1.0,0.25,,,,,,,,,
,,2019 - 2020,,,,,,,1.0,0.0,0.0,,,,,,,,,
,,2022 - 2023,,,,,,,1.0,0.0,0.0,,,,,,,,,
,Mirzapur,2000 - 2001,,,,,,,,215.0,0.14,,,,,,,,,
,,2001 - 2002,,,,,,,,177.0,0.13,,,,,,,,,
,,2002 - 2003,,,,,,,,94.0,0.09,,,,,,,,,
,,2003 - 2004,,,,,,,,256.0,0.21,,,,,,,,,
,,2004 - 2005,,,,,,,,247.0,0.14,,,,,,,,,
,,2005 - 2006,,,,,,,,179.0,0.13,,,,,,,,,
,,2006 - 2007,,,,,,,,142.0,0.1,,,,,,,,,
,,2007 - 2008,,,,,,,,216.0,0.13,,,,,,,,,
,,2008 - 2009,,,,,,,,216.0,0.19,,,,,,,,,
,,2009 - 2010,,,,,,,,211.0,0.13,,,,,,,,,
,,2010 - 2011,,,,,,,,155.0,0.09,,,,,,,,,
,,2011 - 2012,,,,,,,,138.0,0.08,,,,,,,,,
,,2012 - 2013,,,,,,,,137.0,0.09,,,,,,,,,
,,2013 - 2014,,,,,,,,157.0,0.11,,,,,,,,,
,,2014 - 2015,,,,,,,,347.0,0.23,,,,,,,,,
,,2015 - 2016,,,,,,,,210.0,0.15,,,,,,,,,
,,2016 - 2017,,,,,,,723.0,34.0,0.05,,,,,,,,,
,,2017 - 2018,,,,,,,,166.0,0.11,,,,,,,,,
,,2018 - 2019,,,,,,,,176.0,0.13,,,,,,,,,
,,2019 - 2020,,,,,,,,219.0,0.15,,,,,,,,,
,,2020 - 2021,,,,,,,,151.0,0.12,,,,,,,,,
,,2021 - 2022,,,,,,,,288.0,0.17,,,,,,,,,
,,2022 - 2023,,,,,,,,225.0,0.15,,,,,,,,,
,Moradabad,2000 - 2001,,,,,,,286.0,46.0,0.16,,,,,,,,,
,,2001 - 2002,,,,,,,454.0,113.0,0.25,,,,,,,,,
,,2002 - 2003,,,,,,,295.0,48.0,0.16,,,,,,,,,
,,2003 - 2004,,,,,,,364.0,47.0,0.13,,,,,,,,,
,,2004 - 2005,,,,,,,844.0,134.0,0.16,,,,,,,,,
,,2005 - 2006,,,,,,,280.0,50.0,0.18,,,,,,,,,
,,2006 - 2007,,,,,,,705.0,118.0,0.17,,,,,,,,,
,,2007 - 2008,,,,,,,,223.0,0.15,,,,,,,,,
,,2008 - 2009,,,,,,,885.0,146.0,0.16,,,,,,,,,
,,2009 - 2010,,,,,,,912.0,95.0,0.1,,,,,,,,,
,,2010 - 2011,,,,,,,751.0,148.0,0.2,,,,,,,,,
,,2011 - 2012,,,,,,,838.0,182.0,0.22,,,,,,,,,
,,2012 - 2013,,,,,,,17.0,3.0,0.18,,,,,,,,,
,,2013 - 2014,,,,,,,26.0,4.0,0.15,,,,,,,,,
,,2014 - 2015,,,,,,,36.0,7.0,0.19,,,,,,,,,
,,2015 - 2016,,,,,,,75.0,23.0,0.31,,,,,,,,,
,,2016 - 2017,,,,,,,16.0,4.0,0.25,,,,,,,,,
,,2017 - 2018,,,,,,,19.0,6.0,0.32,,,,,,,,,
,,2018 - 2019,,,,,,,24.0,5.0,0.21,,,,,,,,,
,,2019 - 2020,,,,,,,26.0,5.0,0.19,,,,,,,,,
,,2020 - 2021,,,,,,,26.0,8.0,0.31,,,,,,,,,
,,2021 - 2022,,,,,,,57.0,13.0,0.23,,,,,,,,,
,Muzaffarnagar,2000 - 2001,,,,,,,3.0,0.1,0.03,,,,,,,,,
,,2001 - 2002,,,,,,,2.0,1.0,0.5,,,,,,,,,
,,2003 - 2004,,,,,,,6.0,1.0,0.17,,,,,,,,,
,,2004 - 2005,,,,,,,11.0,2.0,0.18,,,,,,,,,
,,2006 - 2007,,,,,,,3.0,1.0,0.33,,,,,,,,,
,,2007 - 2008,,,,,,,4.0,1.0,0.25,,,,,,,,,
,,2008 - 2009,,,,,,,38.0,6.0,0.16,,,,,,,,,
,,2010 - 2011,,,,,,,6.0,1.0,0.17,,,,,,,,,
,,2011 - 2012,,,,,,,4.0,1.0,0.25,,,,,,,,,
,,2015 - 2016,,,,,,,1.0,,0.0,,,,,,,,,
,,2017 - 2018,,,,,,,1.0,0.0,0.0,,,,,,,,,
,,2018 - 2019,,,,,,,1.0,,0.0,,,,,,,,,
,,2019 - 2020,,,,,,,1.0,0.0,0.0,,,,,,,,,
,Pilibhit,2000 - 2001,,,,,,,488.0,51.0,0.1,,,,,,,,,
,,2001 - 2002,,,,,,,508.0,129.0,0.25,,,,,,,,,
,,2002 - 2003,,,,,,,544.0,39.0,0.07,,,,,,,,,
,,2003 - 2004,,,,,,,289.0,30.0,0.1,,,,,,,,,
,,2004 - 2005,,,,,,,633.0,134.0,0.21,,,,,,,,,
,,2005 - 2006,,,,,,,344.0,47.0,0.14,,,,,,,,,
,,2006 - 2007,,,,,,,702.0,85.0,0.12,,,,,,,,,
,,2007 - 2008,,,,,,,,148.0,0.11,,,,,,,,,
,,2008 - 2009,,,,,,,412.0,39.0,0.09,,,,,,,,,
,,2009 - 2010,,,,,,,,127.0,0.1,,,,,,,,,
,,2010 - 2011,,,,,,,835.0,113.0,0.14,,,,,,,,,
,,2011 - 2012,,,,,,,887.0,119.0,0.13,,,,,,,,,
,,2012 - 2013,,,,,,,,145.0,0.13,,,,,,,,,
,,2013 - 2014,,,,,,,863.0,93.0,0.11,,,,,,,,,
,,2014 - 2015,,,,,,,785.0,122.0,0.16,,,,,,,,,
,,2015 - 2016,,,,,,,977.0,189.0,0.19,,,,,,,,,
,,2016 - 2017,,,,,,,,307.0,0.17,,,,,,,,,
,,2017 - 2018,,,,,,,635.0,62.0,0.1,,,,,,,,,
,,2018 - 2019,,,,,,,,86.0,0.07,,,,,,,,,
,,2019 - 2020,,,,,,,778.0,67.0,0.09,,,,,,,,,
,,2020 - 2021,,,,,,,989.0,164.0,0.17,,,,,,,,,
,,2021 - 2022,,,,,,,,342.0,0.17,,,,,,,,,
,,2022 - 2023,,,,,,,,324.0,0.16,,,,,,,,,
,Pratapgarh,2000 - 2001,,,,,,,902.0,256.0,0.28,,,,,,,,,
,,2001 - 2002,,,,,,,831.0,217.0,0.26,,,,,,,,,
,,2002 - 2003,,,,,,,645.0,210.0,0.33,,,,,,,,,
,,2003 - 2004,,,,,,,408.0,107.0,0.26,,,,,,,,,
,,2004 - 2005,,,,,,,818.0,204.0,0.25,,,,,,,,,
,,2005 - 2006,,,,,,,408.0,104.0,0.25,,,,,,,,,
,,2006 - 2007,,,,,,,686.0,111.0,0.16,,,,,,,,,
,,2007 - 2008,,,,,,,709.0,163.0,0.23,,,,,,,,,
,,2008 - 2009,,,,,,,575.0,65.0,0.11,,,,,,,,,
,,2009 - 2010,,,,,,,,235.0,0.15,,,,,,,,,
,,2010 - 2011,,,,,,,706.0,144.0,0.2,,,,,,,,,
,,2011 - 2012,,,,,,,643.0,159.0,0.25,,,,,,,,,
,,2012 - 2013,,,,,,,649.0,129.0,0.2,,,,,,,,,
,,2013 - 2014,,,,,,,562.0,96.0,0.17,,,,,,,,,
,,2014 - 2015,,,,,,,603.0,92.0,0.15,,,,,,,,,
,,2015 - 2016,,,,,,,512.0,53.0,0.1,,,,,,,,,
,,2016 - 2017,,,,,,,541.0,66.0,0.12,,,,,,,,,
,,2017 - 2018,,,,,,,143.0,41.0,0.29,,,,,,,,,
,,2018 - 2019,,,,,,,593.0,126.0,0.21,,,,,,,,,
,,2019 - 2020,,,,,,,,178.0,0.17,,,,,,,,,
,,2020 - 2021,,,,,,,536.0,168.0,0.31,,,,,,,,,
,,2021 - 2022,,,,,,,855.0,47.0,0.05,,,,,,,,,
,,2022 - 2023,,,,,,,541.0,121.0,0.22,,,,,,,,,
,Rae bareli,2000 - 2001,,,,,,,,232.0,0.13,,,,,,,,,
,,2001 - 2002,,,,,,,,412.0,0.21,,,,,,,,,
,,2002 - 2003,,,,,,,,314.0,0.19,,,,,,,,,
,,2003 - 2004,,,,,,,,243.0,0.13,,,,,,,,,
,,2004 - 2005,,,,,,,,312.0,0.16,,,,,,,,,
,,2005 - 2006,,,,,,,,289.0,0.16,,,,,,,,,
,,2006 - 2007,,,,,,,,409.0,0.21,,,,,,,,,
,,2007 - 2008,,,,,,,,409.0,0.21,,,,,,,,,
,,2008 - 2009,,,,,,,,283.0,0.23,,,,,,,,,
,,2009 - 2010,,,,,,,,749.0,0.21,,,,,,,,,
,,2010 - 2011,,,,,,,,438.0,0.17,,,,,,,,,
,,2011 - 2012,,,,,,,,465.0,0.17,,,,,,,,,
