state,district,year,guar_seed_rabi_area_hectare,guar_seed_rabi_production_tonne,guar_seed_rabi_yield_tonne_per_hectare,guar_seed_kharif_area_hectare,guar_seed_kharif_production_tonne,guar_seed_kharif_yield_tonne_per_hectare,guar_seed_whole_year_area_hectare,guar_seed_whole_year_production_tonne,guar_seed_whole_year_yield_tonne_per_hectare
,,2015 - 2016,,,,,,,,,0.62
,,2016 - 2017,,,,,,,,,0.67
,,2017 - 2018,,,,,,,,,0.67
,,2018 - 2019,,,,,,,,,0.6
,,2019 - 2020,,,,,,1.08,,,
,,2020 - 2021,,,,,,1.31,,,
,,2021 - 2022,,,,,,1.24,,,
,,2022 - 2023,,,,720.0,,1.43,,,
,Surat,2008 - 2009,,,,,,,100.0,100.0,1.0
,,2010 - 2011,,,,,,,100.0,100.0,1.0
,,2011 - 2012,,,,,,,,,0.59
,,2013 - 2014,,,,,,,45.0,40.0,0.89
,,2014 - 2015,,,,,,,70.0,54.0,0.77
,,2015 - 2016,,,,,,,,,0.62
,,2016 - 2017,,,,,,,95.0,63.0,0.66
,,2017 - 2018,,,,,,,95.0,63.0,0.66
,,2018 - 2019,,,,,,,95.0,62.0,0.65
,,2019 - 2020,,,,133.0,97.0,0.73,,,
,,2020 - 2021,,,,32.0,21.0,0.66,,,
,,2021 - 2022,,,,40.0,26.0,0.65,,,
,,2022 - 2023,,,,21.0,15.0,0.71,,,
,Surendranagar,2012 - 2013,,,,,,,,600.0,0.55
,,2013 - 2014,,,,,,,,,0.89
,,2014 - 2015,,,,,,,,,0.77
,,2015 - 2016,,,,,,,,,0.62
,,2016 - 2017,,,,,,,,,0.71
,,2017 - 2018,,,,,,,822.0,547.0,0.67
,,2018 - 2019,,,,,,,,869.0,0.4
,,2019 - 2020,,,,65.0,47.0,0.72,,,
,,2020 - 2021,,,,210.0,137.0,0.65,,,
,,2021 - 2022,,,,436.0,285.0,0.65,,,
,,2022 - 2023,,,,191.0,136.0,0.71,,,
,Tapi,2020 - 2021,,,,35.0,23.0,0.66,,,
,Vadodara,2000 - 2001,,,,,,,,400.0,0.24
,,2001 - 2002,,,,,,,,600.0,0.43
,,2002 - 2003,,,,,,,200.0,100.0,0.5
,,2003 - 2004,,,,,,,800.0,600.0,0.75
,,2004 - 2005,,,,,,,500.0,400.0,0.8
,,2005 - 2006,,,,,,,400.0,200.0,0.5
,,2006 - 2007,,,,,,,400.0,200.0,0.5
,,2007 - 2008,,,,,,,700.0,500.0,0.71
,,2009 - 2010,,,,,,,400.0,100.0,0.25
,,2010 - 2011,,,,,,,300.0,200.0,0.67
,,2011 - 2012,,,,,,,500.0,300.0,0.6
,,2012 - 2013,,,,,,,600.0,400.0,0.67
,,2013 - 2014,,,,,,,,,0.89
,,2014 - 2015,,,,,,,325.0,251.0,0.77
,,2015 - 2016,,,,,,,,887.0,0.62
,,2016 - 2017,,,,,,,140.0,93.0,0.66
,,2017 - 2018,,,,,,,546.0,363.0,0.66
,,2018 - 2019,,,,,,,636.0,445.0,0.7
,,2019 - 2020,,,,263.0,192.0,0.73,,,
,,2020 - 2021,,,,303.0,197.0,0.65,,,
,,2021 - 2022,,,,165.0,108.0,0.65,,,
Haryana,Bhiwani,2012 - 2013,,,,,,,,,0.75
,,2017 - 2018,,,,,,0.81,,,
,,2018 - 2019,,,,,,0.81,,,
,,2019 - 2020,,,,,,0.9,,,
,,2020 - 2021,,,,,,,,,0.9
