state,district,year,linseed_rabi_area_hectare,linseed_rabi_production_tonne,linseed_rabi_yield_tonne_per_hectare,linseed_kharif_area_hectare,linseed_kharif_production_tonne,linseed_kharif_yield_tonne_per_hectare,linseed_whole_year_area_hectare,linseed_whole_year_production_tonne,linseed_whole_year_yield_tonne_per_hectare
,,2021 - 2022,35.0,18.0,0.51,,,,,,
,,2022 - 2023,35.0,18.0,0.51,,,,,,
,Jorhat,2009 - 2010,3.0,2.0,0.67,,,,,,
,,2010 - 2011,1.0,1.0,1.0,,,,,,
,,2011 - 2012,3.0,2.0,0.67,,,,,,
,,2012 - 2013,6.0,3.0,0.5,,,,,,
,,2013 - 2014,8.0,5.0,0.63,,,,,,
,,2014 - 2015,5.0,3.0,0.6,,,,,,
,,2015 - 2016,2.0,2.0,1.0,,,,,,
,,2016 - 2017,4.0,3.0,0.75,,,,,,
,,2017 - 2018,3.0,2.0,0.67,,,,,,
,,2018 - 2019,2.0,2.0,1.0,,,,,,
,,2019 - 2020,57.0,37.0,0.65,,,,,,
,,2020 - 2021,1.0,1.0,1.0,,,,,,
,,2021 - 2022,1.0,1.0,1.0,,,,,,
,,2022 - 2023,1.0,1.0,1.0,,,,,,
,Kamrup,2000 - 2001,771.0,336.0,0.44,,,,,,
,,2001 - 2002,747.0,324.0,0.43,,,,,,
,,2002 - 2003,547.0,245.0,0.45,,,,,,
,,2003 - 2004,515.0,231.0,0.45,,,,,,
,,2004 - 2005,441.0,206.0,0.47,,,,,,
,,2005 - 2006,378.0,183.0,0.48,,,,,,
,,2006 - 2007,156.0,74.0,0.47,,,,,,
,,2007 - 2008,283.0,138.0,0.49,,,,,,
,,2008 - 2009,262.0,127.0,0.48,,,,,,
,,2009 - 2010,182.0,88.0,0.48,,,,,,
,,2010 - 2011,162.0,82.0,0.51,,,,,,
,,2011 - 2012,158.0,83.0,0.53,,,,,,
,,2012 - 2013,158.0,86.0,0.54,,,,,,
,,2013 - 2014,157.0,89.0,0.57,,,,,,
,,2014 - 2015,159.0,101.0,0.64,,,,,,
,,2015 - 2016,142.0,75.0,0.53,,,,,,
,,2016 - 2017,131.0,68.0,0.52,,,,,,
,,2017 - 2018,125.0,64.0,0.51,,,,,,
,,2018 - 2019,117.0,61.0,0.52,,,,,,
,,2019 - 2020,107.0,58.0,0.54,,,,,,
,,2020 - 2021,317.0,171.0,0.54,,,,,,
,,2021 - 2022,324.0,175.0,0.54,,,,,,
,,2022 - 2023,288.0,89.0,0.31,,,,,,
,Kamrup metro,2005 - 2006,35.0,18.0,0.51,,,,,,
,,2006 - 2007,20.0,10.0,0.5,,,,,,
,,2007 - 2008,40.0,20.0,0.5,,,,,,
,,2008 - 2009,52.0,28.0,0.54,,,,,,
,,2009 - 2010,53.0,27.0,0.51,,,,,,
,,2010 - 2011,50.0,26.0,0.52,,,,,,
,,2011 - 2012,38.0,22.0,0.58,,,,,,
,,2012 - 2013,39.0,22.0,0.56,,,,,,
,,2013 - 2014,42.0,24.0,0.57,,,,,,
,,2014 - 2015,44.0,29.0,0.66,,,,,,
,,2015 - 2016,21.0,12.0,0.57,,,,,,
,,2016 - 2017,4.0,2.0,0.5,,,,,,
