state,district,year,gram_rabi_area_hectare,gram_rabi_production_tonne,gram_rabi_yield_tonne_per_hectare,gram_kharif_area_hectare,gram_kharif_production_tonne,gram_kharif_yield_tonne_per_hectare,gram_winter_area_hectare,gram_winter_production_tonne,gram_winter_yield_tonne_per_hectare,gram_whole_year_area_hectare,gram_whole_year_production_tonne,gram_whole_year_yield_tonne_per_hectare
,Barpeta,2000 - 2001,211.0,84.0,0.4,,,,,,,,,
,,2001 - 2002,219.0,87.0,0.4,,,,,,,,,
,,2002 - 2003,220.0,88.0,0.4,,,,,,,,,
,,2003 - 2004,222.0,98.0,0.44,,,,,,,,,
,,2004 - 2005,212.0,88.0,0.42,,,,,,,,,
,,2005 - 2006,153.0,64.0,0.42,,,,,,,,,
,,2006 - 2007,165.0,70.0,0.42,,,,,,,,,
,,2007 - 2008,165.0,69.0,0.42,,,,,,,,,
,,2008 - 2009,123.0,52.0,0.42,,,,,,,,,
,,2009 - 2010,107.0,45.0,0.42,,,,,,,,,
,,2010 - 2011,90.0,38.0,0.42,,,,,,,,,
,,2011 - 2012,114.0,50.0,0.44,,,,,,,,,
,,2012 - 2013,99.0,47.0,0.47,,,,,,,,,
,,2013 - 2014,83.0,39.0,0.47,,,,,,,,,
,,2014 - 2015,83.0,51.0,0.61,,,,,,,,,
,,2015 - 2016,81.0,51.0,0.63,,,,,,,,,
,,2016 - 2017,72.0,39.0,0.54,,,,,,,,,
,,2017 - 2018,77.0,54.0,0.7,,,,,,,,,
,,2018 - 2019,84.0,57.0,0.68,,,,,,,,,
,,2019 - 2020,81.0,55.0,0.68,,,,,,,,,
,,2020 - 2021,75.0,51.0,0.68,,,,,,,,,
,,2021 - 2022,71.0,51.0,0.72,,,,,,,,,
,,2022 - 2023,69.0,50.0,0.72,,,,,,,,,
,Biswanath,2020 - 2021,4.0,2.0,0.5,,,,,,,,,
,,2021 - 2022,8.0,5.0,0.63,,,,,,,,,
,,2022 - 2023,6.0,4.0,0.67,,,,,,,,,
,Bongaigaon,2000 - 2001,47.0,25.0,0.53,,,,,,,,,
,,2001 - 2002,38.0,22.0,0.58,,,,,,,,,
,,2002 - 2003,47.0,24.0,0.51,,,,,,,,,
,,2003 - 2004,38.0,21.0,0.55,,,,,,,,,
,,2004 - 2005,35.0,19.0,0.54,,,,,,,,,
,,2005 - 2006,21.0,10.0,0.48,,,,,,,,,
,,2006 - 2007,20.0,9.0,0.45,,,,,,,,,
,,2007 - 2008,23.0,11.0,0.48,,,,,,,,,
,,2008 - 2009,26.0,13.0,0.5,,,,,,,,,
,,2009 - 2010,27.0,14.0,0.52,,,,,,,,,
,,2010 - 2011,28.0,14.0,0.5,,,,,,,,,
,,2011 - 2012,23.0,15.0,0.65,,,,,,,,,
,,2012 - 2013,20.0,13.0,0.65,,,,,,,,,
,,2013 - 2014,265.0,202.0,0.76,,,,,,,,,
,,2014 - 2015,242.0,232.0,0.96,,,,,,,,,
,,2015 - 2016,234.0,140.0,0.6,,,,,,,,,
,,2016 - 2017,258.0,160.0,0.62,,,,,,,,,
,,2017 - 2018,242.0,144.0,0.6,,,,,,,,,
,,2018 - 2019,244.0,132.0,0.54,,,,,,,,,
,,2019 - 2020,233.0,128.0,0.55,,,,,,,,,
,,2020 - 2021,229.0,175.0,0.76,,,,,,,,,
,,2021 - 2022,249.0,189.0,0.76,,,,,,,,,
,,2022 - 2023,250.0,149.0,0.6,,,,,,,,,
,Cachar,2000 - 2001,42.0,22.0,0.52,,,,,,,,,
,,2001 - 2002,43.0,22.0,0.51,,,,,,,,,
,,2002 - 2003,44.0,23.0,0.52,,,,,,,,,
,,2003 - 2004,48.0,25.0,0.52,,,,,,,,,
,,2004 - 2005,52.0,27.0,0.52,,,,,,,,,
,,2005 - 2006,54.0,28.0,0.52,,,,,,,,,
,,2006 - 2007,60.0,31.0,0.52,,,,,,,,,
,,2007 - 2008,56.0,29.0,0.52,,,,,,,,,
,,2008 - 2009,54.0,28.0,0.52,,,,,,,,,
,,2009 - 2010,52.0,28.0,0.54,,,,,,,,,
,,2010 - 2011,56.0,29.0,0.52,,,,,,,,,
,,2011 - 2012,59.0,32.0,0.54,,,,,,,,,
,,2012 - 2013,61.0,35.0,0.57,,,,,,,,,
,,2013 - 2014,64.0,38.0,0.59,,,,,,,,,
,,2014 - 2015,61.0,46.0,0.75,,,,,,,,,
,,2015 - 2016,56.0,31.0,0.55,,,,,,,,,
,,2016 - 2017,55.0,31.0,0.56,,,,,,,,,
,,2017 - 2018,50.0,28.0,0.56,,,,,,,,,
,,2018 - 2019,48.0,32.0,0.67,,,,,,,,,
,,2019 - 2020,51.0,34.0,0.67,,,,,,,,,
,,2020 - 2021,52.0,34.0,0.65,,,,,,,,,
,,2021 - 2022,56.0,36.0,0.64,,,,,,,,,
,,2022 - 2023,50.0,38.0,0.76,,,,,,,,,
,Chirang,2005 - 2006,21.0,10.0,0.48,,,,,,,,,
,,2006 - 2007,19.0,9.0,0.47,,,,,,,,,
,,2007 - 2008,15.0,7.0,0.47,,,,,,,,,
,,2008 - 2009,15.0,7.0,0.47,,,,,,,,,
,,2009 - 2010,16.0,8.0,0.5,,,,,,,,,
,,2010 - 2011,213.0,100.0,0.47,,,,,,,,,
,,2011 - 2012,81.0,42.0,0.52,,,,,,,,,
,,2012 - 2013,133.0,69.0,0.52,,,,,,,,,
,,2013 - 2014,141.0,75.0,0.53,,,,,,,,,
