state,district,year,turmeric_whole_year_area_hectare,turmeric_whole_year_production_tonne,turmeric_whole_year_yield_tonne_per_hectare,turmeric_rabi_area_hectare,turmeric_rabi_production_tonne,turmeric_rabi_yield_tonne_per_hectare,turmeric_kharif_area_hectare,turmeric_kharif_production_tonne,turmeric_kharif_yield_tonne_per_hectare,turmeric_summer_area_hectare,turmeric_summer_production_tonne,turmeric_summer_yield_tonne_per_hectare
,,2018 - 2019,,,,,,,58.0,480.0,8.28,,,
,West godavari,2000 - 2001,615.0,,4.49,,,,,,,,,
,,2001 - 2002,263.0,,4.32,,,,,,,,,
,,2002 - 2003,254.0,,5.36,,,,,,,,,
,,2003 - 2004,219.0,,6.17,,,,,,,,,
,,2004 - 2005,274.0,,8.08,,,,,,,,,
,,2005 - 2006,429.0,,6.27,,,,,,,,,
,,2006 - 2007,357.0,,5.88,,,,,,,,,
,,2008 - 2009,106.0,728.0,6.87,,,,,,,,,
,,2009 - 2010,143.0,891.0,6.23,,,,,,,,,
,,2010 - 2011,302.0,,6.11,,,,,,,,,
,,2011 - 2012,897.0,,7.51,,,,,,,,,
,,2012 - 2013,,,,,,,266.0,,6.62,,,
,,2013 - 2014,,,,,,,199.0,,6.66,,,
,,2014 - 2015,,,,,,,197.0,,7.2,,,
,,2015 - 2016,,,,22.0,149.0,6.77,210.0,,6.75,,,
,,2016 - 2017,,,,,,,318.0,,4.22,,,
,,2017 - 2018,,,,,,,325.0,,12.0,,,
,,2018 - 2019,,,,,,,259.0,,10.15,,,
,,2019 - 2020,,,,,,,180.0,,12.0,,,
Arunachal Pradesh,Anjaw,2004 - 2005,8.0,20.0,2.5,,,,,,,,,
,,2005 - 2006,10.0,25.0,2.5,,,,,,,,,
,,2006 - 2007,15.0,76.0,5.07,,,,,,,,,
,,2007 - 2008,18.0,90.0,5.0,,,,,,,,,
,,2008 - 2009,19.0,93.0,4.89,,,,,,,,,
,,2009 - 2010,22.0,66.0,3.0,,,,,,,,,
,,2010 - 2011,20.0,50.0,2.5,,,,,,,,,
,,2011 - 2012,20.0,51.0,2.55,,,,,,,,,
,,2012 - 2013,18.0,41.0,2.28,,,,,,,,,
,,2013 - 2014,18.0,40.0,2.22,,,,,,,,,
,,2014 - 2015,27.0,613.0,22.7,,,,,,,,,
,,2015 - 2016,39.0,156.0,4.0,,,,,,,,,
,,2016 - 2017,39.0,129.0,3.31,,,,,,,,,
,,2017 - 2018,40.0,135.0,3.38,,,,,,,,,
,,2018 - 2019,40.0,135.0,3.38,,,,,,,,,
,,2019 - 2020,41.0,137.0,3.34,,,,,,,,,
,,2020 - 2021,41.0,139.0,3.39,,,,,,,,,
,,2021 - 2022,48.0,163.0,3.4,,,,,,,,,
,,2022 - 2023,52.0,176.0,3.38,,,,,,,,,
,Changlang,2000 - 2001,99.0,455.0,4.6,,,,,,,,,
,,2001 - 2002,95.0,444.0,4.67,,,,,,,,,
,,2002 - 2003,80.0,416.0,5.2,,,,,,,,,
,,2003 - 2004,65.0,335.0,5.15,,,,,,,,,
,,2005 - 2006,80.0,408.0,5.1,,,,,,,,,
,,2006 - 2007,51.0,259.0,5.08,,,,,,,,,
,,2007 - 2008,53.0,276.0,5.21,,,,,,,,,
,,2008 - 2009,63.0,353.0,5.6,,,,,,,,,
,,2009 - 2010,85.0,578.0,6.8,,,,,,,,,
,,2010 - 2011,90.0,585.0,6.5,,,,,,,,,
,,2011 - 2012,92.0,602.0,6.54,,,,,,,,,
,,2012 - 2013,85.0,553.0,6.51,,,,,,,,,
,,2013 - 2014,86.0,559.0,6.5,,,,,,,,,
,,2014 - 2015,95.0,94.0,0.99,,,,,,,,,
,,2015 - 2016,102.0,291.0,2.85,,,,,,,,,
,,2016 - 2017,102.0,291.0,2.85,,,,,,,,,
,,2017 - 2018,103.0,309.0,3.0,,,,,,,,,
,,2018 - 2019,103.0,309.0,3.0,,,,,,,,,
,,2019 - 2020,104.0,313.0,3.01,,,,,,,,,
,,2020 - 2021,104.0,317.0,3.05,,,,,,,,,
,,2021 - 2022,115.0,350.0,3.04,,,,,,,,,
,,2022 - 2023,127.0,387.0,3.05,,,,,,,,,
,Dibang valley,2000 - 2001,50.0,400.0,8.0,,,,,,,,,
,,2001 - 2002,60.0,400.0,6.67,,,,,,,,,
,,2008 - 2009,22.0,39.0,1.77,,,,,,,,,
,,2009 - 2010,22.0,39.0,1.77,,,,,,,,,
,East kameng,2008 - 2009,18.0,62.0,3.44,,,,,,,,,
,East siang,2000 - 2001,120.0,220.0,1.83,,,,,,,,,
,,2001 - 2002,150.0,280.0,1.87,,,,,,,,,
,,2002 - 2003,150.0,300.0,2.0,,,,,,,,,
,,2003 - 2004,150.0,300.0,2.0,,,,,,,,,
,,2004 - 2005,90.0,224.0,2.49,,,,,,,,,
,,2005 - 2006,193.0,386.0,2.0,,,,,,,,,
,,2006 - 2007,193.0,386.0,2.0,,,,,,,,,
,,2007 - 2008,193.0,369.0,1.91,,,,,,,,,
,,2008 - 2009,193.0,386.0,2.0,,,,,,,,,
,,2009 - 2010,193.0,386.0,2.0,,,,,,,,,
,,2010 - 2011,193.0,386.0,2.0,,,,,,,,,
,,2011 - 2012,197.0,398.0,2.02,,,,,,,,,
,,2012 - 2013,204.0,404.0,1.98,,,,,,,,,
,,2013 - 2014,214.0,427.0,2.0,,,,,,,,,
,,2014 - 2015,223.0,481.0,2.16,,,,,,,,,
,,2015 - 2016,163.0,677.0,4.15,,,,,,,,,
,,2016 - 2017,163.0,650.0,3.99,,,,,,,,,
,,2017 - 2018,164.0,700.0,4.27,,,,,,,,,
,,2018 - 2019,122.0,561.0,4.6,,,,,,,,,
,,2019 - 2020,123.0,563.0,4.58,,,,,,,,,
,,2020 - 2021,123.0,567.0,4.61,,,,,,,,,
,,2021 - 2022,137.0,632.0,4.61,,,,,,,,,
,,2022 - 2023,142.0,656.0,4.62,,,,,,,,,
,Kurung kumey,2002 - 2003,12.0,85.0,7.08,,,,,,,,,
,,2003 - 2004,12.0,83.0,6.92,,,,,,,,,
,,2006 - 2007,15.0,106.0,7.07,,,,,,,,,
,,2008 - 2009,3.0,5.0,1.67,,,,,,,,,
,,2009 - 2010,3.0,5.0,1.67,,,,,,,,,
,Leparada,2019 - 2020,16.0,63.0,3.94,,,,,,,,,
,,2020 - 2021,16.0,67.0,4.19,,,,,,,,,
