state,district,year,wheat_rabi_area_hectare,wheat_rabi_production_tonne,wheat_rabi_yield_tonne_per_hectare,wheat_kharif_area_hectare,wheat_kharif_production_tonne,wheat_kharif_yield_tonne_per_hectare,wheat_winter_area_hectare,wheat_winter_production_tonne,wheat_winter_yield_tonne_per_hectare,wheat_whole_year_area_hectare,wheat_whole_year_production_tonne,wheat_whole_year_yield_tonne_per_hectare,wheat_summer_area_hectare,wheat_summer_production_tonne,wheat_summer_yield_tonne_per_hectare
,,2005 - 2006,,,2.38,,,,,,,,,,,,
,,2006 - 2007,,,2.68,,,,,,,,,,,,
,,2007 - 2008,,,2.65,,,,,,,,,,,,
,,2008 - 2009,,,2.86,,,,,,,,,,,,
,,2009 - 2010,,,2.72,,,,,,,,,,,,
,,2010 - 2011,,,2.85,,,,,,,,,,,,
,,2011 - 2012,,,3.18,,,,,,,,,,,,
,,2012 - 2013,,,3.11,,,,,,,,,,,,
,,2013 - 2014,,,2.86,,,,,,,,,,,,
,,2014 - 2015,,,1.94,,,,,,,,,,,,
,,2015 - 2016,,,2.66,,,,,,,,,,,,
,,2016 - 2017,,,3.23,,,,,,,,,,,,
,,2017 - 2018,,,3.54,,,,,,,,,,,,
,,2018 - 2019,,,3.71,,,,,,,,,,,,
,,2019 - 2020,,,3.59,,,,,,,,,,,,
,,2020 - 2021,,,3.7,,,,,,,,,,,,
,,2021 - 2022,,,4.0,,,,,,,,,,,,
,,2022 - 2023,,,3.99,,,,,,,,,,,,
,Jhansi,2000 - 2001,,,2.32,,,,,,,,,,,,
,,2001 - 2002,,,2.78,,,,,,,,,,,,
,,2002 - 2003,,,2.56,,,,,,,,,,,,
,,2003 - 2004,,,2.63,,,,,,,,,,,,
,,2004 - 2005,,,2.28,,,,,,,,,,,,
,,2005 - 2006,,,2.07,,,,,,,,,,,,
,,2006 - 2007,,,2.08,,,,,,,,,,,,
,,2007 - 2008,,,1.9,,,,,,,,,,,,
,,2008 - 2009,,,2.72,,,,,,,,,,,,
,,2009 - 2010,,,2.48,,,,,,,,,,,,
,,2010 - 2011,,,2.7,,,,,,,,,,,,
,,2011 - 2012,,,3.13,,,,,,,,,,,,
,,2012 - 2013,,,2.78,,,,,,,,,,,,
,,2013 - 2014,,,1.53,,,,,,,,,,,,
,,2014 - 2015,,,1.18,,,,,,,,,,,,
,,2015 - 2016,,,2.12,,,,,,,,,,,,
,,2016 - 2017,,,3.07,,,,,,,,,,,,
,,2017 - 2018,,,2.63,,,,,,,,,,,,
,,2018 - 2019,,,3.26,,,,,,,,,,,,
,,2019 - 2020,,,3.42,,,,,,,,,,,,
,,2020 - 2021,,,3.03,,,,,,,,,,,,
,,2021 - 2022,,,3.38,,,,,,,,,,,,
,,2022 - 2023,,,3.43,,,,,,,,,,,,
,Kannauj,2000 - 2001,,,3.56,,,,,,,,,,,,
,,2001 - 2002,,,3.06,,,,,,,,,,,,
,,2002 - 2003,,,2.79,,,,,,,,,,,,
,,2003 - 2004,,,3.27,,,,,,,,,,,,
,,2004 - 2005,,,3.12,,,,,,,,,,,,
,,2005 - 2006,,,3.35,,,,,,,,,,,,
,,2006 - 2007,,,3.49,,,,,,,,,,,,
,,2007 - 2008,,,3.48,,,,,,,,,,,,
,,2008 - 2009,,,3.58,,,,,,,,,,,,
,,2009 - 2010,,,3.46,,,,,,,,,,,,
,,2010 - 2011,,,3.57,,,,,,,,,,,,
,,2011 - 2012,,,3.74,,,,,,,,,,,,
,,2012 - 2013,,,3.84,,,,,,,,,,,,
,,2013 - 2014,,,3.83,,,,,,,,,,,,
,,2014 - 2015,,,1.41,,,,,,,,,,,,
,,2015 - 2016,,,3.25,,,,,,,,,,,,
,,2016 - 2017,,,4.12,,,,,,,,,,,,
,,2017 - 2018,,,4.53,,,,,,,,,,,,
,,2018 - 2019,,,4.6,,,,,,,,,,,,
,,2019 - 2020,,,4.45,,,,,,,,,,,,
,,2020 - 2021,,,4.14,,,,,,,,,,,,
,,2021 - 2022,,,3.85,,,,,,,,,,,,
,,2022 - 2023,,,3.99,,,,,,,,,,,,
,Kanpur dehat,2003 - 2004,,,3.76,,,,,,,,,,,,
,,2004 - 2005,,,3.24,,,,,,,,,,,,
,,2005 - 2006,,,3.06,,,,,,,,,,,,
,,2006 - 2007,,,3.44,,,,,,,,,,,,
,,2007 - 2008,,,3.31,,,,,,,,,,,,
,,2008 - 2009,,,3.7,,,,,,,,,,,,
,,2009 - 2010,,,3.46,,,,,,,,,,,,
,,2010 - 2011,,,3.91,,,,,,,,,,,,
,,2011 - 2012,,,3.96,,,,,,,,,,,,
,,2012 - 2013,,,3.62,,,,,,,,,,,,
,,2013 - 2014,,,3.59,,,,,,,,,,,,
,,2014 - 2015,,,1.67,,,,,,,,,,,,
,,2015 - 2016,,,3.01,,,,,,,,,,,,
,,2016 - 2017,,,4.59,,,,,,,,,,,,
,,2017 - 2018,,,4.28,,,,,,,,,,,,
,,2018 - 2019,,,4.43,,,,,,,,,,,,
,,2019 - 2020,,,4.25,,,,,,,,,,,,
,,2020 - 2021,,,4.07,,,,,,,,,,,,
,,2021 - 2022,,,3.79,,,,,,,,,,,,
,,2022 - 2023,,,4.04,,,,,,,,,,,,
,Kanpur nagar,2000 - 2001,,,3.1,,,,,,,,,,,,
,,2001 - 2002,,,3.29,,,,,,,,,,,,
,,2002 - 2003,,,2.95,,,,,,,,,,,,
,,2003 - 2004,,,3.29,,,,,,,,,,,,
,,2004 - 2005,,,2.58,,,,,,,,,,,,
,,2005 - 2006,,,2.8,,,,,,,,,,,,
,,2006 - 2007,,,3.01,,,,,,,,,,,,
,,2007 - 2008,,,2.67,,,,,,,,,,,,
,,2008 - 2009,,,2.94,,,,,,,,,,,,
,,2009 - 2010,,,2.95,,,,,,,,,,,,
,,2010 - 2011,,,3.48,,,,,,,,,,,,
,,2011 - 2012,,,3.46,,,,,,,,,,,,
,,2012 - 2013,,,3.56,,,,,,,,,,,,
,,2013 - 2014,,,3.84,,,,,,,,,,,,
,,2014 - 2015,,,1.51,,,,,,,,,,,,
,,2015 - 2016,,,2.12,,,,,,,,,,,,
,,2016 - 2017,,,4.06,,,,,,,,,,,,
,,2017 - 2018,,,3.85,,,,,,,,,,,,
,,2018 - 2019,,,4.17,,,,,,,,,,,,
,,2019 - 2020,,,4.07,,,,,,,,,,,,
,,2020 - 2021,,,3.95,,,,,,,,,,,,
,,2021 - 2022,,,3.48,,,,,,,,,,,,
,,2022 - 2023,,,3.92,,,,,,,,,,,,
,Kasganj,2009 - 2010,,,2.95,,,,,,,,,,,,
,,2010 - 2011,,,3.4,,,,,,,,,,,,
,,2011 - 2012,,,3.64,,,,,,,,,,,,
,,2012 - 2013,,,3.4,,,,,,,,,,,,
,,2013 - 2014,,,3.52,,,,,,,,,,,,
,,2014 - 2015,,,2.33,,,,,,,,,,,,
,,2015 - 2016,,,3.08,,,,,,,,,,,,
,,2016 - 2017,,,3.71,,,,,,,,,,,,
,,2017 - 2018,,,3.97,,,,,,,,,,,,
,,2018 - 2019,,,4.26,,,,,,,,,,,,
,,2019 - 2020,,,3.92,,,,,,,,,,,,
,,2020 - 2021,,,3.8,,,,,,,,,,,,
,,2021 - 2022,,,3.91,,,,,,,,,,,,
,,2022 - 2023,,,4.14,,,,,,,,,,,,
,Kaushambi,2000 - 2001,,,2.33,,,,,,,,,,,,
,,2001 - 2002,,,2.34,,,,,,,,,,,,
,,2002 - 2003,,,2.07,,,,,,,,,,,,
,,2003 - 2004,,,2.41,,,,,,,,,,,,
,,2004 - 2005,,,2.3,,,,,,,,,,,,
,,2005 - 2006,,,2.08,,,,,,,,,,,,
,,2006 - 2007,,,2.18,,,,,,,,,,,,
,,2007 - 2008,,,2.08,,,,,,,,,,,,
,,2008 - 2009,,,2.6,,,,,,,,,,,,
,,2009 - 2010,,,2.38,,,,,,,,,,,,
,,2010 - 2011,,,2.69,,,,,,,,,,,,
,,2011 - 2012,,,2.89,,,,,,,,,,,,
,,2012 - 2013,,,2.9,,,,,,,,,,,,
,,2013 - 2014,,,2.43,,,,,,,,,,,,
,,2014 - 2015,,,1.53,,,,,,,,,,,,
,,2015 - 2016,,,2.18,,,,,,,,,,,,
,,2016 - 2017,,,3.29,,,,,,,,,,,,
,,2017 - 2018,,,3.17,,,,,,,,,,,,
,,2018 - 2019,,,3.49,,,,,,,,,,,,
,,2019 - 2020,,,3.12,,,,,,,,,,,,
,,2020 - 2021,,,3.31,,,,,,,,,,,,
,,2021 - 2022,,,3.36,,,,,,,,,,,,
,,2022 - 2023,,,3.65,,,,,,,,,,,,
,Kheri,2000 - 2001,,,2.67,,,,,,,,,,,,
,,2001 - 2002,,,2.99,,,,,,,,,,,,
,,2002 - 2003,,,2.7,,,,,,,,,,,,
,,2003 - 2004,,,2.86,,,,,,,,,,,,
,,2004 - 2005,,,2.79,,,,,,,,,,,,
,,2005 - 2006,,,2.76,,,,,,,,,,,,
,,2006 - 2007,,,3.02,,,,,,,,,,,,
,,2007 - 2008,,,3.19,,,,,,,,,,,,
,,2008 - 2009,,,3.36,,,,,,,,,,,,
,,2009 - 2010,,,2.97,,,,,,,,,,,,
,,2010 - 2011,,,3.41,,,,,,,,,,,,
,,2011 - 2012,,,3.41,,,,,,,,,,,,
,,2012 - 2013,,,3.48,,,,,,,,,,,,
,,2013 - 2014,,,3.61,,,,,,,,,,,,
,,2014 - 2015,,,2.68,,,,,,,,,,,,
,,2015 - 2016,,,3.39,,,,,,,,,,,,
,,2016 - 2017,,,3.78,,,,,,,,,,,,
,,2017 - 2018,,,4.11,,,,,,,,,,,,
,,2018 - 2019,,,4.25,,,,,,,,,,,,
,,2019 - 2020,,,4.23,,,,,,,,,,,,
,,2020 - 2021,,,4.11,,,,,,,,,,,,
,,2021 - 2022,,,4.09,,,,,,,,,,,,
,,2022 - 2023,,,4.12,,,,,,,,,,,,
,Kushi nagar,2000 - 2001,,,2.97,,,,,,,,,,,,
,,2001 - 2002,,,2.68,,,,,,,,,,,,
,,2002 - 2003,,,2.26,,,,,,,,,,,,
,,2003 - 2004,,,2.58,,,,,,,,,,,,
,,2004 - 2005,,,2.65,,,,,,,,,,,,
,,2005 - 2006,,,1.92,,,,,,,,,,,,
,,2006 - 2007,,,2.79,,,,,,,,,,,,
,,2007 - 2008,,,3.08,,,,,,,,,,,,
,,2008 - 2009,,,2.87,,,,,,,,,,,,
,,2009 - 2010,,,2.61,,,,,,,,,,,,
,,2010 - 2011,,,2.9,,,,,,,,,,,,
,,2011 - 2012,,,3.02,,,,,,,,,,,,
,,2012 - 2013,,,2.91,,,,,,,,,,,,
,,2013 - 2014,,,3.04,,,,,,,,,,,,
,,2014 - 2015,,,1.66,,,,,,,,,,,,
,,2015 - 2016,,,2.34,,,,,,,,,,,,
,,2016 - 2017,,,2.98,,,,,,,,,,,,
,,2017 - 2018,,,3.5,,,,,,,,,,,,
,,2018 - 2019,,,3.19,,,,,,,,,,,,
,,2019 - 2020,,,3.7,,,,,,,,,,,,
,,2020 - 2021,,,3.74,,,,,,,,,,,,
,,2021 - 2022,,,3.76,,,,,,,,,,,,
,,2022 - 2023,,,3.7,,,,,,,,,,,,
,Lalitpur,2000 - 2001,,,1.61,,,,,,,,,,,,
,,2001 - 2002,,,1.82,,,,,,,,,,,,
,,2002 - 2003,,,1.64,,,,,,,,,,,,
,,2003 - 2004,,,2.02,,,,,,,,,,,,
,,2004 - 2005,,,1.99,,,,,,,,,,,,
,,2005 - 2006,,,1.63,,,,,,,,,,,,
,,2006 - 2007,,,1.86,,,,,,,,,,,,
,,2007 - 2008,,,1.58,,,,,,,,,,,,
,,2008 - 2009,,,2.09,,,,,,,,,,,,
,,2009 - 2010,,,2.39,,,,,,,,,,,,
,,2010 - 2011,,,2.36,,,,,,,,,,,,
,,2011 - 2012,,,2.6,,,,,,,,,,,,
,,2012 - 2013,,,2.68,,,,,,,,,,,,
,,2013 - 2014,,,2.09,,,,,,,,,,,,
,,2014 - 2015,,,2.12,,,,,,,,,,,,
,,2015 - 2016,,,1.74,,,,,,,,,,,,
,,2016 - 2017,,,3.07,,,,,,,,,,,,
,,2017 - 2018,,,2.78,,,,,,,,,,,,
,,2018 - 2019,,,3.41,,,,,,,,,,,,
,,2019 - 2020,,,3.2,,,,,,,,,,,,
,,2020 - 2021,,,3.12,,,,,,,,,,,,
,,2021 - 2022,,,3.62,,,,,,,,,,,,
,,2022 - 2023,,,3.65,,,,,,,,,,,,
,Lucknow,2000 - 2001,,,2.6,,,,,,,,,,,,
,,2001 - 2002,,,2.49,,,,,,,,,,,,
,,2002 - 2003,,,2.41,,,,,,,,,,,,
,,2003 - 2004,,,2.33,,,,,,,,,,,,
,,2004 - 2005,,,2.42,,,,,,,,,,,,
,,2005 - 2006,,,2.37,,,,,,,,,,,,
,,2006 - 2007,,,2.67,,,,,,,,,,,,
,,2007 - 2008,,,2.58,,,,,,,,,,,,
,,2008 - 2009,,,2.73,,,,,,,,,,,,
,,2009 - 2010,,,2.66,,,,,,,,,,,,
,,2010 - 2011,,,2.83,,,,,,,,,,,,
,,2011 - 2012,,,2.7,,,,,,,,,,,,
,,2012 - 2013,,,2.87,,,,,,,,,,,,
,,2013 - 2014,,,2.97,,,,,,,,,,,,
,,2014 - 2015,,,1.82,,,,,,,,,,,,
,,2015 - 2016,,,2.24,,,,,,,,,,,,
,,2016 - 2017,,,2.84,,,,,,,,,,,,
,,2017 - 2018,,,3.26,,,,,,,,,,,,
,,2018 - 2019,,,3.6,,,,,,,,,,,,
,,2019 - 2020,,,3.1,,,,,,,,,,,,
,,2020 - 2021,,,3.39,,,,,,,,,,,,
,,2021 - 2022,,,3.54,,,,,,,,,,,,
,,2022 - 2023,,,3.5,,,,,,,,,,,,
,Maharajganj,2000 - 2001,,,2.88,,,,,,,,,,,,
,,2001 - 2002,,,2.66,,,,,,,,,,,,
,,2002 - 2003,,,2.2,,,,,,,,,,,,
,,2003 - 2004,,,2.55,,,,,,,,,,,,
,,2004 - 2005,,,2.5,,,,,,,,,,,,
,,2005 - 2006,,,1.42,,,,,,,,,,,,
,,2006 - 2007,,,2.78,,,,,,,,,,,,
,,2007 - 2008,,,2.97,,,,,,,,,,,,
,,2008 - 2009,,,2.82,,,,,,,,,,,,
,,2009 - 2010,,,2.94,,,,,,,,,,,,
,,2010 - 2011,,,3.18,,,,,,,,,,,,
,,2011 - 2012,,,3.29,,,,,,,,,,,,
,,2012 - 2013,,,3.31,,,,,,,,,,,,
,,2013 - 2014,,,3.36,,,,,,,,,,,,
,,2014 - 2015,,,2.37,,,,,,,,,,,,
,,2015 - 2016,,,3.0,,,,,,,,,,,,
,,2016 - 2017,,,3.53,,,,,,,,,,,,
,,2017 - 2018,,,3.55,,,,,,,,,,,,
,,2018 - 2019,,,4.13,,,,,,,,,,,,
,,2019 - 2020,,,4.03,,,,,,,,,,,,
,,2020 - 2021,,,3.74,,,,,,,,,,,,
,,2021 - 2022,,,3.55,,,,,,,,,,,,
,,2022 - 2023,,,3.69,,,,,,,,,,,,
,Mahoba,2000 - 2001,,,1.39,,,,,,,,,,,,
,,2001 - 2002,,,1.77,,,,,,,,,,,,
,,2002 - 2003,,,1.23,,,,,,,,,,,,
,,2003 - 2004,,,1.43,,,,,,,,,,,,
,,2004 - 2005,,,1.68,,,,,,,,,,,,
,,2005 - 2006,,,1.16,,,,,,,,,,,,
,,2006 - 2007,,,1.33,,,,,,,,,,,,
,,2007 - 2008,,,0.57,,,,,,,,,,,,
,,2008 - 2009,,,2.08,,,,,,,,,,,,
,,2009 - 2010,,,1.56,,,,,,,,,,,,
,,2010 - 2011,,,1.24,,,,,,,,,,,,
,,2011 - 2012,,,1.84,,,,,,,,,,,,
,,2012 - 2013,,,1.98,,,,,,,,,,,,
,,2013 - 2014,,,1.72,,,,,,,,,,,,
,,2014 - 2015,,,0.98,,,,,,,,,,,,
,,2015 - 2016,,,0.79,,,,,,,,,,,,
,,2016 - 2017,,,2.53,,,,,,,,,,,,
,,2017 - 2018,,,1.79,,,,,,,,,,,,
,,2018 - 2019,,,2.82,,,,,,,,,,,,
,,2019 - 2020,,,2.88,,,,,,,,,,,,
,,2020 - 2021,,,2.71,,,,,,,,,,,,
,,2021 - 2022,,,2.84,,,,,,,,,,,,
,,2022 - 2023,,,3.94,,,,,,,,,,,,
,Mainpuri,2000 - 2001,,,3.26,,,,,,,,,,,,
,,2001 - 2002,,,3.19,,,,,,,,,,,,
,,2002 - 2003,,,3.06,,,,,,,,,,,,
,,2003 - 2004,,,3.09,,,,,,,,,,,,
,,2004 - 2005,,,2.69,,,,,,,,,,,,
,,2005 - 2006,,,3.21,,,,,,,,,,,,
,,2006 - 2007,,,2.98,,,,,,,,,,,,
,,2007 - 2008,,,3.16,,,,,,,,,,,,
,,2008 - 2009,,,3.35,,,,,,,,,,,,
,,2009 - 2010,,,3.25,,,,,,,,,,,,
,,2010 - 2011,,,3.49,,,,,,,,,,,,
,,2011 - 2012,,,3.74,,,,,,,,,,,,
,,2012 - 2013,,,3.6,,,,,,,,,,,,
,,2013 - 2014,,,3.79,,,,,,,,,,,,
,,2014 - 2015,,,2.33,,,,,,,,,,,,
,,2015 - 2016,,,3.33,,,,,,,,,,,,
,,2016 - 2017,,,4.01,,,,,,,,,,,,
,,2017 - 2018,,,4.42,,,,,,,,,,,,
,,2018 - 2019,,,4.44,,,,,,,,,,,,
,,2019 - 2020,,,4.23,,,,,,,,,,,,
,,2020 - 2021,,,4.25,,,,,,,,,,,,
,,2021 - 2022,,,3.86,,,,,,,,,,,,
,,2022 - 2023,,,4.01,,,,,,,,,,,,
,Mathura,2000 - 2001,,,3.41,,,,,,,,,,,,
,,2001 - 2002,,,3.13,,,,,,,,,,,,
,,2002 - 2003,,,3.51,,,,,,,,,,,,
,,2003 - 2004,,,3.3,,,,,,,,,,,,
,,2004 - 2005,,,3.12,,,,,,,,,,,,
,,2005 - 2006,,,3.3,,,,,,,,,,,,
,,2006 - 2007,,,2.85,,,,,,,,,,,,
,,2007 - 2008,,,3.65,,,,,,,,,,,,
,,2008 - 2009,,,3.83,,,,,,,,,,,,
,,2009 - 2010,,,3.22,,,,,,,,,,,,
,,2010 - 2011,,,3.75,,,,,,,,,,,,
,,2011 - 2012,,,3.69,,,,,,,,,,,,
,,2012 - 2013,,,3.74,,,,,,,,,,,,
,,2013 - 2014,,,3.49,,,,,,,,,,,,
,,2014 - 2015,,,2.1,,,,,,,,,,,,
,,2015 - 2016,,,3.45,,,,,,,,,,,,
,,2016 - 2017,,,4.1,,,,,,,,,,,,
,,2017 - 2018,,,3.52,,,,,,,,,,,,
,,2018 - 2019,,,4.17,,,,,,,,,,,,
,,2019 - 2020,,,2.85,,,,,,,,,,,,
,,2020 - 2021,,,3.51,,,,,,,,,,,,
,,2021 - 2022,,,3.49,,,,,,,,,,,,
,,2022 - 2023,,,3.58,,,,,,,,,,,,
,Mau,2000 - 2001,,,2.31,,,,,,,,,,,,
,,2001 - 2002,,,2.48,,,,,,,,,,,,
,,2002 - 2003,,,2.15,,,,,,,,,,,,
,,2003 - 2004,,,2.52,,,,,,,,,,,,
,,2004 - 2005,,,2.15,,,,,,,,,,,,
,,2005 - 2006,,,2.37,,,,,,,,,,,,
,,2006 - 2007,,,2.43,,,,,,,,,,,,
,,2007 - 2008,,,2.57,,,,,,,,,,,,
,,2008 - 2009,,,2.76,,,,,,,,,,,,
,,2009 - 2010,,,2.4,,,,,,,,,,,,
,,2010 - 2011,,,2.82,,,,,,,,,,,,
,,2011 - 2012,,,3.0,,,,,,,,,,,,
,,2012 - 2013,,,3.32,,,,,,,,,,,,
,,2013 - 2014,,,3.05,,,,,,,,,,,,
,,2014 - 2015,,,2.09,,,,,,,,,,,,
,,2015 - 2016,,,2.5,,,,,,,,,,,,
,,2016 - 2017,,,3.33,,,,,,,,,,,,
,,2017 - 2018,,,3.7,,,,,,,,,,,,
,,2018 - 2019,,,3.85,,,,,,,,,,,,
,,2019 - 2020,,,3.46,,,,,,,,,,,,
,,2020 - 2021,,,3.77,,,,,,,,,,,,
,,2021 - 2022,,,3.7,,,,,,,,,,,,
,,2022 - 2023,,,3.43,,,,,,,,,,,,
,Meerut,2000 - 2001,,,3.62,,,,,,,,,,,,
,,2001 - 2002,,,3.71,,,,,,,,,,,,
,,2002 - 2003,,,3.66,,,,,,,,,,,,
,,2003 - 2004,,,3.77,,,,,,,,,,,,
,,2004 - 2005,,,3.62,,,,,,,,,,,,
,,2005 - 2006,,,3.61,,,,,,,,,,,,
,,2006 - 2007,,,3.72,,,,,,,,,,,,
,,2007 - 2008,,,3.7,,,,,,,,,,,,
,,2008 - 2009,,,3.59,,,,,,,,,,,,
,,2009 - 2010,,,3.67,,,,,,,,,,,,
,,2010 - 2011,,,4.08,,,,,,,,,,,,
,,2011 - 2012,,,4.21,,,,,,,,,,,,
,,2012 - 2013,,,4.13,,,,,,,,,,,,
,,2013 - 2014,,,4.29,,,,,,,,,,,,
,,2014 - 2015,,,3.22,,,,,,,,,,,,
,,2015 - 2016,,,4.09,,,,,,,,,,,,
,,2016 - 2017,,,4.36,,,,,,,,,,,,
,,2017 - 2018,,,4.36,,,,,,,,,,,,
,,2018 - 2019,,,4.66,,,,,,,,,,,,
,,2019 - 2020,,,4.56,,,,,,,,,,,,
,,2020 - 2021,,,4.57,,,,,,,,,,,,
,,2021 - 2022,,,4.18,,,,,,,,,,,,
,,2022 - 2023,,,4.28,,,,,,,,,,,,
,Mirzapur,2000 - 2001,,,1.98,,,,,,,,,,,,
,,2001 - 2002,,,1.95,,,,,,,,,,,,
,,2002 - 2003,,,1.9,,,,,,,,,,,,
,,2003 - 2004,,,2.13,,,,,,,,,,,,
,,2004 - 2005,,,1.45,,,,,,,,,,,,
,,2005 - 2006,,,1.59,,,,,,,,,,,,
,,2006 - 2007,,,2.03,,,,,,,,,,,,
,,2007 - 2008,,,1.9,,,,,,,,,,,,
,,2008 - 2009,,,1.97,,,,,,,,,,,,
,,2009 - 2010,,,1.99,,,,,,,,,,,,
,,2010 - 2011,,,2.31,,,,,,,,,,,,
,,2011 - 2012,,,2.46,,,,,,,,,,,,
,,2012 - 2013,,,2.62,,,,,,,,,,,,
,,2013 - 2014,,,2.55,,,,,,,,,,,,
,,2014 - 2015,,,1.78,,,,,,,,,,,,
,,2015 - 2016,,,1.77,,,,,,,,,,,,
,,2016 - 2017,,,2.79,,,,,,,,,,,,
,,2017 - 2018,,,2.95,,,,,,,,,,,,
,,2018 - 2019,,,3.15,,,,,,,,,,,,
,,2019 - 2020,,,2.42,,,,,,,,,,,,
,,2020 - 2021,,,3.28,,,,,,,,,,,,
,,2021 - 2022,,,3.5,,,,,,,,,,,,
,,2022 - 2023,,,3.34,,,,,,,,,,,,
,Moradabad,2000 - 2001,,,3.17,,,,,,,,,,,,
,,2001 - 2002,,,3.16,,,,,,,,,,,,
,,2002 - 2003,,,2.94,,,,,,,,,,,,
,,2003 - 2004,,,3.17,,,,,,,,,,,,
,,2004 - 2005,,,2.57,,,,,,,,,,,,
,,2005 - 2006,,,2.81,,,,,,,,,,,,
,,2006 - 2007,,,3.03,,,,,,,,,,,,
,,2007 - 2008,,,2.94,,,,,,,,,,,,
,,2008 - 2009,,,3.23,,,,,,,,,,,,
,,2009 - 2010,,,2.99,,,,,,,,,,,,
,,2010 - 2011,,,3.13,,,,,,,,,,,,
,,2011 - 2012,,,3.18,,,,,,,,,,,,
,,2012 - 2013,,,3.07,,,,,,,,,,,,
,,2013 - 2014,,,3.23,,,,,,,,,,,,
,,2014 - 2015,,,1.61,,,,,,,,,,,,
,,2015 - 2016,,,3.08,,,,,,,,,,,,
,,2016 - 2017,,,3.51,,,,,,,,,,,,
,,2017 - 2018,,,3.7,,,,,,,,,,,,
,,2018 - 2019,,,4.0,,,,,,,,,,,,
,,2019 - 2020,,,3.77,,,,,,,,,,,,
,,2020 - 2021,,,4.33,,,,,,,,,,,,
,,2021 - 2022,,,4.15,,,,,,,,,,,,
,,2022 - 2023,,,4.18,,,,,,,,,,,,
,Muzaffarnagar,2000 - 2001,,,3.49,,,,,,,,,,,,
,,2001 - 2002,,,3.71,,,,,,,,,,,,
,,2002 - 2003,,,3.35,,,,,,,,,,,,
,,2003 - 2004,,,3.47,,,,,,,,,,,,
,,2004 - 2005,,,3.3,,,,,,,,,,,,
,,2005 - 2006,,,3.36,,,,,,,,,,,,
,,2006 - 2007,,,3.24,,,,,,,,,,,,
,,2007 - 2008,,,3.29,,,,,,,,,,,,
,,2008 - 2009,,,3.28,,,,,,,,,,,,
,,2009 - 2010,,,3.44,,,,,,,,,,,,
,,2010 - 2011,,,3.38,,,,,,,,,,,,
,,2011 - 2012,,,3.93,,,,,,,,,,,,
,,2012 - 2013,,,3.65,,,,,,,,,,,,
,,2013 - 2014,,,3.71,,,,,,,,,,,,
,,2014 - 2015,,,2.81,,,,,,,,,,,,
,,2015 - 2016,,,3.57,,,,,,,,,,,,
,,2016 - 2017,,,4.17,,,,,,,,,,,,
,,2017 - 2018,,,3.99,,,,,,,,,,,,
,,2018 - 2019,,,4.25,,,,,,,,,,,,
,,2019 - 2020,,,3.98,,,,,,,,,,,,
,,2020 - 2021,,,4.34,,,,,,,,,,,,
,,2021 - 2022,,,3.96,,,,,,,,,,,,
,,2022 - 2023,,,4.4,,,,,,,,,,,,
,Pilibhit,2000 - 2001,,,3.24,,,,,,,,,,,,
,,2001 - 2002,,,3.05,,,,,,,,,,,,
,,2002 - 2003,,,3.0,,,,,,,,,,,,
,,2003 - 2004,,,3.06,,,,,,,,,,,,
,,2004 - 2005,,,3.1,,,,,,,,,,,,
,,2005 - 2006,,,3.29,,,,,,,,,,,,
,,2006 - 2007,,,3.33,,,,,,,,,,,,
,,2007 - 2008,,,3.7,,,,,,,,,,,,
,,2008 - 2009,,,3.64,,,,,,,,,,,,
,,2009 - 2010,,,3.38,,,,,,,,,,,,
,,2010 - 2011,,,3.79,,,,,,,,,,,,
,,2011 - 2012,,,3.83,,,,,,,,,,,,
,,2012 - 2013,,,3.61,,,,,,,,,,,,
,,2013 - 2014,,,3.66,,,,,,,,,,,,
,,2014 - 2015,,,2.57,,,,,,,,,,,,
,,2015 - 2016,,,3.88,,,,,,,,,,,,
,,2016 - 2017,,,4.2,,,,,,,,,,,,
,,2017 - 2018,,,4.24,,,,,,,,,,,,
,,2018 - 2019,,,4.44,,,,,,,,,,,,
,,2019 - 2020,,,4.29,,,,,,,,,,,,
,,2020 - 2021,,,4.45,,,,,,,,,,,,
,,2021 - 2022,,,4.01,,,,,,,,,,,,
,,2022 - 2023,,,4.24,,,,,,,,,,,,
,Pratapgarh,2000 - 2001,,,2.33,,,,,,,,,,,,
,,2001 - 2002,,,2.14,,,,,,,,,,,,
,,2002 - 2003,,,2.04,,,,,,,,,,,,
,,2003 - 2004,,,2.67,,,,,,,,,,,,
,,2004 - 2005,,,2.07,,,,,,,,,,,,
,,2005 - 2006,,,2.04,,,,,,,,,,,,
,,2006 - 2007,,,2.44,,,,,,,,,,,,
,,2007 - 2008,,,2.32,,,,,,,,,,,,
,,2008 - 2009,,,2.72,,,,,,,,,,,,
,,2009 - 2010,,,2.38,,,,,,,,,,,,
,,2010 - 2011,,,2.81,,,,,,,,,,,,
,,2011 - 2012,,,2.93,,,,,,,,,,,,
,,2012 - 2013,,,2.82,,,,,,,,,,,,
,,2013 - 2014,,,2.81,,,,,,,,,,,,
,,2014 - 2015,,,1.38,,,,,,,,,,,,
,,2015 - 2016,,,2.19,,,,,,,,,,,,
,,2016 - 2017,,,3.08,,,,,,,,,,,,
,,2017 - 2018,,,3.17,,,,,,,,,,,,
,,2018 - 2019,,,3.42,,,,,,,,,,,,
,,2019 - 2020,,,3.43,,,,,,,,,,,,
