state,district,year,jowar_kharif_area_hectare,jowar_kharif_production_tonne,jowar_kharif_yield_tonne_per_hectare,jowar_rabi_area_hectare,jowar_rabi_production_tonne,jowar_rabi_yield_tonne_per_hectare,jowar_whole_year_area_hectare,jowar_whole_year_production_tonne,jowar_whole_year_yield_tonne_per_hectare,jowar_summer_area_hectare,jowar_summer_production_tonne,jowar_summer_yield_tonne_per_hectare,jowar_autumn_area_hectare,jowar_autumn_production_tonne,jowar_autumn_yield_tonne_per_hectare
,,2012 - 2013,,,2.0,,,,,,,,,,,,
,,2013 - 2014,551.0,963.0,1.75,12.0,55.0,4.58,,,,,,,,,
,,2014 - 2015,392.0,583.0,1.49,6.0,27.0,4.5,,,,,,,,,
,,2015 - 2016,236.0,262.0,1.11,1.0,4.0,4.0,,,,,,,,,
,,2016 - 2017,223.0,320.0,1.43,,,,,,,,,,,,
,,2017 - 2018,285.0,290.0,1.02,,,,,,,,,,,,
,,2018 - 2019,222.0,29.0,0.13,,,,,,,,,,,,
,,2019 - 2020,184.0,138.0,0.75,12.0,60.0,5.0,,,,,,,,,
,,2020 - 2021,49.0,38.0,0.78,,,,,,,,,,,,
,,2021 - 2022,116.0,122.0,1.05,,,,,,,,,,,,
,Vizianagaram,2000 - 2001,541.0,201.0,0.37,17.0,15.0,0.88,,,,,,,,,
,,2001 - 2002,376.0,215.0,0.57,56.0,41.0,0.73,,,,,,,,,
,,2002 - 2003,376.0,125.0,0.33,20.0,16.0,0.8,,,,,,,,,
,,2003 - 2004,256.0,757.0,2.96,38.0,71.0,1.87,,,,,,,,,
,,2004 - 2005,308.0,165.0,0.54,41.0,77.0,1.88,,,,,,,,,
,,2005 - 2006,339.0,188.0,0.55,37.0,108.0,2.92,,,,,,,,,
,,2006 - 2007,391.0,291.0,0.74,29.0,63.0,2.17,,,,,,,,,
,,2007 - 2008,,,1.0,,,,,,,,,,,,
,,2008 - 2009,501.0,,2.55,42.0,198.0,4.71,,,,,,,,,
,,2009 - 2010,440.0,519.0,1.18,5.0,17.0,3.4,,,,,,,,,
,,2010 - 2011,454.0,657.0,1.45,,,,,,,,,,,,
,,2011 - 2012,334.0,718.0,2.15,13.0,61.0,4.69,,,,,,,,,
