state,district,year,jowar_kharif_area_hectare,jowar_kharif_production_tonne,jowar_kharif_yield_tonne_per_hectare,jowar_rabi_area_hectare,jowar_rabi_production_tonne,jowar_rabi_yield_tonne_per_hectare,jowar_whole_year_area_hectare,jowar_whole_year_production_tonne,jowar_whole_year_yield_tonne_per_hectare,jowar_summer_area_hectare,jowar_summer_production_tonne,jowar_summer_yield_tonne_per_hectare,jowar_autumn_area_hectare,jowar_autumn_production_tonne,jowar_autumn_yield_tonne_per_hectare
,,2013 - 2014,79.0,88.0,1.11,71.0,153.0,2.15,,,,,,,,,
,,2014 - 2015,12.0,24.0,2.0,12.0,26.0,2.17,,,,,,,,,
,,2015 - 2016,8.0,8.0,1.0,5.0,8.0,1.6,,,,,,,,,
,,2016 - 2017,5.0,4.0,0.8,2.0,1.0,0.5,,,,,,,,,
,,2017 - 2018,15.0,17.0,1.13,22.0,24.0,1.09,,,,,,,,,
,,2018 - 2019,1.0,2.0,2.0,,,,,,,,,,,,
,,2019 - 2020,5.0,6.0,1.2,2.0,2.0,1.0,,,,,,,,,
,,2020 - 2021,,,,3.0,3.0,1.0,,,,,,,,,
,,2021 - 2022,2.0,2.0,1.0,,,,,,,,,,,,
,Thiruvarur,2007 - 2008,,,,,,,6.0,9.0,1.5,,,,,,
,,2013 - 2014,,,,1.0,2.0,2.0,,,,,,,,,
,,2021 - 2022,4.0,4.0,1.0,,,,,,,,,,,,
,Thoothukudi,2000 - 2001,,,0.89,,,,,,,,,,,,
,,2001 - 2002,,,0.78,,,,,,,,,,,,
,,2002 - 2003,,,0.61,,,,,,,,,,,,
,,2003 - 2004,,,0.59,,,,,,,,,,,,
,,2004 - 2005,,,0.63,,,,,,,,,,,,
,,2005 - 2006,,,0.68,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,0.94,,,,,,
,,2007 - 2008,,,,,,,,,0.84,,,,,,
,,2008 - 2009,,,,,,,,,2.02,,,,,,
,,2009 - 2010,,,,,,,,,2.42,,,,,,
,,2011 - 2012,,,,,,2.17,,,,,,,,,
,,2013 - 2014,,,,,,1.33,,,,,,,,,
,,2014 - 2015,,,,,,3.46,,,,,,,,,
,,2015 - 2016,,,,,,3.15,,,,,,,,,
,,2016 - 2017,,,,,953.0,0.11,,,,,,,,,
,,2017 - 2018,,,,,,1.26,,,,,,,,,
,,2018 - 2019,,,,,,2.06,,,,,,,,,
,,2019 - 2020,13.0,16.0,1.23,,,2.61,,,,,,,,,
,,2020 - 2021,,,,,,0.34,,,,,,,,,
,,2021 - 2022,22.0,24.0,1.09,,,1.39,,,,,,,,,
,,2022 - 2023,,,,,,1.33,,,,,,,,,
,Tiruchirappalli,2000 - 2001,,,0.74,,,,,,,,,,,,
,,2001 - 2002,,,0.57,,,,,,,,,,,,
,,2002 - 2003,,,0.61,,,,,,,,,,,,
,,2003 - 2004,,,0.61,,,,,,,,,,,,
,,2004 - 2005,,,0.45,,,,,,,,,,,,
,,2005 - 2006,,,0.36,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,0.7,,,,,,
,,2007 - 2008,,,,,,,,,0.51,,,,,,
,,2008 - 2009,,,,,,,,,0.44,,,,,,
,,2009 - 2010,,,,,,,,,0.43,,,,,,
,,2011 - 2012,,,0.54,978.0,,1.02,,,,,,,,,
,,2013 - 2014,,,0.63,,,2.57,,,,,,,,,
,,2014 - 2015,,,1.75,,,1.63,,,,,,,,,
,,2015 - 2016,,,0.84,,,2.51,,,,,,,,,
,,2016 - 2017,,,0.83,,,0.28,,,,,,,,,
,,2017 - 2018,,,1.93,,,2.03,,,,,,,,,
,,2018 - 2019,,,1.98,,,1.42,,,,,,,,,
,,2019 - 2020,,,1.6,,,1.62,,,,,,,,,
,,2020 - 2021,,,1.11,,,2.01,,,,,,,,,
,,2021 - 2022,,,0.73,,,1.28,,,,,,,,,
,,2022 - 2023,,,0.49,,,1.95,,,,,,,,,
,Tirunelveli,2000 - 2001,,,1.07,,,,,,,,,,,,
,,2001 - 2002,,,1.45,,,,,,,,,,,,
,,2002 - 2003,,,1.21,,,,,,,,,,,,
,,2003 - 2004,,,1.62,,,,,,,,,,,,
,,2004 - 2005,,,1.92,,,,,,,,,,,,
,,2005 - 2006,,,3.24,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,3.27,,,,,,
,,2007 - 2008,,,,,,,,,2.31,,,,,,
,,2008 - 2009,,,,,,,,,2.44,,,,,,
,,2009 - 2010,,,,,,,,,3.7,,,,,,
,,2011 - 2012,,,1.1,169.0,280.0,1.66,,,,,,,,,
,,2013 - 2014,,,2.51,62.0,133.0,2.15,,,,,,,,,
,,2014 - 2015,,,5.02,255.0,562.0,2.2,,,,,,,,,
,,2015 - 2016,,,3.87,348.0,559.0,1.61,,,,,,,,,
,,2016 - 2017,,,0.83,118.0,40.0,0.34,,,,,,,,,
,,2017 - 2018,318.0,,3.63,75.0,81.0,1.08,,,,,,,,,
,,2018 - 2019,,,3.95,56.0,70.0,1.25,,,,,,,,,
,,2019 - 2020,,,1.19,93.0,103.0,1.11,,,,,,,,,
,,2020 - 2021,189.0,215.0,1.14,1.0,1.0,1.0,,,,,,,,,
,,2021 - 2022,201.0,215.0,1.07,46.0,35.0,0.76,,,,,,,,,
,,2022 - 2023,154.0,128.0,0.83,5.0,4.0,0.8,,,,,,,,,
,Tirupathur,2020 - 2021,,,1.75,629.0,607.0,0.97,,,,,,,,,
,,2021 - 2022,,,1.23,822.0,636.0,0.77,,,,,,,,,
,,2022 - 2023,,,1.35,442.0,351.0,0.79,,,,,,,,,
,Tiruppur,2008 - 2009,,,,,,,,,0.0,,,,,,
,,2009 - 2010,,,,,,,,,0.21,,,,,,
,,2011 - 2012,,,0.57,,,0.73,,,,,,,,,
,,2013 - 2014,,,0.48,,,0.32,,,,,,,,,
,,2014 - 2015,,,0.56,,,0.12,,,,,,,,,
,,2015 - 2016,,,0.32,,,0.09,,,,,,,,,
,,2016 - 2017,,,0.32,,866.0,0.03,,,,,,,,,
,,2017 - 2018,,,0.39,,,0.17,,,,,,,,,
,,2018 - 2019,,,0.31,,,0.31,,,,,,,,,
,,2019 - 2020,,,0.19,,,0.17,,,,,,,,,
,,2020 - 2021,,,0.51,,,0.39,,,,,,,,,
,,2021 - 2022,,875.0,0.17,,,0.16,,,,,,,,,
,,2022 - 2023,,,0.4,,,0.25,,,,,,,,,
,Tiruvannamalai,2000 - 2001,,,0.92,,,,,,,,,,,,
,,2001 - 2002,,,0.91,,,,,,,,,,,,
,,2002 - 2003,,,0.66,,,,,,,,,,,,
,,2003 - 2004,,922.0,0.63,,,,,,,,,,,,
,,2004 - 2005,,,0.67,,,,,,,,,,,,
,,2005 - 2006,,882.0,0.71,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,1.01,,,,,,
,,2007 - 2008,,,,,,,,929.0,0.89,,,,,,
,,2008 - 2009,,,,,,,583.0,457.0,0.78,,,,,,
,,2009 - 2010,,,,,,,578.0,549.0,0.95,,,,,,
,,2011 - 2012,514.0,563.0,1.1,76.0,126.0,1.66,,,,,,,,,
,,2013 - 2014,555.0,618.0,1.11,234.0,504.0,2.15,,,,,,,,,
,,2014 - 2015,422.0,848.0,2.01,351.0,774.0,2.21,,,,,,,,,
,,2015 - 2016,305.0,319.0,1.05,66.0,106.0,1.61,,,,,,,,,
,,2016 - 2017,216.0,179.0,0.83,48.0,16.0,0.33,,,,,,,,,
,,2017 - 2018,308.0,351.0,1.14,380.0,410.0,1.08,,,,,,,,,
,,2018 - 2019,9.0,10.0,1.11,13.0,16.0,1.23,,,,,,,,,
,,2019 - 2020,31.0,37.0,1.19,4.0,5.0,1.25,,,,,,,,,
,,2020 - 2021,33.0,37.0,1.12,5.0,4.0,0.8,,,,,,,,,
,,2021 - 2022,30.0,32.0,1.07,2.0,2.0,1.0,,,,,,,,,
,,2022 - 2023,17.0,13.0,0.76,5.0,4.0,0.8,,,,,,,,,
,Vellore,2000 - 2001,,,1.09,,,,,,,,,,,,
,,2001 - 2002,,,1.47,,,,,,,,,,,,
,,2002 - 2003,,,1.42,,,,,,,,,,,,
,,2003 - 2004,,,1.08,,,,,,,,,,,,
,,2004 - 2005,,,1.31,,,,,,,,,,,,
,,2005 - 2006,,,1.22,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,1.02,,,,,,
,,2007 - 2008,,,,,,,,,1.35,,,,,,
,,2008 - 2009,,,,,,,,,0.81,,,,,,
,,2009 - 2010,,,,,,,,,0.85,,,,,,
,,2011 - 2012,,,1.59,5.0,8.0,1.6,,,,,,,,,
,,2013 - 2014,,,0.91,77.0,166.0,2.16,,,,,,,,,
,,2014 - 2015,,,2.8,148.0,324.0,2.19,,,,,,,,,
,,2015 - 2016,,,1.63,21.0,34.0,1.62,,,,,,,,,
,,2016 - 2017,,,1.31,179.0,61.0,0.34,,,,,,,,,
,,2017 - 2018,,,1.54,177.0,191.0,1.08,,,,,,,,,
,,2018 - 2019,,,1.63,617.0,773.0,1.25,,,,,,,,,
,,2019 - 2020,,,1.43,,,1.11,,,,,,,,,
,,2020 - 2021,,,1.36,371.0,358.0,0.96,,,,,,,,,
,,2021 - 2022,,,2.35,,,,,,,,,,,,
,,2022 - 2023,,,1.24,,,,,,,,,,,,
,Villupuram,2000 - 2001,,,0.92,,,,,,,,,,,,
,,2001 - 2002,,,1.29,,,,,,,,,,,,
,,2002 - 2003,,,0.69,,,,,,,,,,,,
,,2003 - 2004,,,0.59,,,,,,,,,,,,
,,2004 - 2005,,,0.72,,,,,,,,,,,,
,,2005 - 2006,,,0.79,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,0.86,,,,,,
,,2007 - 2008,,,,,,,,,1.05,,,,,,
,,2008 - 2009,,,,,,,,,1.33,,,,,,
,,2009 - 2010,,,,,,,,,1.29,,,,,,
,,2011 - 2012,69.0,71.0,1.03,2.0,3.0,1.5,,,,,,,,,
,,2013 - 2014,227.0,253.0,1.11,121.0,260.0,2.15,,,,,,,,,
,,2014 - 2015,540.0,,2.01,284.0,626.0,2.2,,,,,,,,,
,,2015 - 2016,329.0,344.0,1.05,206.0,331.0,1.61,,,,,,,,,
,,2016 - 2017,724.0,601.0,0.83,134.0,45.0,0.34,,,,,,,,,
,,2017 - 2018,,,1.14,256.0,276.0,1.08,,,,,,,,,
,,2018 - 2019,172.0,197.0,1.15,86.0,107.0,1.24,,,,,,,,,
,,2019 - 2020,387.0,462.0,1.19,29.0,33.0,1.14,,,,,,,,,
,,2020 - 2021,43.0,48.0,1.12,8.0,7.0,0.88,,,,,,,,,
,,2021 - 2022,46.0,49.0,1.07,4.0,3.0,0.75,,,,,,,,,
,,2022 - 2023,7.0,6.0,0.86,4.0,3.0,0.75,,,,,,,,,
,Virudhunagar,2000 - 2001,,,0.89,,,,,,,,,,,,
,,2001 - 2002,,,0.8,,,,,,,,,,,,
,,2002 - 2003,,,0.62,,,,,,,,,,,,
,,2003 - 2004,,,0.84,,,,,,,,,,,,
,,2004 - 2005,,,0.64,,,,,,,,,,,,
,,2005 - 2006,,,0.69,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,0.95,,,,,,
,,2007 - 2008,,,,,,,,,0.85,,,,,,
,,2008 - 2009,,,,,,,,,1.51,,,,,,
,,2009 - 2010,,,,,,,,,1.08,,,,,,
,,2011 - 2012,,,0.43,,,1.63,,,,,,,,,
,,2013 - 2014,,,2.31,,,2.55,,,,,,,,,
,,2014 - 2015,,,2.04,,,4.25,,,,,,,,,
,,2015 - 2016,,,2.3,,,2.95,,,,,,,,,
,,2016 - 2017,716.0,734.0,1.03,,,1.02,,,,,,,,,
,,2017 - 2018,,,1.14,,,2.51,,,,,,,,,
,,2018 - 2019,,,3.25,,,2.68,,,,,,,,,
,,2019 - 2020,,,1.65,,,2.43,,,,,,,,,
,,2020 - 2021,,,1.87,,,1.82,,,,,,,,,
,,2021 - 2022,,,1.61,,,2.01,,,,,,,,,
,,2022 - 2023,,,1.31,,,2.46,,,,,,,,,
Telangana,Adilabad,2000 - 2001,,,1.6,,,0.59,,,,,,,,,
,,2001 - 2002,,,1.68,,,0.85,,,,,,,,,
,,2002 - 2003,,,1.54,,,0.45,,,,,,,,,
,,2003 - 2004,,,1.44,,,0.61,,,,,,,,,
,,2004 - 2005,,,1.56,,,0.41,,,,,,,,,
,,2005 - 2006,,,1.87,,,0.69,,,,,,,,,
,,2006 - 2007,,,1.51,,,0.67,,,,,,,,,
,,2007 - 2008,,,2.35,,,0.8,,,,,,,,,
,,2008 - 2009,,,1.78,,,0.84,,,,,,,,,
,,2009 - 2010,,,1.76,,,0.67,,,,,,,,,
,,2010 - 2011,,,1.06,,,0.63,,,,,,,,,
,,2011 - 2012,,,1.86,,,0.98,,,,,,,,,
,,2012 - 2013,,,1.39,,,0.91,,,,,,,,,
,,2013 - 2014,,,0.89,,,0.74,,,,,,,,,
,,2014 - 2015,,,0.99,,,0.76,,,,,,,,,
,,2015 - 2016,,,1.17,,,0.81,,,,,,,,,
,,2016 - 2017,,,0.97,,,0.87,,,,,,,,,
,,2017 - 2018,,,0.74,,,1.27,,,,,,,,,
,,2018 - 2019,,,0.72,,,1.27,,,,,,,,,
,,2019 - 2020,,,1.05,,,2.27,,,,,,,,,
,,2020 - 2021,,,0.83,,,2.73,,,,,,,,,
,,2021 - 2022,,744.0,0.41,,,1.79,,,,,,,,,
,,2022 - 2023,,504.0,0.42,,,1.46,,,,,,,,,
,Bhadradri,2016 - 2017,2.0,2.0,1.0,47.0,56.0,1.19,,,,,,,,,
,,2017 - 2018,,,,120.0,162.0,1.35,,,,,,,,,
,,2018 - 2019,,,,120.0,198.0,1.65,,,,,,,,,
,,2019 - 2020,6.0,7.0,1.17,202.0,430.0,2.13,,,,,,,,,
,,2020 - 2021,8.0,6.0,0.75,242.0,612.0,2.53,,,,,,,,,
,,2021 - 2022,18.0,12.0,0.67,685.0,,2.23,,,,,,,,,
,,2022 - 2023,10.0,7.0,0.7,381.0,786.0,2.06,,,,,,,,,
,Jagitial,2016 - 2017,,,,705.0,839.0,1.19,,,,,,,,,
,,2017 - 2018,,,,242.0,327.0,1.35,,,,,,,,,
,,2018 - 2019,,,,98.0,162.0,1.65,,,,,,,,,
,,2019 - 2020,,,,40.0,85.0,2.13,,,,,,,,,
,,2020 - 2021,2.0,2.0,1.0,229.0,576.0,2.52,,,,,,,,,
,,2021 - 2022,4.0,3.0,0.75,310.0,817.0,2.64,,,,,,,,,
,,2022 - 2023,,,,56.0,116.0,2.07,,,,,,,,,
,Jangoan,2016 - 2017,27.0,23.0,0.85,94.0,112.0,1.19,,,,,,,,,
,,2017 - 2018,14.0,13.0,0.93,56.0,76.0,1.36,,,,,,,,,
,,2018 - 2019,4.0,4.0,1.0,16.0,26.0,1.63,,,,,,,,,
,,2019 - 2020,61.0,72.0,1.18,83.0,177.0,2.13,,,,,,,,,
,,2020 - 2021,40.0,32.0,0.8,90.0,227.0,2.52,,,,,,,,,
,,2021 - 2022,9.0,6.0,0.67,216.0,429.0,1.99,,,,,,,,,
,,2022 - 2023,21.0,14.0,0.67,35.0,72.0,2.06,,,,,,,,,
,Jayashankar,2016 - 2017,,,,7.0,8.0,1.14,,,,,,,,,
,,2017 - 2018,,,,3.0,4.0,1.33,,,,,,,,,
,,2018 - 2019,,,,2.0,3.0,1.5,,,,,,,,,
,,2020 - 2021,,,,2.0,6.0,3.0,,,,,,,,,
,,2021 - 2022,,,,4.0,8.0,2.0,,,,,,,,,
,,2022 - 2023,11.0,7.0,0.64,103.0,212.0,2.06,,,,,,,,,
,Jogulamba,2016 - 2017,735.0,584.0,0.79,,,1.28,,,,,,,,,
,,2017 - 2018,92.0,87.0,0.95,,,3.02,,,,,,,,,
,,2018 - 2019,95.0,88.0,0.93,,,2.07,,,,,,,,,
,,2019 - 2020,342.0,405.0,1.18,940.0,,2.33,,,,,,,,,
,,2020 - 2021,187.0,152.0,0.81,,,2.65,,,,,,,,,
,,2021 - 2022,84.0,56.0,0.67,,,1.07,,,,,,,,,
,,2022 - 2023,61.0,41.0,0.67,,,0.97,,,,,,,,,
,Kamareddy,2016 - 2017,209.0,122.0,0.58,,,1.82,,,,,,,,,
,,2017 - 2018,153.0,144.0,0.94,,,1.46,,,,,,,,,
,,2018 - 2019,257.0,239.0,0.93,,,2.63,,,,,,,,,
,,2019 - 2020,157.0,186.0,1.18,,,3.75,,,,,,,,,
,,2020 - 2021,119.0,96.0,0.81,,,3.99,,,,,,,,,
,,2021 - 2022,19.0,13.0,0.68,,,2.87,,,,,,,,,
,,2022 - 2023,20.0,14.0,0.7,,,3.93,,,,,,,,,
,Karimnagar,2000 - 2001,202.0,146.0,0.72,,,1.08,,,,,,,,,
,,2001 - 2002,,,0.96,,,0.97,,,,,,,,,
,,2002 - 2003,229.0,225.0,0.98,,,0.8,,,,,,,,,
,,2003 - 2004,,955.0,0.91,,948.0,0.93,,,,,,,,,
,,2004 - 2005,145.0,127.0,0.88,,,0.97,,,,,,,,,
,,2005 - 2006,258.0,310.0,1.2,,,0.81,,,,,,,,,
,,2006 - 2007,37.0,39.0,1.05,347.0,327.0,0.94,,,,,,,,,
,,2009 - 2010,,,,956.0,806.0,0.84,,,,,,,,,
,,2010 - 2011,16.0,15.0,0.94,239.0,310.0,1.3,,,,,,,,,
,,2011 - 2012,,,,233.0,48.0,0.21,,,,,,,,,
,,2013 - 2014,,,,124.0,151.0,1.22,,,,,,,,,
,,2014 - 2015,4.0,4.0,1.0,,,1.53,,,,,,,,,
,,2015 - 2016,,,,52.0,98.0,1.88,,,,,,,,,
,,2019 - 2020,1.0,1.0,1.0,,,,,,,,,,,,
,,2020 - 2021,18.0,14.0,0.78,6.0,20.0,3.33,,,,,,,,,
,,2021 - 2022,2.0,1.0,0.5,22.0,44.0,2.0,,,,,,,,,
,,2022 - 2023,1.0,1.0,1.0,,,,,,,,,,,,
,Khammam,2000 - 2001,,,0.94,,,0.6,,,,,,,,,
,,2001 - 2002,,,1.25,,,0.69,,,,,,,,,
,,2002 - 2003,,,0.91,,,0.65,,,,,,,,,
,,2003 - 2004,,,0.65,,,1.36,,,,,,,,,
,,2004 - 2005,542.0,331.0,0.61,,,0.74,,,,,,,,,
,,2005 - 2006,293.0,255.0,0.87,,,0.69,,,,,,,,,
,,2006 - 2007,208.0,187.0,0.9,,,0.86,,,,,,,,,
,,2007 - 2008,,,,,,1.33,,,,,,,,,
,,2008 - 2009,272.0,357.0,1.31,,,0.88,,,,,,,,,
,,2009 - 2010,194.0,144.0,0.74,,,0.79,,,,,,,,,
,,2010 - 2011,138.0,114.0,0.83,,,0.92,,,,,,,,,
,,2011 - 2012,64.0,97.0,1.52,,878.0,0.45,,,,,,,,,
,,2012 - 2013,,,,,,1.0,,,,,,,,,
,,2013 - 2014,,,,358.0,341.0,0.95,,,,,,,,,
,,2014 - 2015,1.0,1.0,1.0,529.0,599.0,1.13,,,,,,,,,
,,2015 - 2016,,,,235.0,188.0,0.8,,,,,,,,,
,,2016 - 2017,,,,227.0,270.0,1.19,,,,,,,,,
,,2017 - 2018,10.0,9.0,0.9,208.0,281.0,1.35,,,,,,,,,
,,2018 - 2019,2.0,2.0,1.0,247.0,408.0,1.65,,,,,,,,,
,,2019 - 2020,12.0,14.0,1.17,272.0,579.0,2.13,,,,,,,,,
,,2020 - 2021,8.0,6.0,0.75,451.0,,2.52,,,,,,,,,
,,2021 - 2022,12.0,8.0,0.67,245.0,276.0,1.13,,,,,,,,,
,,2022 - 2023,10.0,7.0,0.7,137.0,203.0,1.48,,,,,,,,,
,Komaram bheem asifabad,2016 - 2017,,,0.97,,,0.9,,,,,,,,,
,,2017 - 2018,,,1.19,,,0.84,,,,,,,,,
,,2018 - 2019,,,1.07,,,1.15,,,,,,,,,
,,2019 - 2020,,,0.8,,,0.9,,,,,,,,,
,,2020 - 2021,931.0,862.0,0.93,,,0.62,,,,,,,,,
,,2021 - 2022,654.0,125.0,0.19,,,0.92,,,,,,,,,
,,2022 - 2023,529.0,35.0,0.07,,,0.96,,,,,,,,,
,Mahabubabad,2016 - 2017,,,,,,0.82,,,,,,,,,
,,2017 - 2018,20.0,19.0,0.95,,,1.16,,,,,,,,,
,,2018 - 2019,,,,,,1.23,,,,,,,,,
,,2019 - 2020,1.0,1.0,1.0,798.0,351.0,0.44,,,,,,,,,
,,2020 - 2021,31.0,25.0,0.81,,,1.48,,,,,,,,,
,,2021 - 2022,12.0,8.0,0.67,,876.0,0.8,,,,,,,,,
,,2022 - 2023,10.0,7.0,0.7,414.0,492.0,1.19,,,,,,,,,
,Mahbubnagar,2000 - 2001,,,0.76,,,0.7,,,,,,,,,
,,2001 - 2002,,,0.71,,,0.62,,,,,,,,,
,,2002 - 2003,,,0.92,,,0.86,,,,,,,,,
,,2003 - 2004,,,0.76,,,0.6,,,,,,,,,
,,2004 - 2005,,,0.45,,,0.6,,,,,,,,,
,,2005 - 2006,,,0.97,,,0.82,,,,,,,,,
,,2006 - 2007,,,0.82,,,0.7,,,,,,,,,
,,2007 - 2008,,,0.98,,,0.94,,,,,,,,,
,,2008 - 2009,,,0.88,,,0.89,,,,,,,,,
,,2009 - 2010,,,0.55,,,0.85,,,,,,,,,
,,2010 - 2011,,,0.87,,,0.83,,,,,,,,,
,,2011 - 2012,,,0.83,,,0.5,,,,,,,,,
,,2012 - 2013,,,1.21,,,1.0,,,,,,,,,
,,2013 - 2014,,,1.19,,,0.84,,,,,,,,,
,,2014 - 2015,,,1.17,,,0.91,,,,,,,,,
,,2015 - 2016,,,1.03,,,0.81,,,,,,,,,
,,2016 - 2017,,,0.79,,,0.87,,,,,,,,,
,,2017 - 2018,,,1.06,960.0,900.0,0.94,,,,,,,,,
,,2018 - 2019,,,1.05,,,,,,,,,,,,
,,2019 - 2020,,,1.0,17.0,36.0,2.12,,,,,,,,,
,,2020 - 2021,,,0.65,27.0,71.0,2.63,,,,,,,,,
,,2021 - 2022,,,0.74,72.0,143.0,1.99,,,,,,,,,
,,2022 - 2023,,,0.62,173.0,357.0,2.06,,,,,,,,,
,Mancherial,2016 - 2017,,,,390.0,464.0,1.19,,,,,,,,,
,,2017 - 2018,40.0,38.0,0.95,387.0,523.0,1.35,,,,,,,,,
,,2018 - 2019,10.0,9.0,0.9,232.0,383.0,1.65,,,,,,,,,
,,2019 - 2020,18.0,21.0,1.17,183.0,389.0,2.13,,,,,,,,,
,,2020 - 2021,41.0,33.0,0.8,414.0,,2.53,,,,,,,,,
,,2021 - 2022,1.0,1.0,1.0,260.0,246.0,0.95,,,,,,,,,
,,2022 - 2023,1.0,1.0,1.0,177.0,302.0,1.71,,,,,,,,,
,Medak,2000 - 2001,,,0.97,,,0.62,,,,,,,,,
,,2001 - 2002,,,1.1,,,0.75,,,,,,,,,
,,2002 - 2003,,,0.84,,,1.04,,,,,,,,,
,,2003 - 2004,,,0.82,,,0.78,,,,,,,,,
,,2004 - 2005,,,0.95,,,0.83,,,,,,,,,
,,2005 - 2006,,,1.45,,,0.9,,,,,,,,,
,,2006 - 2007,,,0.86,,,0.93,,,,,,,,,
,,2007 - 2008,,,1.35,,,1.05,,,,,,,,,
,,2008 - 2009,,,1.17,,,0.88,,,,,,,,,
,,2009 - 2010,,,0.58,,,1.23,,,,,,,,,
,,2010 - 2011,,,1.14,,,1.09,,,,,,,,,
,,2011 - 2012,,,1.49,,,1.16,,,,,,,,,
,,2012 - 2013,,,1.23,,,1.0,,,,,,,,,
,,2013 - 2014,,,1.17,,,1.02,,,,,,,,,
,,2014 - 2015,,,1.1,,,1.0,,,,,,,,,
,,2015 - 2016,,,1.16,,,0.79,,,,,,,,,
,,2016 - 2017,,760.0,0.71,697.0,852.0,1.22,,,,,,,,,
,,2017 - 2018,463.0,437.0,0.94,622.0,975.0,1.57,,,,,,,,,
,,2018 - 2019,261.0,243.0,0.93,502.0,,2.13,,,,,,,,,
,,2019 - 2020,723.0,856.0,1.18,965.0,,2.9,,,,,,,,,
,,2020 - 2021,435.0,355.0,0.82,,,3.48,,,,,,,,,
,,2021 - 2022,207.0,137.0,0.66,,,2.49,,,,,,,,,
,,2022 - 2023,73.0,50.0,0.68,,,2.02,,,,,,,,,
,Medchal,2016 - 2017,38.0,50.0,1.32,6.0,7.0,1.17,,,,,,,,,
,,2017 - 2018,64.0,60.0,0.94,8.0,11.0,1.38,,,,,,,,,
,,2018 - 2019,24.0,22.0,0.92,7.0,12.0,1.71,,,,,,,,,
,,2019 - 2020,124.0,147.0,1.19,7.0,15.0,2.14,,,,,,,,,
,,2020 - 2021,131.0,106.0,0.81,3.0,8.0,2.67,,,,,,,,,
,,2021 - 2022,45.0,30.0,0.67,12.0,24.0,2.0,,,,,,,,,
,,2022 - 2023,19.0,13.0,0.68,2.0,4.0,2.0,,,,,,,,,
,Mulugu,2018 - 2019,,,,4.0,7.0,1.75,,,,,,,,,
,,2020 - 2021,,,,1.0,2.0,2.0,,,,,,,,,
,,2021 - 2022,5.0,3.0,0.6,46.0,91.0,1.98,,,,,,,,,
,,2022 - 2023,,,,24.0,50.0,2.08,,,,,,,,,
,Nagarkurnool,2016 - 2017,,,0.8,851.0,,1.19,,,,,,,,,
,,2017 - 2018,,,0.61,415.0,311.0,0.75,,,,,,,,,
,,2018 - 2019,,,0.68,525.0,868.0,1.65,,,,,,,,,
,,2019 - 2020,,,1.3,887.0,,2.13,,,,,,,,,
,,2020 - 2021,,,0.94,510.0,,2.52,,,,,,,,,
,,2021 - 2022,757.0,601.0,0.79,388.0,311.0,0.8,,,,,,,,,
,,2022 - 2023,,778.0,0.74,586.0,645.0,1.1,,,,,,,,,
,Nalgonda,2000 - 2001,,,0.56,,,0.23,,,,,,,,,
,,2001 - 2002,,,0.34,,,0.65,,,,,,,,,
,,2002 - 2003,,,0.25,,,0.4,,,,,,,,,
,,2003 - 2004,,,0.51,,,0.7,,,,,,,,,
,,2004 - 2005,,,0.21,,,0.5,,,,,,,,,
,,2005 - 2006,,,0.45,,,0.58,,,,,,,,,
,,2006 - 2007,,672.0,0.24,,,0.58,,,,,,,,,
,,2007 - 2008,,,0.67,,,0.44,,,,,,,,,
,,2008 - 2009,,,0.68,,,0.39,,,,,,,,,
,,2009 - 2010,,,0.64,,,0.67,,,,,,,,,
,,2010 - 2011,,,0.71,,,0.68,,,,,,,,,
,,2011 - 2012,,,1.18,543.0,394.0,0.73,,,,,,,,,
,,2012 - 2013,,,0.67,,,0.5,,,,,,,,,
,,2013 - 2014,,,0.63,,723.0,0.57,,,,,,,,,
,,2014 - 2015,815.0,267.0,0.33,,376.0,0.35,,,,,,,,,
,,2015 - 2016,,572.0,0.47,937.0,231.0,0.25,,,,,,,,,
,,2016 - 2017,,461.0,0.43,8.0,10.0,1.25,,,,,,,,,
,,2017 - 2018,245.0,231.0,0.94,26.0,35.0,1.35,,,,,,,,,
,,2018 - 2019,48.0,45.0,0.94,11.0,18.0,1.64,,,,,,,,,
,,2019 - 2020,294.0,348.0,1.18,47.0,100.0,2.13,,,,,,,,,
,,2020 - 2021,224.0,182.0,0.81,33.0,80.0,2.42,,,,,,,,,
,,2021 - 2022,75.0,50.0,0.67,110.0,218.0,1.98,,,,,,,,,
,,2022 - 2023,78.0,53.0,0.68,250.0,516.0,2.06,,,,,,,,,
,Narayanapet,2018 - 2019,,,1.05,744.0,451.0,0.61,,,,,,,,,
,,2019 - 2020,,,1.09,644.0,806.0,1.25,,,,,,,,,
,,2020 - 2021,,,0.68,,,1.12,,,,,,,,,
,,2021 - 2022,,,0.91,,,1.12,,,,,,,,,
,,2022 - 2023,,,1.0,847.0,830.0,0.98,,,,,,,,,
,Nirmal,2016 - 2017,42.0,41.0,0.98,,,1.71,,,,,,,,,
,,2017 - 2018,4.0,4.0,1.0,,,1.43,,,,,,,,,
