state,district,year,peas_and_beans_rabi_yield_tonne_per_hectare
,,2021 - 2022,1.82
,,2022 - 2023,0.9
,Gumla,2014 - 2015,0.48
,,2015 - 2016,0.88
,,2017 - 2018,1.74
,,2018 - 2019,1.71
,,2019 - 2020,1.82
,,2020 - 2021,1.81
,,2021 - 2022,0.66
,,2022 - 2023,0.67
,Hazaribagh,2014 - 2015,0.89
,,2015 - 2016,1.13
,,2017 - 2018,1.02
,,2018 - 2019,1.02
,,2019 - 2020,1.03
,,2020 - 2021,1.03
,,2021 - 2022,1.01
,,2022 - 2023,1.01
,Jamtara,2015 - 2016,0.4
,,2017 - 2018,1.15
,,2018 - 2019,1.6
,,2019 - 2020,1.38
,,2020 - 2021,1.0
,,2021 - 2022,1.05
,,2022 - 2023,2.15
,Khunti,2014 - 2015,0.93
,,2015 - 2016,0.77
,,2017 - 2018,1.25
,,2018 - 2019,1.2
,,2019 - 2020,1.2
,,2020 - 2021,0.9
,,2021 - 2022,0.9
,,2022 - 2023,0.9
,Koderma,2014 - 2015,0.9
,,2015 - 2016,1.2
,,2017 - 2018,2.0
,,2018 - 2019,2.0
,,2019 - 2020,2.0
,,2020 - 2021,2.0
,,2021 - 2022,1.5
,,2022 - 2023,1.5
,Latehar,2014 - 2015,0.69
,,2015 - 2016,0.45
,,2017 - 2018,0.48
,,2018 - 2019,0.49
,,2019 - 2020,0.48
,,2020 - 2021,0.48
,,2021 - 2022,0.48
,,2022 - 2023,0.48
,Lohardaga,2014 - 2015,1.8
,,2015 - 2016,1.06
,,2017 - 2018,0.51
,,2018 - 2019,0.99
,,2019 - 2020,0.99
,,2020 - 2021,0.99
,,2021 - 2022,0.94
,,2022 - 2023,0.99
,Pakur,2015 - 2016,0.97
,,2017 - 2018,0.9
,,2018 - 2019,0.9
,,2019 - 2020,0.9
,,2020 - 2021,0.9
,,2021 - 2022,0.9
,,2022 - 2023,0.6
,Palamu,2014 - 2015,0.71
,,2015 - 2016,0.56
,,2017 - 2018,0.93
,,2018 - 2019,1.05
,,2019 - 2020,0.93
,,2020 - 2021,0.94
,,2021 - 2022,0.94
,,2022 - 2023,0.84
,Ramgarh,2017 - 2018,1.03
,,2018 - 2019,1.03
,,2019 - 2020,1.03
,,2020 - 2021,1.03
,,2021 - 2022,1.01
,,2022 - 2023,1.01
,Ranchi,2014 - 2015,0.69
,,2015 - 2016,1.23
,,2017 - 2018,1.1
,,2018 - 2019,1.2
,,2019 - 2020,1.2
,,2020 - 2021,0.8
,,2021 - 2022,1.2
,,2022 - 2023,1.2
,Sahebganj,2014 - 2015,1.71
,,2015 - 2016,1.3
,,2017 - 2018,0.5
,,2018 - 2019,0.56
,,2019 - 2020,0.56
,,2020 - 2021,0.56
,,2021 - 2022,0.56
,,2022 - 2023,0.56
,Saraikela kharsawan,2014 - 2015,0.89
,,2015 - 2016,0.66
,,2017 - 2018,1.25
,,2018 - 2019,0.85
,,2019 - 2020,0.95
,,2020 - 2021,0.95
,,2021 - 2022,0.95
,,2022 - 2023,0.95
,Simdega,2014 - 2015,0.63
,,2015 - 2016,0.98
,,2017 - 2018,1.98
,,2018 - 2019,1.98
,,2019 - 2020,1.73
,,2020 - 2021,1.93
,,2021 - 2022,1.75
,,2022 - 2023,1.75
,West singhbhum,2014 - 2015,0.89
,,2017 - 2018,1.18
,,2018 - 2019,1.14
,,2019 - 2020,1.12
,,2020 - 2021,1.14
,,2021 - 2022,1.14
,,2022 - 2023,1.14
Karnataka,Bangalore rural,2001 - 2002,
,,2005 - 2006,12.41
,,2010 - 2011,7.11
,,2011 - 2012,3.36
,Belgaum,2001 - 2002,
,,2005 - 2006,5.26
,,2010 - 2011,7.09
,,2011 - 2012,5.89
,Bengaluru urban,2001 - 2002,
,,2005 - 2006,11.75
,,2010 - 2011,7.67
,,2011 - 2012,7.36
,Bidar,2001 - 2002,
,,2005 - 2006,7.0
,,2010 - 2011,7.08
,,2011 - 2012,7.33
,Bijapur,2001 - 2002,
,,2005 - 2006,
,,2010 - 2011,
,,2011 - 2012,
,Chamarajanagar,2001 - 2002,
,,2005 - 2006,2.1
,,2010 - 2011,8.44
,,2011 - 2012,8.34
,Chikballapur,2010 - 2011,6.33
,,2011 - 2012,9.31
,Chikmagalur,2001 - 2002,
,,2005 - 2006,7.0
,,2010 - 2011,7.07
,,2011 - 2012,9.72
,Chitradurga,2001 - 2002,
,,2005 - 2006,
,,2010 - 2011,7.13
,,2011 - 2012,7.33
,Davangere,2001 - 2002,
,,2005 - 2006,7.0
,,2010 - 2011,7.11
,,2011 - 2012,10.05
,Dharwad,2001 - 2002,
,,2005 - 2006,
,,2010 - 2011,
,,2011 - 2012,7.5
,Gadag,2005 - 2006,7.0
,Gulbarga,2011 - 2012,
,Hassan,2001 - 2002,
,,2005 - 2006,7.0
,,2010 - 2011,7.57
,,2011 - 2012,8.37
,Haveri,2001 - 2002,
,,2005 - 2006,7.0
,,2010 - 2011,7.13
,,2011 - 2012,7.25
,Kodagu,2005 - 2006,
,,2010 - 2011,7.07
,,2011 - 2012,
,Kolar,2001 - 2002,
,,2005 - 2006,6.31
,,2010 - 2011,7.54
,,2011 - 2012,8.47
,Koppal,2005 - 2006,
,Mandya,2001 - 2002,
,,2005 - 2006,7.03
,,2010 - 2011,3.39
,,2011 - 2012,3.19
,Mysore,2001 - 2002,
,,2005 - 2006,7.0
,,2010 - 2011,9.25
,,2011 - 2012,7.91
,Raichur,2001 - 2002,
,Ramanagara,2010 - 2011,7.17
,,2011 - 2012,9.5
,Shimoga,2001 - 2002,
,,2005 - 2006,7.0
,,2010 - 2011,
,,2011 - 2012,
,Tumkur,2001 - 2002,
,,2005 - 2006,7.04
,,2010 - 2011,7.09
,,2011 - 2012,4.71
Ladakh,Kargil,2022 - 2023,1.34
,Leh ladakh,2020 - 2021,1.31
,,2021 - 2022,1.34
,,2022 - 2023,1.2
Madhya Pradesh,Agar malwa,2013 - 2014,0.58
,,2015 - 2016,1.0
,,2017 - 2018,1.4
,,2018 - 2019,0.27
,,2019 - 2020,0.29
,,2020 - 2021,1.15
,,2021 - 2022,0.5
,Alirajpur,2008 - 2009,0.53
,,2009 - 2010,
,,2010 - 2011,0.33
,,2011 - 2012,0.35
,,2012 - 2013,0.51
,,2013 - 2014,0.98
,,2018 - 2019,0.88
,,2019 - 2020,0.88
,,2020 - 2021,0.5
,,2021 - 2022,1.0
,Anuppur,2005 - 2006,0.32
,,2006 - 2007,0.33
,,2007 - 2008,0.38
,,2008 - 2009,0.31
,,2009 - 2010,
,,2010 - 2011,0.16
,,2011 - 2012,0.24
,,2012 - 2013,0.47
,,2013 - 2014,0.72
,,2014 - 2015,0.67
,,2015 - 2016,0.5
,,2016 - 2017,0.67
,,2017 - 2018,0.7
,,2018 - 2019,0.5
,,2019 - 2020,0.67
,,2020 - 2021,0.66
,,2021 - 2022,0.7
,,2022 - 2023,0.72
,Ashoknagar,2005 - 2006,0.52
,,2006 - 2007,0.61
,,2007 - 2008,0.52
,,2008 - 2009,0.59
,,2009 - 2010,
,,2010 - 2011,0.43
,,2011 - 2012,0.54
,,2012 - 2013,0.64
,,2013 - 2014,0.73
,,2014 - 2015,2.0
,,2015 - 2016,0.75
,,2016 - 2017,0.5
,,2018 - 2019,0.65
,,2019 - 2020,0.65
,,2020 - 2021,1.56
,,2021 - 2022,0.65
,,2022 - 2023,0.86
,Balaghat,2005 - 2006,0.29
,,2006 - 2007,0.29
,,2007 - 2008,0.29
,,2008 - 2009,0.29
,,2009 - 2010,
,,2010 - 2011,0.25
,,2011 - 2012,0.25
,,2012 - 2013,0.45
,,2013 - 2014,0.47
,,2014 - 2015,1.5
,,2015 - 2016,1.33
,,2016 - 2017,0.21
,,2017 - 2018,0.86
,,2018 - 2019,0.45
,,2019 - 2020,0.45
,,2020 - 2021,0.46
,,2021 - 2022,0.46
,,2022 - 2023,0.56
,Barwani,2005 - 2006,0.25
,,2006 - 2007,0.33
,,2007 - 2008,0.33
,,2008 - 2009,0.5
,,2011 - 2012,0.0
,,2014 - 2015,1.0
,,2019 - 2020,0.0
,,2020 - 2021,1.0
,Betul,2005 - 2006,0.35
,,2006 - 2007,0.36
,,2007 - 2008,0.37
,,2008 - 2009,0.36
,,2009 - 2010,
,,2010 - 2011,0.11
,,2011 - 2012,0.52
,,2012 - 2013,0.51
,,2013 - 2014,0.62
,,2014 - 2015,1.5
,,2015 - 2016,0.75
,,2016 - 2017,0.33
,,2017 - 2018,1.06
,,2018 - 2019,1.05
,,2019 - 2020,0.46
,,2020 - 2021,1.04
,,2021 - 2022,0.45
,,2022 - 2023,0.76
,Bhind,2005 - 2006,0.54
,,2006 - 2007,0.42
,,2007 - 2008,0.38
,,2008 - 2009,0.52
,,2009 - 2010,
,,2010 - 2011,0.34
,,2011 - 2012,0.39
,,2012 - 2013,1.44
,,2013 - 2014,1.61
,,2014 - 2015,1.75
,,2015 - 2016,0.88
,,2016 - 2017,1.44
,,2017 - 2018,2.01
,,2018 - 2019,1.25
,,2019 - 2020,0.97
,,2020 - 2021,1.37
,,2021 - 2022,0.9
,,2022 - 2023,1.43
,Bhopal,2005 - 2006,0.36
,,2006 - 2007,0.37
,,2007 - 2008,0.37
,,2008 - 2009,0.37
,,2009 - 2010,
,,2010 - 2011,0.23
,,2011 - 2012,0.37
,,2012 - 2013,0.6
,,2013 - 2014,0.46
,,2014 - 2015,2.0
,,2015 - 2016,0.8
,,2017 - 2018,0.46
,,2018 - 2019,0.43
,,2019 - 2020,0.54
,,2020 - 2021,1.26
,,2021 - 2022,0.88
,,2022 - 2023,0.82
,Burhanpur,2003 - 2004,0.4
,,2005 - 2006,0.4
,,2006 - 2007,0.38
,,2007 - 2008,0.38
,,2008 - 2009,0.3
,,2009 - 2010,
,,2010 - 2011,0.22
,,2011 - 2012,0.31
,,2012 - 2013,0.45
,,2013 - 2014,0.86
,,2018 - 2019,1.0
,,2020 - 2021,1.0
,Chhatarpur,2005 - 2006,0.34
,,2006 - 2007,0.25
,,2007 - 2008,0.24
,,2008 - 2009,0.32
,,2009 - 2010,
,,2010 - 2011,0.18
,,2011 - 2012,0.19
,,2012 - 2013,0.69
,,2013 - 2014,0.61
,,2014 - 2015,0.7
,,2015 - 2016,0.85
,,2016 - 2017,1.36
,,2017 - 2018,0.98
,,2018 - 2019,1.07
,,2019 - 2020,0.9
,,2020 - 2021,1.2
,,2021 - 2022,0.81
,,2022 - 2023,0.97
,Chhindwara,2005 - 2006,0.43
,,2006 - 2007,0.51
,,2007 - 2008,0.51
,,2008 - 2009,0.44
,,2009 - 2010,
,,2010 - 2011,0.48
,,2011 - 2012,0.54
,,2012 - 2013,0.66
,,2013 - 2014,0.72
,,2014 - 2015,1.17
,,2015 - 2016,0.75
,,2018 - 2019,0.51
,,2019 - 2020,0.83
,,2020 - 2021,0.58
,,2021 - 2022,0.6
,,2022 - 2023,0.74
,Damoh,2005 - 2006,0.52
,,2006 - 2007,0.44
,,2007 - 2008,0.45
,,2008 - 2009,0.65
,,2009 - 2010,
,,2010 - 2011,0.4
,,2011 - 2012,0.53
,,2012 - 2013,0.73
,,2013 - 2014,0.35
,,2014 - 2015,0.7
,,2015 - 2016,0.93
,,2016 - 2017,0.45
,,2017 - 2018,1.14
,,2018 - 2019,0.73
,,2019 - 2020,0.71
,,2020 - 2021,0.73
,,2021 - 2022,0.73
,,2022 - 2023,0.75
,Datia,2005 - 2006,0.67
,,2006 - 2007,0.55
,,2007 - 2008,0.41
,,2008 - 2009,0.72
,,2009 - 2010,
,,2010 - 2011,0.31
,,2011 - 2012,0.48
,,2012 - 2013,1.52
,,2013 - 2014,1.93
,,2014 - 2015,1.67
,,2015 - 2016,1.03
,,2016 - 2017,1.66
,,2018 - 2019,1.93
,,2019 - 2020,1.93
,,2020 - 2021,1.2
,,2021 - 2022,0.82
,,2022 - 2023,1.59
,Dewas,2005 - 2006,0.47
,,2006 - 2007,0.55
,,2007 - 2008,0.59
,,2008 - 2009,0.59
,,2014 - 2015,1.33
,,2015 - 2016,0.5
,,2018 - 2019,0.59
,,2019 - 2020,0.63
,,2020 - 2021,0.83
,,2021 - 2022,0.79
,,2022 - 2023,0.83
,Dhar,2005 - 2006,0.32
,,2006 - 2007,0.45
,,2007 - 2008,0.42
,,2008 - 2009,0.4
,,2009 - 2010,
,,2010 - 2011,0.31
,,2011 - 2012,0.31
,,2012 - 2013,0.4
,,2013 - 2014,0.61
,,2014 - 2015,1.0
,,2015 - 2016,0.67
,,2017 - 2018,0.54
,,2018 - 2019,0.58
,,2019 - 2020,0.9
,,2020 - 2021,0.83
,,2021 - 2022,0.51
,,2022 - 2023,0.71
,Dindori,2005 - 2006,0.19
,,2006 - 2007,0.23
,,2007 - 2008,0.18
,,2008 - 2009,0.23
,,2009 - 2010,
,,2010 - 2011,0.06
,,2011 - 2012,0.13
,,2012 - 2013,0.4
,,2013 - 2014,0.89
,,2014 - 2015,1.38
,,2015 - 2016,1.07
,,2016 - 2017,0.89
,,2017 - 2018,0.78
,,2018 - 2019,0.57
,,2019 - 2020,0.69
,,2020 - 2021,0.98
,,2021 - 2022,0.71
,,2022 - 2023,0.71
,Guna,2005 - 2006,0.57
,,2006 - 2007,0.58
,,2007 - 2008,0.49
,,2008 - 2009,0.53
,,2009 - 2010,
,,2010 - 2011,0.48
,,2011 - 2012,0.42
,,2012 - 2013,0.73
,,2013 - 2014,1.01
,,2015 - 2016,0.8
,,2018 - 2019,1.3
,,2019 - 2020,1.33
,,2020 - 2021,0.99
,,2021 - 2022,0.9
,,2022 - 2023,0.88
,Gwalior,2005 - 2006,0.61
,,2006 - 2007,0.56
,,2007 - 2008,0.43
,,2008 - 2009,0.7
,,2009 - 2010,
,,2010 - 2011,0.49
,,2011 - 2012,0.51
,,2012 - 2013,0.51
,,2013 - 2014,0.51
,,2014 - 2015,1.5
,,2015 - 2016,0.6
,,2016 - 2017,1.75
,,2018 - 2019,0.54
,,2019 - 2020,0.59
,,2020 - 2021,1.39
,,2021 - 2022,0.66
,,2022 - 2023,1.03
,Harda,2005 - 2006,0.35
,,2006 - 2007,0.35
,,2007 - 2008,0.27
,,2008 - 2009,0.38
,,2009 - 2010,
,,2010 - 2011,0.35
,,2011 - 2012,0.32
,,2012 - 2013,0.6
,,2013 - 2014,0.62
,,2015 - 2016,1.0
,,2018 - 2019,0.57
,,2019 - 2020,0.7
,,2020 - 2021,0.95
,,2021 - 2022,98.89
,,2022 - 2023,0.59
,Hoshangabad,2005 - 2006,0.48
,,2006 - 2007,0.49
,,2007 - 2008,0.47
,,2008 - 2009,0.49
,,2009 - 2010,
,,2010 - 2011,0.42
,,2011 - 2012,0.45
,,2012 - 2013,0.56
,,2013 - 2014,0.37
,,2014 - 2015,1.0
,,2015 - 2016,0.67
,,2016 - 2017,0.33
,,2017 - 2018,0.64
,,2018 - 2019,0.48
,,2019 - 2020,0.51
,,2020 - 2021,1.24
,,2021 - 2022,103.57
,,2022 - 2023,0.59
,Indore,2005 - 2006,0.32
,,2006 - 2007,0.33
,,2007 - 2008,0.38
,,2008 - 2009,0.39
,,2009 - 2010,
,,2010 - 2011,0.29
,,2011 - 2012,0.29
,,2012 - 2013,0.43
,,2013 - 2014,0.43
,,2014 - 2015,2.0
,,2015 - 2016,0.43
,,2016 - 2017,1.0
,,2017 - 2018,0.9
,,2018 - 2019,0.4
,,2019 - 2020,0.43
,,2020 - 2021,0.93
,,2021 - 2022,0.67
,,2022 - 2023,0.77
,Jabalpur,2005 - 2006,0.58
,,2006 - 2007,0.49
,,2007 - 2008,0.33
,,2008 - 2009,0.54
,,2009 - 2010,
,,2010 - 2011,0.22
,,2011 - 2012,0.39
,,2012 - 2013,0.32
,,2013 - 2014,1.03
,,2014 - 2015,0.95
,,2015 - 2016,1.2
,,2016 - 2017,1.31
,,2017 - 2018,1.66
,,2018 - 2019,1.37
,,2019 - 2020,1.37
,,2020 - 2021,1.41
,,2021 - 2022,1.09
,,2022 - 2023,1.29
,Jhabua,2005 - 2006,0.41
,,2006 - 2007,0.5
,,2007 - 2008,0.47
,,2008 - 2009,0.51
,,2009 - 2010,
,,2010 - 2011,0.33
,,2011 - 2012,0.35
,,2012 - 2013,0.61
,,2013 - 2014,1.12
,,2017 - 2018,1.17
,,2018 - 2019,0.57
,,2019 - 2020,0.77
,,2020 - 2021,0.95
,,2021 - 2022,0.69
,,2022 - 2023,0.68
,Katni,2005 - 2006,0.33
,,2006 - 2007,0.29
,,2007 - 2008,0.31
,,2008 - 2009,0.4
,,2009 - 2010,
,,2010 - 2011,0.18
,,2011 - 2012,0.26
,,2012 - 2013,0.52
,,2013 - 2014,1.39
,,2014 - 2015,1.0
,,2015 - 2016,1.17
,,2016 - 2017,0.59
,,2017 - 2018,1.57
,,2018 - 2019,1.26
,,2019 - 2020,1.26
,,2020 - 2021,1.17
,,2021 - 2022,0.98
,,2022 - 2023,1.28
,Khandwa,2005 - 2006,0.33
,,2006 - 2007,0.33
,,2007 - 2008,0.35
,,2008 - 2009,0.33
,,2009 - 2010,
,,2010 - 2011,0.21
,,2011 - 2012,0.23
,,2012 - 2013,0.25
,,2013 - 2014,0.72
,,2017 - 2018,0.47
,,2018 - 2019,0.37
,,2019 - 2020,0.35
,,2020 - 2021,0.54
,,2021 - 2022,0.54
,,2022 - 2023,0.53
,Khargone,2005 - 2006,0.52
,,2006 - 2007,0.59
,,2008 - 2009,0.46
,,2009 - 2010,
,,2010 - 2011,0.39
,,2011 - 2012,0.41
,,2012 - 2013,0.47
,,2013 - 2014,0.44
,,2017 - 2018,0.33
,,2018 - 2019,0.5
,,2019 - 2020,0.57
,,2020 - 2021,0.78
,,2021 - 2022,0.75
,Mandla,2005 - 2006,0.24
,,2006 - 2007,0.24
,,2007 - 2008,0.24
,,2008 - 2009,0.24
,,2009 - 2010,
,,2010 - 2011,0.16
,,2011 - 2012,0.16
,,2012 - 2013,0.24
,,2013 - 2014,0.34
,,2014 - 2015,1.11
,,2015 - 2016,0.5
,,2017 - 2018,0.38
,,2018 - 2019,0.35
,,2019 - 2020,0.35
,,2020 - 2021,0.35
,,2021 - 2022,0.56
,,2022 - 2023,0.56
,Mandsaur,2005 - 2006,0.43
,,2006 - 2007,0.58
,,2007 - 2008,0.46
,,2008 - 2009,0.52
,,2009 - 2010,
,,2010 - 2011,0.31
,,2011 - 2012,0.36
,,2012 - 2013,0.62
,,2013 - 2014,0.86
,,2014 - 2015,1.0
,,2015 - 2016,0.67
,,2018 - 2019,0.48
,,2019 - 2020,0.59
,,2020 - 2021,0.97
,,2021 - 2022,0.6
,,2022 - 2023,0.7
,Morena,2005 - 2006,0.63
,,2006 - 2007,0.53
,,2007 - 2008,0.43
,,2008 - 2009,0.62
,,2009 - 2010,
,,2010 - 2011,0.39
,,2011 - 2012,0.43
,,2012 - 2013,0.89
,,2013 - 2014,0.84
,,2014 - 2015,1.0
,,2015 - 2016,0.81
,,2017 - 2018,1.06
,,2018 - 2019,0.71
,,2019 - 2020,0.94
,,2020 - 2021,1.23
,,2021 - 2022,0.9
,,2022 - 2023,0.84
,Narsinghpur,2005 - 2006,0.64
,,2006 - 2007,0.64
,,2007 - 2008,0.56
,,2008 - 2009,0.56
,,2009 - 2010,
,,2010 - 2011,0.44
,,2011 - 2012,0.44
,,2012 - 2013,0.87
,,2013 - 2014,0.86
,,2014 - 2015,1.13
,,2015 - 2016,1.06
,,2016 - 2017,1.14
,,2017 - 2018,1.09
,,2018 - 2019,1.01
,,2019 - 2020,1.05
,,2020 - 2021,1.05
,,2021 - 2022,0.93
,,2022 - 2023,0.93
,Neemuch,2006 - 2007,0.5
,,2007 - 2008,0.57
,,2008 - 2009,0.47
,,2009 - 2010,
,,2010 - 2011,0.38
,,2011 - 2012,0.37
,,2012 - 2013,1.16
,,2013 - 2014,1.07
,,2017 - 2018,0.83
,,2018 - 2019,0.64
,,2019 - 2020,0.91
,,2020 - 2021,0.9
,,2021 - 2022,0.85
,,2022 - 2023,0.85
,Niwari,2019 - 2020,1.24
,,2020 - 2021,1.03
,,2021 - 2022,0.89
,,2022 - 2023,1.28
,Panna,2005 - 2006,0.31
,,2006 - 2007,0.38
,,2007 - 2008,0.39
,,2008 - 2009,0.56
,,2009 - 2010,
,,2010 - 2011,0.34
,,2011 - 2012,0.34
,,2012 - 2013,0.63
,,2013 - 2014,1.22
,,2014 - 2015,0.4
,,2015 - 2016,1.22
,,2016 - 2017,3.48
,,2017 - 2018,1.21
,,2018 - 2019,1.94
,,2019 - 2020,1.54
,,2020 - 2021,1.28
,,2021 - 2022,0.85
,,2022 - 2023,1.05
,Raisen,2005 - 2006,0.65
,,2006 - 2007,0.65
,,2007 - 2008,0.65
,,2008 - 2009,0.65
,,2009 - 2010,
,,2010 - 2011,0.32
,,2011 - 2012,0.61
,,2012 - 2013,0.49
,,2013 - 2014,1.14
,,2014 - 2015,1.38
,,2015 - 2016,0.86
,,2016 - 2017,0.67
,,2017 - 2018,1.14
,,2018 - 2019,0.86
,,2019 - 2020,0.76
,,2020 - 2021,0.89
,,2021 - 2022,0.73
,,2022 - 2023,0.95
,Rajgarh,2005 - 2006,0.32
,,2006 - 2007,0.43
,,2007 - 2008,0.39
,,2008 - 2009,0.39
,,2009 - 2010,
,,2010 - 2011,0.26
,,2011 - 2012,0.38
,,2012 - 2013,0.51
,,2013 - 2014,1.09
,,2014 - 2015,2.5
,,2015 - 2016,1.17
,,2016 - 2017,0.43
,,2017 - 2018,0.76
,,2018 - 2019,0.7
,,2019 - 2020,0.92
,,2020 - 2021,0.88
,,2021 - 2022,0.83
,,2022 - 2023,0.83
,Ratlam,2005 - 2006,0.72
,,2006 - 2007,0.87
,,2007 - 2008,0.87
,,2008 - 2009,0.71
,,2009 - 2010,
,,2010 - 2011,0.59
,,2011 - 2012,0.73
,,2012 - 2013,1.15
,,2013 - 2014,1.1
,,2014 - 2015,1.5
,,2015 - 2016,0.8
,,2016 - 2017,1.0
,,2017 - 2018,1.35
,,2018 - 2019,1.04
,,2019 - 2020,0.69
,,2020 - 2021,1.32
,,2021 - 2022,0.78
,,2022 - 2023,1.07
,Rewa,2005 - 2006,0.49
,,2006 - 2007,0.4
,,2007 - 2008,0.41
,,2008 - 2009,0.55
,,2009 - 2010,
,,2010 - 2011,0.31
,,2011 - 2012,0.34
,,2012 - 2013,0.44
,,2013 - 2014,0.6
,,2015 - 2016,0.5
,,2017 - 2018,1.32
,,2018 - 2019,0.92
,,2019 - 2020,0.81
,,2020 - 2021,0.91
,,2021 - 2022,0.81
,,2022 - 2023,0.84
,Sagar,2005 - 2006,0.47
,,2006 - 2007,0.48
,,2007 - 2008,0.45
,,2008 - 2009,0.51
,,2009 - 2010,
,,2010 - 2011,0.31
,,2011 - 2012,0.35
,,2012 - 2013,0.74
,,2013 - 2014,0.58
,,2014 - 2015,0.73
,,2015 - 2016,1.08
,,2016 - 2017,0.42
,,2017 - 2018,1.13
,,2018 - 2019,1.22
,,2019 - 2020,1.06
,,2020 - 2021,1.0
,,2021 - 2022,0.92
,,2022 - 2023,0.97
,Satna,2005 - 2006,0.51
,,2006 - 2007,0.39
,,2007 - 2008,0.31
,,2008 - 2009,0.46
,,2009 - 2010,
,,2010 - 2011,0.28
,,2011 - 2012,0.31
,,2012 - 2013,0.43
,,2013 - 2014,0.35
,,2014 - 2015,1.5
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.06
,,2018 - 2019,0.37
,,2019 - 2020,0.5
,,2020 - 2021,1.11
,,2021 - 2022,0.83
,,2022 - 2023,0.83
,Sehore,2005 - 2006,0.65
,,2006 - 2007,0.43
,,2007 - 2008,0.43
,,2008 - 2009,0.43
,,2009 - 2010,
,,2010 - 2011,0.29
,,2011 - 2012,0.47
,,2012 - 2013,0.44
,,2013 - 2014,0.47
,,2014 - 2015,3.0
,,2015 - 2016,1.0
,,2017 - 2018,0.6
,,2018 - 2019,0.5
,,2019 - 2020,0.59
,,2020 - 2021,1.34
,,2021 - 2022,0.64
,,2022 - 2023,0.86
,Seoni,2005 - 2006,0.36
,,2006 - 2007,0.39
,,2007 - 2008,0.36
,,2008 - 2009,0.36
,,2009 - 2010,
,,2010 - 2011,0.27
,,2011 - 2012,0.27
,,2012 - 2013,0.58
,,2013 - 2014,0.72
,,2014 - 2015,1.14
,,2015 - 2016,0.57
,,2016 - 2017,0.64
,,2017 - 2018,0.82
,,2018 - 2019,0.51
,,2019 - 2020,0.61
,,2020 - 2021,0.58
,,2021 - 2022,0.6
,,2022 - 2023,0.63
,Shahdol,2005 - 2006,0.34
,,2006 - 2007,0.33
,,2007 - 2008,0.38
,,2008 - 2009,0.34
,,2009 - 2010,
,,2010 - 2011,0.25
,,2011 - 2012,0.23
,,2012 - 2013,0.64
,,2013 - 2014,0.98
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2017 - 2018,0.64
,,2018 - 2019,0.62
,,2019 - 2020,0.74
,,2020 - 2021,0.91
,,2021 - 2022,0.74
,,2022 - 2023,0.76
,Shajapur,2005 - 2006,0.31
,,2006 - 2007,0.44
,,2007 - 2008,0.3
,,2008 - 2009,0.3
,,2009 - 2010,
,,2010 - 2011,0.21
,,2011 - 2012,0.26
,,2012 - 2013,0.45
,,2013 - 2014,0.58
,,2014 - 2015,1.0
,,2015 - 2016,0.5
,,2017 - 2018,0.58
,,2018 - 2019,0.38
,,2019 - 2020,0.52
,,2020 - 2021,0.76
,,2021 - 2022,0.42
,,2022 - 2023,0.62
,Sheopur,2005 - 2006,0.43
,,2006 - 2007,0.64
,,2007 - 2008,0.62
,,2008 - 2009,0.64
,,2009 - 2010,
,,2010 - 2011,0.33
,,2011 - 2012,0.35
,,2012 - 2013,1.0
,,2013 - 2014,1.35
,,2017 - 2018,0.93
,,2018 - 2019,1.55
,,2019 - 2020,1.33
,,2020 - 2021,1.19
,,2021 - 2022,0.8
,,2022 - 2023,1.14
,Shivpuri,2005 - 2006,0.57
,,2006 - 2007,0.51
,,2007 - 2008,0.42
,,2008 - 2009,0.51
,,2009 - 2010,
,,2010 - 2011,0.41
,,2011 - 2012,0.4
,,2012 - 2013,0.41
,,2013 - 2014,0.6
,,2014 - 2015,1.5
,,2015 - 2016,0.57
,,2018 - 2019,0.69
,,2019 - 2020,0.65
,,2020 - 2021,1.42
,,2021 - 2022,0.75
,,2022 - 2023,0.86
,Sidhi,2005 - 2006,0.51
,,2006 - 2007,0.51
,,2007 - 2008,0.46
,,2008 - 2009,0.54
,,2009 - 2010,
,,2010 - 2011,0.35
,,2011 - 2012,0.37
,,2012 - 2013,0.43
,,2013 - 2014,0.46
,,2014 - 2015,1.0
,,2015 - 2016,0.67
,,2017 - 2018,0.51
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,1.05
,,2021 - 2022,0.7
,,2022 - 2023,0.7
,Singrauli,2008 - 2009,0.54
,,2009 - 2010,
,,2010 - 2011,0.55
,,2011 - 2012,0.51
,,2012 - 2013,0.94
,,2013 - 2014,1.47
,,2015 - 2016,1.0
,,2018 - 2019,1.25
,,2019 - 2020,1.32
,,2020 - 2021,1.06
,,2021 - 2022,0.89
,,2022 - 2023,1.08
,Tikamgarh,2005 - 2006,0.49
,,2006 - 2007,0.46
,,2007 - 2008,0.36
,,2008 - 2009,0.55
,,2009 - 2010,
,,2010 - 2011,0.23
,,2011 - 2012,0.38
,,2012 - 2013,0.43
,,2013 - 2014,0.73
,,2014 - 2015,0.86
,,2015 - 2016,0.75
,,2016 - 2017,1.23
,,2017 - 2018,1.19
,,2018 - 2019,0.85
,,2019 - 2020,1.24
,,2020 - 2021,1.3
,,2021 - 2022,0.91
,,2022 - 2023,1.11
,Ujjain,2005 - 2006,0.43
,,2006 - 2007,0.47
,,2007 - 2008,0.32
