state,district,year,peas_and_beans_rabi_yield_tonne_per_hectare
,,2021 - 2022,0.75
,,2022 - 2023,1.16
,Karbi anglong,2001 - 2002,0.57
,,2002 - 2003,0.57
,,2003 - 2004,0.6
,,2004 - 2005,0.63
,,2005 - 2006,0.62
,,2006 - 2007,0.62
,,2007 - 2008,0.63
,,2008 - 2009,0.63
,,2009 - 2010,0.63
,,2010 - 2011,0.81
,,2011 - 2012,0.65
,,2012 - 2013,0.62
,,2013 - 2014,0.71
,,2014 - 2015,0.84
,,2015 - 2016,0.74
,,2016 - 2017,0.72
,,2017 - 2018,0.72
,,2018 - 2019,0.73
,,2019 - 2020,1.06
,,2020 - 2021,0.73
,,2021 - 2022,0.73
,,2022 - 2023,0.73
,Karimganj,2001 - 2002,0.35
,,2002 - 2003,0.33
,,2003 - 2004,0.33
,,2004 - 2005,0.33
,,2005 - 2006,0.33
,,2006 - 2007,0.33
,,2007 - 2008,0.32
,,2008 - 2009,0.33
,,2009 - 2010,0.33
,,2010 - 2011,0.52
,,2011 - 2012,0.33
,,2012 - 2013,0.34
,,2013 - 2014,0.63
,,2014 - 2015,0.46
,,2015 - 2016,0.85
,,2016 - 2017,0.65
,,2017 - 2018,0.37
,,2018 - 2019,0.8
,,2019 - 2020,1.0
,,2020 - 2021,0.86
,,2021 - 2022,0.95
,,2022 - 2023,1.05
,Kokrajhar,2001 - 2002,0.53
,,2002 - 2003,0.53
,,2003 - 2004,0.53
,,2004 - 2005,0.53
,,2005 - 2006,0.54
,,2006 - 2007,0.54
,,2007 - 2008,0.63
,,2008 - 2009,0.61
,,2009 - 2010,0.55
,,2010 - 2011,0.6
,,2011 - 2012,0.54
,,2012 - 2013,0.59
,,2013 - 2014,0.65
,,2014 - 2015,0.83
,,2015 - 2016,0.69
,,2016 - 2017,0.63
,,2017 - 2018,0.63
,,2018 - 2019,0.63
,,2019 - 2020,1.05
,,2020 - 2021,0.63
,,2021 - 2022,0.72
,,2022 - 2023,1.19
,Lakhimpur,2001 - 2002,0.42
,,2002 - 2003,0.42
,,2003 - 2004,0.42
,,2004 - 2005,0.43
,,2005 - 2006,0.42
,,2006 - 2007,0.41
,,2007 - 2008,0.42
,,2008 - 2009,0.47
,,2009 - 2010,0.43
,,2010 - 2011,0.44
,,2011 - 2012,0.45
,,2012 - 2013,0.46
,,2013 - 2014,0.62
,,2014 - 2015,0.9
,,2015 - 2016,0.91
,,2016 - 2017,0.91
,,2017 - 2018,0.84
,,2018 - 2019,1.25
,,2019 - 2020,0.76
,,2020 - 2021,1.27
,,2021 - 2022,1.25
,,2022 - 2023,1.21
,Majuli,2020 - 2021,0.67
,,2021 - 2022,0.67
,,2022 - 2023,0.67
,Marigaon,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,0.1
,,2011 - 2012,0.98
,,2012 - 2013,1.03
,,2013 - 2014,0.98
,,2014 - 2015,1.4
,,2015 - 2016,1.4
,,2016 - 2017,1.42
,,2017 - 2018,1.44
,,2018 - 2019,1.3
,,2019 - 2020,1.32
,,2020 - 2021,1.25
,,2021 - 2022,1.25
,,2022 - 2023,1.16
,Nagaon,2001 - 2002,0.32
,,2002 - 2003,0.32
,,2003 - 2004,0.32
,,2004 - 2005,0.32
,,2005 - 2006,0.32
,,2006 - 2007,0.32
,,2007 - 2008,0.32
,,2008 - 2009,0.32
,,2009 - 2010,0.32
,,2010 - 2011,0.32
,,2011 - 2012,0.33
,,2012 - 2013,0.42
,,2013 - 2014,0.55
,,2014 - 2015,0.57
,,2015 - 2016,0.81
,,2016 - 2017,0.77
,,2017 - 2018,0.68
,,2018 - 2019,0.74
,,2019 - 2020,0.59
,,2020 - 2021,0.69
,,2021 - 2022,0.69
,,2022 - 2023,0.71
,Nalbari,2001 - 2002,0.78
,,2002 - 2003,0.78
,,2003 - 2004,0.78
,,2004 - 2005,0.78
,,2005 - 2006,0.78
,,2006 - 2007,0.78
,,2007 - 2008,0.78
,,2008 - 2009,0.77
,,2009 - 2010,0.78
,,2010 - 2011,0.78
,,2011 - 2012,0.8
,,2012 - 2013,0.82
,,2013 - 2014,0.84
,,2014 - 2015,1.11
,,2015 - 2016,0.83
,,2016 - 2017,1.2
,,2017 - 2018,1.28
,,2018 - 2019,1.2
,,2019 - 2020,1.15
,,2020 - 2021,1.3
,,2021 - 2022,1.31
,,2022 - 2023,1.25
,Sivasagar,2001 - 2002,0.58
,,2002 - 2003,0.56
,,2003 - 2004,0.53
,,2004 - 2005,0.56
,,2005 - 2006,0.57
,,2006 - 2007,0.62
,,2007 - 2008,0.65
,,2008 - 2009,0.75
,,2009 - 2010,0.73
,,2010 - 2011,0.63
,,2011 - 2012,0.85
,,2012 - 2013,0.66
,,2013 - 2014,0.62
,,2014 - 2015,0.84
,,2015 - 2016,1.17
,,2016 - 2017,0.92
,,2017 - 2018,1.19
,,2018 - 2019,1.23
,,2019 - 2020,1.5
,,2020 - 2021,0.8
,,2021 - 2022,0.66
,,2022 - 2023,0.72
,Sonitpur,2001 - 2002,0.52
,,2002 - 2003,0.52
,,2003 - 2004,0.52
,,2004 - 2005,0.53
,,2005 - 2006,0.55
,,2006 - 2007,0.53
,,2007 - 2008,0.54
,,2008 - 2009,0.54
,,2009 - 2010,0.53
,,2010 - 2011,0.53
,,2011 - 2012,0.54
,,2012 - 2013,0.55
,,2013 - 2014,0.55
,,2014 - 2015,0.75
,,2015 - 2016,0.81
,,2016 - 2017,0.82
,,2017 - 2018,0.94
,,2018 - 2019,0.9
,,2019 - 2020,0.86
,,2020 - 2021,0.92
,,2021 - 2022,0.89
,,2022 - 2023,0.89
,South salmara mancachar,2020 - 2021,0.88
,,2021 - 2022,0.88
,,2022 - 2023,1.1
,Tinsukia,2001 - 2002,0.41
,,2002 - 2003,0.41
,,2003 - 2004,0.41
,,2004 - 2005,0.41
,,2005 - 2006,0.41
,,2006 - 2007,0.41
,,2007 - 2008,0.41
,,2008 - 2009,0.41
,,2009 - 2010,0.41
,,2010 - 2011,0.41
,,2011 - 2012,0.42
,,2012 - 2013,0.44
,,2013 - 2014,0.68
,,2014 - 2015,1.01
,,2015 - 2016,0.97
,,2016 - 2017,0.98
,,2017 - 2018,1.09
,,2018 - 2019,1.12
,,2019 - 2020,0.85
,,2020 - 2021,1.23
,,2021 - 2022,1.18
,,2022 - 2023,1.27
,Udalguri,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.51
,,2008 - 2009,0.55
,,2009 - 2010,0.52
,,2010 - 2011,0.53
,,2011 - 2012,0.54
,,2012 - 2013,0.55
,,2013 - 2014,0.57
,,2014 - 2015,0.74
,,2015 - 2016,1.65
,,2016 - 2017,1.65
,,2017 - 2018,1.64
,,2018 - 2019,1.29
,,2019 - 2020,1.03
,,2020 - 2021,1.27
,,2021 - 2022,1.28
,,2022 - 2023,1.22
,West karbi anglong,2020 - 2021,0.73
,,2021 - 2022,0.73
,,2022 - 2023,0.73
Bihar,Araria,2000 - 2001,1.11
,,2001 - 2002,1.01
,,2002 - 2003,0.89
,,2003 - 2004,0.93
,,2004 - 2005,0.88
,,2005 - 2006,0.92
,,2006 - 2007,0.93
,,2007 - 2008,1.73
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.04
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,1.05
,,2016 - 2017,1.0
,Arwal,2003 - 2004,0.93
,,2004 - 2005,0.88
,,2005 - 2006,0.92
,,2007 - 2008,1.08
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.03
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,0.75
,,2014 - 2015,1.01
,,2015 - 2016,1.0
,,2016 - 2017,0.92
,,2017 - 2018,0.82
,,2018 - 2019,0.91
,,2019 - 2020,0.88
,,2020 - 2021,0.88
,,2021 - 2022,0.99
,,2022 - 2023,0.91
,Aurangabad,2000 - 2001,0.96
,,2001 - 2002,0.98
,,2002 - 2003,0.89
,,2003 - 2004,0.93
,,2004 - 2005,0.88
,,2005 - 2006,0.92
,,2006 - 2007,0.93
,,2007 - 2008,1.08
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.03
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,0.75
,,2014 - 2015,1.01
,,2015 - 2016,1.0
,,2016 - 2017,0.92
,,2017 - 2018,0.82
,,2018 - 2019,0.91
,,2019 - 2020,0.88
,,2020 - 2021,0.87
,,2021 - 2022,0.99
,,2022 - 2023,0.92
,Banka,2000 - 2001,0.96
,,2001 - 2002,0.98
,,2002 - 2003,0.9
,,2003 - 2004,0.93
,,2004 - 2005,0.88
,,2005 - 2006,0.86
,,2006 - 2007,0.93
,,2007 - 2008,1.08
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,0.96
,,2015 - 2016,1.1
,,2016 - 2017,1.04
,,2017 - 2018,1.04
,,2018 - 2019,1.05
,,2019 - 2020,1.04
,,2020 - 2021,1.04
,,2021 - 2022,1.04
,,2022 - 2023,1.03
,Begusarai,2000 - 2001,0.79
,,2001 - 2002,0.98
,,2002 - 2003,0.89
,,2003 - 2004,0.93
,,2004 - 2005,0.88
,,2005 - 2006,0.97
,,2006 - 2007,0.93
,,2007 - 2008,0.99
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.04
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,1.06
,,2014 - 2015,1.01
,,2015 - 2016,1.17
,,2016 - 2017,0.97
,,2017 - 2018,1.18
,,2018 - 2019,1.11
,,2019 - 2020,1.08
,,2020 - 2021,1.12
,,2021 - 2022,1.1
,,2022 - 2023,1.54
,Bhagalpur,2000 - 2001,0.96
,,2001 - 2002,0.98
,,2002 - 2003,0.89
,,2003 - 2004,0.93
,,2004 - 2005,0.88
,,2005 - 2006,0.87
,,2006 - 2007,0.93
,,2007 - 2008,1.08
,,2008 - 2009,0.96
,,2009 - 2010,1.0
,,2010 - 2011,1.04
,,2011 - 2012,1.03
,,2012 - 2013,1.04
,,2013 - 2014,1.06
,,2014 - 2015,0.98
,,2015 - 2016,1.05
,,2016 - 2017,1.03
,,2017 - 2018,1.03
,,2018 - 2019,1.04
,,2019 - 2020,1.03
,,2020 - 2021,1.03
,,2021 - 2022,1.03
,,2022 - 2023,1.03
,Bhojpur,2000 - 2001,0.96
,,2001 - 2002,0.98
,,2002 - 2003,0.91
,,2003 - 2004,0.94
,,2004 - 2005,0.86
,,2005 - 2006,0.91
,,2006 - 2007,0.93
,,2007 - 2008,0.93
,,2008 - 2009,0.96
