state,district,year,mesta_kharif_yield_tonne_per_hectare
,,2001 - 2002,5.0
,,2002 - 2003,4.5
,,2003 - 2004,5.0
,,2004 - 2005,5.0
,,2005 - 2006,5.0
,,2006 - 2007,5.0
,,2007 - 2008,5.0
,,2008 - 2009,4.5
,,2009 - 2010,4.6
,,2010 - 2011,5.0
,,2011 - 2012,5.0
,,2012 - 2013,9.0
,,2013 - 2014,5.0
,,2014 - 2015,5.0
,,2015 - 2016,5.0
,,2016 - 2017,5.0
,,2017 - 2018,5.0
,,2018 - 2019,5.0
,,2020 - 2021,4.0
,,2021 - 2022,4.0
,Udalguri,2005 - 2006,4.17
,,2006 - 2007,4.17
,,2007 - 2008,4.17
,,2008 - 2009,4.17
,,2009 - 2010,4.17
,,2010 - 2011,4.17
,,2011 - 2012,4.64
,,2012 - 2013,4.36
,,2013 - 2014,4.39
,,2014 - 2015,4.5
,,2015 - 2016,4.39
,,2016 - 2017,6.72
,,2017 - 2018,6.72
,,2018 - 2019,6.72
,,2019 - 2020,7.5
,,2020 - 2021,9.56
,,2021 - 2022,8.95
,,2022 - 2023,9.19
,West karbi anglong,2020 - 2021,5.35
,,2021 - 2022,5.36
,,2022 - 2023,5.37
Bihar,Araria,2000 - 2001,12.69
,,2001 - 2002,7.13
,,2002 - 2003,4.56
,,2003 - 2004,6.73
,,2004 - 2005,7.98
,,2005 - 2006,12.59
,,2006 - 2007,7.29
,,2007 - 2008,7.97
,,2008 - 2009,7.34
,,2009 - 2010,4.53
,,2010 - 2011,5.64
,,2011 - 2012,5.38
,,2012 - 2013,0.69
,,2013 - 2014,15.88
,,2014 - 2015,8.56
,,2015 - 2016,9.59
,,2016 - 2017,1.64
,Arwal,2004 - 2005,8.0
,,2005 - 2006,9.75
,,2007 - 2008,9.33
,,2008 - 2009,8.67
,,2009 - 2010,7.33
,,2010 - 2011,8.5
,,2011 - 2012,12.43
,,2012 - 2013,2.29
,,2013 - 2014,15.25
,Aurangabad,2000 - 2001,7.5
,,2005 - 2006,10.0
,Banka,2002 - 2003,6.01
,,2005 - 2006,12.97
,,2006 - 2007,8.53
,,2009 - 2010,7.18
,Begusarai,2001 - 2002,6.54
,,2002 - 2003,6.0
,,2004 - 2005,7.98
,,2006 - 2007,8.54
,,2007 - 2008,9.26
,,2009 - 2010,7.18
,,2010 - 2011,8.43
,,2011 - 2012,12.38
,,2012 - 2013,2.36
,,2013 - 2014,15.24
,,2014 - 2015,13.33
,,2016 - 2017,2.38
,,2021 - 2022,11.11
,Bhagalpur,2000 - 2001,7.71
,,2001 - 2002,6.5
,,2003 - 2004,6.94
,,2004 - 2005,7.97
,,2006 - 2007,8.53
,,2007 - 2008,9.28
,,2008 - 2009,8.69
,,2009 - 2010,7.18
,,2011 - 2012,12.37
,,2012 - 2013,2.96
,,2013 - 2014,24.95
,,2014 - 2015,14.89
,,2015 - 2016,19.52
,,2016 - 2017,2.36
,,2017 - 2018,1.48
,,2018 - 2019,1.93
,,2019 - 2020,2.05
,,2020 - 2021,13.12
,,2021 - 2022,10.96
,,2022 - 2023,11.9
,Bhojpur,2004 - 2005,8.0
,,2005 - 2006,9.82
,,2006 - 2007,8.5
,,2007 - 2008,9.25
,,2008 - 2009,8.69
,,2009 - 2010,7.18
,,2010 - 2011,8.41
,,2011 - 2012,12.35
