Crop: Sweet potato,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
73,Karnataka,Bagalkot,3.18,,3.15,3.17,3.18,3.16,3.17,3.18,10.1,6.6,8.23,14.58,15.5,,,,,13,14.5,19.3,20,17.67,
74,Karnataka,Koppal,,,,,,,,,,,,,,,,,,,,19,20,17.5,
75,Karnataka,Bijapur,3.17,,3.13,3.33,3.2,3.2,3.14,3.16,10,6.6,8.29,,,,,,12,12.98,14.55,19.5,20,17.75,12
76,Rajasthan,Banswara,,,,,,,,,,,,20,20,,,,,,,,,,5
77,Karnataka,Chikmagalur,6.54,,6.57,6.56,6.56,6.57,6.57,6.55,10.11,6.56,8.24,14.58,15.51,10.15,9.15,9.63,8.49,7.87,9.59,19.29,20,17.67,13
78,Karnataka,Gulbarga,6.61,,6.64,6.64,6.65,6.63,6.67,6.5,10.14,6.6,,,15.6,,,,,,14.5,19.2,20,,12.5
79,Karnataka,Chamarajanagar,,,,,,,,,,,,,,,,,,,14.52,19.25,20,,
80,Karnataka,Gadag,7,,,,,,8.33,8.5,,,,,,,,,,,,19.5,20,17.67,11.75
81,Karnataka,Chitradurga,,,,,,,,,,,,,,,,,,,14.52,19.5,20,17.8,11
82,Karnataka,Dharwad,,,,,,,,,,,,,,14.5,,,,13,,19.25,20,,12.33
83,Karnataka,Raichur,7.4,,,,,,,,,,,,,,,,,,14.5,,20,,14
84,Karnataka,Bidar,,,7.5,8,,,,,,,,,,,,,,,15,19.29,20,17.5,
85,Karnataka,Chikballapur,,,,,,,,,,,8,14.6,15.5,14.67,17,15.9,12,13,14.67,19,20,17.75,12.29
86,Karnataka,Bengaluru urban,,,,6.34,6.31,,,,,,,,,,,15.83,,,14.67,19.27,20,17.5,
87,Karnataka,Ramanagara,,,,,,,,6.25,10.1,6.63,12.24,14.6,15.5,14.68,16.94,15.89,12,12.97,14.5,19.29,19.96,10.96,9.88
88,Karnataka,Udupi,6.19,,6.19,6.19,6.19,6.19,6.19,6.19,10.12,6.57,6.85,6.33,6.33,6.23,16.96,15.9,11.99,12.98,14.51,19.25,19.94,18.06,14.95
