Crop: Moong(Green Gram),,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
80,Gujarat,Chhotaudepur,,,,,,,,,,,,,,,0.54,0.58,0.57,0.6,0.87,0.96,1.14,1.32,1.21
81,Maharashtra,Kolhapur,0.87,0.48,0.31,0.27,0.45,0.46,0.5,0.59,,0.6,0.63,0.48,0.19,1.31,0.45,0.58,0.74,0.18,0.6,0.65,1.07,0.67,0.55
82,Arunachal Pradesh,Upper siang,,,,,,,,,,,,,,,,,1.13,1.31,1.14,1.14,1.14,1.16,1.13
83,Nagaland,Tuensang,0.83,0.75,1.31,1.29,0.67,0.67,1.14,1,,1,,,,1,1,1,1,1,1,1,1,0.75,1.08
84,Madhya Pradesh,Bhind,,,,,,0.35,0.24,,,0.18,0.32,0.18,0.2,1.26,0.5,0.5,0.83,1.3,1.06,1.28,1.3,0.74,1.31
85,Manipur,Imphal west,,,,,,,,,1.31,0.9,1.25,0.97,0.83,0.93,1,1.2,1.14,1.14,1.12,,,,
86,Jharkhand,Bokaro,,,,,,,,,,,,,,,,,,0.49,0.49,1.1,1.3,0.8,1.3
87,Andhra Pradesh,West godavari,0.34,0.31,0.25,0.36,0.61,0.52,0.52,0.25,0.46,0.57,0.55,0.87,1,0.79,0.72,0.96,0.26,0.7,1.03,1.2,1.3,1.23,1.25
88,Punjab,Moga,0.73,0.07,0.56,0.79,1,1,1.3,0.63,0.86,0.8,0.86,0.8,1,1,1,0.9,1,0.91,0.86,0.89,1,,
89,Bihar,Purnia,0.73,0.47,0.82,0.79,0.45,0.3,0.36,1.17,0.59,0.55,0.56,1.05,1.29,0.81,0.61,0.91,1.08,0.36,1.03,0.87,0.59,0.48,1.02
90,Andhra Pradesh,East godavari,0.23,0.17,0.21,0.31,0.26,0.23,0.26,0.15,0.28,0.25,0.12,0.4,0.43,0.24,0.37,0.33,0.62,0.61,0.68,0.75,0.74,0.8,1.29
