State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Manipur,Tamenglong,,,,,,,,,,,,,,,,,,,,,,0.62,0.83
Manipur,Thoubal,,,,,,,,,,,,,,,,,,,,,,0.73,0.69
Manipur,Ukhrul,,,,,,,,,,,,,,,,,,,,,,0.54,0.54
Mizoram,Aizawl,,,,,,,0.82,0.14,1.01,1.17,,,,,,,,,,0.01,,,
Mizoram,Champhai,,,,,,,1.12,0.29,0.76,0.77,,,,,,,,,,,,,
Mizoram,Kolasib,,,,,,,1.36,0.28,0.68,0.9,,,,,,,,,,0.2,,,
Mizoram,Lawngtlai,,,,,,,0.47,0.19,0.35,0.43,,,,,,,,,,0.1,,,
Mizoram,Lunglei,,,,,,,0.99,0.27,0.75,1.8,,,,,,,,,,0.07,,,
Mizoram,Mamit,,,,,,,0.75,0.17,0.57,0.72,,,,,,,,,,0.38,,,
Mizoram,Saiha,,,,,,,0.93,0.29,0.81,0.72,,,,,,,,,,,,,
Mizoram,Serchhip,,,,,,,0.92,0.18,1.48,1.43,,,,,,,,,,0.04,0.12,,
Nagaland,Chumoukedima,,,,,,,,,,,,,,,,,,,,,,,0.62
Nagaland,Kiphire,,,,,,,,,,,,,,,,0.57,0.59,0.59,0.61,0.61,,0.66,0.59
Nagaland,Kohima,,,,,,,,,,,,,,,,0.62,0.6,0.6,0.59,0.6,,0.6,0.61
Nagaland,Longleng,,,,,,,,,,,,,,,,0.53,0.61,0.58,0.58,0.6,,0.52,0.63
Nagaland,Mokokchung,,,,,,,,,,,,,,,,0.62,0.62,0.64,0.64,0.63,,0.6,0.61
Nagaland,Mon,,,,,,,,,,,,,,,,0.58,0.61,0.61,0.61,0.61,,0.61,0.61
Nagaland,Niuland,,,,,,,,,,,,,,,,,,,,,,,0.6
Nagaland,Noklak,,,,,,,,,,,,,,,,,,,,,,0.4,0.61
Nagaland,Peren,,,,,,,,,,,,,,,,,,,,,,0.63,0.63
Nagaland,Phek,,,,,,,,,,,,,,,,0.62,0.6,0.6,0.61,0.6,,0.51,0.61
Nagaland,Shamator,,,,,,,,,,,,,,,,,,,,,,,0.51
Nagaland,Tseminyu,,,,,,,,,,,,,,,,,,,,,,,0.61
Nagaland,Tuensang,,,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,0.6,,0.43,0.61
Nagaland,Wokha,,,,,,,,,,,,,,,,0.6,0.6,0.62,0.59,0.59,,0.67,0.59
Nagaland,Zunheboto,,,,,,,,,,,,,,,,0.62,0.57,0.59,0.59,0.59,,0.4,0.6
Punjab,Fazilka,,,,,,,,,,,,,,,,,,,,2.0,,,
Punjab,Hoshiarpur,,,,,,,,,,,,,,,,,,,,1.2,1.17,,1.33
Punjab,Rupnagar,,,,,,,,,,,,,,,,,,,,1.0,1.5,,1.33
Punjab,S.a.s Nagar,,,,,,,,,,,,,,,,,,,,1.25,1.0,,1.67
Punjab,Shahid Bhagat Singh Nagar,,,,,,,,,,,,,,,,,,,,1.5,1.5,,1.5
Punjab,Sri Muktsar Sahib,,,,,,,,,,,,,,,,,,,,,1.25,,
Rajasthan,Ajmer,,,,0.75,,,,0.38,0.26,0.17,0.6,0.48,0.59,1.01,0.47,0.39,0.71,0.55,0.85,1.08,0.82,0.74,0.74
Rajasthan,Alwar,,,,0.84,,,,0.27,0.34,0.37,0.41,0.43,0.46,0.59,0.36,0.43,0.34,0.63,0.71,0.59,0.6,0.56,0.52
Rajasthan,Banswara,,,,0.71,,,,0.27,0.36,0.37,0.41,0.43,0.5,0.57,0.45,0.43,0.41,0.64,0.74,,,,
Rajasthan,Baran,,,,1.87,,,,0.27,0.36,0.37,0.41,0.43,0.44,0.61,0.43,0.42,0.42,0.63,0.71,0.6,0.65,,0.5
Rajasthan,Barmer,,,,1.16,,,,0.18,0.37,0.3,0.41,0.4,0.61,0.59,0.42,0.23,0.33,0.37,0.71,0.6,0.65,0.56,0.52
Rajasthan,Bharatpur,,,,0.83,,,,0.27,0.37,0.37,0.41,0.43,0.5,0.59,0.42,0.43,0.42,0.63,0.71,0.6,0.64,0.56,0.53
Rajasthan,Bhilwara,,,,0.65,,,,0.28,0.34,0.25,0.33,0.43,0.63,0.55,0.41,0.18,0.34,0.63,0.71,0.6,0.65,0.56,0.52
Rajasthan,Bikaner,,,,1.07,,,,0.03,0.25,0.33,0.11,0.03,0.2,0.43,0.36,0.46,0.18,0.63,0.71,0.59,0.64,0.56,0.52
Rajasthan,Bundi,,,,1.07,,,,0.27,0.37,0.37,0.41,1.01,0.62,0.78,0.41,0.43,0.39,0.63,0.71,0.61,0.64,0.56,0.57
Rajasthan,Chittorgarh,,,,0.37,,,,0.44,0.39,0.61,0.41,0.69,0.56,0.63,0.47,0.44,0.41,0.63,0.71,0.6,0.65,0.56,0.52
Rajasthan,Churu,,,,0.8,,,,0.26,0.31,0.37,0.41,0.42,0.04,0.03,0.15,0.53,0.4,0.63,0.71,0.6,0.74,0.66,0.45
Rajasthan,Dausa,,,,1.02,,,,0.26,0.36,0.37,0.41,0.48,0.96,0.62,0.7,0.56,0.42,0.63,0.71,0.6,0.65,0.57,0.52
Rajasthan,Dholpur,,,,1.13,,,,0.27,0.37,0.37,0.41,0.43,,0.6,0.41,,,,,0.59,0.65,0.58,0.5
Rajasthan,Dungarpur,,,,1.02,,,,0.18,0.3,0.37,0.41,0.43,0.49,0.59,,,,,0.67,,,,
Rajasthan,Ganganagar,,,,1.05,,,,0.19,0.45,0.27,0.44,0.32,0.45,0.31,0.32,0.36,0.28,0.83,0.5,0.48,0.46,0.37,0.26
