Crop: Other Kharif pulses,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
93,Manipur,Senapati,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,1.1,0.6,1.2,1.21,1.12,1.13,1.16,1.16,1.13,1.18,1.15,,,0.87,0.87
94,Andhra Pradesh,Tirupati,,,,,,,,,,,,,,,,,,,,,,,1.21
95,Arunachal Pradesh,Anjaw,,,,,,,,,,,,,,,,,0.87,1.17,1.17,1.21,1.21,1.21,1.21
96,Kerala,Malappuram,,,,,,,,,,,,,,,,1.21,,0.25,0.21,,,,
97,Jammu and Kashmir,Poonch,,,0.5,0.5,0.5,,0.5,,,0.53,,1.2,1.2,,,,,,,,,,0.2
98,Jammu and Kashmir,Kishtwar,,,,,,,,0.53,,0.87,1.2,1.2,1.2,,,1.2,1.2,1.2,1.2,1.2,1.2,,
99,Karnataka,Yadgir,,,,,,,,,,,0.25,1.1,0.84,0.8,0.35,0.29,0.35,1,0.87,1.2,0.8,0.6,0.6
100,Jharkhand,Jamtara,,,,,,,,,,,,,,,,,,,0.61,0.54,,0.45,1.2
101,Karnataka,Chikballapur,,,,,,,,0.6,0.81,0.77,1.19,0.68,1.15,0.68,0.57,0.89,0.37,1.09,0.58,0.99,0.83,0.53,0.68
102,Maharashtra,Nagpur,0.36,0.26,0.24,0.3,0.41,0.34,0.36,0.46,0.4,0.32,0.42,0.46,0.38,0.27,0.2,0.17,0.5,0.33,0.45,0.37,1.18,0.36,0.56
103,Karnataka,Chikmagalur,0.23,0.23,0.23,0.23,0.23,0.23,0.93,0.98,0.98,0.75,1.16,0.61,0.73,0.78,0.46,0.52,0.53,0.78,0.69,1.18,0.82,0.55,0.59
104,Nagaland,Nuiland,,,,,,,,,,,,,,,,,,,,,,,1.17
105,Mizoram,Saitual,,,,,,,,,,,,,,,,,,,,,1.16,1.17,1.17
106,Nagaland,Chumoukedima,,,,,,,,,,,,,,,,,,,,,,,1.17
107,Manipur,Churachandpur,0.5,0.5,0.5,,,0.55,,1,1.11,0.6,1,1.1,0.97,1.17,1.15,1.15,1.13,1.13,0.8,,,0.95,0.87
108,Karnataka,Tumkur,0.32,0.32,0.32,0.32,0.32,0.32,0.59,1.17,1.11,0.92,0.89,0.89,0.57,0.59,0.53,0.56,0.1,0.45,0.62,0.82,0.82,0.55,0.59
109,Nagaland,Peren,,,,,,,,,0.87,,,,,,1.12,1.15,1.17,1.14,1.14,1.14,,1.06,1.08
110,Nagaland,Noklak,,,,,,,,,,,,,,,,,,,,,,1.15,1.16
111,Manipur,Tamenglong,1,0.6,,0.5,,,1,1,1.04,0.5,1.15,1.12,1.09,1.12,1.16,1.05,1.1,1.08,1.02,,,0.96,0.96
112,Gujarat,Rajkot,0.22,0.42,1,0.33,0.29,0.44,0.64,0.6,0.6,0.7,0.53,0.4,0.29,0.46,0.38,0.37,1.15,0.73,0.87,0.58,,,
113,Mizoram,Khawzawl,,,,,,,,,,,,,,,,,,,,,1.14,0.2,0.77
114,Uttarakhand,Uttar kashi,0.7,0.67,0.69,0.57,0.7,0.6,0.77,0.84,0.84,0.87,1.08,0.73,0.7,0.69,0.92,0.96,0.98,0.99,1.05,1.14,1.05,1.06,1.14
115,Kerala,Kollam,,,,,,,,,,,,,,,,1.14,0.45,0.46,0.57,,,,
