Crop: Coriander,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
121,Karnataka,Chamarajanagar,0.1,0.11,0.12,0.1,0.1,0.1,0.1,0.32,0.54,0.49,0.38,0.41,0.4,0.31,0.31,0.45,0.42,0.37,1.32,,0.54,0.5,0.48
122,Tamil Nadu,Coimbatore,0.18,,0.48,0.52,0.73,0.31,0.45,0.55,1.29,0.36,,0.47,,0.35,0.88,0.42,0.46,0.35,0.39,0.43,0.26,0.18,0.39
123,Andhra Pradesh,Prakasam,0.74,0.77,0.55,0.76,0.61,0.71,0.54,,0.96,1.03,0.68,0.95,0.93,0.92,0.52,0.8,0.92,0.72,1.26,0.97,1,0.91,0.77
124,Madhya Pradesh,Rajgarh,0.34,0.36,0.35,0.47,0.46,,0.5,0.33,0.46,0.55,0.36,0.49,0.39,0.46,,1.25,1.25,1.25,1.25,1.25,,,
125,Bihar,Khagaria,0.48,0.59,0.65,0.7,0.66,0.65,,0.73,,,,,,,,,0.88,0.9,0.9,0.89,0.9,1.21,1.22
126,Madhya Pradesh,Guna,0.25,0.32,0.11,0.3,0.29,,0.33,0.23,0.33,0.33,0.26,0.3,0.91,1.06,,1,1.2,1.2,1.2,1.2,,,
127,Madhya Pradesh,Chhatarpur,0.18,0.19,0.19,0.19,0.19,,0.16,0.14,0.2,0.2,0.19,0.2,0.21,0.18,,1,1.02,1.02,1,1.12,,,
128,Telangana,Komaram bheem asifabad,,,,,,,,,,,,,,,,,,,1,0.92,1.11,0.5,1
129,Madhya Pradesh,Tikamgarh,0.41,0.41,0.33,0.4,0.33,,0.27,0.25,0.33,0.33,0.27,0.46,0.26,0.25,,0.15,1.1,1.1,1.09,1.09,,,
130,Telangana,Kamareddy,,,,,,,,,,,,,,,,,0.84,1.09,0.88,0.6,0.38,0.53,0.61
131,Madhya Pradesh,Raisen,0.23,0.24,0.24,0.26,0.26,,0.26,0.26,0.26,0.26,0.22,0.32,0.2,0.37,,1.09,1.09,1.09,1.05,1.05,,,
132,Telangana,Mancherial,,,,,,,,,,,,,,,,,,,,1,1.08,1,
133,Telangana,Rajanna,,,,,,,,,,,,,,,,,,,1,0.94,1.07,,0.67
134,Telangana,Rangareddi,0.26,0.49,0.42,0.28,0.59,0.42,0.56,,0.55,0.63,0.68,0.58,,0.61,0.22,0.38,0.63,0.81,1,0.93,1.07,0.63,0.6
135,Bihar,Lakhisarai,,,0.64,,,,,,,,,,,,,,,,,,,1.07,1.04
136,Telangana,Nirmal,,,,,,,,,,,,,,,,,0.7,0.6,1.04,0.93,1.06,0.47,0.63
137,Telangana,Sangareddy,,,,,,,,,,,,,,,,,0.4,0.82,1,0.89,1.05,0.61,1.05
138,Madhya Pradesh,Neemuch,0.56,0.67,0.64,0.65,0.7,,0.66,0.46,0.64,0.58,0.48,0.58,1.05,0.72,,1,1,1,1,1,,,
139,Telangana,Jangoan,,,,,,,,,,,,,,,,,,,,1,1.05,0.62,1
140,Andhra Pradesh,Guntur,0.74,0.77,0.55,0.76,0.63,,,,,1.05,0.68,,1,,,,,,,0.5,1,,0.5
141,Madhya Pradesh,Morena,,0.57,0.29,0.01,,,,,,,,,,,,,,,1.01,1.03,,,
142,Madhya Pradesh,Seoni,0.24,0.27,0.21,0.26,0.25,,0.26,0.25,0.25,0.25,0.25,0.25,0.35,0.43,,0.98,1,1.01,1.02,1.01,,,
143,Uttar Pradesh,Deoria,,,,,,0.5,0.5,0.5,1,1,,1,,0.5,,,0.67,1,,1,1,1,1
144,Bihar,Bhojpur,,0.5,1,0.75,0.75,0.8,,0.73,,,,,,,,,0.82,0.85,1,,,,
145,Tamil Nadu,Tirunelveli,0.2,,0.17,0.29,0.43,0.3,0.31,0.43,0.35,0.33,,0.44,,0.33,0.86,0.57,0.14,0.5,1,,0.13,,0.33
146,Uttar Pradesh,Bulandshahr,,,,,,0.5,0.6,0.5,0.57,0.63,,1,,0.6,0.45,0.38,0.6,0.6,0.83,0.71,0.8,0.83,0.83
147,Uttar Pradesh,Jalaun,,,,,,0.5,0.33,0.57,0.57,0.57,,0.57,0.5,0.67,,0.25,0.67,0.67,0.67,1,0.67,0.67,0.67
148,Puducherry,Yanam,1,0.5,0.8,0.5,,,,0.5,0.5,0.5,,,1,,1,,,,,,,,
149,Bihar,Kaimur (bhabua),0.58,0.58,0.65,0.69,0.69,1,,,,,,,,,,,,,,1,,,
150,Himachal Pradesh,Chamba,,0.31,0.3,,,0.1,0.24,0.07,0.43,0.47,0.5,0.3,0.4,,0.4,0.29,0.5,0.5,0.29,0.63,1,1,
