Crop: Dry chillies,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
83,Madhya Pradesh,Seoni,0.22,0.38,0.32,0.49,,,0.45,,,0.88,1.33,0.72,1.45,0.8,,6.07,6.01,3.19,3.22,,,,
84,Telangana,Karimnagar,2.22,2.11,1.54,1.95,1.5,1.66,1.9,2.17,1.97,1.08,1.54,1.74,2.4,2.71,2.66,2.51,2.77,4.42,4.29,5.36,6.05,3.67,3.9
85,Telangana,Sangareddy,,,,,,,,,,,,,,,,,4.11,4.41,4.33,5.47,6.05,3.78,4.44
86,Telangana,Warangal urban,,,,,,,,,,,,,,,,,4.57,1.83,4.29,5.39,6.03,3.01,5.21
87,Haryana,Palwal,,,,,,,,,,,,,,,,,,,,,,6,
88,Andhra Pradesh,Nandyal,,,,,,,,,,,,,,,,,,,,,,,6
89,Telangana,Nagarkurnool,,,,,,,,,,,,,,,,,3.45,3.85,4.48,5.42,4.71,5.98,4.45
90,Telangana,Mahbubnagar,1.31,1.19,1.37,3.05,1.98,2.96,3.32,3.33,2.6,3.43,4.15,1.79,3,3.23,3.43,2.31,2.61,4.61,4.3,5.43,5.96,3.19,1.72
91,Telangana,Siddipet,,,,,,,,,,,,,,,,,3.76,4.5,4.44,5.51,5.95,4.06,4.65
92,Telangana,Rajanna,,,,,,,,,,,,,,,,,2.77,4.43,4.29,5.33,5.91,3.39,3.9
93,Telangana,Nirmal,,,,,,,,,,,,,,,,,3.48,3.4,3.53,2.75,5.86,4.85,3.84
94,Andhra Pradesh,Srikakulam,2.07,2.7,1.97,3.5,4.11,2.92,3.54,3.75,3.77,3.38,4.44,5.84,5.5,5.07,3.54,4.13,4.76,3.39,3.46,3.48,3.25,3.23,3.67
95,Telangana,Medak,1.18,1.27,1.42,1.85,1.71,1.68,1.31,1.75,1.53,2.14,1.88,1.57,1,0.8,0.46,0.59,4.98,5.14,5.14,5.5,5.8,4.29,4.42
96,Telangana,Medchal,,,,,,,,,,,,,,,,,3.67,,,5.8,,5,5
97,Telangana,Warangal,2.37,2.02,1.92,2.02,2.67,2.54,2.67,2.52,3.52,3.55,3.13,2.22,3.73,3.25,2.97,2.92,4.34,4.15,5.77,4.2,5.32,1.08,2.12
98,Andhra Pradesh,Kurnool,1.12,1.34,1.38,2.15,2.03,1.72,2.63,3.14,2.42,2.41,2.85,2.08,1.92,3.76,5,3,5.75,4.31,2.96,4.66,3.47,3.06,5.06
99,Telangana,Suryapet,,,,,,,,,,,,,,,,,2.75,3.41,4.94,5.67,5.75,3.68,3.86
100,Rajasthan,Bharatpur,1.81,3.32,1.07,2.49,4.75,4.7,3.5,3.06,5.49,4.45,2.28,2.78,3.99,2.19,3.28,3.62,5.32,5.17,4.73,2.39,2.91,1.65,
101,Telangana,Jogulamba,,,,,,,,,,,,,,,,,2.29,1.3,3.47,5.48,3.34,3.76,3.21
102,Telangana,Peddapalli,,,,,,,,,,,,,,,,,3.97,4.42,4.29,5.36,5.38,2.08,3.58
103,Madhya Pradesh,Agar malwa,,,,,,,,,,,,,,0.5,,5.38,5.38,5.38,5.38,,,,
104,Karnataka,Haveri,0.59,0.47,0.34,1.28,0.47,0.59,1.4,1.3,2.15,5.2,1.35,1.95,1.99,1.72,1.47,1.03,0.78,0.95,0.38,0.28,0.77,,0.27
105,Rajasthan,Dholpur,5.19,4.93,1.63,0.72,1.4,1.6,1.65,2,2,1.44,1.04,0.8,1.56,0.8,0.8,0.75,3.97,3.89,3.22,3.28,3.5,2.9,
106,Madhya Pradesh,Chhatarpur,0.19,0.27,0.3,0.31,,,0.31,,,0.57,0.77,0.38,0.46,0.23,,5.15,5.15,5.15,5.07,,,,
107,Andhra Pradesh,Tirupati,,,,,,,,,,,,,,,,,,,,,,,5.04
108,Madhya Pradesh,Bhopal,0.45,0.59,0.49,0.58,,,0.72,,,1.61,1.78,1.63,2.4,1.28,,4.75,5.02,5,5.04,,,,
109,Madhya Pradesh,Damoh,0.32,0.51,0.37,0.63,,,0.62,,,1.77,2.56,1.65,2.09,1.09,,5,5,2.5,2.5,,,,
110,Bihar,Kishanganj,0.72,0.92,0.69,0.56,0.71,0.64,,0.58,0.6,,,,,,,,,,,,0.36,4.92,0.94
111,Karnataka,Hassan,1.69,2.9,3.03,2.07,1.9,1.76,3.21,2.65,3.73,4.75,4.31,3.18,3.03,3.12,1.43,3.68,3.36,3.01,,,1.71,1.29,1.56
112,Tamil Nadu,Tiruvannamalai,0.8,,0.6,0.66,1.24,1.07,1.05,0.51,0.91,0.53,,0.44,,0.27,1.58,0.86,1.96,1.82,0.63,4.69,3.93,1.53,1.8
113,Andhra Pradesh,Prakasam,1.91,2.36,1.27,2.47,1.79,2.34,3.32,2.76,3.38,3.47,3.83,3.33,3.95,4.4,4.62,3.78,3.02,4.68,2.53,3.73,3.56,1.65,3.73
114,Andhra Pradesh,Anantapur,2.67,1.88,2.23,3.62,3.39,2.86,3.23,4.5,3.5,2.51,3.71,2.52,2,1.5,4.19,3.04,2.69,2.52,0.89,3.27,2.06,0.47,4.55
115,Bihar,Supaul,1.06,1,0.67,0.77,0.72,0.64,,0.7,1.41,,,,,,,,,,,,3.84,4.02,4.52
116,Telangana,Mahabubabad,,,,,,,,,,,,,,,,,4.46,4.48,3.84,3.86,4.03,2.07,3.7
117,Karnataka,Dharwad,0.84,0.47,0.93,1.27,0.48,0.54,0.62,0.6,0.74,4.48,0.44,0.49,0.26,0.48,1.07,0.23,0.3,0.4,0.22,0.49,0.17,0.2,0.46
118,Karnataka,Chikballapur,,,,,,,,1.47,0.95,3,4.38,1.02,1.16,1.9,1.48,1.16,2.07,1.93,,1.74,1.8,1.36,1.33
119,Andhra Pradesh,Chittoor,1.2,1.54,1.86,2.14,4.35,3.37,3.58,2.67,2.13,3.15,2.04,1.3,2,1.99,3.12,2.76,2.25,2.89,2.95,3.22,1.13,0.8,0.55
120,Karnataka,Bellary,1.66,0.97,2.38,3.24,0.96,1.51,1.51,1.67,1.14,3.93,1.1,1.37,1.11,1.31,1.32,1.52,4.34,3.49,2.56,2.56,2.68,1.89,2.4
121,Rajasthan,Nagaur,0.5,0.55,0.75,0.84,1.17,0.53,0.59,2.5,2.87,2.05,1.77,1.48,0.81,1.3,1,1.11,4.33,2.81,3.02,3.02,3.61,1.94,
122,Karnataka,Gulbarga,1.4,1.28,2.58,2.25,1.4,1.91,1.95,2.55,1.89,4.03,2.02,1.62,1.28,2.08,1.89,1.13,2.08,2.99,0.87,4.24,,0.93,0.9
123,Karnataka,Mandya,0.96,2.28,1.17,1.42,0.7,0.81,1.06,1.08,1.22,4.23,1.41,1.68,1.77,1.41,1.28,1.15,2.06,1.92,,,,1,
124,Karnataka,Shimoga,0.61,0.46,0.95,1.46,0.96,1.51,1.52,1.27,1.99,4.21,1.82,1.75,1.79,1.73,1.49,1.43,2.12,1.91,1.27,,1.8,1.36,
125,Madhya Pradesh,Satna,0.15,0.26,0.32,0.32,,,0.32,,,0.76,1.03,0.66,0.76,0.5,,4.15,2.97,2.9,2.89,,,,
126,Tamil Nadu,Tiruppur,,,,,,,,,,0.53,,0.59,,0.27,0.66,0.51,4.07,0.41,0.14,1.02,0.21,0.69,1
127,Karnataka,Mysore,0.97,0.94,1.1,2.4,1.91,2.31,2.33,1.96,1.89,4.07,1.71,1.71,1.37,1.57,1.4,1.26,2.06,1.93,,,1.73,1.36,
128,Andhra Pradesh,Eluru,,,,,,,,,,,,,,,,,,,,,,,4.07
129,Madhya Pradesh,Singrauli,,,,,,,,,,0.75,0.89,0.74,4,2.23,,1.6,1.6,1.8,2,,,,
130,Madhya Pradesh,Shivpuri,0.46,0.61,0.43,0.83,,,0.68,,,1.62,2.26,1.23,1.55,0.97,,4,0.5,0.5,0.5,,,,
131,Bihar,Madhepura,1,,0.6,0.79,0.7,0.65,,0.71,1.43,,,,,,,,,,,,3.84,4,0.57
132,Rajasthan,Karauli,0.84,0.51,0.02,3.23,0.35,0.38,0.44,0.31,3,1,2.24,3.55,3.34,3.32,3.5,3.04,3.25,4,2.36,0.33,1.27,1.85,
133,Arunachal Pradesh,Dibang valley,4,1.32,1.47,1.47,1.22,1.56,1.55,1.55,,,1.9,2,2.23,2.39,1.32,1.93,2.21,2.34,2.36,2.41,2.45,2.65,2.66
134,Rajasthan,Jhunjhunu,0.92,1,0.47,0.99,1,4,0.2,1,1,0.11,0.63,1,1,1,0.5,0.5,0.5,0.5,0.51,0.5,0.5,0.49,
135,Karnataka,Bengaluru urban,1.09,2.95,1.86,0.83,1.27,1.26,1.82,1.39,1.4,3.93,1.73,1.51,1.2,1.43,1.46,1.28,2.05,1.97,,,2,,1
136,Arunachal Pradesh,West kameng,3.42,3.4,3.4,3.4,3.4,3.4,3.4,3.48,3.62,3.71,3.68,3.88,,3.79,2.64,2.91,2.88,2.97,2.99,3.03,3.06,3.22,3.23
137,Andhra Pradesh,West godavari,1.48,1.46,1.35,1.25,1.74,1.34,1.35,2,2.37,1.81,2.8,2.27,2,2.07,3.73,3.41,3.86,3.5,2.49,2.72,3.61,2.86,
138,Rajasthan,Barmer,0.15,0.93,0.95,0.49,0.83,,0.52,0.44,0.54,0.68,0.41,0.31,,,0.03,0.24,0.63,3.75,,,0.5,0.5,
139,Andhra Pradesh,Alluri sitharama raju,,,,,,,,,,,,,,,,,,,,,,,3.7
140,Karnataka,Bangalore rural,0.81,0.78,0.47,1.17,0.66,0.77,0.83,0.99,1.1,3.7,1.28,1.14,0.99,1.13,1.19,1.08,2.03,1.88,,,,,1.5
141,Karnataka,Gadag,0.73,0.41,0.38,1.35,0.75,0.68,0.29,0.63,0.58,3.68,0.89,0.46,0.7,1.63,0.51,0.47,1.2,1.89,0.49,1.08,0.74,0.93,0.8
142,Karnataka,Chamarajanagar,0.91,0.73,0.7,0.62,0.65,1.42,0.82,0.96,1.08,3.63,0.99,0.99,1.24,1.42,1.36,1.21,2.1,1.93,,,1.72,1.36,1.48
143,Karnataka,Tumkur,1.44,1.51,0.57,0.33,0.61,0.8,1.09,1.4,0.75,3.63,1.44,1.08,0.72,1.15,1.63,1.16,0.53,0.91,0.98,1.3,1.32,1.27,1.26
144,Rajasthan,Baran,0.85,0.71,0.55,1.27,2.08,0.88,0.88,0.66,1.09,1.18,0.95,0.9,1.1,3.62,0.67,0.47,2.41,,1.59,0.23,1.1,0.86,
145,Karnataka,Chitradurga,0.94,0.72,1.59,1.44,0.78,1.39,1.73,1.35,1.12,3.6,1.37,0.33,0.41,0.99,1.16,1.32,0.62,0.59,0.48,1.6,2.78,,1.39
146,Arunachal Pradesh,Leparada,,,,,,,,,,,,,,,,,,,,2.84,2.92,3.58,3.6
147,Karnataka,Koppal,1.18,0.5,0.49,1.64,0.98,1.4,1.98,1.56,1.51,3.57,3.5,1.86,1.75,1.61,1.26,1.42,2.28,1.96,1.24,1.74,1.71,,1.47
148,Arunachal Pradesh,Pakke kessang,,,,,,,,,,,,,,,,,,,,3.05,3.11,3.53,3.54
