state,district,year,moong_kharif_yield_tonne_per_hectare
,,2018 - 2019,0.44
,,2019 - 2020,0.45
,,2020 - 2021,0.72
,,2021 - 2022,0.68
,,2022 - 2023,0.57
,Nagpur,2000 - 2001,0.41
,,2001 - 2002,0.52
,,2002 - 2003,0.31
,,2003 - 2004,0.48
,,2004 - 2005,0.38
,,2005 - 2006,0.2
,,2006 - 2007,0.47
,,2007 - 2008,0.47
,,2008 - 2009,0.36
,,2009 - 2010,0.78
,,2010 - 2011,0.56
,,2011 - 2012,0.42
,,2012 - 2013,0.47
,,2013 - 2014,0.53
,,2014 - 2015,0.38
,,2015 - 2016,0.25
,,2016 - 2017,0.3
,,2017 - 2018,0.26
,,2018 - 2019,0.09
,,2019 - 2020,0.4
,,2020 - 2021,0.34
,,2021 - 2022,0.49
,,2022 - 2023,0.38
,Nanded,2000 - 2001,0.39
,,2001 - 2002,0.29
,,2002 - 2003,0.74
,,2003 - 2004,0.74
,,2004 - 2005,0.48
,,2005 - 2006,0.39
,,2006 - 2007,0.24
,,2007 - 2008,0.32
,,2008 - 2009,0.36
,,2009 - 2010,0.14
,,2010 - 2011,0.66
,,2011 - 2012,0.5
,,2012 - 2013,0.67
,,2013 - 2014,0.54
,,2014 - 2015,0.17
,,2015 - 2016,0.18
,,2016 - 2017,0.51
,,2017 - 2018,0.26
,,2018 - 2019,0.49
,,2019 - 2020,0.49
,,2020 - 2021,0.45
,,2021 - 2022,0.52
,,2022 - 2023,0.45
,Nandurbar,2000 - 2001,0.27
,,2001 - 2002,0.69
,,2002 - 2003,0.76
,,2003 - 2004,0.94
,,2004 - 2005,0.46
,,2005 - 2006,0.38
,,2006 - 2007,0.37
,,2007 - 2008,0.57
,,2008 - 2009,0.52
,,2009 - 2010,0.39
,,2010 - 2011,0.7
,,2011 - 2012,0.87
,,2012 - 2013,0.93
,,2013 - 2014,0.37
,,2014 - 2015,0.43
,,2015 - 2016,0.31
,,2016 - 2017,0.49
,,2017 - 2018,0.55
,,2018 - 2019,0.52
,,2019 - 2020,0.5
,,2020 - 2021,0.24
,,2021 - 2022,0.22
,,2022 - 2023,0.35
,Nashik,2000 - 2001,0.47
,,2001 - 2002,0.66
,,2002 - 2003,1.27
,,2003 - 2004,0.72
,,2004 - 2005,1.03
,,2005 - 2006,0.68
,,2006 - 2007,0.71
,,2007 - 2008,0.74
,,2008 - 2009,0.76
,,2009 - 2010,0.54
,,2010 - 2011,0.92
,,2011 - 2012,0.8
,,2012 - 2013,0.82
,,2013 - 2014,1.01
,,2014 - 2015,0.69
,,2015 - 2016,0.39
,,2016 - 2017,0.53
,,2017 - 2018,0.68
,,2018 - 2019,0.49
,,2019 - 2020,0.63
,,2020 - 2021,0.71
,,2021 - 2022,0.73
,,2022 - 2023,0.71
,Palghar,2014 - 2015,0.0
,,2015 - 2016,0.5
,,2020 - 2021,0.36
,,2021 - 2022,0.64
,Parbhani,2000 - 2001,0.18
,,2001 - 2002,0.2
,,2002 - 2003,0.54
,,2003 - 2004,0.52
,,2004 - 2005,0.27
,,2005 - 2006,0.34
,,2006 - 2007,0.25
,,2007 - 2008,0.63
,,2008 - 2009,0.36
,,2009 - 2010,0.23
,,2010 - 2011,0.7
,,2011 - 2012,0.48
,,2012 - 2013,0.5
,,2013 - 2014,0.56
,,2014 - 2015,0.18
,,2015 - 2016,0.06
,,2016 - 2017,0.6
,,2017 - 2018,0.22
,,2018 - 2019,0.43
,,2019 - 2020,0.4
,,2020 - 2021,0.66
,,2021 - 2022,0.66
,,2022 - 2023,0.81
,Pune,2000 - 2001,0.38
,,2001 - 2002,0.21
,,2002 - 2003,0.49
,,2003 - 2004,0.53
,,2004 - 2005,0.36
,,2005 - 2006,0.46
,,2006 - 2007,0.5
,,2007 - 2008,0.63
,,2008 - 2009,0.44
,,2009 - 2010,0.63
,,2010 - 2011,1.01
,,2011 - 2012,0.52
,,2012 - 2013,0.3
,,2013 - 2014,0.76
,,2014 - 2015,0.67
,,2015 - 2016,0.15
,,2016 - 2017,0.29
,,2017 - 2018,0.35
,,2018 - 2019,0.24
,,2019 - 2020,0.26
,,2020 - 2021,0.58
,,2021 - 2022,0.91
,,2022 - 2023,0.71
,Raigad,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.67
,,2008 - 2009,0.33
,,2009 - 2010,0.33
,,2010 - 2011,0.67
,,2011 - 2012,0.5
,,2012 - 2013,0.33
,,2014 - 2015,0.0
,,2015 - 2016,0.0
,,2016 - 2017,0.6
,,2017 - 2018,0.2
,,2018 - 2019,0.2
,,2020 - 2021,0.36
,,2021 - 2022,
,Ratnagiri,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2010 - 2011,1.0
,,2011 - 2012,0.5
,,2012 - 2013,0.2
,,2014 - 2015,0.0
,,2015 - 2016,0.0
,,2016 - 2017,0.5
,,2020 - 2021,0.36
,,2021 - 2022,
,,2022 - 2023,
,Sangli,2000 - 2001,0.9
,,2001 - 2002,0.22
,,2002 - 2003,0.18
,,2003 - 2004,0.12
,,2004 - 2005,0.29
,,2005 - 2006,0.4
,,2006 - 2007,0.65
,,2007 - 2008,0.55
,,2008 - 2009,0.16
,,2009 - 2010,0.57
,,2010 - 2011,0.64
,,2011 - 2012,0.34
,,2012 - 2013,0.17
,,2013 - 2014,0.47
,,2014 - 2015,0.47
,,2015 - 2016,0.17
,,2016 - 2017,0.87
,,2017 - 2018,0.24
,,2018 - 2019,0.24
,,2019 - 2020,0.2
,,2020 - 2021,0.81
,,2021 - 2022,0.61
,,2022 - 2023,0.57
,Satara,2000 - 2001,0.39
,,2001 - 2002,0.78
,,2002 - 2003,0.45
,,2003 - 2004,0.37
,,2004 - 2005,0.66
,,2005 - 2006,0.51
,,2006 - 2007,0.28
,,2007 - 2008,0.68
,,2008 - 2009,0.94
,,2009 - 2010,0.65
,,2010 - 2011,0.66
,,2011 - 2012,0.66
,,2012 - 2013,0.33
,,2013 - 2014,0.84
,,2014 - 2015,0.41
,,2015 - 2016,0.33
,,2016 - 2017,0.58
,,2017 - 2018,0.46
,,2018 - 2019,0.59
,,2019 - 2020,0.36
,,2020 - 2021,0.69
,,2021 - 2022,0.56
,,2022 - 2023,1.03
,Sindhudurg,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,0.0
,,2010 - 2011,1.0
,,2014 - 2015,0.0
,,2015 - 2016,0.0
,,2016 - 2017,0.52
,,2020 - 2021,0.36
,,2021 - 2022,0.64
,Solapur,2000 - 2001,0.59
,,2001 - 2002,0.2
,,2002 - 2003,0.65
,,2003 - 2004,0.46
,,2004 - 2005,0.73
,,2005 - 2006,0.75
,,2006 - 2007,0.45
,,2007 - 2008,0.78
,,2008 - 2009,0.67
,,2009 - 2010,0.3
,,2010 - 2011,0.69
,,2011 - 2012,0.73
,,2012 - 2013,0.42
,,2013 - 2014,0.75
,,2014 - 2015,0.67
,,2015 - 2016,0.15
,,2016 - 2017,0.55
,,2017 - 2018,0.21
,,2018 - 2019,0.24
,,2019 - 2020,0.35
,,2020 - 2021,0.58
,,2021 - 2022,0.51
,,2022 - 2023,0.43
,Thane,2000 - 2001,0.33
,,2001 - 2002,0.63
,,2002 - 2003,0.63
,,2003 - 2004,0.75
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.56
,,2007 - 2008,0.63
,,2008 - 2009,0.38
,,2009 - 2010,0.38
,,2010 - 2011,0.75
,,2011 - 2012,0.63
,,2012 - 2013,0.2
,,2013 - 2014,1.4
,,2014 - 2015,0.0
,,2015 - 2016,0.0
,,2020 - 2021,0.36
,,2021 - 2022,0.64
,Wardha,2000 - 2001,0.31
,,2001 - 2002,0.5
,,2002 - 2003,0.4
,,2003 - 2004,0.55
,,2004 - 2005,0.56
,,2005 - 2006,0.33
,,2006 - 2007,0.83
,,2007 - 2008,0.5
,,2008 - 2009,0.4
,,2009 - 2010,0.67
,,2010 - 2011,0.5
,,2011 - 2012,0.25
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2014 - 2015,0.0
,,2015 - 2016,0.0
,,2016 - 2017,2.54
,,2017 - 2018,0.26
,,2018 - 2019,0.42
,,2019 - 2020,0.39
,,2020 - 2021,0.34
,,2021 - 2022,0.49
,,2022 - 2023,0.38
,Washim,2000 - 2001,0.37
,,2001 - 2002,0.69
,,2002 - 2003,0.48
,,2003 - 2004,0.59
,,2004 - 2005,0.46
,,2005 - 2006,0.37
,,2006 - 2007,0.55
,,2007 - 2008,0.67
,,2008 - 2009,0.15
,,2009 - 2010,0.21
,,2010 - 2011,0.54
,,2011 - 2012,0.64
,,2012 - 2013,0.85
,,2013 - 2014,0.32
,,2014 - 2015,0.35
,,2015 - 2016,0.3
,,2016 - 2017,0.68
,,2017 - 2018,0.46
,,2018 - 2019,0.56
,,2019 - 2020,0.46
,,2020 - 2021,0.75
,,2021 - 2022,0.76
,,2022 - 2023,0.48
,Yavatmal,2000 - 2001,0.41
,,2001 - 2002,0.28
,,2002 - 2003,0.35
,,2003 - 2004,0.54
,,2004 - 2005,0.26
,,2005 - 2006,0.42
,,2006 - 2007,0.47
,,2007 - 2008,0.58
,,2008 - 2009,0.14
,,2009 - 2010,0.24
,,2010 - 2011,0.56
,,2011 - 2012,0.51
,,2012 - 2013,0.62
,,2013 - 2014,0.31
,,2014 - 2015,0.16
,,2015 - 2016,0.25
,,2016 - 2017,0.54
,,2017 - 2018,0.5
,,2018 - 2019,0.38
,,2019 - 2020,0.35
,,2020 - 2021,0.33
,,2021 - 2022,0.33
,,2022 - 2023,0.3
Manipur,Bishnupur,2008 - 2009,1.25
,,2009 - 2010,0.93
,,2010 - 2011,1.02
,,2011 - 2012,1.02
,,2012 - 2013,0.93
,,2013 - 2014,0.98
,,2014 - 2015,1.01
,,2015 - 2016,1.16
,,2016 - 2017,1.17
,,2017 - 2018,1.14
,,2018 - 2019,1.13
,Chandel,2008 - 2009,0.85
,,2009 - 2010,0.5
,,2010 - 2011,0.82
,,2011 - 2012,0.81
,,2012 - 2013,0.91
,,2013 - 2014,0.94
,,2014 - 2015,0.96
,,2015 - 2016,1.06
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.15
,Churachandpur,2008 - 2009,1.11
,,2009 - 2010,0.55
,,2010 - 2011,0.97
,,2011 - 2012,1.02
,,2012 - 2013,0.92
,,2013 - 2014,0.98
,,2014 - 2015,0.96
,,2015 - 2016,1.09
,,2016 - 2017,1.11
,,2017 - 2018,1.11
,,2018 - 2019,0.8
,Imphal east,2008 - 2009,1.23
,,2009 - 2010,0.91
,,2010 - 2011,1.23
,,2011 - 2012,1.01
,,2012 - 2013,0.9
,,2013 - 2014,0.9
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,0.98
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,Imphal west,2008 - 2009,1.31
,,2009 - 2010,0.9
,,2010 - 2011,1.25
,,2011 - 2012,0.97
,,2012 - 2013,0.83
,,2013 - 2014,0.93
,,2014 - 2015,1.0
,,2015 - 2016,1.2
,,2016 - 2017,1.14
,,2017 - 2018,1.14
,,2018 - 2019,1.12
,Senapati,2008 - 2009,1.11
,,2009 - 2010,0.67
,,2010 - 2011,0.96
,,2011 - 2012,0.98
,,2012 - 2013,0.97
,,2013 - 2014,0.98
,,2014 - 2015,0.98
,,2015 - 2016,1.09
,,2016 - 2017,1.11
,,2017 - 2018,1.16
,,2018 - 2019,1.14
,Tamenglong,2008 - 2009,1.03
,,2009 - 2010,0.43
,,2010 - 2011,0.9
,,2011 - 2012,0.89
,,2012 - 2013,0.89
,,2013 - 2014,0.92
,,2014 - 2015,0.9
,,2015 - 2016,1.14
,,2016 - 2017,1.12
,,2017 - 2018,1.1
,,2018 - 2019,1.05
,Thoubal,2008 - 2009,1.14
,,2009 - 2010,0.94
,,2010 - 2011,1.02
,,2011 - 2012,0.9
,,2012 - 2013,0.88
,,2013 - 2014,0.96
,,2014 - 2015,0.96
,,2015 - 2016,1.06
,,2016 - 2017,1.07
,,2017 - 2018,1.08
,,2018 - 2019,1.06
,Ukhrul,2008 - 2009,1.17
,,2009 - 2010,0.64
,,2010 - 2011,1.13
,,2011 - 2012,1.14
,,2012 - 2013,1.0
,,2013 - 2014,1.03
,,2014 - 2015,0.97
,,2015 - 2016,1.15
,,2016 - 2017,1.15
,,2017 - 2018,1.26
,,2018 - 2019,1.03
Mizoram,Aizawl,2001 - 2002,1.1
,,2002 - 2003,0.69
,,2003 - 2004,
,Kolasib,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,0.5
,Lawngtlai,2004 - 2005,
,Lunglei,2001 - 2002,0.28
,,2002 - 2003,
,,2003 - 2004,1.31
,,2004 - 2005,
,,2005 - 2006,
,Mamit,2003 - 2004,1.18
,,2004 - 2005,1.13
,,2005 - 2006,1.38
,Saiha,2003 - 2004,
Nagaland,Chumoukedima,2022 - 2023,1.19
,Dimapur,2000 - 2001,0.82
,,2001 - 2002,0.37
,,2002 - 2003,0.54
,,2003 - 2004,1.5
,,2004 - 2005,0.67
,,2005 - 2006,1.04
,,2006 - 2007,1.45
,,2007 - 2008,1.25
,,2008 - 2009,0.77
,,2009 - 2010,1.0
,,2010 - 2011,0.89
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.08
,,2016 - 2017,1.08
,,2017 - 2018,1.07
,,2018 - 2019,1.07
,,2019 - 2020,1.07
,,2020 - 2021,1.07
,,2021 - 2022,1.05
,,2022 - 2023,1.18
,Kiphire,2009 - 2010,1.0
,Kohima,2000 - 2001,0.83
,,2001 - 2002,0.8
,,2002 - 2003,1.2
,,2003 - 2004,1.38
,,2004 - 2005,0.8
,,2005 - 2006,0.82
,,2006 - 2007,1.21
,,2007 - 2008,1.33
,,2008 - 2009,0.33
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.8
,,2022 - 2023,1.14
,Longleng,2009 - 2010,0.75
,,2021 - 2022,1.05
,,2022 - 2023,1.17
,Mokokchung,2000 - 2001,0.9
,,2001 - 2002,0.76
,,2002 - 2003,1.18
,,2003 - 2004,1.63
,,2004 - 2005,0.64
,,2005 - 2006,0.83
,,2006 - 2007,1.13
,,2007 - 2008,1.0
,,2008 - 2009,0.5
,,2009 - 2010,0.8
,,2010 - 2011,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.17
,,2018 - 2019,1.17
,,2019 - 2020,1.17
,,2020 - 2021,1.17
,,2021 - 2022,0.88
,,2022 - 2023,1.05
,Mon,2000 - 2001,0.92
,,2001 - 2002,0.75
,,2002 - 2003,1.25
,,2003 - 2004,1.68
,,2005 - 2006,1.0
,,2006 - 2007,1.29
,,2007 - 2008,0.75
,,2008 - 2009,0.75
,,2009 - 2010,0.8
,,2010 - 2011,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.04
,,2021 - 2022,0.97
,,2022 - 2023,1.15
,Noklak,2021 - 2022,1.0
,,2022 - 2023,1.19
,Nuiland,2022 - 2023,1.17
,Peren,2008 - 2009,0.57
,,2009 - 2010,0.83
,,2010 - 2011,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.2
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.94
,,2022 - 2023,1.11
,Phek,2000 - 2001,0.89
,,2001 - 2002,0.84
,,2002 - 2003,1.24
,,2003 - 2004,1.36
,,2004 - 2005,0.71
,,2005 - 2006,0.71
,,2006 - 2007,1.22
,,2007 - 2008,1.13
,,2008 - 2009,0.33
,,2009 - 2010,0.86
,,2010 - 2011,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.8
,,2022 - 2023,1.13
,Shamator,2022 - 2023,1.13
,Tseminyu,2022 - 2023,1.11
,Tuensang,2000 - 2001,0.83
,,2001 - 2002,0.75
,,2002 - 2003,1.31
,,2003 - 2004,1.29
,,2004 - 2005,0.67
,,2005 - 2006,0.67
,,2006 - 2007,1.14
,,2007 - 2008,1.0
,,2009 - 2010,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.75
,,2022 - 2023,1.08
,Wokha,2000 - 2001,1.14
,,2001 - 2002,0.96
,,2002 - 2003,1.32
,,2003 - 2004,1.4
,,2004 - 2005,0.86
,,2005 - 2006,0.75
,,2006 - 2007,1.08
,,2007 - 2008,1.25
,,2008 - 2009,0.75
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.05
,,2022 - 2023,1.16
,Zunheboto,2000 - 2001,0.88
,,2001 - 2002,0.73
,,2002 - 2003,1.22
,,2003 - 2004,1.71
,,2004 - 2005,0.0
,,2005 - 2006,0.83
,,2006 - 2007,1.11
,,2007 - 2008,1.33
,,2008 - 2009,0.5
,,2009 - 2010,0.83
,,2010 - 2011,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.8
,,2022 - 2023,0.95
Odisha,Anugul,2000 - 2001,0.16
,,2001 - 2002,0.14
,,2002 - 2003,0.11
,,2003 - 2004,0.16
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Balangir,2000 - 2001,0.13
,,2001 - 2002,0.16
,,2002 - 2003,0.12
,,2003 - 2004,0.17
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Baleshwar,2000 - 2001,0.32
,,2001 - 2002,0.25
,,2002 - 2003,0.24
,,2003 - 2004,0.25
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bargarh,2000 - 2001,0.26
,,2001 - 2002,0.21
,,2002 - 2003,0.25
,,2003 - 2004,0.25
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhadrak,2000 - 2001,0.25
,,2001 - 2002,0.25
,,2002 - 2003,0.28
,,2003 - 2004,0.22
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Boudh,2000 - 2001,0.12
,,2001 - 2002,0.14
,,2002 - 2003,0.12
,,2003 - 2004,0.2
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Cuttack,2000 - 2001,0.29
,,2001 - 2002,0.36
,,2002 - 2003,0.34
,,2003 - 2004,0.26
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Deogarh,2000 - 2001,0.21
,,2001 - 2002,0.21
,,2002 - 2003,0.23
,,2003 - 2004,0.18
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dhenkanal,2000 - 2001,0.13
,,2001 - 2002,0.22
,,2002 - 2003,0.2
,,2003 - 2004,0.27
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gajapati,2000 - 2001,0.27
,,2001 - 2002,0.29
,,2002 - 2003,0.27
,,2003 - 2004,0.18
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ganjam,2000 - 2001,0.15
,,2001 - 2002,0.24
,,2002 - 2003,0.16
,,2003 - 2004,0.23
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jagatsinghapur,2000 - 2001,0.29
,,2001 - 2002,0.32
,,2002 - 2003,0.32
,,2003 - 2004,0.28
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jajapur,2000 - 2001,0.16
,,2001 - 2002,0.26
,,2002 - 2003,0.27
,,2003 - 2004,0.25
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jharsuguda,2000 - 2001,0.49
,,2001 - 2002,0.38
,,2002 - 2003,0.4
,,2003 - 2004,0.43
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kalahandi,2000 - 2001,0.17
,,2001 - 2002,0.22
,,2002 - 2003,0.14
,,2003 - 2004,0.19
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kandhamal,2000 - 2001,0.06
,,2001 - 2002,0.17
,,2002 - 2003,0.08
,,2003 - 2004,0.13
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kendrapara,2000 - 2001,0.31
,,2001 - 2002,0.33
,,2002 - 2003,0.34
,,2003 - 2004,0.26
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
