state,district,year,moong_rabi_yield_tonne_per_hectare
,,2021 - 2022,
,,2022 - 2023,
,Ramanathapuram,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.81
,,2014 - 2015,0.81
,,2015 - 2016,0.52
,,2016 - 2017,0.24
,,2017 - 2018,0.4
,,2018 - 2019,0.41
,,2019 - 2020,0.42
,,2020 - 2021,0.28
,,2021 - 2022,0.32
,,2022 - 2023,0.3
,Ranipet,2020 - 2021,0.28
,,2021 - 2022,0.32
,,2022 - 2023,0.3
,Salem,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.81
,,2014 - 2015,0.81
,,2015 - 2016,0.52
,,2016 - 2017,0.24
,,2017 - 2018,0.4
,,2018 - 2019,0.41
,,2019 - 2020,0.42
,,2020 - 2021,0.28
,,2021 - 2022,0.32
,,2022 - 2023,0.31
,Sivaganga,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.83
,,2014 - 2015,0.75
,,2015 - 2016,1.0
,,2016 - 2017,0.0
,,2017 - 2018,0.43
,,2018 - 2019,
,,2019 - 2020,1.0
,,2020 - 2021,0.29
,,2021 - 2022,1.0
,,2022 - 2023,0.33
,Thanjavur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.76
,,2014 - 2015,0.21
,,2015 - 2016,0.46
,,2016 - 2017,0.35
,,2017 - 2018,0.4
,,2018 - 2019,0.47
,,2019 - 2020,0.46
,,2020 - 2021,0.39
,,2021 - 2022,0.34
,,2022 - 2023,0.36
,The nilgiris,2009 - 2010,
,,2010 - 2011,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Theni,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.81
,,2014 - 2015,0.81
,,2015 - 2016,0.52
,,2016 - 2017,0.24
,,2017 - 2018,0.4
,,2018 - 2019,0.41
,,2019 - 2020,0.68
,,2020 - 2021,0.53
,,2021 - 2022,0.4
,,2022 - 2023,0.32
,Thenkasi,2020 - 2021,0.36
,,2021 - 2022,0.42
,,2022 - 2023,0.5
,Thiruvallur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.23
,,2014 - 2015,1.1
,,2015 - 2016,0.89
,,2016 - 2017,0.68
,,2017 - 2018,0.7
,,2018 - 2019,0.9
,,2019 - 2020,0.86
,,2020 - 2021,0.7
,,2021 - 2022,0.78
,,2022 - 2023,0.8
,Thiruvarur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.07
,,2014 - 2015,0.69
,,2015 - 2016,0.49
,,2016 - 2017,0.21
,,2017 - 2018,0.26
,,2018 - 2019,0.31
,,2019 - 2020,0.33
,,2020 - 2021,0.13
,,2021 - 2022,0.26
,,2022 - 2023,0.19
,Thoothukudi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.2
,,2014 - 2015,1.03
,,2015 - 2016,0.5
,,2016 - 2017,0.09
,,2017 - 2018,0.35
,,2018 - 2019,0.52
,,2019 - 2020,0.31
,,2020 - 2021,0.17
,,2021 - 2022,0.37
,,2022 - 2023,0.54
,Tiruchirappalli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.81
,,2014 - 2015,0.81
,,2015 - 2016,0.52
,,2016 - 2017,0.24
,,2017 - 2018,0.4
,,2018 - 2019,0.41
,,2019 - 2020,0.42
,,2020 - 2021,0.28
,,2021 - 2022,0.33
,,2022 - 2023,0.31
,Tirunelveli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.36
,,2014 - 2015,1.74
,,2015 - 2016,0.7
,,2016 - 2017,0.01
,,2017 - 2018,0.27
,,2018 - 2019,0.13
,,2019 - 2020,0.29
,,2020 - 2021,0.28
,,2021 - 2022,0.33
,,2022 - 2023,0.3
,Tirupathur,2020 - 2021,0.28
,,2021 - 2022,0.32
,,2022 - 2023,0.3
,Tiruppur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.38
,,2014 - 2015,0.53
,,2015 - 2016,0.41
,,2016 - 2017,0.24
,,2017 - 2018,1.12
,,2018 - 2019,0.43
,,2019 - 2020,0.38
,,2020 - 2021,0.37
,,2021 - 2022,0.43
,,2022 - 2023,0.4
,Tiruvannamalai,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.81
,,2014 - 2015,0.81
,,2015 - 2016,0.52
,,2016 - 2017,0.24
,,2017 - 2018,0.4
,,2018 - 2019,0.41
,,2019 - 2020,0.42
,,2020 - 2021,0.28
,,2021 - 2022,0.32
,,2022 - 2023,0.31
,Vellore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.81
,,2014 - 2015,0.79
,,2015 - 2016,0.52
,,2016 - 2017,0.24
,,2017 - 2018,0.4
,,2018 - 2019,0.41
,,2019 - 2020,0.42
,,2020 - 2021,0.5
,,2021 - 2022,0.29
,,2022 - 2023,0.25
,Villupuram,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.81
,,2014 - 2015,0.81
,,2015 - 2016,0.52
,,2016 - 2017,0.24
,,2017 - 2018,0.4
,,2018 - 2019,0.41
,,2019 - 2020,0.42
,,2020 - 2021,0.28
,,2021 - 2022,0.33
,,2022 - 2023,0.31
,Virudhunagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.62
,,2014 - 2015,0.77
,,2015 - 2016,0.45
,,2016 - 2017,0.27
,,2017 - 2018,0.39
,,2018 - 2019,0.63
,,2019 - 2020,0.48
,,2020 - 2021,0.35
,,2021 - 2022,0.45
,,2022 - 2023,0.46
Telangana,Adilabad,2000 - 2001,0.34
,,2001 - 2002,0.3
,,2002 - 2003,0.25
,,2003 - 2004,0.34
,,2004 - 2005,0.33
,,2005 - 2006,0.36
,,2006 - 2007,0.52
,,2007 - 2008,0.33
,,2008 - 2009,0.54
,,2009 - 2010,0.36
,,2010 - 2011,0.52
,,2011 - 2012,0.49
,,2012 - 2013,1.0
,,2013 - 2014,0.85
,,2014 - 2015,0.65
,,2015 - 2016,0.68
,,2016 - 2017,0.93
,,2017 - 2018,0.83
,,2018 - 2019,1.0
,,2019 - 2020,0.95
,,2020 - 2021,0.95
,,2021 - 2022,0.96
,,2022 - 2023,0.68
,Bhadradri,2016 - 2017,0.9
,,2017 - 2018,0.85
,,2018 - 2019,0.82
,,2019 - 2020,0.72
,,2020 - 2021,0.95
,,2021 - 2022,1.06
,,2022 - 2023,0.85
,Jagitial,2016 - 2017,0.97
,,2017 - 2018,0.82
,,2018 - 2019,0.97
,,2019 - 2020,1.09
,,2020 - 2021,1.01
,,2021 - 2022,0.82
,,2022 - 2023,1.11
,Jangoan,2016 - 2017,0.9
,,2017 - 2018,0.83
,,2018 - 2019,0.94
,,2019 - 2020,0.95
,,2020 - 2021,0.96
,,2021 - 2022,0.96
,,2022 - 2023,0.23
,Jayashankar,2016 - 2017,0.9
,,2017 - 2018,0.67
,,2018 - 2019,0.71
,,2019 - 2020,0.95
,,2020 - 2021,0.94
,,2021 - 2022,0.95
,,2022 - 2023,1.13
,Jogulamba,2016 - 2017,0.88
,,2017 - 2018,0.67
,,2018 - 2019,0.95
,,2019 - 2020,0.95
,,2020 - 2021,0.94
,,2021 - 2022,0.96
,,2022 - 2023,1.23
,Kamareddy,2016 - 2017,0.9
,,2017 - 2018,0.83
,,2018 - 2019,0.94
,,2019 - 2020,0.94
,,2020 - 2021,0.96
,,2021 - 2022,0.96
,,2022 - 2023,1.0
,Karimnagar,2000 - 2001,0.34
,,2001 - 2002,0.31
,,2002 - 2003,0.26
,,2003 - 2004,0.34
,,2004 - 2005,0.33
,,2005 - 2006,0.53
,,2006 - 2007,0.86
,,2007 - 2008,1.0
,,2008 - 2009,0.89
,,2009 - 2010,0.46
,,2010 - 2011,0.55
,,2011 - 2012,0.7
,,2012 - 2013,0.75
,,2013 - 2014,0.93
,,2014 - 2015,0.59
,,2015 - 2016,0.77
,,2016 - 2017,0.9
,,2017 - 2018,0.83
,,2018 - 2019,0.95
,,2019 - 2020,0.95
,,2020 - 2021,0.95
,,2021 - 2022,0.22
,,2022 - 2023,0.69
,Khammam,2000 - 2001,0.33
,,2001 - 2002,0.3
,,2002 - 2003,0.25
,,2003 - 2004,0.34
,,2004 - 2005,0.33
,,2005 - 2006,0.71
,,2006 - 2007,1.07
,,2007 - 2008,0.88
,,2008 - 2009,1.03
,,2009 - 2010,0.49
,,2010 - 2011,0.57
,,2011 - 2012,0.74
,,2012 - 2013,0.8
,,2013 - 2014,0.97
,,2014 - 2015,0.57
,,2015 - 2016,0.8
,,2016 - 2017,0.84
,,2017 - 2018,0.99
,,2018 - 2019,0.98
,,2019 - 2020,0.97
,,2020 - 2021,0.99
,,2021 - 2022,1.09
,,2022 - 2023,0.95
,Komaram bheem asifabad,2016 - 2017,0.9
,,2017 - 2018,1.37
,,2018 - 2019,1.73
,,2019 - 2020,0.95
,,2020 - 2021,0.95
,,2021 - 2022,0.45
,,2022 - 2023,0.87
,Mahabubabad,2016 - 2017,0.9
,,2017 - 2018,0.66
,,2018 - 2019,1.0
,,2019 - 2020,1.07
,,2020 - 2021,0.83
,,2021 - 2022,0.82
,,2022 - 2023,1.02
,Mahbubnagar,2000 - 2001,0.31
,,2001 - 2002,0.25
,,2002 - 2003,
,,2003 - 2004,0.36
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.87
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.92
,,2014 - 2015,0.59
,,2015 - 2016,0.77
,,2016 - 2017,0.92
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.96
,,2022 - 2023,1.0
,Mancherial,2016 - 2017,0.9
,,2017 - 2018,0.83
,,2018 - 2019,0.95
,,2019 - 2020,0.95
,,2020 - 2021,0.95
,,2021 - 2022,1.93
,,2022 - 2023,1.13
,Medak,2000 - 2001,0.34
,,2001 - 2002,0.3
,,2002 - 2003,0.25
,,2003 - 2004,0.35
,,2004 - 2005,0.33
,,2005 - 2006,0.55
,,2006 - 2007,0.85
,,2007 - 2008,
,,2008 - 2009,0.88
,,2009 - 2010,0.46
,,2010 - 2011,0.56
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.0
,,2014 - 2015,0.6
,,2015 - 2016,0.77
,,2016 - 2017,0.89
,,2017 - 2018,0.82
,,2018 - 2019,0.9
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.95
,,2022 - 2023,
,Medchal,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,1.0
,Mulugu,2018 - 2019,0.71
,,2019 - 2020,0.88
,,2020 - 2021,0.76
,,2021 - 2022,0.65
,,2022 - 2023,0.66
,Nagarkurnool,2016 - 2017,0.92
,,2017 - 2018,0.83
,,2018 - 2019,1.0
,,2019 - 2020,0.95
,,2020 - 2021,0.95
,,2021 - 2022,0.96
,,2022 - 2023,1.16
,Nalgonda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.25
,,2003 - 2004,0.33
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.86
,,2007 - 2008,
,,2008 - 2009,0.88
,,2009 - 2010,0.46
,,2010 - 2011,0.55
,,2011 - 2012,0.7
,,2012 - 2013,
,,2013 - 2014,0.93
,,2014 - 2015,0.59
,,2015 - 2016,0.77
,,2016 - 2017,0.9
,,2017 - 2018,
,,2018 - 2019,0.92
,,2019 - 2020,0.95
,,2020 - 2021,0.95
,,2021 - 2022,0.96
,,2022 - 2023,1.51
,Narayanapet,2018 - 2019,
,,2019 - 2020,1.0
,,2020 - 2021,0.95
,,2021 - 2022,0.96
,,2022 - 2023,0.69
,Nirmal,2016 - 2017,0.9
,,2017 - 2018,0.83
,,2018 - 2019,0.95
,,2019 - 2020,0.95
,,2020 - 2021,0.95
,,2021 - 2022,0.96
,,2022 - 2023,1.11
,Nizamabad,2000 - 2001,0.33
,,2001 - 2002,0.31
,,2002 - 2003,0.26
,,2003 - 2004,0.34
,,2004 - 2005,0.33
,,2005 - 2006,0.54
,,2006 - 2007,0.86
,,2007 - 2008,
,,2008 - 2009,0.88
,,2009 - 2010,0.46
,,2010 - 2011,0.55
,,2011 - 2012,0.7
,,2012 - 2013,1.0
,,2013 - 2014,0.93
,,2014 - 2015,0.59
,,2015 - 2016,0.77
,,2016 - 2017,0.9
,,2017 - 2018,0.83
,,2018 - 2019,0.95
,,2019 - 2020,0.95
,,2020 - 2021,0.98
,,2021 - 2022,0.74
,,2022 - 2023,1.0
,Peddapalli,2016 - 2017,0.9
,,2017 - 2018,0.82
,,2018 - 2019,0.95
,,2019 - 2020,0.95
,,2020 - 2021,0.94
,,2021 - 2022,0.96
,,2022 - 2023,1.0
,Rajanna,2016 - 2017,0.9
,,2017 - 2018,0.83
,,2018 - 2019,0.95
,,2019 - 2020,0.94
,,2020 - 2021,0.94
,,2021 - 2022,0.96
,,2022 - 2023,0.92
,Rangareddi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,0.67
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.75
,,2016 - 2017,1.0
,,2017 - 2018,0.75
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.0
,,2021 - 2022,0.97
,,2022 - 2023,1.0
,Sangareddy,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.0
,,2021 - 2022,0.96
,,2022 - 2023,1.0
,Siddipet,2016 - 2017,0.91
,,2017 - 2018,0.83
,,2018 - 2019,0.94
,,2019 - 2020,0.95
,,2020 - 2021,0.96
,,2021 - 2022,0.96
,,2022 - 2023,1.0
,Suryapet,2016 - 2017,0.9
,,2017 - 2018,
,,2018 - 2019,1.0
,,2019 - 2020,0.95
,,2020 - 2021,0.95
,,2021 - 2022,0.96
,,2022 - 2023,0.53
,Vikarabad,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.94
,,2021 - 2022,0.96
,,2022 - 2023,1.0
,Wanaparthy,2016 - 2017,0.9
,,2017 - 2018,0.83
,,2018 - 2019,0.95
,,2019 - 2020,0.94
,,2020 - 2021,0.95
,,2021 - 2022,0.96
,,2022 - 2023,1.0
,Warangal,2000 - 2001,0.32
,,2001 - 2002,0.31
,,2002 - 2003,0.26
,,2003 - 2004,0.34
,,2004 - 2005,0.33
,,2005 - 2006,0.53
,,2006 - 2007,0.86
,,2007 - 2008,1.0
,,2008 - 2009,0.88
,,2009 - 2010,0.46
,,2010 - 2011,0.55
,,2011 - 2012,0.69
,,2012 - 2013,1.0
,,2013 - 2014,0.93
,,2014 - 2015,0.59
,,2015 - 2016,0.77
,,2016 - 2017,0.9
,,2017 - 2018,0.83
,,2018 - 2019,0.95
,,2019 - 2020,0.95
,,2020 - 2021,0.94
,,2021 - 2022,0.85
,,2022 - 2023,0.91
,Warangal urban,2016 - 2017,0.9
,,2017 - 2018,0.83
,,2018 - 2019,0.95
,,2019 - 2020,0.94
,,2020 - 2021,0.96
,,2021 - 2022,0.95
,,2022 - 2023,1.0
,Yadadri,2016 - 2017,1.0
,,2017 - 2018,0.84
,,2018 - 2019,0.95
,,2019 - 2020,0.95
,,2020 - 2021,0.96
,,2021 - 2022,0.96
,,2022 - 2023,1.0
Tripura,Dhalai,2004 - 2005,0.44
,,2005 - 2006,0.53
,,2006 - 2007,0.53
,,2007 - 2008,0.57
,,2008 - 2009,0.82
,,2009 - 2010,0.52
,,2010 - 2011,0.5
,,2011 - 2012,0.56
,,2012 - 2013,0.6
,,2013 - 2014,0.62
,,2014 - 2015,0.61
,,2015 - 2016,0.55
,,2016 - 2017,0.58
,,2017 - 2018,0.68
,,2018 - 2019,0.75
,,2019 - 2020,0.76
,,2020 - 2021,0.81
,,2021 - 2022,0.75
,,2022 - 2023,0.85
,Gomati,2012 - 2013,0.86
,,2013 - 2014,0.67
,,2014 - 2015,0.68
,,2015 - 2016,0.55
,,2016 - 2017,0.74
,,2017 - 2018,0.73
,,2018 - 2019,0.71
,,2019 - 2020,0.71
,,2020 - 2021,0.77
,,2021 - 2022,0.73
,,2022 - 2023,0.83
,Khowai,2012 - 2013,0.55
,,2013 - 2014,0.63
,,2014 - 2015,0.61
,,2015 - 2016,0.55
,,2016 - 2017,0.61
,,2017 - 2018,0.62
,,2018 - 2019,0.67
,,2019 - 2020,0.7
,,2020 - 2021,0.75
,,2021 - 2022,0.73
,,2022 - 2023,0.85
,North tripura,2004 - 2005,0.54
,,2005 - 2006,0.49
,,2006 - 2007,0.44
,,2007 - 2008,0.49
,,2008 - 2009,0.52
,,2009 - 2010,0.57
,,2010 - 2011,0.54
,,2011 - 2012,0.58
,,2012 - 2013,0.59
,,2013 - 2014,0.55
,,2014 - 2015,0.63
,,2015 - 2016,0.55
,,2016 - 2017,0.62
,,2017 - 2018,0.61
,,2018 - 2019,0.65
,,2019 - 2020,0.68
,,2020 - 2021,0.74
,,2021 - 2022,0.72
,,2022 - 2023,0.92
,Sepahijala,2012 - 2013,0.53
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.58
,,2017 - 2018,0.58
,,2018 - 2019,0.64
,,2019 - 2020,0.67
,,2020 - 2021,0.73
,,2021 - 2022,0.63
,,2022 - 2023,0.84
,South tripura,2004 - 2005,0.55
,,2005 - 2006,0.86
,,2006 - 2007,0.64
,,2007 - 2008,0.7
,,2008 - 2009,0.77
,,2009 - 2010,0.61
,,2010 - 2011,0.58
,,2011 - 2012,0.57
,,2012 - 2013,0.57
,,2013 - 2014,0.53
,,2014 - 2015,0.6
,,2015 - 2016,0.55
,,2016 - 2017,0.62
,,2017 - 2018,0.61
,,2018 - 2019,0.62
,,2019 - 2020,0.65
,,2020 - 2021,0.71
,,2021 - 2022,0.66
,,2022 - 2023,0.82
,Unakoti,2012 - 2013,0.54
,,2013 - 2014,0.54
,,2014 - 2015,0.57
,,2015 - 2016,0.5
,,2016 - 2017,0.57
,,2017 - 2018,0.57
,,2018 - 2019,0.65
,,2019 - 2020,0.67
,,2020 - 2021,0.73
,,2021 - 2022,0.66
,,2022 - 2023,0.85
,West tripura,2004 - 2005,0.49
,,2005 - 2006,0.47
,,2006 - 2007,0.51
,,2007 - 2008,0.49
,,2008 - 2009,0.43
,,2009 - 2010,0.55
,,2010 - 2011,0.61
,,2011 - 2012,0.63
,,2012 - 2013,0.53
,,2013 - 2014,0.58
,,2014 - 2015,0.63
,,2015 - 2016,0.56
,,2016 - 2017,0.59
,,2017 - 2018,0.59
,,2018 - 2019,0.64
,,2019 - 2020,0.67
,,2020 - 2021,0.74
,,2021 - 2022,0.63
,,2022 - 2023,0.87
Uttar Pradesh,Agra,2000 - 2001,0.27
,,2001 - 2002,0.28
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Aligarh,2000 - 2001,0.35
,,2001 - 2002,0.36
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Allahabad,2000 - 2001,0.37
,,2001 - 2002,0.59
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ambedkar nagar,2000 - 2001,0.63
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Amethi,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Amroha,2000 - 2001,1.0
,,2001 - 2002,0.5
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Auraiya,2000 - 2001,0.54
,,2001 - 2002,0.54
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Azamgarh,2000 - 2001,0.57
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Baghpat,2000 - 2001,0.4
,,2001 - 2002,0.42
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bahraich,2000 - 2001,0.46
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ballia,2000 - 2001,0.57
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Balrampur,2000 - 2001,0.5
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2018 - 2019,
,,2019 - 2020,
,Banda,2000 - 2001,0.5
,,2001 - 2002,1.0
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
