state,district,year,bajra_kharif_yield_tonne_per_hectare
,,2001 - 2002,0.8
,,2002 - 2003,0.8
,,2006 - 2007,1.0
,,2007 - 2008,0.33
,,2008 - 2009,0.33
,,2010 - 2011,0.83
,,2012 - 2013,1.0
,,2013 - 2014,
,,2014 - 2015,0.76
,,2016 - 2017,1.0
,,2020 - 2021,1.3
,Korba,2000 - 2001,0.43
,,2001 - 2002,0.43
,,2002 - 2003,0.29
,,2003 - 2004,0.57
,,2004 - 2005,0.29
,,2005 - 2006,0.29
,,2006 - 2007,0.29
,,2007 - 2008,0.29
,,2008 - 2009,0.4
,,2009 - 2010,0.33
,,2010 - 2011,0.5
,,2011 - 2012,1.0
,,2012 - 2013,0.5
,,2013 - 2014,
,,2014 - 2015,0.38
,,2015 - 2016,0.0
,,2016 - 2017,1.0
,,2018 - 2019,0.67
,,2019 - 2020,0.58
,,2020 - 2021,0.4
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Korea,2019 - 2020,0.38
,Mahasamund,2002 - 2003,0.5
,,2016 - 2017,0.95
,,2017 - 2018,0.0
,,2022 - 2023,1.0
,Manendragarh chirimiri bharatpur,2022 - 2023,0.5
,Mungeli,2019 - 2020,1.0
,Raigarh,2000 - 2001,0.25
,,2001 - 2002,0.4
,,2002 - 2003,0.29
,,2003 - 2004,0.3
,,2004 - 2005,0.32
,,2005 - 2006,0.34
,,2006 - 2007,0.35
,,2007 - 2008,0.39
,,2008 - 2009,0.38
,,2009 - 2010,0.33
,,2010 - 2011,0.52
,,2011 - 2012,0.41
,,2012 - 2013,0.41
,,2013 - 2014,
,,2014 - 2015,0.45
,,2015 - 2016,0.42
,,2016 - 2017,0.5
,,2017 - 2018,0.43
,,2018 - 2019,0.33
,,2019 - 2020,0.5
,Raipur,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,1.0
,,2007 - 2008,0.82
,,2009 - 2010,0.0
,,2010 - 2011,0.67
,,2022 - 2023,1.0
,Rajnandgaon,2000 - 2001,0.67
,,2001 - 2002,1.0
,,2002 - 2003,0.75
,,2003 - 2004,1.0
,,2004 - 2005,0.67
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2018 - 2019,1.25
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,Surajpur,2020 - 2021,0.5
,,2021 - 2022,0.5
,Surguja,2001 - 2002,0.5
,,2005 - 2006,1.0
,,2007 - 2008,0.0
,,2018 - 2019,0.5
,,2021 - 2022,0.51
,,2022 - 2023,0.51
Daman and Diu,Diu,2013 - 2014,1.33
,,2014 - 2015,1.67
,,2015 - 2016,1.35
,,2016 - 2017,1.33
,,2017 - 2018,1.33
,,2018 - 2019,1.31
,,2019 - 2020,1.31
Delhi,Delhi_total,2008 - 2009,1.9
,,2009 - 2010,1.88
,,2010 - 2011,1.88
,,2011 - 2012,1.87
,,2012 - 2013,2.51
,,2013 - 2014,2.51
,,2014 - 2015,2.51
,,2015 - 2016,2.2
,,2016 - 2017,2.2
,,2017 - 2018,2.17
,,2018 - 2019,2.2
,,2019 - 2020,3.3
Gujarat,Ahmadabad,2000 - 2001,0.78
,,2001 - 2002,1.13
,,2002 - 2003,1.02
,,2003 - 2004,1.06
,,2004 - 2005,1.19
,,2005 - 2006,0.78
,,2006 - 2007,0.69
,,2007 - 2008,0.9
,,2008 - 2009,1.38
,,2009 - 2010,1.17
,,2010 - 2011,1.41
,,2011 - 2012,1.4
,,2012 - 2013,1.29
,,2013 - 2014,1.34
,,2014 - 2015,1.18
,,2015 - 2016,1.17
,,2016 - 2017,2.04
,,2017 - 2018,2.02
,,2018 - 2019,1.32
,,2019 - 2020,2.49
,,2020 - 2021,1.53
,,2021 - 2022,1.64
,,2022 - 2023,1.78
,Amreli,2000 - 2001,0.72
,,2001 - 2002,1.9
,,2002 - 2003,1.85
,,2003 - 2004,1.99
,,2004 - 2005,1.23
,,2005 - 2006,1.74
,,2006 - 2007,1.58
,,2007 - 2008,1.63
,,2008 - 2009,1.73
,,2009 - 2010,0.75
,,2010 - 2011,1.74
,,2011 - 2012,1.18
,,2012 - 2013,0.33
,,2013 - 2014,1.9
,,2014 - 2015,1.93
,,2015 - 2016,2.32
,,2016 - 2017,2.1
,,2017 - 2018,1.77
,,2018 - 2019,1.24
,,2019 - 2020,2.24
,,2020 - 2021,1.28
,,2021 - 2022,1.52
,,2022 - 2023,2.19
,Anand,2003 - 2004,1.08
,,2004 - 2005,1.11
,,2005 - 2006,0.99
,,2006 - 2007,1.01
,,2007 - 2008,1.42
,,2008 - 2009,1.46
,,2009 - 2010,1.53
,,2010 - 2011,1.29
,,2011 - 2012,1.36
,,2012 - 2013,1.54
,,2013 - 2014,1.16
,,2014 - 2015,1.25
,,2015 - 2016,2.16
,,2016 - 2017,1.61
,,2017 - 2018,1.68
,,2018 - 2019,1.58
,,2019 - 2020,1.63
,,2020 - 2021,1.6
,,2021 - 2022,1.78
,,2022 - 2023,1.95
,Aravalli,2014 - 2015,1.4
,,2015 - 2016,1.05
,,2016 - 2017,1.12
,,2017 - 2018,1.0
,,2018 - 2019,1.56
,,2019 - 2020,1.56
,,2020 - 2021,1.86
,,2021 - 2022,2.05
,,2022 - 2023,2.0
,Banas kantha,2000 - 2001,0.27
,,2001 - 2002,0.68
,,2002 - 2003,0.16
,,2003 - 2004,1.22
,,2004 - 2005,0.63
,,2005 - 2006,0.68
,,2006 - 2007,0.2
,,2007 - 2008,0.92
,,2008 - 2009,0.24
,,2009 - 2010,0.25
,,2010 - 2011,0.8
,,2011 - 2012,0.82
,,2012 - 2013,0.89
,,2013 - 2014,1.17
,,2014 - 2015,1.43
,,2015 - 2016,0.74
,,2016 - 2017,1.21
,,2017 - 2018,1.19
,,2018 - 2019,0.9
,,2019 - 2020,1.72
,,2020 - 2021,1.76
,,2021 - 2022,1.71
,,2022 - 2023,1.75
,Bharuch,2000 - 2001,0.64
,,2001 - 2002,1.22
,,2002 - 2003,0.86
,,2003 - 2004,1.35
,,2004 - 2005,1.03
,,2005 - 2006,1.09
,,2006 - 2007,0.73
,,2007 - 2008,
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.25
,,2011 - 2012,1.13
,,2012 - 2013,1.0
,,2013 - 2014,1.39
,,2014 - 2015,1.63
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.65
,,2018 - 2019,
,,2019 - 2020,1.75
,,2020 - 2021,1.53
,,2021 - 2022,1.64
,,2022 - 2023,1.76
,Bhavnagar,2000 - 2001,0.62
,,2001 - 2002,1.76
,,2002 - 2003,2.03
,,2003 - 2004,2.03
,,2004 - 2005,1.65
,,2005 - 2006,2.31
,,2006 - 2007,2.28
,,2007 - 2008,2.47
,,2008 - 2009,2.26
,,2009 - 2010,1.69
,,2010 - 2011,2.51
,,2011 - 2012,2.19
,,2012 - 2013,1.52
,,2013 - 2014,2.51
,,2014 - 2015,2.36
,,2015 - 2016,2.32
,,2016 - 2017,2.37
,,2017 - 2018,2.7
,,2018 - 2019,2.65
,,2019 - 2020,2.62
,,2020 - 2021,1.93
,,2021 - 2022,1.99
,,2022 - 2023,2.55
,Botad,2014 - 2015,1.39
,,2015 - 2016,1.2
,,2016 - 2017,1.56
,,2017 - 2018,1.23
,,2018 - 2019,0.67
,,2019 - 2020,0.48
,,2020 - 2021,0.5
,,2021 - 2022,1.64
,,2022 - 2023,1.77
,Chhotaudepur,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,1.64
,,2022 - 2023,
,Devbhumi dwarka,2014 - 2015,1.63
,,2015 - 2016,1.67
,,2016 - 2017,1.53
,,2017 - 2018,1.65
,,2018 - 2019,1.4
,,2019 - 2020,
,,2020 - 2021,1.53
,,2021 - 2022,1.63
,,2022 - 2023,
,Dohad,2003 - 2004,1.5
,,2004 - 2005,
,,2005 - 2006,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Gandhinagar,2000 - 2001,0.54
,,2001 - 2002,1.64
,,2002 - 2003,1.69
,,2003 - 2004,1.42
,,2004 - 2005,1.43
,,2005 - 2006,1.1
,,2006 - 2007,0.9
,,2007 - 2008,1.27
,,2008 - 2009,1.45
,,2009 - 2010,0.97
,,2010 - 2011,1.39
,,2011 - 2012,1.32
,,2012 - 2013,1.09
,,2013 - 2014,1.37
,,2014 - 2015,1.46
,,2015 - 2016,1.5
,,2016 - 2017,1.41
,,2017 - 2018,1.94
,,2018 - 2019,1.82
,,2019 - 2020,1.57
,,2020 - 2021,1.52
,,2021 - 2022,1.42
,,2022 - 2023,1.58
,Gir somnath,2014 - 2015,2.53
,,2015 - 2016,2.61
,,2016 - 2017,1.37
,,2017 - 2018,1.65
,,2018 - 2019,1.6
,,2019 - 2020,1.9
,,2020 - 2021,1.53
,,2021 - 2022,3.42
,,2022 - 2023,2.48
,Jamnagar,2000 - 2001,0.74
,,2001 - 2002,1.16
,,2002 - 2003,0.27
,,2003 - 2004,1.71
,,2004 - 2005,1.21
,,2005 - 2006,1.04
,,2006 - 2007,1.31
,,2007 - 2008,1.52
,,2008 - 2009,1.41
,,2009 - 2010,1.39
,,2010 - 2011,0.44
,,2011 - 2012,1.0
,,2012 - 2013,2.0
,,2013 - 2014,1.23
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,1.53
,,2017 - 2018,1.65
,,2018 - 2019,1.4
,,2019 - 2020,1.75
,,2020 - 2021,1.56
,,2021 - 2022,1.67
,,2022 - 2023,
,Junagadh,2000 - 2001,1.69
,,2001 - 2002,2.33
,,2002 - 2003,2.05
,,2003 - 2004,2.26
,,2004 - 2005,1.92
,,2005 - 2006,1.94
,,2006 - 2007,1.41
,,2007 - 2008,1.34
,,2008 - 2009,2.38
,,2009 - 2010,1.69
,,2010 - 2011,1.19
,,2011 - 2012,2.13
,,2012 - 2013,1.02
,,2013 - 2014,2.38
,,2014 - 2015,1.62
,,2015 - 2016,1.67
,,2016 - 2017,1.53
,,2017 - 2018,1.65
,,2018 - 2019,1.39
,,2019 - 2020,1.74
,,2020 - 2021,1.5
,,2021 - 2022,
,,2022 - 2023,1.8
,Kachchh,2000 - 2001,0.44
,,2001 - 2002,0.81
,,2002 - 2003,0.39
,,2003 - 2004,1.3
,,2004 - 2005,0.81
,,2005 - 2006,1.05
,,2006 - 2007,1.01
,,2007 - 2008,1.24
,,2008 - 2009,0.82
,,2009 - 2010,0.87
,,2010 - 2011,1.03
,,2011 - 2012,0.9
,,2012 - 2013,0.75
,,2013 - 2014,1.47
,,2014 - 2015,1.04
,,2015 - 2016,1.12
,,2016 - 2017,0.96
,,2017 - 2018,1.4
,,2018 - 2019,0.52
,,2019 - 2020,1.19
,,2020 - 2021,0.47
,,2021 - 2022,0.92
,,2022 - 2023,1.25
,Kheda,2000 - 2001,1.25
,,2001 - 2002,1.54
,,2002 - 2003,1.32
,,2003 - 2004,1.17
,,2004 - 2005,0.96
,,2005 - 2006,1.16
,,2006 - 2007,0.59
,,2007 - 2008,1.08
,,2008 - 2009,1.03
,,2009 - 2010,0.93
,,2010 - 2011,1.39
,,2011 - 2012,1.29
,,2012 - 2013,1.4
,,2013 - 2014,1.07
,,2014 - 2015,1.34
,,2015 - 2016,1.48
,,2016 - 2017,1.41
,,2017 - 2018,1.37
,,2018 - 2019,1.52
,,2019 - 2020,1.51
,,2020 - 2021,1.66
,,2021 - 2022,1.55
,,2022 - 2023,1.86
,Mahesana,2000 - 2001,0.63
,,2001 - 2002,1.29
,,2002 - 2003,0.87
,,2003 - 2004,1.03
,,2004 - 2005,1.19
,,2005 - 2006,0.82
,,2006 - 2007,0.38
,,2007 - 2008,1.19
,,2008 - 2009,1.27
,,2009 - 2010,1.17
,,2010 - 2011,0.99
,,2011 - 2012,0.91
,,2012 - 2013,1.15
,,2013 - 2014,1.14
,,2014 - 2015,1.11
,,2015 - 2016,1.3
,,2016 - 2017,1.3
,,2017 - 2018,1.55
,,2018 - 2019,1.48
,,2019 - 2020,1.71
,,2020 - 2021,1.17
,,2021 - 2022,1.79
,,2022 - 2023,1.73
,Mahisagar,2014 - 2015,1.32
,,2015 - 2016,1.4
,,2016 - 2017,1.46
,,2017 - 2018,1.0
,,2018 - 2019,2.13
,,2019 - 2020,1.29
,,2020 - 2021,1.48
,,2021 - 2022,1.96
,,2022 - 2023,2.14
,Morbi,2014 - 2015,2.49
,,2015 - 2016,2.35
,,2016 - 2017,2.51
,,2017 - 2018,3.35
,,2018 - 2019,2.56
,,2019 - 2020,2.79
,,2020 - 2021,1.93
,,2021 - 2022,1.3
