state,district,year,bajra_kharif_yield_tonne_per_hectare
,,2004 - 2005,0.85
,,2005 - 2006,0.85
,,2006 - 2007,0.89
,,2007 - 2008,0.8
,,2008 - 2009,0.91
,,2009 - 2010,
,,2010 - 2011,1.05
,,2011 - 2012,1.05
,,2012 - 2013,3.05
,,2013 - 2014,0.43
,,2018 - 2019,1.74
,,2019 - 2020,1.27
,,2020 - 2021,1.0
,,2021 - 2022,1.04
,,2022 - 2023,1.27
,Satna,2000 - 2001,0.6
,,2001 - 2002,0.6
,,2002 - 2003,0.32
,,2003 - 2004,0.61
,,2004 - 2005,0.56
,,2005 - 2006,0.57
,,2006 - 2007,0.47
,,2007 - 2008,0.38
,,2008 - 2009,0.56
,,2009 - 2010,
,,2010 - 2011,0.69
,,2011 - 2012,0.62
,,2013 - 2014,0.61
,,2014 - 2015,1.5
,,2017 - 2018,1.35
,,2018 - 2019,0.76
,,2019 - 2020,0.57
,,2020 - 2021,0.41
,,2021 - 2022,0.43
,,2022 - 2023,0.5
,Sehore,2001 - 2002,1.6
,,2017 - 2018,1.67
,,2018 - 2019,2.45
,,2019 - 2020,2.25
,,2020 - 2021,1.0
,,2021 - 2022,1.33
,,2022 - 2023,1.86
,Seoni,2002 - 2003,0.1
,,2012 - 2013,1.77
,,2018 - 2019,1.25
,,2019 - 2020,1.0
,,2022 - 2023,1.25
,Shahdol,2009 - 2010,
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.97
,,2013 - 2014,0.0
,,2018 - 2019,0.42
,,2019 - 2020,0.38
,,2021 - 2022,0.27
,,2022 - 2023,0.33
,Shajapur,2000 - 2001,0.89
,,2001 - 2002,0.56
,,2002 - 2003,0.41
,,2003 - 2004,1.0
,,2004 - 2005,1.13
,,2005 - 2006,0.88
,,2006 - 2007,1.0
,,2007 - 2008,0.7
,,2008 - 2009,0.82
,,2009 - 2010,
,,2010 - 2011,1.0
,,2011 - 2012,0.83
,,2012 - 2013,1.0
,,2017 - 2018,1.25
,,2018 - 2019,1.17
,,2019 - 2020,0.5
,,2022 - 2023,0.5
,Sheopur,2000 - 2001,1.6
,,2001 - 2002,1.08
,,2002 - 2003,0.34
,,2003 - 2004,1.44
,,2004 - 2005,1.13
,,2005 - 2006,1.49
,,2006 - 2007,1.56
,,2007 - 2008,1.4
,,2008 - 2009,1.61
,,2009 - 2010,
,,2010 - 2011,1.71
,,2011 - 2012,1.72
,,2012 - 2013,1.92
,,2013 - 2014,1.99
,,2014 - 2015,1.06
,,2015 - 2016,1.27
,,2016 - 2017,2.25
,,2017 - 2018,1.31
,,2018 - 2019,1.81
,,2019 - 2020,1.78
,,2020 - 2021,1.61
,,2021 - 2022,1.31
,,2022 - 2023,1.67
,Shivpuri,2000 - 2001,1.61
,,2001 - 2002,1.17
,,2002 - 2003,0.3
,,2003 - 2004,1.42
,,2004 - 2005,1.41
,,2005 - 2006,1.56
,,2006 - 2007,1.4
,,2007 - 2008,0.86
,,2008 - 2009,1.56
,,2009 - 2010,
,,2010 - 2011,1.77
,,2011 - 2012,1.67
,,2012 - 2013,1.58
,,2013 - 2014,1.36
,,2014 - 2015,1.33
,,2015 - 2016,1.4
,,2016 - 2017,2.63
,,2017 - 2018,1.47
,,2018 - 2019,1.69
,,2019 - 2020,1.53
,,2020 - 2021,1.44
,,2021 - 2022,0.99
,,2022 - 2023,1.6
,Sidhi,2000 - 2001,1.0
,,2002 - 2003,0.33
,,2005 - 2006,0.33
,,2009 - 2010,
,,2012 - 2013,0.54
,,2013 - 2014,0.4
,,2015 - 2016,0.44
,,2017 - 2018,1.42
,,2018 - 2019,0.5
,,2019 - 2020,0.35
,,2021 - 2022,0.22
,,2022 - 2023,0.75
,Singrauli,2010 - 2011,1.13
,,2015 - 2016,0.62
,,2017 - 2018,2.69
,,2018 - 2019,1.23
,,2019 - 2020,0.91
,,2020 - 2021,0.47
,,2021 - 2022,0.75
,,2022 - 2023,1.27
,Tikamgarh,2001 - 2002,2.0
,,2002 - 2003,0.1
,,2003 - 2004,1.0
,,2007 - 2008,1.0
,,2012 - 2013,1.31
,,2018 - 2019,0.86
,,2019 - 2020,0.89
,,2020 - 2021,1.0
,,2021 - 2022,0.83
,,2022 - 2023,1.0
,Ujjain,2000 - 2001,0.71
,,2001 - 2002,0.57
,,2002 - 2003,0.43
,,2003 - 2004,1.2
,,2004 - 2005,0.81
,,2005 - 2006,0.67
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.08
,,2009 - 2010,
,,2010 - 2011,1.17
,,2011 - 2012,1.5
,,2018 - 2019,1.38
,,2019 - 2020,1.1
,,2020 - 2021,1.0
,,2021 - 2022,1.04
,,2022 - 2023,1.23
,Umaria,2000 - 2001,0.8
,,2014 - 2015,2.0
,,2017 - 2018,1.0
,,2018 - 2019,1.5
,,2022 - 2023,1.0
,Vidisha,2004 - 2005,0.94
,,2008 - 2009,2.19
,,2009 - 2010,
,,2014 - 2015,3.0
,,2018 - 2019,2.72
,,2019 - 2020,2.13
,,2020 - 2021,0.86
,,2021 - 2022,1.76
,,2022 - 2023,2.0
Maharashtra,Ahilyanagar,2000 - 2001,0.57
,,2001 - 2002,0.42
,,2002 - 2003,0.73
,,2003 - 2004,0.35
,,2004 - 2005,0.6
,,2005 - 2006,0.25
,,2006 - 2007,0.61
,,2007 - 2008,0.75
,,2008 - 2009,0.72
,,2009 - 2010,0.61
,,2010 - 2011,0.95
,,2011 - 2012,0.97
,,2012 - 2013,0.35
,,2013 - 2014,1.04
,,2014 - 2015,0.58
,,2015 - 2016,0.25
,,2016 - 2017,1.02
,,2017 - 2018,1.01
,,2018 - 2019,0.64
,,2019 - 2020,0.87
,,2020 - 2021,1.52
,,2021 - 2022,1.03
,,2022 - 2023,1.23
,Akola,2000 - 2001,0.6
,,2001 - 2002,0.35
,,2002 - 2003,0.67
,,2003 - 2004,0.47
,,2004 - 2005,0.43
,,2005 - 2006,0.5
,,2006 - 2007,0.55
,,2007 - 2008,0.56
,,2008 - 2009,0.56
,,2009 - 2010,0.67
,,2010 - 2011,0.5
,,2011 - 2012,0.6
,,2012 - 2013,0.6
,,2013 - 2014,0.5
,,2014 - 2015,0.33
,,2016 - 2017,0.36
,,2017 - 2018,0.45
,,2018 - 2019,0.15
,,2019 - 2020,0.23
,,2020 - 2021,0.47
,,2021 - 2022,0.36
,,2022 - 2023,0.36
,Amravati,2000 - 2001,0.56
,,2001 - 2002,0.4
,,2002 - 2003,0.63
,,2003 - 2004,0.5
,,2004 - 2005,0.57
,,2005 - 2006,0.33
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.67
,,2009 - 2010,1.0
,,2010 - 2011,0.67
,,2011 - 2012,0.67
,,2012 - 2013,0.67
,,2015 - 2016,0.0
,,2017 - 2018,0.44
,,2018 - 2019,0.1
,,2019 - 2020,1.0
,,2020 - 2021,0.47
,Beed,2000 - 2001,0.8
,,2001 - 2002,0.49
,,2002 - 2003,0.84
,,2003 - 2004,0.56
,,2004 - 2005,0.62
,,2005 - 2006,0.68
,,2006 - 2007,0.84
,,2007 - 2008,0.72
,,2008 - 2009,0.73
,,2009 - 2010,0.78
,,2010 - 2011,0.92
,,2011 - 2012,1.02
,,2012 - 2013,0.64
,,2013 - 2014,1.07
,,2014 - 2015,0.44
,,2015 - 2016,0.26
,,2016 - 2017,0.64
,,2017 - 2018,0.59
,,2018 - 2019,0.27
,,2019 - 2020,0.8
,,2020 - 2021,1.68
,,2021 - 2022,0.77
,,2022 - 2023,1.14
,Buldhana,2000 - 2001,0.62
,,2001 - 2002,0.37
,,2002 - 2003,0.63
,,2003 - 2004,0.45
,,2004 - 2005,0.45
,,2005 - 2006,0.5
,,2006 - 2007,0.49
,,2007 - 2008,0.53
,,2008 - 2009,0.54
,,2009 - 2010,0.74
,,2010 - 2011,0.53
,,2011 - 2012,0.64
,,2012 - 2013,1.11
,,2013 - 2014,0.66
,,2014 - 2015,0.18
,,2015 - 2016,0.11
,,2016 - 2017,0.33
,,2017 - 2018,0.46
,,2018 - 2019,0.15
,,2019 - 2020,0.23
,,2020 - 2021,0.47
,,2021 - 2022,0.36
,,2022 - 2023,0.38
,Chandrapur,2016 - 2017,0.33
,,2022 - 2023,
,Chhatrapati Sambhajinagar,2000 - 2001,0.75
,,2001 - 2002,0.63
,,2002 - 2003,0.87
,,2003 - 2004,0.86
,,2004 - 2005,0.84
,,2005 - 2006,1.14
,,2006 - 2007,1.13
,,2007 - 2008,1.23
,,2008 - 2009,0.95
,,2009 - 2010,1.0
,,2010 - 2011,1.41
,,2011 - 2012,1.28
,,2012 - 2013,0.65
,,2013 - 2014,1.23
,,2014 - 2015,0.53
,,2015 - 2016,0.43
,,2016 - 2017,1.11
,,2017 - 2018,0.69
,,2018 - 2019,0.46
,,2019 - 2020,0.91
,,2020 - 2021,1.62
,,2021 - 2022,0.6
,,2022 - 2023,0.87
,Dharashiv,2000 - 2001,0.54
,,2001 - 2002,0.3
,,2002 - 2003,0.4
,,2003 - 2004,0.28
,,2004 - 2005,0.34
,,2005 - 2006,0.42
,,2006 - 2007,0.51
,,2007 - 2008,0.5
,,2008 - 2009,0.45
,,2009 - 2010,0.45
,,2010 - 2011,0.4
,,2011 - 2012,0.56
,,2012 - 2013,0.3
,,2013 - 2014,0.68
,,2014 - 2015,0.25
,,2015 - 2016,0.17
,,2016 - 2017,0.32
,,2017 - 2018,0.46
,,2018 - 2019,0.12
,,2019 - 2020,0.3
,,2020 - 2021,0.5
,,2021 - 2022,0.38
,,2022 - 2023,0.36
,Dhule,2000 - 2001,0.38
,,2001 - 2002,0.91
,,2002 - 2003,0.72
,,2003 - 2004,1.09
,,2004 - 2005,1.03
,,2005 - 2006,0.62
,,2006 - 2007,0.92
,,2007 - 2008,1.14
,,2008 - 2009,0.4
,,2009 - 2010,0.95
,,2010 - 2011,1.57
,,2011 - 2012,1.1
,,2012 - 2013,0.89
,,2013 - 2014,1.33
,,2014 - 2015,0.83
,,2015 - 2016,0.58
,,2016 - 2017,0.78
,,2017 - 2018,1.33
,,2018 - 2019,0.58
,,2019 - 2020,0.52
,,2020 - 2021,1.25
,,2021 - 2022,0.71
,,2022 - 2023,1.11
,Gadchiroli,2016 - 2017,0.33
,Hingoli,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.83
,,2003 - 2004,0.64
,,2004 - 2005,0.5
,,2005 - 2006,0.33
,,2006 - 2007,0.67
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.33
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2015 - 2016,0.0
,,2016 - 2017,0.29
,,2017 - 2018,0.33
,,2019 - 2020,0.17
,,2020 - 2021,0.47
,,2021 - 2022,0.36
,,2022 - 2023,0.36
,Jalgaon,2000 - 2001,0.56
,,2001 - 2002,0.86
,,2002 - 2003,1.02
,,2003 - 2004,1.03
,,2004 - 2005,0.97
,,2005 - 2006,0.74
,,2006 - 2007,1.06
,,2007 - 2008,1.15
,,2008 - 2009,1.02
,,2009 - 2010,1.09
,,2010 - 2011,1.39
,,2011 - 2012,1.43
,,2012 - 2013,1.03
,,2013 - 2014,1.18
,,2014 - 2015,1.22
,,2015 - 2016,0.62
,,2016 - 2017,1.4
,,2017 - 2018,1.0
,,2018 - 2019,0.78
,,2019 - 2020,0.8
,,2020 - 2021,1.27
,,2021 - 2022,0.48
,,2022 - 2023,1.19
,Jalna,2000 - 2001,0.82
,,2001 - 2002,0.72
,,2002 - 2003,0.97
,,2003 - 2004,1.01
,,2004 - 2005,0.89
,,2005 - 2006,1.01
,,2006 - 2007,1.05
,,2007 - 2008,1.07
,,2008 - 2009,0.69
,,2009 - 2010,0.93
,,2010 - 2011,1.07
,,2011 - 2012,1.03
,,2012 - 2013,0.54
,,2013 - 2014,1.2
,,2014 - 2015,0.33
,,2015 - 2016,0.26
,,2016 - 2017,0.84
,,2017 - 2018,0.63
,,2018 - 2019,0.35
,,2019 - 2020,1.29
,,2020 - 2021,1.15
,,2021 - 2022,0.61
,,2022 - 2023,0.86
,Latur,2000 - 2001,0.76
,,2001 - 2002,0.33
,,2002 - 2003,0.61
,,2003 - 2004,0.44
,,2004 - 2005,0.53
,,2005 - 2006,0.55
,,2006 - 2007,0.41
,,2007 - 2008,0.55
,,2008 - 2009,0.46
,,2009 - 2010,0.38
,,2010 - 2011,0.51
,,2011 - 2012,0.55
,,2012 - 2013,0.71
,,2013 - 2014,0.48
,,2014 - 2015,0.16
,,2015 - 2016,0.13
,,2016 - 2017,0.14
,,2017 - 2018,0.2
,,2018 - 2019,0.24
,,2019 - 2020,0.22
,,2020 - 2021,0.28
,,2021 - 2022,0.13
,,2022 - 2023,
,Nanded,2000 - 2001,0.5
,,2001 - 2002,0.4
,,2002 - 2003,0.71
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,1.0
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2019 - 2020,0.23
,,2020 - 2021,0.47
,,2021 - 2022,0.36
,,2022 - 2023,0.36
,Nandurbar,2000 - 2001,0.42
,,2001 - 2002,1.09
,,2002 - 2003,0.71
,,2003 - 2004,1.02
,,2004 - 2005,0.57
,,2005 - 2006,0.76
,,2006 - 2007,0.63
,,2007 - 2008,1.44
,,2008 - 2009,1.41
,,2009 - 2010,0.82
,,2010 - 2011,1.49
,,2011 - 2012,1.21
,,2012 - 2013,1.31
,,2013 - 2014,1.2
,,2014 - 2015,0.52
,,2015 - 2016,0.83
,,2016 - 2017,1.04
,,2017 - 2018,0.73
,,2018 - 2019,0.72
,,2019 - 2020,0.83
,,2020 - 2021,1.28
,,2021 - 2022,0.66
,,2022 - 2023,1.16
,Nashik,2000 - 2001,0.54
,,2001 - 2002,0.55
,,2002 - 2003,0.81
,,2003 - 2004,0.62
,,2004 - 2005,0.78
,,2005 - 2006,0.76
,,2006 - 2007,0.72
,,2007 - 2008,1.11
,,2008 - 2009,0.97
,,2009 - 2010,0.75
,,2010 - 2011,1.26
,,2011 - 2012,1.03
,,2012 - 2013,0.81
,,2013 - 2014,1.12
,,2014 - 2015,0.71
,,2015 - 2016,0.57
,,2016 - 2017,1.6
,,2017 - 2018,1.46
,,2018 - 2019,0.64
,,2019 - 2020,1.02
,,2020 - 2021,1.59
,,2021 - 2022,1.25
,,2022 - 2023,1.43
,Parbhani,2000 - 2001,0.65
,,2001 - 2002,0.45
,,2002 - 2003,0.85
,,2003 - 2004,0.73
,,2004 - 2005,0.56
,,2005 - 2006,0.65
,,2006 - 2007,0.57
,,2007 - 2008,0.68
,,2008 - 2009,0.73
,,2009 - 2010,0.52
,,2010 - 2011,0.65
,,2011 - 2012,0.93
,,2012 - 2013,0.71
,,2013 - 2014,0.63
,,2014 - 2015,0.1
,,2015 - 2016,0.17
,,2016 - 2017,0.46
,,2017 - 2018,0.36
,,2018 - 2019,0.61
,,2019 - 2020,0.47
,,2020 - 2021,0.63
,,2021 - 2022,0.5
,,2022 - 2023,0.36
,Pune,2000 - 2001,0.65
,,2001 - 2002,0.76
,,2002 - 2003,0.7
,,2003 - 2004,0.7
,,2004 - 2005,0.73
,,2005 - 2006,0.72
,,2006 - 2007,0.63
,,2007 - 2008,0.87
,,2008 - 2009,0.78
,,2009 - 2010,0.74
,,2010 - 2011,0.88
,,2011 - 2012,0.8
,,2012 - 2013,0.46
,,2013 - 2014,0.84
,,2014 - 2015,0.83
,,2015 - 2016,0.71
,,2016 - 2017,0.73
,,2017 - 2018,0.72
,,2018 - 2019,1.17
,,2019 - 2020,1.31
,,2020 - 2021,1.67
,,2021 - 2022,1.67
,,2022 - 2023,1.62
,Sangli,2000 - 2001,0.42
,,2001 - 2002,0.18
,,2002 - 2003,0.15
,,2003 - 2004,0.04
,,2004 - 2005,0.48
,,2005 - 2006,0.37
,,2006 - 2007,0.38
,,2007 - 2008,0.4
,,2008 - 2009,0.07
,,2009 - 2010,0.34
,,2010 - 2011,0.83
,,2011 - 2012,0.24
,,2012 - 2013,0.22
,,2013 - 2014,0.3
,,2014 - 2015,0.76
,,2015 - 2016,0.24
,,2016 - 2017,0.71
,,2017 - 2018,0.15
,,2018 - 2019,0.24
,,2019 - 2020,0.35
,,2020 - 2021,1.0
,,2021 - 2022,1.1
,,2022 - 2023,1.12
,Satara,2000 - 2001,0.59
,,2001 - 2002,0.47
,,2002 - 2003,0.41
,,2003 - 2004,0.26
,,2004 - 2005,0.85
,,2005 - 2006,0.32
,,2006 - 2007,0.29
,,2007 - 2008,0.58
,,2008 - 2009,0.52
,,2009 - 2010,0.48
,,2010 - 2011,0.78
,,2011 - 2012,0.64
,,2012 - 2013,0.46
,,2013 - 2014,0.52
,,2014 - 2015,0.4
,,2015 - 2016,0.36
,,2016 - 2017,0.73
,,2017 - 2018,0.51
,,2018 - 2019,0.52
,,2019 - 2020,0.52
,,2020 - 2021,0.89
,,2021 - 2022,0.94
,,2022 - 2023,0.67
,Solapur,2000 - 2001,0.41
,,2001 - 2002,0.46
,,2002 - 2003,0.38
,,2003 - 2004,0.38
,,2004 - 2005,0.57
,,2005 - 2006,0.45
,,2006 - 2007,0.28
,,2007 - 2008,0.42
,,2008 - 2009,0.44
,,2009 - 2010,0.36
,,2010 - 2011,0.52
,,2011 - 2012,0.39
,,2012 - 2013,0.03
,,2013 - 2014,0.35
,,2014 - 2015,0.4
,,2015 - 2016,0.23
,,2016 - 2017,0.35
,,2017 - 2018,0.34
,,2018 - 2019,0.13
,,2019 - 2020,0.23
,,2020 - 2021,0.49
,,2021 - 2022,0.41
,,2022 - 2023,0.42
,Washim,2000 - 2001,0.6
,,2001 - 2002,0.35
,,2002 - 2003,0.63
,,2003 - 2004,0.45
,,2004 - 2005,0.44
,,2005 - 2006,0.5
,,2006 - 2007,0.56
,,2007 - 2008,0.56
,,2008 - 2009,0.5
,,2009 - 2010,0.75
,,2010 - 2011,0.4
,,2011 - 2012,0.67
,,2012 - 2013,0.67
,,2013 - 2014,0.75
,,2014 - 2015,0.0
,,2015 - 2016,0.0
,,2016 - 2017,0.33
,,2017 - 2018,0.5
,,2018 - 2019,0.15
,,2019 - 2020,0.23
,,2020 - 2021,0.47
,,2021 - 2022,0.36
,,2022 - 2023,
,Yavatmal,2000 - 2001,0.63
,,2001 - 2002,0.36
,,2002 - 2003,0.63
,,2003 - 2004,0.44
,,2004 - 2005,0.44
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.57
,,2008 - 2009,0.53
,,2009 - 2010,0.73
,,2010 - 2011,0.54
,,2011 - 2012,0.75
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,0.0
,,2015 - 2016,0.0
,,2016 - 2017,0.44
,,2017 - 2018,0.43
,,2018 - 2019,0.14
,,2019 - 2020,0.22
,,2020 - 2021,0.47
,,2021 - 2022,0.36
,,2022 - 2023,0.35
Nagaland,Chumoukedima,2022 - 2023,1.1
,Dimapur,2000 - 2001,0.84
,,2001 - 2002,0.7
,,2002 - 2003,4.33
,,2003 - 2004,1.71
,,2004 - 2005,1.4
,,2005 - 2006,0.94
,,2009 - 2010,0.75
,,2010 - 2011,0.8
,,2011 - 2012,0.8
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.73
,,2022 - 2023,1.13
,Kiphire,2009 - 2010,0.67
,,2010 - 2011,0.8
,,2011 - 2012,0.8
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.76
,,2022 - 2023,1.12
,Kohima,2000 - 2001,0.8
,,2001 - 2002,0.63
,,2002 - 2003,1.45
,,2003 - 2004,1.68
,,2004 - 2005,1.45
,,2005 - 2006,1.03
,,2009 - 2010,0.7
,,2010 - 2011,0.86
,,2011 - 2012,0.86
,,2012 - 2013,1.13
,,2013 - 2014,1.13
,,2014 - 2015,1.13
,,2015 - 2016,1.13
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.74
,,2022 - 2023,1.15
,Longleng,2009 - 2010,0.67
,,2010 - 2011,0.8
,,2011 - 2012,0.8
,,2012 - 2013,0.8
,,2013 - 2014,0.8
,,2014 - 2015,0.8
,,2015 - 2016,0.8
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2022 - 2023,1.11
,Mokokchung,2000 - 2001,0.84
,,2001 - 2002,0.75
,,2002 - 2003,1.65
,,2003 - 2004,1.59
,,2004 - 2005,1.56
,,2005 - 2006,1.04
,,2009 - 2010,0.7
,,2010 - 2011,0.83
,,2011 - 2012,0.83
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.77
,,2022 - 2023,1.11
,Mon,2000 - 2001,0.75
,,2001 - 2002,0.75
,,2002 - 2003,1.52
,,2003 - 2004,1.49
,,2004 - 2005,1.64
,,2005 - 2006,1.0
,,2009 - 2010,0.67
,,2010 - 2011,0.89
,,2011 - 2012,0.89
,,2012 - 2013,1.1
,,2013 - 2014,1.1
,,2014 - 2015,1.1
,,2015 - 2016,1.1
,,2016 - 2017,1.1
,,2017 - 2018,1.1
,,2018 - 2019,1.1
,,2019 - 2020,1.1
,,2020 - 2021,1.1
,,2021 - 2022,0.73
,,2022 - 2023,1.11
,Noklak,2021 - 2022,0.75
,,2022 - 2023,1.12
,Nuiland,2022 - 2023,1.1
,Peren,2009 - 2010,0.6
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.75
,,2022 - 2023,1.12
,Phek,2000 - 2001,0.88
,,2001 - 2002,0.6
,,2002 - 2003,1.5
,,2003 - 2004,1.43
,,2004 - 2005,1.5
,,2005 - 2006,1.04
,,2009 - 2010,0.75
,,2010 - 2011,0.83
,,2011 - 2012,0.83
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.76
,,2022 - 2023,1.13
,Shamator,2022 - 2023,1.12
,Tseminyu,2022 - 2023,1.08
,Tuensang,2000 - 2001,0.82
,,2001 - 2002,0.61
,,2002 - 2003,1.48
,,2003 - 2004,1.46
,,2004 - 2005,1.33
,,2005 - 2006,0.97
,,2009 - 2010,0.69
,,2010 - 2011,0.89
,,2011 - 2012,0.89
,,2012 - 2013,1.1
,,2013 - 2014,1.1
,,2014 - 2015,1.1
,,2015 - 2016,1.1
,,2016 - 2017,1.1
,,2017 - 2018,1.1
,,2018 - 2019,1.1
,,2019 - 2020,1.1
,,2020 - 2021,1.1
,,2021 - 2022,0.77
,,2022 - 2023,1.14
,Wokha,2000 - 2001,0.89
,,2001 - 2002,0.67
,,2002 - 2003,1.64
,,2003 - 2004,1.98
,,2004 - 2005,1.61
,,2005 - 2006,1.08
,,2009 - 2010,0.67
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,0.75
,,2013 - 2014,0.75
,,2014 - 2015,0.75
,,2015 - 2016,0.75
,,2016 - 2017,0.75
,,2017 - 2018,0.75
,,2018 - 2019,0.75
,,2019 - 2020,0.75
,,2020 - 2021,0.75
,,2021 - 2022,0.76
,,2022 - 2023,1.12
,Zunheboto,2000 - 2001,0.81
,,2001 - 2002,0.57
,,2002 - 2003,1.47
,,2003 - 2004,1.58
,,2004 - 2005,1.58
,,2005 - 2006,1.17
,,2009 - 2010,0.7
,,2010 - 2011,0.83
,,2011 - 2012,0.83
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.73
,,2022 - 2023,1.12
Odisha,Bargarh,2004 - 2005,0.44
,Gajapati,2000 - 2001,0.55
,,2001 - 2002,0.48
,,2002 - 2003,0.46
,,2003 - 2004,0.46
,,2004 - 2005,0.46
,,2019 - 2020,0.64
,Ganjam,2000 - 2001,0.63
,,2001 - 2002,0.7
,,2002 - 2003,0.49
,,2003 - 2004,0.61
,,2004 - 2005,0.62
,,2019 - 2020,0.64
,Kalahandi,2000 - 2001,0.5
,,2001 - 2002,0.62
,,2002 - 2003,0.67
,,2003 - 2004,0.71
,,2004 - 2005,0.59
,,2019 - 2020,0.67
,Kandhamal,2001 - 2002,0.33
,,2002 - 2003,0.33
,,2003 - 2004,0.33
,,2004 - 2005,0.34
,,2019 - 2020,0.57
,Kendujhar,2000 - 2001,0.5
,,2001 - 2002,0.52
,,2002 - 2003,0.5
,,2003 - 2004,0.57
,,2004 - 2005,0.54
,,2019 - 2020,1.0
,Koraput,2000 - 2001,0.63
,,2001 - 2002,0.58
,,2002 - 2003,0.55
,,2003 - 2004,0.56
,,2004 - 2005,0.58
,,2019 - 2020,0.65
,Malkangiri,2000 - 2001,0.51
,,2001 - 2002,0.64
,,2002 - 2003,0.56
,,2003 - 2004,0.55
,,2004 - 2005,0.41
,,2019 - 2020,0.5
,Mayurbhanj,2000 - 2001,0.5
,,2001 - 2002,0.33
,,2002 - 2003,0.4
,,2003 - 2004,0.5
,,2004 - 2005,0.45
,Nabarangpur,2000 - 2001,0.89
,,2001 - 2002,0.75
,,2002 - 2003,0.57
,,2003 - 2004,0.57
,,2004 - 2005,0.55
,Nayagarh,2002 - 2003,0.67
,,2004 - 2005,0.38
,Nuapada,2003 - 2004,0.5
,,2019 - 2020,0.55
,Rayagada,2000 - 2001,0.53
,,2001 - 2002,0.6
,,2002 - 2003,0.39
,,2003 - 2004,0.6
,,2004 - 2005,0.6
,,2019 - 2020,0.56
,Sundargarh,2000 - 2001,0.4
,,2002 - 2003,0.75
,,2003 - 2004,0.5
,,2004 - 2005,0.53
,,2019 - 2020,1.0
Puducherry,Pondicherry,2000 - 2001,2.76
,,2001 - 2002,2.13
,,2002 - 2003,1.92
,,2003 - 2004,1.94
,,2007 - 2008,2.08
,,2008 - 2009,1.71
,,2009 - 2010,1.69
,,2010 - 2011,2.34
,,2011 - 2012,2.64
,,2012 - 2013,3.0
,,2013 - 2014,2.58
,,2014 - 2015,1.83
,,2015 - 2016,2.5
,,2016 - 2017,1.33
,,2017 - 2018,2.78
,,2018 - 2019,2.43
,,2019 - 2020,2.57
,,2020 - 2021,2.67
,,2021 - 2022,2.67
,,2022 - 2023,2.59
Punjab,Amritsar,2008 - 2009,1.0
,,2011 - 2012,1.0
,Bathinda,2000 - 2001,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2013 - 2014,1.0
,,2016 - 2017,0.5
