state,district,year,ragi_kharif_yield_tonne_per_hectare
,Khordha,2000 - 2001,0.57
,,2001 - 2002,0.32
,,2002 - 2003,0.48
,,2003 - 2004,0.5
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2020 - 2021,
,,2021 - 2022,
,Koraput,2000 - 2001,0.55
,,2001 - 2002,0.59
,,2002 - 2003,0.48
,,2003 - 2004,0.69
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Malkangiri,2000 - 2001,0.38
,,2001 - 2002,0.5
,,2002 - 2003,0.29
,,2003 - 2004,0.56
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mayurbhanj,2000 - 2001,0.47
,,2002 - 2003,0.05
,,2003 - 2004,0.2
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nabarangpur,2000 - 2001,0.44
,,2001 - 2002,0.41
,,2002 - 2003,0.27
,,2003 - 2004,0.51
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nayagarh,2000 - 2001,0.59
,,2001 - 2002,0.58
,,2002 - 2003,0.46
,,2003 - 2004,0.56
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2021 - 2022,
,,2022 - 2023,
,Nuapada,2000 - 2001,0.34
,,2001 - 2002,0.41
,,2002 - 2003,0.23
,,2003 - 2004,0.46
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Puri,2000 - 2001,0.63
,,2001 - 2002,0.39
,,2002 - 2003,0.6
,,2003 - 2004,0.54
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rayagada,2000 - 2001,0.55
,,2001 - 2002,0.65
,,2002 - 2003,0.5
,,2003 - 2004,0.61
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sambalpur,2000 - 2001,0.27
,,2001 - 2002,0.54
,,2002 - 2003,0.4
,,2003 - 2004,0.52
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sonepur,2000 - 2001,0.13
,,2001 - 2002,0.19
,,2002 - 2003,0.1
,,2005 - 2006,
,,2006 - 2007,
,,2009 - 2010,
,Sundargarh,2000 - 2001,0.3
,,2001 - 2002,0.46
,,2002 - 2003,0.3
,,2003 - 2004,0.41
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Puducherry,Karaikal,2000 - 2001,2.21
,,2004 - 2005,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2014 - 2015,2.0
,,2015 - 2016,2.0
,,2016 - 2017,1.0
,Pondicherry,2001 - 2002,2.36
,,2002 - 2003,2.22
,,2003 - 2004,2.21
,,2004 - 2005,1.6
,,2005 - 2006,1.8
,,2007 - 2008,2.14
,,2008 - 2009,2.55
,,2009 - 2010,2.55
,,2010 - 2011,2.15
,,2011 - 2012,2.75
,,2012 - 2013,2.31
,,2013 - 2014,1.89
,,2014 - 2015,2.36
,,2015 - 2016,2.39
,,2016 - 2017,1.58
,,2017 - 2018,3.0
,,2018 - 2019,2.31
,,2019 - 2020,2.41
,,2020 - 2021,2.41
,,2021 - 2022,2.39
,,2022 - 2023,2.39
,Yanam,2002 - 2003,1.0
,,2003 - 2004,1.0
Tamil Nadu,Ariyalur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.6
,,2011 - 2012,2.64
,,2012 - 2013,1.88
,,2013 - 2014,2.74
,,2014 - 2015,3.0
,,2015 - 2016,3.0
,,2016 - 2017,1.65
,,2017 - 2018,3.4
,,2018 - 2019,3.13
,,2019 - 2020,2.9
,,2020 - 2021,3.26
,,2021 - 2022,3.29
,,2022 - 2023,2.76
,Chengalpattu,2020 - 2021,3.21
,,2021 - 2022,2.79
,,2022 - 2023,2.65
,Coimbatore,2000 - 2001,1.03
,,2001 - 2002,1.8
,,2002 - 2003,1.33
,,2003 - 2004,1.38
,,2004 - 2005,1.56
,,2005 - 2006,1.68
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.4
,,2011 - 2012,2.63
,,2012 - 2013,1.88
,,2013 - 2014,2.75
,,2014 - 2015,3.0
,,2015 - 2016,3.0
,,2016 - 2017,1.75
,,2017 - 2018,3.4
,,2018 - 2019,3.31
,,2019 - 2020,2.96
,,2020 - 2021,3.33
,,2021 - 2022,2.84
,,2022 - 2023,
,Cuddalore,2000 - 2001,1.14
,,2001 - 2002,2.48
,,2002 - 2003,1.76
,,2003 - 2004,2.03
,,2004 - 2005,2.03
,,2005 - 2006,1.95
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.21
,,2011 - 2012,2.63
,,2012 - 2013,2.23
,,2013 - 2014,2.73
,,2014 - 2015,3.0
,,2015 - 2016,2.97
,,2016 - 2017,1.65
,,2017 - 2018,3.42
,,2018 - 2019,3.14
,,2019 - 2020,3.01
,,2020 - 2021,3.26
,,2021 - 2022,2.79
,,2022 - 2023,2.59
,Dharmapuri,2000 - 2001,1.81
,,2001 - 2002,1.58
,,2002 - 2003,1.17
,,2003 - 2004,1.35
,,2004 - 2005,1.45
,,2005 - 2006,1.44
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.73
,,2011 - 2012,2.95
,,2012 - 2013,2.4
,,2013 - 2014,2.97
,,2014 - 2015,2.97
,,2015 - 2016,2.98
,,2016 - 2017,2.04
,,2017 - 2018,3.2
,,2018 - 2019,2.26
,,2019 - 2020,3.5
,,2020 - 2021,3.33
,,2021 - 2022,2.67
,,2022 - 2023,2.68
,Dindigul,2000 - 2001,1.81
,,2001 - 2002,1.92
,,2002 - 2003,1.41
,,2003 - 2004,1.47
,,2004 - 2005,1.46
,,2005 - 2006,1.29
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.11
,,2011 - 2012,2.57
,,2012 - 2013,2.5
,,2013 - 2014,2.8
,,2014 - 2015,3.0
,,2015 - 2016,3.0
,,2016 - 2017,
,,2017 - 2018,3.44
,,2018 - 2019,4.0
,,2019 - 2020,4.0
,,2020 - 2021,3.29
,,2021 - 2022,2.0
,,2022 - 2023,
,Erode,2000 - 2001,0.83
,,2001 - 2002,1.12
,,2002 - 2003,1.11
,,2003 - 2004,0.81
,,2004 - 2005,1.17
,,2005 - 2006,1.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.54
,,2011 - 2012,1.94
,,2012 - 2013,1.83
,,2013 - 2014,2.39
,,2014 - 2015,2.28
,,2015 - 2016,2.69
,,2016 - 2017,0.21
,,2017 - 2018,2.91
,,2018 - 2019,3.05
,,2019 - 2020,2.54
,,2020 - 2021,3.66
,,2021 - 2022,3.85
,,2022 - 2023,3.35
,Kallakurichi,2020 - 2021,3.23
,,2021 - 2022,2.83
,,2022 - 2023,2.64
,Kanchipuram,2000 - 2001,1.99
,,2001 - 2002,3.64
,,2002 - 2003,1.89
,,2003 - 2004,2.23
,,2004 - 2005,1.85
,,2005 - 2006,1.65
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,3.06
,,2011 - 2012,2.64
,,2012 - 2013,2.0
,,2013 - 2014,2.74
,,2014 - 2015,3.0
,,2015 - 2016,2.98
,,2016 - 2017,1.65
,,2017 - 2018,3.43
,,2018 - 2019,3.17
,,2019 - 2020,3.05
,,2020 - 2021,3.25
,,2021 - 2022,2.79
,,2022 - 2023,2.63
,Karur,2001 - 2002,2.86
,,2002 - 2003,2.0
,,2003 - 2004,2.35
,,2004 - 2005,2.31
,,2005 - 2006,1.92
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.14
,,2012 - 2013,1.89
,,2013 - 2014,2.75
,,2014 - 2015,3.0
,,2015 - 2016,3.0
,,2017 - 2018,3.5
,,2018 - 2019,4.0
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,4.0
,Krishnagiri,2004 - 2005,1.27
,,2005 - 2006,1.13
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.34
,,2011 - 2012,2.67
,,2012 - 2013,1.81
,,2013 - 2014,2.58
,,2014 - 2015,2.86
,,2015 - 2016,3.01
,,2016 - 2017,1.65
,,2017 - 2018,3.7
,,2018 - 2019,3.55
,,2019 - 2020,2.9
,,2020 - 2021,3.21
,,2021 - 2022,2.76
,,2022 - 2023,2.55
,Madurai,2000 - 2001,1.52
,,2001 - 2002,2.01
,,2002 - 2003,1.49
,,2003 - 2004,1.54
,,2004 - 2005,1.53
,,2005 - 2006,1.39
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.31
,,2011 - 2012,2.64
,,2012 - 2013,1.92
,,2013 - 2014,2.73
,,2014 - 2015,3.0
,,2015 - 2016,3.0
,,2016 - 2017,2.0
,,2017 - 2018,3.38
,,2018 - 2019,3.0
,,2019 - 2020,3.11
,,2020 - 2021,3.19
,,2021 - 2022,3.0
,,2022 - 2023,2.33
,Mayiladuthurai,2020 - 2021,3.2
,,2021 - 2022,
,Nagapattinam,2003 - 2004,2.5
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,3.0
,Namakkal,2000 - 2001,1.72
,,2001 - 2002,1.7
,,2002 - 2003,1.66
,,2003 - 2004,1.84
,,2004 - 2005,1.87
,,2005 - 2006,3.01
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.09
,,2011 - 2012,2.64
,,2012 - 2013,2.11
,,2013 - 2014,2.74
,,2014 - 2015,3.0
,,2015 - 2016,2.98
,,2016 - 2017,1.65
,,2017 - 2018,3.42
,,2018 - 2019,3.15
,,2019 - 2020,2.99
,,2020 - 2021,3.24
,,2021 - 2022,2.81
,,2022 - 2023,2.64
,Perambalur,2000 - 2001,1.48
,,2001 - 2002,2.08
,,2002 - 2003,1.41
,,2003 - 2004,1.47
,,2004 - 2005,1.47
,,2005 - 2006,1.41
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.0
,,2011 - 2012,2.63
,,2012 - 2013,1.75
,,2013 - 2014,3.0
,,2014 - 2015,3.0
,,2015 - 2016,3.0
,,2016 - 2017,1.67
,,2017 - 2018,3.5
,,2018 - 2019,2.0
,,2019 - 2020,2.57
,,2020 - 2021,2.67
,,2021 - 2022,3.33
,,2022 - 2023,2.0
,Pudukkottai,2000 - 2001,1.27
,,2001 - 2002,2.23
,,2002 - 2003,1.43
,,2003 - 2004,1.72
,,2004 - 2005,1.61
,,2005 - 2006,1.52
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.11
,,2011 - 2012,2.65
,,2012 - 2013,1.86
,,2013 - 2014,2.75
,,2014 - 2015,3.0
,,2015 - 2016,3.0
,,2016 - 2017,1.64
,,2017 - 2018,3.44
,,2018 - 2019,3.21
,,2019 - 2020,3.02
,,2020 - 2021,3.19
,,2021 - 2022,2.76
,,2022 - 2023,2.6
,Ramanathapuram,2000 - 2001,0.88
,,2001 - 2002,1.79
,,2002 - 2003,1.34
,,2003 - 2004,1.55
,,2004 - 2005,1.67
,,2005 - 2006,0.65
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.43
,,2011 - 2012,2.5
,,2012 - 2013,0.44
,,2013 - 2014,
,,2014 - 2015,3.0
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,3.0
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,3.5
,,2021 - 2022,
,,2022 - 2023,
,Ranipet,2020 - 2021,3.27
,,2021 - 2022,2.85
,,2022 - 2023,2.81
,Salem,2000 - 2001,1.79
,,2001 - 2002,2.92
,,2002 - 2003,1.65
,,2003 - 2004,1.68
,,2004 - 2005,1.73
,,2005 - 2006,1.91
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.71
,,2011 - 2012,2.42
,,2012 - 2013,1.98
,,2013 - 2014,3.07
,,2014 - 2015,4.54
,,2015 - 2016,2.98
,,2016 - 2017,1.61
,,2017 - 2018,2.87
,,2018 - 2019,2.38
,,2019 - 2020,3.31
,,2020 - 2021,3.29
,,2021 - 2022,2.94
,,2022 - 2023,2.88
,Sivaganga,2000 - 2001,1.5
,,2001 - 2002,1.93
,,2002 - 2003,1.46
,,2003 - 2004,1.64
,,2004 - 2005,1.62
,,2005 - 2006,1.53
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,3.08
,,2011 - 2012,2.64
,,2012 - 2013,2.2
,,2013 - 2014,2.72
,,2014 - 2015,3.0
,,2015 - 2016,3.0
,,2016 - 2017,1.65
,,2017 - 2018,3.43
,,2018 - 2019,3.21
,,2019 - 2020,2.99
,,2020 - 2021,3.26
,,2021 - 2022,2.83
,,2022 - 2023,2.67
,Thanjavur,2000 - 2001,2.8
,,2001 - 2002,3.33
,,2002 - 2003,2.11
,,2003 - 2004,2.4
,,2004 - 2005,2.29
,,2005 - 2006,2.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.0
,,2011 - 2012,3.0
,,2012 - 2013,2.06
,,2013 - 2014,2.75
,,2015 - 2016,3.0
,,2016 - 2017,1.75
,,2017 - 2018,3.5
,,2018 - 2019,3.0
,,2019 - 2020,
,,2020 - 2021,3.0
,,2021 - 2022,
,,2022 - 2023,2.64
,The nilgiris,2000 - 2001,1.15
,,2001 - 2002,1.54
,,2002 - 2003,1.13
,,2003 - 2004,1.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2012 - 2013,2.0
,,2019 - 2020,2.0
,,2020 - 2021,3.3
,,2021 - 2022,2.0
,,2022 - 2023,2.33
,Theni,2000 - 2001,1.71
,,2001 - 2002,2.47
,,2002 - 2003,1.74
,,2003 - 2004,1.76
,,2004 - 2005,1.66
,,2005 - 2006,1.54
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.18
,,2011 - 2012,2.63
,,2012 - 2013,2.51
,,2013 - 2014,2.73
,,2014 - 2015,3.0
,,2015 - 2016,3.0
,,2016 - 2017,1.71
,,2017 - 2018,3.43
,,2018 - 2019,3.27
,,2019 - 2020,
,,2020 - 2021,3.25
,,2021 - 2022,2.75
,,2022 - 2023,3.0
,Thenkasi,2020 - 2021,3.23
,,2021 - 2022,3.0
,,2022 - 2023,3.0
,Thiruvallur,2000 - 2001,1.95
,,2001 - 2002,2.26
,,2002 - 2003,1.99
,,2003 - 2004,1.94
,,2004 - 2005,1.7
,,2005 - 2006,1.71
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.9
,,2011 - 2012,2.63
,,2012 - 2013,2.43
,,2013 - 2014,2.74
,,2014 - 2015,3.01
,,2015 - 2016,2.97
,,2016 - 2017,1.65
,,2017 - 2018,3.42
,,2018 - 2019,3.15
,,2019 - 2020,2.78
,,2020 - 2021,3.21
,,2021 - 2022,2.89
,,2022 - 2023,2.65
,Thiruvarur,2001 - 2002,1.0
,,2003 - 2004,2.33
,,2004 - 2005,2.25
,,2005 - 2006,2.0
,,2018 - 2019,
,,2020 - 2021,
,,2022 - 2023,
,Thoothukudi,2000 - 2001,1.93
,,2001 - 2002,2.29
,,2002 - 2003,1.93
,,2003 - 2004,2.03
,,2004 - 2005,1.55
,,2005 - 2006,1.54
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.36
,,2011 - 2012,
,,2012 - 2013,2.61
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tiruchirappalli,2000 - 2001,1.91
,,2001 - 2002,1.79
,,2002 - 2003,1.27
,,2003 - 2004,1.38
,,2004 - 2005,1.38
,,2005 - 2006,1.28
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.13
,,2011 - 2012,2.75
,,2012 - 2013,1.92
,,2013 - 2014,2.75
,,2014 - 2015,3.0
,,2015 - 2016,3.0
,,2016 - 2017,2.0
,,2017 - 2018,3.5
,,2018 - 2019,3.0
,,2019 - 2020,2.67
,,2020 - 2021,3.0
,,2021 - 2022,4.0
,,2022 - 2023,2.67
,Tirunelveli,2000 - 2001,2.31
,,2001 - 2002,3.05
,,2002 - 2003,2.11
,,2003 - 2004,2.27
,,2004 - 2005,2.15
,,2005 - 2006,2.49
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,3.07
,,2011 - 2012,2.6
,,2012 - 2013,2.52
,,2013 - 2014,2.71
,,2014 - 2015,3.0
,,2015 - 2016,2.98
,,2016 - 2017,1.63
,,2017 - 2018,3.0
,,2018 - 2019,3.43
,,2019 - 2020,2.9
,,2020 - 2021,3.33
,,2021 - 2022,
,,2022 - 2023,3.0
,Tirupathur,2020 - 2021,1.97
,,2021 - 2022,2.18
,,2022 - 2023,2.19
,Tiruppur,2008 - 2009,
,,2009 - 2010,
,,2018 - 2019,5.0
,,2021 - 2022,
,Tiruvannamalai,2000 - 2001,1.47
,,2001 - 2002,2.28
,,2002 - 2003,1.38
,,2003 - 2004,1.54
,,2004 - 2005,1.57
,,2005 - 2006,0.98
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.77
,,2011 - 2012,2.64
,,2012 - 2013,2.42
,,2013 - 2014,2.74
,,2014 - 2015,3.0
,,2015 - 2016,2.98
,,2016 - 2017,1.65
,,2017 - 2018,3.42
,,2018 - 2019,3.15
,,2019 - 2020,2.99
,,2020 - 2021,3.25
,,2021 - 2022,2.81
,,2022 - 2023,2.65
,Vellore,2000 - 2001,1.91
,,2001 - 2002,2.82
,,2002 - 2003,2.8
,,2003 - 2004,2.62
,,2004 - 2005,2.07
,,2005 - 2006,1.81
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,3.16
,,2011 - 2012,2.24
,,2012 - 2013,2.61
,,2013 - 2014,3.44
,,2014 - 2015,3.05
,,2015 - 2016,2.98
,,2016 - 2017,2.0
,,2017 - 2018,2.46
,,2018 - 2019,1.21
,,2019 - 2020,2.24
,,2020 - 2021,
,,2021 - 2022,3.0
,,2022 - 2023,2.33
,Villupuram,2000 - 2001,1.58
,,2001 - 2002,2.07
,,2002 - 2003,1.53
,,2003 - 2004,1.61
,,2004 - 2005,2.19
,,2005 - 2006,1.58
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.14
,,2011 - 2012,2.64
,,2012 - 2013,2.03
,,2013 - 2014,2.74
,,2014 - 2015,3.0
,,2015 - 2016,2.98
,,2016 - 2017,1.64
,,2017 - 2018,3.43
,,2018 - 2019,3.15
,,2019 - 2020,2.99
,,2020 - 2021,3.25
,,2021 - 2022,2.81
,,2022 - 2023,2.65
,Virudhunagar,2000 - 2001,1.66
,,2001 - 2002,2.45
,,2002 - 2003,1.88
,,2003 - 2004,1.97
,,2004 - 2005,1.89
,,2005 - 2006,1.76
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.8
,,2011 - 2012,2.65
,,2012 - 2013,2.62
,,2013 - 2014,2.71
,,2014 - 2015,3.0
,,2015 - 2016,3.0
,,2016 - 2017,1.5
,,2017 - 2018,3.43
,,2018 - 2019,3.57
,,2019 - 2020,3.0
,,2020 - 2021,3.19
,,2021 - 2022,
,,2022 - 2023,
Telangana,Adilabad,2002 - 2003,1.16
,,2014 - 2015,
,,2015 - 2016,
,Bhadradri,2021 - 2022,1.5
,Jangoan,2019 - 2020,1.67
,Jayashankar,2019 - 2020,1.57
,,2022 - 2023,1.5
,Jogulamba,2019 - 2020,1.5
,,2021 - 2022,1.67
,Kamareddy,2016 - 2017,1.0
,,2019 - 2020,2.0
,,2020 - 2021,1.36
,,2021 - 2022,2.0
,Khammam,2000 - 2001,1.0
,,2001 - 2002,1.33
,,2002 - 2003,1.18
,,2003 - 2004,1.08
,,2004 - 2005,1.89
,,2005 - 2006,1.6
,,2006 - 2007,1.56
,,2008 - 2009,1.47
,,2009 - 2010,0.8
,,2019 - 2020,1.5
,Komaram bheem asifabad,2018 - 2019,1.0
,,2019 - 2020,1.57
,,2021 - 2022,
,,2022 - 2023,1.54
,Mahabubabad,2021 - 2022,1.6
,Mahbubnagar,2000 - 2001,1.05
,,2001 - 2002,1.08
,,2002 - 2003,1.09
,,2003 - 2004,1.24
,,2004 - 2005,1.6
,,2005 - 2006,1.48
,,2006 - 2007,1.53
,,2007 - 2008,1.33
,,2008 - 2009,1.62
,,2009 - 2010,0.83
,,2010 - 2011,1.09
,,2011 - 2012,1.04
,,2012 - 2013,1.0
,,2013 - 2014,1.24
,,2014 - 2015,0.73
,,2015 - 2016,0.4
,,2016 - 2017,1.17
,,2017 - 2018,1.09
,,2018 - 2019,1.05
,,2019 - 2020,1.6
,,2020 - 2021,1.34
,,2021 - 2022,1.4
,,2022 - 2023,0.98
,Medak,2000 - 2001,1.03
,,2001 - 2002,1.28
,,2002 - 2003,1.14
,,2003 - 2004,1.0
,,2005 - 2006,1.57
,,2006 - 2007,1.5
,,2008 - 2009,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.17
,,2013 - 2014,1.4
,,2014 - 2015,1.2
,,2015 - 2016,0.5
,,2016 - 2017,1.0
,,2019 - 2020,1.6
,,2020 - 2021,1.36
,,2021 - 2022,2.0
,Medchal,2019 - 2020,2.0
,,2020 - 2021,1.33
,Mulugu,2021 - 2022,1.5
,Nagarkurnool,2016 - 2017,1.17
,,2017 - 2018,1.39
,,2018 - 2019,0.8
,,2019 - 2020,1.47
,,2020 - 2021,1.3
,,2021 - 2022,1.75
,,2022 - 2023,1.6
,Nalgonda,2000 - 2001,
,,2001 - 2002,
,,2019 - 2020,1.67
,,2020 - 2021,
,,2021 - 2022,2.0
,,2022 - 2023,2.0
,Narayanapet,2018 - 2019,1.06
,,2019 - 2020,1.58
,,2020 - 2021,1.31
,,2021 - 2022,1.62
,,2022 - 2023,0.67
,Nirmal,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,1.67
,Nizamabad,2000 - 2001,1.0
,,2001 - 2002,1.31
,,2002 - 2003,1.2
,,2003 - 2004,1.09
,,2004 - 2005,2.0
,,2010 - 2011,1.0
,,2014 - 2015,
,,2021 - 2022,
,Peddapalli,2019 - 2020,1.67
,,2022 - 2023,2.0
,Rajanna,2019 - 2020,2.0
,,2020 - 2021,2.0
,,2021 - 2022,
,Rangareddi,2000 - 2001,0.97
,,2001 - 2002,1.68
,,2002 - 2003,1.32
,,2003 - 2004,0.96
,,2004 - 2005,2.41
,,2005 - 2006,1.85
,,2006 - 2007,1.51
,,2007 - 2008,2.5
,,2008 - 2009,1.29
,,2009 - 2010,0.68
,,2010 - 2011,1.49
,,2011 - 2012,1.47
,,2012 - 2013,1.0
,,2013 - 2014,2.14
,,2014 - 2015,2.21
,,2015 - 2016,1.1
,,2016 - 2017,1.08
,,2017 - 2018,1.13
,,2018 - 2019,0.95
,,2019 - 2020,1.58
,,2020 - 2021,1.32
,,2021 - 2022,2.12
,,2022 - 2023,0.93
,Sangareddy,2018 - 2019,
,,2020 - 2021,1.32
,,2021 - 2022,1.62
,,2022 - 2023,1.5
,Siddipet,2020 - 2021,1.67
,,2021 - 2022,1.5
,Suryapet,2021 - 2022,
,,2022 - 2023,
,Vikarabad,2016 - 2017,1.07
,,2017 - 2018,1.14
,,2018 - 2019,0.98
,,2019 - 2020,1.58
,,2020 - 2021,1.32
,,2021 - 2022,1.65
,,2022 - 2023,2.89
,Wanaparthy,2016 - 2017,1.17
