state,district,year,ragi_kharif_yield_tonne_per_hectare
,,2001 - 2002,0.93
,,2002 - 2003,0.69
,,2003 - 2004,0.97
,,2004 - 2005,0.74
,,2005 - 2006,1.4
,,2006 - 2007,0.83
,,2007 - 2008,0.77
,,2008 - 2009,0.68
,,2009 - 2010,1.16
,,2010 - 2011,0.97
,,2011 - 2012,0.81
,,2012 - 2013,0.72
,,2013 - 2014,0.81
,,2014 - 2015,1.98
,,2015 - 2016,1.28
,,2016 - 2017,1.44
,,2017 - 2018,0.94
,,2018 - 2019,1.01
,,2019 - 2020,0.8
,,2020 - 2021,0.77
,,2021 - 2022,0.64
,,2022 - 2023,0.84
,Samastipur,2000 - 2001,1.12
,,2008 - 2009,0.75
,,2009 - 2010,0.89
,,2010 - 2011,0.88
,,2013 - 2014,1.22
,,2014 - 2015,1.0
,,2015 - 2016,2.21
,,2016 - 2017,0.68
,,2017 - 2018,2.0
,,2018 - 2019,1.5
,,2019 - 2020,0.92
,,2020 - 2021,1.09
,Saran,2000 - 2001,2.16
,,2001 - 2002,1.35
,,2002 - 2003,0.77
,,2003 - 2004,0.9
,,2004 - 2005,0.96
,,2005 - 2006,0.79
,,2006 - 2007,0.74
,,2007 - 2008,0.8
,,2008 - 2009,0.33
,,2009 - 2010,0.31
,,2010 - 2011,0.86
,,2011 - 2012,1.83
,,2012 - 2013,1.22
,,2013 - 2014,0.86
,,2014 - 2015,1.46
,,2015 - 2016,0.8
,,2016 - 2017,1.02
,,2017 - 2018,1.06
,,2018 - 2019,1.05
,,2019 - 2020,1.03
,,2020 - 2021,0.74
,,2021 - 2022,0.73
,,2022 - 2023,0.78
,Sheikhpura,2005 - 2006,0.92
,,2007 - 2008,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,Sheohar,2006 - 2007,0.24
,,2007 - 2008,0.63
,,2008 - 2009,0.86
,,2009 - 2010,0.75
,,2010 - 2011,1.55
,,2011 - 2012,1.75
,,2012 - 2013,1.8
,,2013 - 2014,1.0
,,2014 - 2015,1.2
,,2015 - 2016,1.0
,,2016 - 2017,0.8
,,2017 - 2018,1.0
,Sitamarhi,2000 - 2001,0.29
,,2001 - 2002,1.13
,,2002 - 2003,0.75
,,2003 - 2004,0.84
,,2004 - 2005,0.22
,,2005 - 2006,0.39
,,2006 - 2007,0.87
,,2007 - 2008,0.6
,,2008 - 2009,0.81
,,2009 - 2010,0.69
,,2010 - 2011,1.56
,,2011 - 2012,1.74
,,2012 - 2013,1.9
,,2013 - 2014,0.94
,,2014 - 2015,1.84
,,2015 - 2016,1.04
,,2016 - 2017,0.71
,,2017 - 2018,0.94
,,2018 - 2019,1.07
,,2019 - 2020,0.8
,,2020 - 2021,0.93
,,2021 - 2022,0.98
,,2022 - 2023,1.0
,Siwan,2000 - 2001,0.93
,,2001 - 2002,1.35
,,2002 - 2003,0.77
,,2003 - 2004,0.9
,,2004 - 2005,0.96
,,2005 - 2006,0.89
,,2006 - 2007,0.78
,,2007 - 2008,0.73
,,2008 - 2009,0.42
,,2009 - 2010,0.31
,,2010 - 2011,0.86
,,2011 - 2012,1.83
,,2012 - 2013,1.22
,,2013 - 2014,0.85
,,2014 - 2015,1.46
,,2015 - 2016,0.85
,,2016 - 2017,0.95
,,2017 - 2018,0.92
,,2018 - 2019,0.63
,,2019 - 2020,0.81
,,2020 - 2021,0.74
,,2021 - 2022,0.73
,,2022 - 2023,0.78
,Supaul,2000 - 2001,0.95
,,2001 - 2002,0.43
,,2002 - 2003,0.53
,,2003 - 2004,0.62
,,2004 - 2005,0.31
,,2005 - 2006,0.69
,,2006 - 2007,0.78
,,2007 - 2008,0.63
,,2008 - 2009,1.05
,,2009 - 2010,0.9
,,2010 - 2011,0.94
,,2011 - 2012,0.9
,,2012 - 2013,1.02
,,2013 - 2014,0.97
,,2014 - 2015,2.11
,,2015 - 2016,0.93
,,2016 - 2017,0.44
,,2017 - 2018,0.67
,,2018 - 2019,1.05
,,2019 - 2020,0.48
,,2020 - 2021,1.11
,,2021 - 2022,1.35
,,2022 - 2023,1.31
,Vaishali,2000 - 2001,0.89
,,2001 - 2002,0.94
,,2002 - 2003,0.8
,,2003 - 2004,0.72
,,2004 - 2005,0.28
,,2005 - 2006,0.4
,,2006 - 2007,0.87
,,2007 - 2008,0.6
,,2008 - 2009,0.82
,,2009 - 2010,0.69
,,2010 - 2011,1.56
,,2011 - 2012,1.74
,,2012 - 2013,1.9
,,2013 - 2014,0.94
,,2014 - 2015,1.26
,,2015 - 2016,1.03
,,2016 - 2017,0.72
,,2017 - 2018,0.95
,,2018 - 2019,1.07
,,2019 - 2020,0.81
,,2020 - 2021,0.94
,,2021 - 2022,0.97
,,2022 - 2023,1.0
Chhattisgarh,Balod,2011 - 2012,0.25
,,2012 - 2013,0.29
,,2013 - 2014,0.29
,,2014 - 2015,0.22
,,2015 - 2016,0.33
,,2016 - 2017,0.17
,,2017 - 2018,0.29
,,2018 - 2019,0.0
,,2019 - 2020,0.4
,,2020 - 2021,0.4
,,2021 - 2022,0.31
,,2022 - 2023,0.26
,Baloda bazar,2022 - 2023,0.0
,Balrampur,2011 - 2012,0.01
,,2012 - 2013,0.21
,,2014 - 2015,0.27
,,2015 - 2016,0.19
,,2016 - 2017,0.23
,,2017 - 2018,0.2
,,2018 - 2019,0.23
,,2019 - 2020,0.19
,,2020 - 2021,0.24
,,2021 - 2022,0.24
,,2022 - 2023,0.25
,Bastar,2000 - 2001,0.23
,,2001 - 2002,0.31
,,2002 - 2003,0.21
,,2003 - 2004,0.3
,,2004 - 2005,0.28
,,2006 - 2007,0.31
,,2007 - 2008,0.29
,,2008 - 2009,0.28
,,2009 - 2010,0.27
,,2010 - 2011,0.28
,,2011 - 2012,0.28
,,2012 - 2013,0.3
,,2013 - 2014,0.25
,,2014 - 2015,0.29
,,2015 - 2016,0.16
,,2016 - 2017,0.2
,,2017 - 2018,0.22
,,2018 - 2019,0.21
,,2019 - 2020,0.2
,,2020 - 2021,0.28
,,2021 - 2022,0.18
,,2022 - 2023,0.18
,Bemetara,2021 - 2022,0.5
,Bijapur,2006 - 2007,0.0
,,2007 - 2008,0.24
,,2008 - 2009,0.34
,,2009 - 2010,0.19
,,2010 - 2011,0.27
,,2011 - 2012,0.19
,,2012 - 2013,0.3
,,2013 - 2014,0.24
,,2014 - 2015,0.23
,,2015 - 2016,0.22
,,2016 - 2017,0.13
,,2017 - 2018,0.08
,,2018 - 2019,0.13
,,2019 - 2020,0.19
,,2020 - 2021,1.0
,,2021 - 2022,0.18
,,2022 - 2023,0.22
,Dantewada,2000 - 2001,0.24
,,2001 - 2002,0.26
,,2002 - 2003,0.21
,,2003 - 2004,0.27
,,2004 - 2005,0.21
,,2006 - 2007,0.33
,,2007 - 2008,0.24
,,2008 - 2009,0.2
,,2009 - 2010,0.18
,,2010 - 2011,0.27
,,2011 - 2012,0.19
,,2012 - 2013,0.3
,,2013 - 2014,0.24
,,2014 - 2015,0.23
,,2015 - 2016,0.14
,,2016 - 2017,0.2
,,2017 - 2018,0.08
,,2018 - 2019,0.19
,,2019 - 2020,0.25
,,2020 - 2021,0.2
,,2021 - 2022,0.19
,,2022 - 2023,0.19
,Dhamtari,2000 - 2001,0.23
,,2001 - 2002,0.36
,,2002 - 2003,0.2
,,2003 - 2004,0.36
,,2004 - 2005,0.3
,,2006 - 2007,0.3
,,2007 - 2008,0.31
,,2008 - 2009,0.3
,,2009 - 2010,0.31
,,2010 - 2011,0.29
,,2011 - 2012,0.31
,,2012 - 2013,0.3
,,2013 - 2014,0.31
,,2014 - 2015,0.31
,,2015 - 2016,0.29
,,2016 - 2017,0.28
,,2017 - 2018,0.23
,,2018 - 2019,0.23
,,2019 - 2020,0.29
,,2020 - 2021,0.29
,,2021 - 2022,0.31
,,2022 - 2023,0.39
,Durg,2000 - 2001,0.2
,,2001 - 2002,0.25
,,2002 - 2003,0.27
,,2003 - 2004,0.32
,,2004 - 2005,0.25
,,2006 - 2007,0.31
,,2007 - 2008,0.25
,,2008 - 2009,0.29
,,2009 - 2010,0.2
,,2021 - 2022,0.0
,Gariyaband,2011 - 2012,0.3
,,2012 - 2013,0.3
,,2013 - 2014,0.31
,,2014 - 2015,0.13
,,2015 - 2016,0.13
,,2016 - 2017,0.15
,,2017 - 2018,0.17
,,2018 - 2019,0.17
,,2019 - 2020,0.25
,,2020 - 2021,0.2
,,2021 - 2022,0.2
,,2022 - 2023,0.2
,Janjgir-champa,2022 - 2023,0.33
,Jashpur,2000 - 2001,0.25
,,2001 - 2002,0.25
,,2002 - 2003,0.25
,,2003 - 2004,0.25
,,2004 - 2005,0.17
,,2006 - 2007,0.24
,,2007 - 2008,0.25
,,2008 - 2009,0.25
,,2009 - 2010,0.25
