state,district,year,banana_whole_year_yield_tonne_per_hectare
,,2008 - 2009,12.89
,,2009 - 2010,9.33
,,2010 - 2011,12.95
,,2011 - 2012,12.99
,,2012 - 2013,13.4
,,2013 - 2014,13.5
,,2014 - 2015,13.8
,,2015 - 2016,14.29
,,2016 - 2017,14.29
,,2017 - 2018,14.25
,,2018 - 2019,14.25
,,2019 - 2020,14.25
,Ukhrul,2000 - 2001,12.84
,,2001 - 2002,12.86
,,2002 - 2003,7.86
,,2003 - 2004,7.85
,,2004 - 2005,12.87
,,2005 - 2006,12.86
,,2006 - 2007,12.86
,,2007 - 2008,12.86
,,2008 - 2009,12.98
,,2009 - 2010,13.0
,,2010 - 2011,12.93
,,2011 - 2012,12.99
,,2012 - 2013,13.4
,,2013 - 2014,13.5
,,2014 - 2015,13.7
,,2015 - 2016,13.61
,,2016 - 2017,13.55
,,2017 - 2018,13.46
,,2018 - 2019,12.12
,,2019 - 2020,13.7
Meghalaya,East garo hills,2000 - 2001,12.55
,,2002 - 2003,13.58
,,2003 - 2004,13.2
,,2004 - 2005,10.23
,,2005 - 2006,11.66
,,2006 - 2007,
,,2008 - 2009,11.69
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,East jaintia hills,2000 - 2001,4.67
,,2002 - 2003,4.35
,,2003 - 2004,4.07
,,2004 - 2005,3.84
,,2005 - 2006,3.8
,,2006 - 2007,
,,2008 - 2009,4.34
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,East khasi hills,2000 - 2001,13.57
,,2002 - 2003,13.14
,,2003 - 2004,12.41
,,2004 - 2005,11.78
,,2005 - 2006,11.37
,,2006 - 2007,
,,2008 - 2009,10.64
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,North garo hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ri bhoi,2000 - 2001,17.45
,,2002 - 2003,17.46
,,2003 - 2004,16.92
,,2004 - 2005,16.48
,,2005 - 2006,16.36
,,2006 - 2007,
,,2008 - 2009,16.4
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South garo hills,2000 - 2001,12.41
,,2002 - 2003,12.42
,,2003 - 2004,11.42
,,2004 - 2005,10.63
,,2005 - 2006,10.63
,,2006 - 2007,
,,2008 - 2009,10.58
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South west garo hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South west khasi hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West garo hills,2000 - 2001,11.07
,,2002 - 2003,12.16
,,2003 - 2004,11.95
,,2004 - 2005,11.7
,,2005 - 2006,11.94
,,2006 - 2007,
,,2008 - 2009,12.79
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West jaintia hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West khasi hills,2000 - 2001,7.82
,,2002 - 2003,6.88
,,2003 - 2004,6.52
,,2004 - 2005,5.8
,,2005 - 2006,5.81
,,2006 - 2007,
,,2008 - 2009,6.18
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Puducherry,Karaikal,2000 - 2001,28.0
,,2001 - 2002,30.0
,,2002 - 2003,25.0
,,2003 - 2004,25.54
,,2004 - 2005,40.0
,,2005 - 2006,20.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2022 - 2023,
,Mahe,2000 - 2001,20.0
,,2001 - 2002,22.0
,,2002 - 2003,18.0
,,2003 - 2004,16.0
,,2004 - 2005,12.53
,,2005 - 2006,12.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2022 - 2023,
,Pondicherry,2000 - 2001,33.0
,,2001 - 2002,34.5
,,2002 - 2003,30.25
,,2003 - 2004,38.14
,,2004 - 2005,35.0
,,2005 - 2006,35.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2022 - 2023,
,Yanam,2000 - 2001,24.0
,,2001 - 2002,15.0
,,2002 - 2003,13.0
Rajasthan,Alwar,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,Banswara,2003 - 2004,0.0
,,2009 - 2010,0.0
,,2011 - 2012,0.0
,,2013 - 2014,0.0
,,2014 - 2015,0.0
,,2015 - 2016,0.0
,,2016 - 2017,9.0
,,2017 - 2018,9.0
,,2018 - 2019,0.0
,,2021 - 2022,0.0
,Baran,2000 - 2001,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2013 - 2014,0.0
,,2014 - 2015,0.0
,,2016 - 2017,8.0
,,2017 - 2018,8.0
,Bhilwara,2015 - 2016,0.0
,,2016 - 2017,1.0
,Bikaner,2007 - 2008,0.0
,,2008 - 2009,0.0
,Chittorgarh,2000 - 2001,0.0
,,2016 - 2017,15.78
,,2017 - 2018,15.44
,Dungarpur,2016 - 2017,2.25
,,2017 - 2018,2.25
,Ganganagar,2021 - 2022,0.0
,Jhalawar,2011 - 2012,0.0
,Karauli,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2013 - 2014,0.0
,,2014 - 2015,0.0
,,2015 - 2016,0.0
,,2016 - 2017,7.0
,,2017 - 2018,3.0
,,2019 - 2020,0.0
,Kota,2016 - 2017,0.0
,,2017 - 2018,1.0
,Pali,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2013 - 2014,0.0
,,2018 - 2019,0.0
,,2019 - 2020,0.0
,,2021 - 2022,0.0
,Pratapgarh,2001 - 2002,0.0
,,2016 - 2017,22.5
,Rajsamand,2000 - 2001,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2013 - 2014,0.0
,,2014 - 2015,0.0
,,2016 - 2017,0.0
,,2017 - 2018,3.0
,,2018 - 2019,0.0
,,2019 - 2020,0.0
,Sirohi,2007 - 2008,0.0
,,2015 - 2016,0.0
,,2016 - 2017,4.0
,,2017 - 2018,1.0
,Tonk,2017 - 2018,140.0
,,2018 - 2019,0.0
,Udaipur,2000 - 2001,0.0
,,2016 - 2017,8.0
,,2017 - 2018,11.0
Tamil Nadu,Ariyalur,2008 - 2009,0.0
,,2009 - 2010,42.99
,,2011 - 2012,43.69
,,2013 - 2014,41.53
,,2014 - 2015,40.71
,,2015 - 2016,38.32
,,2016 - 2017,33.23
,,2017 - 2018,38.79
,,2018 - 2019,39.91
,,2019 - 2020,43.2
,,2020 - 2021,39.78
,,2021 - 2022,38.43
,,2022 - 2023,39.35
,Chengalpattu,2020 - 2021,39.97
,,2021 - 2022,38.56
,,2022 - 2023,39.35
,Chennai,2018 - 2019,0.0
,,2019 - 2020,43.19
,,2020 - 2021,40.32
,,2021 - 2022,38.31
,,2022 - 2023,39.38
,Coimbatore,2000 - 2001,32.7
,,2002 - 2003,32.7
,,2003 - 2004,29.28
,,2004 - 2005,46.82
,,2005 - 2006,49.1
,,2006 - 2007,39.85
,,2007 - 2008,36.47
,,2008 - 2009,49.74
,,2009 - 2010,40.77
,,2011 - 2012,39.37
,,2013 - 2014,43.78
,,2014 - 2015,38.5
,,2015 - 2016,42.49
,,2016 - 2017,20.8
,,2017 - 2018,30.14
,,2018 - 2019,35.54
,,2019 - 2020,44.14
,,2020 - 2021,40.65
,,2021 - 2022,38.54
,,2022 - 2023,44.49
,Cuddalore,2000 - 2001,24.77
,,2002 - 2003,27.97
,,2003 - 2004,24.9
,,2004 - 2005,26.71
,,2005 - 2006,31.1
,,2006 - 2007,37.65
,,2007 - 2008,36.86
,,2008 - 2009,38.08
,,2009 - 2010,38.57
,,2011 - 2012,23.57
,,2013 - 2014,40.4
,,2014 - 2015,50.88
,,2015 - 2016,58.58
,,2016 - 2017,54.19
,,2017 - 2018,54.63
,,2018 - 2019,46.83
,,2019 - 2020,52.35
,,2020 - 2021,50.85
,,2021 - 2022,56.26
,,2022 - 2023,57.77
,Dharmapuri,2000 - 2001,39.23
,,2002 - 2003,36.95
,,2003 - 2004,35.37
,,2004 - 2005,42.48
,,2005 - 2006,49.11
,,2006 - 2007,53.58
,,2007 - 2008,47.74
,,2008 - 2009,44.7
,,2009 - 2010,43.0
,,2011 - 2012,43.69
,,2013 - 2014,41.53
,,2014 - 2015,40.7
,,2015 - 2016,38.32
,,2016 - 2017,33.3
,,2017 - 2018,38.79
,,2018 - 2019,39.87
,,2019 - 2020,43.09
,,2020 - 2021,39.91
,,2021 - 2022,38.62
,,2022 - 2023,39.35
,Dindigul,2000 - 2001,17.56
,,2002 - 2003,25.81
,,2003 - 2004,35.38
,,2004 - 2005,42.48
,,2005 - 2006,49.1
,,2006 - 2007,53.58
,,2007 - 2008,47.49
,,2008 - 2009,33.89
,,2009 - 2010,40.78
,,2011 - 2012,24.67
,,2013 - 2014,27.51
,,2014 - 2015,95.76
,,2015 - 2016,19.48
,,2016 - 2017,16.46
,,2017 - 2018,12.01
,,2018 - 2019,25.19
,,2019 - 2020,31.62
,,2020 - 2021,40.93
,,2021 - 2022,25.27
,,2022 - 2023,18.18
,Erode,2000 - 2001,36.53
,,2002 - 2003,31.38
,,2003 - 2004,27.28
,,2004 - 2005,38.71
,,2005 - 2006,48.9
,,2006 - 2007,68.42
,,2007 - 2008,54.49
,,2008 - 2009,56.78
,,2009 - 2010,33.92
,,2011 - 2012,30.38
,,2013 - 2014,30.13
,,2014 - 2015,24.49
,,2015 - 2016,42.31
,,2016 - 2017,36.16
,,2017 - 2018,43.57
,,2018 - 2019,49.73
,,2019 - 2020,37.8
,,2020 - 2021,36.72
,,2021 - 2022,27.0
,,2022 - 2023,35.4
,Kallakurichi,2020 - 2021,39.93
,,2021 - 2022,38.61
,,2022 - 2023,39.35
,Kanchipuram,2000 - 2001,20.73
,,2002 - 2003,36.95
,,2003 - 2004,35.37
,,2004 - 2005,42.48
,,2005 - 2006,49.11
,,2006 - 2007,53.58
,,2007 - 2008,47.74
,,2008 - 2009,44.45
,,2009 - 2010,43.0
,,2011 - 2012,43.69
,,2013 - 2014,41.53
,,2014 - 2015,40.7
,,2015 - 2016,38.32
,,2016 - 2017,33.24
,,2017 - 2018,38.79
,,2018 - 2019,39.77
,,2019 - 2020,43.18
,,2020 - 2021,39.74
,,2021 - 2022,38.15
,,2022 - 2023,39.35
,Kanniyakumari,2000 - 2001,22.8
,,2002 - 2003,25.36
,,2003 - 2004,23.91
,,2004 - 2005,32.63
,,2005 - 2006,47.18
,,2006 - 2007,45.75
,,2007 - 2008,31.31
,,2008 - 2009,44.45
,,2009 - 2010,32.27
,,2011 - 2012,27.25
,,2013 - 2014,30.29
,,2014 - 2015,24.58
,,2015 - 2016,18.08
,,2016 - 2017,21.04
,,2017 - 2018,4.82
,,2018 - 2019,35.43
,,2019 - 2020,23.83
,,2020 - 2021,25.19
,,2021 - 2022,29.83
,,2022 - 2023,27.44
,Karur,2000 - 2001,35.65
,,2002 - 2003,20.28
,,2003 - 2004,21.17
,,2004 - 2005,33.16
,,2005 - 2006,45.52
,,2006 - 2007,44.37
,,2007 - 2008,36.07
,,2008 - 2009,44.35
,,2009 - 2010,44.47
,,2011 - 2012,44.1
,,2013 - 2014,60.35
,,2014 - 2015,66.88
,,2015 - 2016,37.82
,,2016 - 2017,22.37
,,2017 - 2018,33.11
,,2018 - 2019,27.58
,,2019 - 2020,43.11
,,2020 - 2021,36.45
,,2021 - 2022,48.89
,,2022 - 2023,47.14
,Krishnagiri,2003 - 2004,35.38
,,2004 - 2005,42.48
,,2005 - 2006,49.1
,,2006 - 2007,53.58
,,2007 - 2008,47.74
,,2008 - 2009,44.45
,,2009 - 2010,43.0
,,2011 - 2012,43.69
,,2013 - 2014,41.53
,,2014 - 2015,40.71
,,2015 - 2016,38.32
,,2016 - 2017,33.29
,,2017 - 2018,38.79
,,2018 - 2019,39.78
,,2019 - 2020,43.18
,,2020 - 2021,39.88
,,2021 - 2022,38.6
,,2022 - 2023,39.35
,Madurai,2000 - 2001,30.95
,,2002 - 2003,35.95
,,2003 - 2004,35.37
,,2004 - 2005,42.48
,,2005 - 2006,49.1
,,2006 - 2007,53.58
,,2007 - 2008,47.74
,,2008 - 2009,50.15
,,2009 - 2010,43.0
,,2011 - 2012,43.69
,,2013 - 2014,41.53
,,2014 - 2015,40.71
,,2015 - 2016,50.29
,,2016 - 2017,57.13
,,2017 - 2018,40.3
,,2018 - 2019,39.17
,,2019 - 2020,51.06
,,2020 - 2021,52.95
,,2021 - 2022,46.56
,,2022 - 2023,36.66
,Mayiladuthurai,2020 - 2021,39.87
,,2021 - 2022,38.63
,,2022 - 2023,39.35
,Nagapattinam,2000 - 2001,25.42
,,2002 - 2003,36.95
,,2003 - 2004,35.37
,,2004 - 2005,42.48
,,2005 - 2006,49.1
,,2006 - 2007,53.58
,,2007 - 2008,47.74
,,2008 - 2009,44.45
,,2009 - 2010,43.0
,,2011 - 2012,43.69
,,2013 - 2014,41.53
,,2014 - 2015,40.7
,,2015 - 2016,38.32
,,2016 - 2017,33.3
,,2017 - 2018,38.79
,,2018 - 2019,39.84
,,2019 - 2020,43.13
,,2020 - 2021,39.91
,,2021 - 2022,38.65
,,2022 - 2023,39.35
,Namakkal,2000 - 2001,21.8
,,2002 - 2003,36.95
,,2003 - 2004,35.37
,,2004 - 2005,42.48
,,2005 - 2006,49.1
,,2006 - 2007,53.58
,,2007 - 2008,47.74
,,2008 - 2009,44.45
,,2009 - 2010,43.0
,,2011 - 2012,43.69
,,2013 - 2014,30.44
,,2014 - 2015,32.15
,,2015 - 2016,33.64
,,2016 - 2017,36.85
,,2017 - 2018,37.21
,,2018 - 2019,36.91
,,2019 - 2020,38.85
,,2020 - 2021,38.82
,,2021 - 2022,44.56
,,2022 - 2023,39.17
,Perambalur,2000 - 2001,35.65
,,2002 - 2003,36.95
,,2003 - 2004,35.38
,,2004 - 2005,42.48
,,2005 - 2006,49.11
,,2006 - 2007,53.59
,,2007 - 2008,47.74
,,2008 - 2009,87.55
,,2009 - 2010,43.0
,,2011 - 2012,43.7
,,2013 - 2014,41.53
,,2014 - 2015,40.7
,,2015 - 2016,38.32
,,2016 - 2017,33.25
,,2017 - 2018,38.79
,,2018 - 2019,39.84
,,2019 - 2020,43.06
,,2020 - 2021,39.96
,,2021 - 2022,38.66
,,2022 - 2023,39.35
,Pudukkottai,2000 - 2001,30.01
,,2002 - 2003,49.45
,,2003 - 2004,50.46
,,2004 - 2005,46.99
,,2005 - 2006,50.52
,,2006 - 2007,63.74
,,2007 - 2008,55.78
,,2008 - 2009,45.87
,,2009 - 2010,64.1
,,2011 - 2012,66.22
,,2013 - 2014,41.12
,,2014 - 2015,48.26
,,2015 - 2016,48.0
,,2016 - 2017,40.67
,,2017 - 2018,49.4
,,2018 - 2019,39.82
,,2019 - 2020,53.91
,,2020 - 2021,60.83
,,2021 - 2022,61.13
,,2022 - 2023,65.33
,Ramanathapuram,2000 - 2001,35.7
,,2002 - 2003,36.95
,,2003 - 2004,35.37
,,2004 - 2005,42.47
,,2005 - 2006,49.1
,,2006 - 2007,53.58
,,2007 - 2008,47.74
,,2008 - 2009,44.45
,,2009 - 2010,43.0
,,2011 - 2012,43.7
,,2013 - 2014,41.54
,,2014 - 2015,40.7
,,2015 - 2016,38.32
,,2016 - 2017,33.33
,,2017 - 2018,38.79
,,2018 - 2019,39.82
,,2019 - 2020,43.09
,,2020 - 2021,39.93
,,2021 - 2022,38.69
,,2022 - 2023,39.36
,Ranipet,2020 - 2021,39.9
,,2021 - 2022,38.6
,,2022 - 2023,51.41
,Salem,2000 - 2001,21.8
,,2002 - 2003,36.95
,,2003 - 2004,35.37
,,2004 - 2005,42.48
,,2005 - 2006,49.1
,,2006 - 2007,53.58
,,2007 - 2008,47.74
,,2008 - 2009,44.45
,,2009 - 2010,43.0
,,2011 - 2012,43.79
,,2013 - 2014,41.53
,,2014 - 2015,40.7
,,2015 - 2016,27.5
,,2016 - 2017,24.33
,,2017 - 2018,27.14
,,2018 - 2019,48.42
,,2019 - 2020,31.08
,,2020 - 2021,30.62
,,2021 - 2022,36.97
,,2022 - 2023,33.98
,Sivaganga,2000 - 2001,35.0
,,2002 - 2003,36.95
,,2003 - 2004,35.37
,,2004 - 2005,42.48
,,2005 - 2006,49.1
,,2006 - 2007,53.58
,,2007 - 2008,47.74
,,2008 - 2009,44.45
,,2009 - 2010,43.0
,,2011 - 2012,43.69
,,2013 - 2014,41.53
,,2014 - 2015,40.7
,,2015 - 2016,38.32
,,2016 - 2017,33.29
,,2017 - 2018,38.79
,,2018 - 2019,39.8
,,2019 - 2020,43.15
,,2020 - 2021,44.59
,,2021 - 2022,38.6
,,2022 - 2023,28.06
,Thanjavur,2000 - 2001,25.58
,,2002 - 2003,27.38
,,2003 - 2004,38.59
,,2004 - 2005,25.51
,,2005 - 2006,49.3
,,2006 - 2007,42.54
,,2007 - 2008,39.21
,,2008 - 2009,43.99
,,2009 - 2010,36.73
,,2011 - 2012,37.76
,,2013 - 2014,50.9
,,2014 - 2015,40.23
,,2015 - 2016,46.91
,,2016 - 2017,42.49
,,2017 - 2018,76.23
,,2018 - 2019,8.99
,,2019 - 2020,44.94
,,2020 - 2021,7.21
,,2021 - 2022,46.78
,,2022 - 2023,48.67
,The nilgiris,2000 - 2001,30.83
,,2002 - 2003,14.35
,,2003 - 2004,35.38
,,2004 - 2005,42.48
,,2005 - 2006,49.1
,,2006 - 2007,53.58
,,2007 - 2008,47.74
,,2008 - 2009,44.45
,,2009 - 2010,43.0
,,2011 - 2012,43.69
,,2013 - 2014,41.53
,,2014 - 2015,40.71
,,2015 - 2016,38.32
,,2016 - 2017,33.3
,,2017 - 2018,38.79
,,2018 - 2019,39.83
,,2019 - 2020,43.13
,,2020 - 2021,39.94
,,2021 - 2022,38.62
,,2022 - 2023,39.29
,Theni,2000 - 2001,17.56
,,2002 - 2003,36.95
,,2003 - 2004,35.38
,,2004 - 2005,42.48
,,2005 - 2006,49.1
,,2006 - 2007,53.58
,,2007 - 2008,42.5
,,2008 - 2009,89.32
,,2009 - 2010,77.77
,,2011 - 2012,78.68
,,2013 - 2014,66.45
,,2014 - 2015,58.52
,,2015 - 2016,64.09
,,2016 - 2017,55.46
,,2017 - 2018,69.77
,,2018 - 2019,76.48
,,2019 - 2020,68.65
,,2020 - 2021,68.79
,,2021 - 2022,55.73
,,2022 - 2023,47.09
,Thenkasi,2020 - 2021,39.89
,,2021 - 2022,33.67
,,2022 - 2023,57.15
,Thiruvallur,2000 - 2001,20.72
,,2002 - 2003,36.95
,,2003 - 2004,35.38
,,2004 - 2005,42.48
,,2005 - 2006,49.1
,,2006 - 2007,53.58
,,2007 - 2008,47.74
,,2008 - 2009,44.45
,,2009 - 2010,43.0
,,2011 - 2012,43.69
,,2013 - 2014,41.53
,,2014 - 2015,40.71
,,2015 - 2016,38.32
,,2016 - 2017,33.31
,,2017 - 2018,38.79
,,2018 - 2019,39.86
,,2019 - 2020,43.16
,,2020 - 2021,39.91
,,2021 - 2022,38.6
,,2022 - 2023,39.35
,Thiruvarur,2000 - 2001,25.58
,,2002 - 2003,36.95
,,2003 - 2004,35.38
,,2004 - 2005,42.48
,,2005 - 2006,49.1
,,2006 - 2007,53.58
,,2007 - 2008,47.74
,,2008 - 2009,44.45
,,2009 - 2010,43.0
,,2011 - 2012,43.69
,,2013 - 2014,41.53
,,2014 - 2015,40.7
,,2015 - 2016,38.32
,,2016 - 2017,33.31
,,2017 - 2018,38.79
,,2018 - 2019,39.84
,,2019 - 2020,43.13
,,2020 - 2021,39.9
,,2021 - 2022,38.61
,,2022 - 2023,39.35
,Thoothukudi,2000 - 2001,40.32
,,2002 - 2003,59.37
,,2003 - 2004,46.77
,,2004 - 2005,55.75
,,2005 - 2006,71.12
,,2006 - 2007,66.89
,,2007 - 2008,59.5
,,2008 - 2009,49.04
,,2009 - 2010,57.91
,,2011 - 2012,64.85
,,2013 - 2014,44.18
,,2014 - 2015,40.41
,,2015 - 2016,25.82
,,2016 - 2017,27.58
,,2017 - 2018,40.63
,,2018 - 2019,42.91
,,2019 - 2020,49.6
,,2020 - 2021,42.9
,,2021 - 2022,48.14
,,2022 - 2023,49.44
,Tiruchirappalli,2000 - 2001,35.65
,,2002 - 2003,42.59
,,2003 - 2004,46.07
,,2004 - 2005,49.04
,,2005 - 2006,45.58
,,2006 - 2007,49.79
,,2007 - 2008,42.93
,,2008 - 2009,36.49
,,2009 - 2010,43.55
,,2011 - 2012,55.15
,,2013 - 2014,52.61
,,2014 - 2015,46.66
,,2015 - 2016,39.19
,,2016 - 2017,45.42
,,2017 - 2018,47.6
,,2018 - 2019,36.24
,,2019 - 2020,49.74
,,2020 - 2021,36.65
,,2021 - 2022,48.8
,,2022 - 2023,43.85
,Tirunelveli,2000 - 2001,31.0
,,2002 - 2003,46.41
,,2003 - 2004,33.35
,,2004 - 2005,48.01
,,2005 - 2006,35.82
,,2006 - 2007,46.24
,,2007 - 2008,38.44
,,2008 - 2009,31.42
,,2009 - 2010,24.94
,,2011 - 2012,23.94
,,2013 - 2014,29.44
,,2014 - 2015,21.46
,,2015 - 2016,31.26
,,2016 - 2017,23.23
,,2017 - 2018,20.26
,,2018 - 2019,25.68
,,2019 - 2020,30.71
,,2020 - 2021,28.8
,,2021 - 2022,23.03
,,2022 - 2023,22.25
,Tirupathur,2020 - 2021,41.35
,,2021 - 2022,21.88
,,2022 - 2023,20.73
,Tiruppur,2008 - 2009,0.0
,,2009 - 2010,39.58
,,2011 - 2012,36.77
,,2013 - 2014,47.88
,,2014 - 2015,40.7
,,2015 - 2016,30.57
,,2016 - 2017,19.81
,,2017 - 2018,18.34
,,2018 - 2019,32.81
,,2019 - 2020,39.54
,,2020 - 2021,48.78
,,2021 - 2022,38.39
,,2022 - 2023,40.84
,Tiruvannamalai,2000 - 2001,38.11
,,2002 - 2003,36.95
,,2003 - 2004,35.38
,,2004 - 2005,42.48
,,2005 - 2006,49.1
,,2006 - 2007,97.16
,,2007 - 2008,75.1
,,2008 - 2009,73.88
,,2009 - 2010,43.0
,,2011 - 2012,43.69
,,2013 - 2014,57.02
,,2014 - 2015,46.68
,,2015 - 2016,33.02
,,2016 - 2017,31.91
,,2017 - 2018,31.11
,,2018 - 2019,34.2
,,2019 - 2020,34.71
,,2020 - 2021,30.68
,,2021 - 2022,23.93
,,2022 - 2023,24.38
,Vellore,2000 - 2001,33.42
,,2002 - 2003,36.95
,,2003 - 2004,35.37
,,2004 - 2005,42.48
,,2005 - 2006,49.1
,,2006 - 2007,53.58
,,2007 - 2008,79.97
,,2008 - 2009,27.79
,,2009 - 2010,42.77
,,2011 - 2012,48.16
,,2013 - 2014,30.6
,,2014 - 2015,30.79
,,2015 - 2016,41.84
,,2016 - 2017,21.84
,,2017 - 2018,32.71
,,2018 - 2019,36.81
,,2019 - 2020,37.09
,,2020 - 2021,49.02
,,2021 - 2022,24.17
,,2022 - 2023,45.75
,Villupuram,2000 - 2001,29.42
,,2002 - 2003,18.65
,,2003 - 2004,22.83
,,2004 - 2005,42.48
,,2005 - 2006,49.1
,,2006 - 2007,53.58
,,2007 - 2008,47.74
,,2008 - 2009,44.45
,,2009 - 2010,43.0
,,2011 - 2012,43.69
,,2013 - 2014,41.53
,,2014 - 2015,40.7
,,2015 - 2016,38.32
,,2016 - 2017,33.28
,,2017 - 2018,38.79
,,2018 - 2019,39.81
,,2019 - 2020,43.13
,,2020 - 2021,44.48
,,2021 - 2022,41.41
,,2022 - 2023,19.82
,Virudhunagar,2000 - 2001,34.34
,,2002 - 2003,36.95
,,2003 - 2004,35.38
,,2004 - 2005,42.48
,,2005 - 2006,49.1
,,2006 - 2007,53.58
,,2007 - 2008,47.74
,,2008 - 2009,44.45
,,2009 - 2010,43.0
,,2011 - 2012,43.69
,,2013 - 2014,41.53
,,2014 - 2015,40.7
,,2015 - 2016,38.32
,,2016 - 2017,33.3
,,2017 - 2018,38.79
,,2018 - 2019,39.81
,,2019 - 2020,43.12
,,2020 - 2021,40.53
,,2021 - 2022,38.6
,,2022 - 2023,38.39
Telangana,Adilabad,2000 - 2001,0.32
,,2001 - 2002,22.5
,,2002 - 2003,24.38
,,2003 - 2004,14.0
,,2004 - 2005,24.75
,,2006 - 2007,24.34
,,2009 - 2010,30.15
,,2010 - 2011,32.67
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
