state,district,year,banana_whole_year_yield_tonne_per_hectare
,,2014 - 2015,17.87
,,2015 - 2016,17.88
,,2016 - 2017,18.05
,,2017 - 2018,15.65
,,2018 - 2019,16.01
,,2019 - 2020,16.06
,,2020 - 2021,22.05
,,2021 - 2022,21.93
,,2022 - 2023,21.97
,Nalbari,2000 - 2001,14.64
,,2001 - 2002,14.64
,,2002 - 2003,14.64
,,2003 - 2004,14.64
,,2005 - 2006,14.64
,,2006 - 2007,14.64
,,2007 - 2008,14.64
,,2008 - 2009,13.85
,,2009 - 2010,14.38
,,2010 - 2011,14.29
,,2011 - 2012,14.98
,,2012 - 2013,15.98
,,2013 - 2014,15.98
,,2014 - 2015,15.97
,,2015 - 2016,15.88
,,2016 - 2017,16.29
,,2017 - 2018,16.3
,,2018 - 2019,17.37
,,2019 - 2020,17.4
,,2020 - 2021,17.16
,,2021 - 2022,17.77
,,2022 - 2023,17.78
,Sivasagar,2000 - 2001,13.62
,,2001 - 2002,14.03
,,2002 - 2003,13.62
,,2003 - 2004,13.59
,,2005 - 2006,13.27
,,2006 - 2007,13.25
,,2007 - 2008,13.38
,,2008 - 2009,14.08
,,2009 - 2010,13.55
,,2010 - 2011,13.79
,,2011 - 2012,15.38
,,2012 - 2013,16.38
,,2013 - 2014,16.38
,,2014 - 2015,16.38
,,2015 - 2016,16.39
,,2016 - 2017,16.78
,,2017 - 2018,15.94
,,2018 - 2019,17.02
,,2019 - 2020,17.16
,,2020 - 2021,21.49
,,2021 - 2022,21.31
,,2022 - 2023,21.6
,Sonitpur,2000 - 2001,12.8
,,2001 - 2002,13.29
,,2002 - 2003,13.23
,,2003 - 2004,13.72
,,2005 - 2006,13.46
,,2006 - 2007,13.92
,,2007 - 2008,13.82
,,2008 - 2009,12.53
,,2009 - 2010,13.38
,,2010 - 2011,12.77
,,2011 - 2012,17.4
,,2012 - 2013,17.98
,,2013 - 2014,17.98
,,2014 - 2015,17.98
,,2015 - 2016,21.97
,,2016 - 2017,22.1
,,2017 - 2018,20.38
,,2018 - 2019,20.64
,,2019 - 2020,22.87
,,2020 - 2021,18.64
,,2021 - 2022,19.03
,,2022 - 2023,19.04
,South salmara mancachar,2020 - 2021,17.13
,,2021 - 2022,19.07
,,2022 - 2023,19.09
,Tinsukia,2000 - 2001,13.72
,,2001 - 2002,13.71
,,2002 - 2003,13.72
,,2003 - 2004,13.69
,,2005 - 2006,13.72
,,2006 - 2007,13.71
,,2007 - 2008,13.7
,,2008 - 2009,13.7
,,2009 - 2010,13.71
,,2010 - 2011,13.72
,,2011 - 2012,13.74
,,2012 - 2013,14.47
,,2013 - 2014,14.47
,,2014 - 2015,14.47
,,2015 - 2016,14.48
,,2016 - 2017,14.75
,,2017 - 2018,14.76
,,2018 - 2019,15.54
,,2019 - 2020,20.5
,,2020 - 2021,20.26
,,2021 - 2022,20.32
,,2022 - 2023,20.42
,Udalguri,2005 - 2006,12.9
,,2006 - 2007,12.9
,,2007 - 2008,12.9
,,2008 - 2009,13.99
,,2009 - 2010,13.26
,,2010 - 2011,13.41
,,2011 - 2012,14.54
,,2012 - 2013,15.35
,,2013 - 2014,15.35
,,2014 - 2015,15.35
,,2015 - 2016,15.36
,,2016 - 2017,16.23
,,2017 - 2018,16.23
,,2018 - 2019,17.62
,,2019 - 2020,17.8
,,2020 - 2021,18.71
,,2021 - 2022,19.17
,,2022 - 2023,19.18
,West karbi anglong,2020 - 2021,19.75
,,2021 - 2022,20.15
,,2022 - 2023,20.35
Bihar,Araria,2000 - 2001,4.05
,,2001 - 2002,28.43
,,2002 - 2003,8.68
,,2003 - 2004,9.56
,,2004 - 2005,8.19
,,2005 - 2006,14.29
,,2007 - 2008,11.71
,Arwal,2003 - 2004,16.57
,Begusarai,2000 - 2001,24.41
,,2001 - 2002,85.56
,,2002 - 2003,80.26
,,2003 - 2004,77.52
,,2004 - 2005,12.82
,,2005 - 2006,36.71
,,2007 - 2008,13.07
,Bhagalpur,2000 - 2001,9.34
,,2001 - 2002,8.26
,,2002 - 2003,2.24
,,2003 - 2004,2.43
,,2004 - 2005,2.22
,,2005 - 2006,2.35
,,2007 - 2008,2.29
,Darbhanga,2000 - 2001,9.59
,,2001 - 2002,8.15
,,2002 - 2003,18.55
,,2003 - 2004,9.82
,,2004 - 2005,23.72
,,2005 - 2006,9.59
,,2007 - 2008,21.43
,Gaya,2000 - 2001,21.0
,,2001 - 2002,22.45
,,2002 - 2003,19.67
,,2003 - 2004,16.5
,Gopalganj,2000 - 2001,21.0
,,2001 - 2002,22.45
,,2002 - 2003,19.67
,,2003 - 2004,16.54
,,2004 - 2005,12.85
