state,district,year,sweet_potato_whole_year_yield_tonne_per_hectare
,,2002 - 2003,2.5
,,2003 - 2004,2.5
,,2004 - 2005,2.5
,,2005 - 2006,2.5
,,2006 - 2007,2.5
,,2007 - 2008,2.5
,,2008 - 2009,2.5
,,2009 - 2010,2.5
,,2010 - 2011,2.5
,,2011 - 2012,2.56
,,2012 - 2013,2.66
,,2013 - 2014,2.66
,,2014 - 2015,2.67
,,2015 - 2016,2.67
,,2016 - 2017,2.81
,,2017 - 2018,2.83
,,2018 - 2019,4.13
,,2019 - 2020,4.25
,,2020 - 2021,4.26
,,2021 - 2022,4.26
,,2022 - 2023,4.26
,Dhemaji,2000 - 2001,3.25
,,2001 - 2002,3.29
,,2002 - 2003,3.27
,,2003 - 2004,3.25
,,2004 - 2005,3.1
,,2005 - 2006,3.22
,,2006 - 2007,3.08
,,2007 - 2008,3.13
,,2008 - 2009,3.12
,,2009 - 2010,3.09
,,2010 - 2011,3.06
,,2011 - 2012,7.0
,,2012 - 2013,7.13
,,2013 - 2014,7.12
,,2014 - 2015,7.14
,,2015 - 2016,7.15
,,2016 - 2017,7.24
,,2017 - 2018,7.27
,,2018 - 2019,5.26
,,2019 - 2020,5.45
,,2020 - 2021,5.43
,,2021 - 2022,5.44
,,2022 - 2023,5.66
,Dhubri,2000 - 2001,4.2
,,2001 - 2002,4.2
,,2002 - 2003,4.2
,,2003 - 2004,4.2
,,2004 - 2005,4.2
,,2005 - 2006,4.2
,,2006 - 2007,4.2
,,2007 - 2008,4.2
,,2008 - 2009,4.2
,,2009 - 2010,4.2
,,2010 - 2011,4.2
,,2011 - 2012,3.09
,,2012 - 2013,2.58
,,2013 - 2014,2.58
,,2014 - 2015,2.59
,,2015 - 2016,2.6
,,2016 - 2017,2.8
,,2017 - 2018,2.82
,,2018 - 2019,3.16
,,2019 - 2020,3.19
,,2020 - 2021,5.01
,,2021 - 2022,5.01
,,2022 - 2023,5.14
,Dibrugarh,2000 - 2001,2.19
,,2001 - 2002,0.29
,,2002 - 2003,2.19
,,2003 - 2004,2.19
,,2004 - 2005,2.18
,,2005 - 2006,2.19
,,2006 - 2007,2.18
,,2007 - 2008,2.19
,,2008 - 2009,2.19
,,2009 - 2010,2.19
,,2010 - 2011,2.19
,,2011 - 2012,3.24
,,2012 - 2013,3.42
,,2013 - 2014,3.42
,,2014 - 2015,3.43
,,2015 - 2016,3.43
,,2016 - 2017,3.65
,,2017 - 2018,3.66
,,2018 - 2019,4.6
,,2019 - 2020,4.73
,,2020 - 2021,4.73
,,2021 - 2022,4.73
,,2022 - 2023,4.81
,Dima hasao,2000 - 2001,4.9
,,2001 - 2002,4.9
,,2002 - 2003,4.91
,,2003 - 2004,4.8
,,2004 - 2005,4.91
,,2005 - 2006,4.8
,,2006 - 2007,4.9
,,2007 - 2008,4.89
,,2008 - 2009,4.91
,,2009 - 2010,4.9
,,2010 - 2011,4.9
,,2011 - 2012,5.0
,,2012 - 2013,5.04
,,2013 - 2014,5.04
,,2014 - 2015,5.06
,,2015 - 2016,5.07
,,2016 - 2017,5.33
,,2017 - 2018,5.33
,,2018 - 2019,6.98
,,2019 - 2020,6.59
,,2020 - 2021,6.6
,,2021 - 2022,6.6
,,2022 - 2023,6.72
,Goalpara,2000 - 2001,3.27
,,2001 - 2002,3.28
,,2002 - 2003,3.25
,,2003 - 2004,3.27
,,2004 - 2005,3.26
,,2005 - 2006,3.26
,,2006 - 2007,3.26
,,2007 - 2008,3.26
,,2008 - 2009,3.26
,,2009 - 2010,3.26
,,2010 - 2011,3.26
,,2011 - 2012,5.66
,,2012 - 2013,5.87
,,2013 - 2014,5.87
,,2014 - 2015,5.87
,,2015 - 2016,5.87
,,2016 - 2017,5.96
,,2017 - 2018,5.97
,,2018 - 2019,7.91
,,2019 - 2020,7.98
,,2020 - 2021,7.99
,,2021 - 2022,7.86
,,2022 - 2023,7.88
,Golaghat,2000 - 2001,2.5
,,2001 - 2002,2.5
,,2002 - 2003,2.5
,,2003 - 2004,2.5
,,2004 - 2005,2.5
,,2005 - 2006,2.51
,,2006 - 2007,2.5
,,2007 - 2008,2.51
,,2008 - 2009,2.5
,,2009 - 2010,2.52
,,2010 - 2011,2.5
,,2011 - 2012,3.35
,,2012 - 2013,3.46
,,2013 - 2014,3.46
,,2014 - 2015,3.46
,,2015 - 2016,3.47
,,2016 - 2017,3.65
,,2017 - 2018,3.67
,,2018 - 2019,5.21
,,2019 - 2020,5.33
,,2020 - 2021,5.33
,,2021 - 2022,5.34
,,2022 - 2023,5.4
,Hailakandi,2000 - 2001,3.8
,,2001 - 2002,3.09
,,2002 - 2003,3.09
,,2003 - 2004,3.36
,,2004 - 2005,3.18
,,2005 - 2006,3.2
,,2006 - 2007,3.25
,,2007 - 2008,3.2
,,2008 - 2009,3.23
,,2009 - 2010,3.23
,,2010 - 2011,3.22
,,2011 - 2012,3.36
,,2012 - 2013,3.64
,,2013 - 2014,3.62
,,2014 - 2015,3.65
,,2015 - 2016,3.66
,,2016 - 2017,2.4
,,2017 - 2018,2.43
,,2018 - 2019,8.56
,,2019 - 2020,8.67
,,2020 - 2021,8.68
,,2021 - 2022,7.68
,,2022 - 2023,8.77
,Hojai,2020 - 2021,9.68
,,2021 - 2022,9.68
,,2022 - 2023,9.8
,Jorhat,2000 - 2001,2.9
,,2001 - 2002,2.89
,,2002 - 2003,2.87
,,2003 - 2004,2.85
,,2004 - 2005,2.88
,,2005 - 2006,2.85
,,2006 - 2007,2.83
,,2007 - 2008,2.81
,,2008 - 2009,2.82
,,2009 - 2010,2.84
,,2010 - 2011,2.84
,,2011 - 2012,3.3
,,2012 - 2013,3.4
,,2013 - 2014,3.4
,,2014 - 2015,3.4
,,2015 - 2016,3.43
,,2016 - 2017,3.71
,,2017 - 2018,5.45
,,2018 - 2019,5.15
,,2019 - 2020,5.29
,,2020 - 2021,5.28
,,2021 - 2022,5.3
,,2022 - 2023,5.29
,Kamrup,2000 - 2001,2.49
,,2001 - 2002,2.49
,,2002 - 2003,2.49
,,2003 - 2004,2.48
,,2004 - 2005,2.48
,,2005 - 2006,2.47
,,2006 - 2007,2.49
,,2007 - 2008,2.48
,,2008 - 2009,2.46
,,2009 - 2010,2.49
,,2010 - 2011,2.49
,,2011 - 2012,2.58
,,2012 - 2013,3.85
,,2013 - 2014,3.85
,,2014 - 2015,3.86
,,2015 - 2016,3.86
,,2016 - 2017,4.01
,,2017 - 2018,4.02
,,2018 - 2019,4.52
,,2019 - 2020,4.63
,,2020 - 2021,4.63
,,2021 - 2022,4.63
,,2022 - 2023,4.64
,Kamrup metro,2005 - 2006,2.53
,,2006 - 2007,2.5
,,2007 - 2008,2.46
,,2008 - 2009,2.5
,,2009 - 2010,2.5
,,2010 - 2011,2.5
,,2011 - 2012,2.67
,,2012 - 2013,3.56
,,2013 - 2014,3.58
,,2014 - 2015,3.57
,,2015 - 2016,3.59
,,2016 - 2017,3.71
,,2017 - 2018,3.73
,,2018 - 2019,4.87
,,2019 - 2020,5.0
,,2020 - 2021,5.0
,,2021 - 2022,5.03
,,2022 - 2023,5.39
,Karbi anglong,2000 - 2001,3.15
,,2001 - 2002,3.15
,,2002 - 2003,3.16
,,2003 - 2004,3.14
,,2004 - 2005,3.26
,,2005 - 2006,3.2
,,2006 - 2007,3.21
,,2007 - 2008,3.21
,,2008 - 2009,3.18
,,2009 - 2010,3.19
,,2010 - 2011,3.19
,,2011 - 2012,3.38
,,2012 - 2013,3.48
,,2013 - 2014,3.49
,,2014 - 2015,5.58
,,2015 - 2016,5.59
,,2016 - 2017,5.67
,,2017 - 2018,5.68
,,2018 - 2019,5.45
,,2019 - 2020,5.54
,,2020 - 2021,5.55
,,2021 - 2022,5.54
,,2022 - 2023,5.64
,Karimganj,2000 - 2001,3.8
,,2001 - 2002,3.8
,,2002 - 2003,3.8
,,2003 - 2004,3.8
,,2004 - 2005,3.8
,,2005 - 2006,3.8
,,2006 - 2007,3.8
,,2007 - 2008,3.8
,,2008 - 2009,4.2
,,2009 - 2010,3.94
,,2010 - 2011,3.98
,,2011 - 2012,4.25
,,2012 - 2013,4.54
,,2013 - 2014,4.54
,,2014 - 2015,4.56
,,2015 - 2016,4.57
,,2016 - 2017,4.74
,,2017 - 2018,4.75
,,2018 - 2019,7.96
,,2019 - 2020,3.11
,,2020 - 2021,8.07
,,2021 - 2022,8.06
,,2022 - 2023,8.19
,Kokrajhar,2000 - 2001,3.72
,,2001 - 2002,3.81
,,2002 - 2003,3.8
,,2003 - 2004,3.79
,,2004 - 2005,3.8
,,2005 - 2006,3.78
,,2006 - 2007,3.77
,,2007 - 2008,3.77
,,2008 - 2009,3.77
,,2009 - 2010,3.72
,,2010 - 2011,3.78
