state,district,year,sweet_potato_whole_year_yield_tonne_per_hectare
,,2005 - 2006,6.25
,,2006 - 2007,6.38
,,2007 - 2008,6.58
,,2008 - 2009,6.6
,,2009 - 2010,6.0
,,2010 - 2011,4.62
,,2011 - 2012,5.38
,,2012 - 2013,6.0
,,2013 - 2014,4.44
,Sagar,2001 - 2002,4.52
,,2002 - 2003,4.52
,,2003 - 2004,4.97
,,2004 - 2005,4.97
,,2005 - 2006,5.0
,,2006 - 2007,5.27
,,2007 - 2008,5.0
,,2008 - 2009,4.46
,,2009 - 2010,5.0
,,2010 - 2011,2.86
,,2011 - 2012,4.77
,,2012 - 2013,3.47
,,2013 - 2014,5.36
,,2016 - 2017,30.0
,,2017 - 2018,30.0
,,2018 - 2019,29.6
,,2019 - 2020,29.53
,Satna,2001 - 2002,5.45
,,2002 - 2003,5.33
,,2003 - 2004,5.86
,,2004 - 2005,5.84
,,2005 - 2006,6.84
,,2006 - 2007,5.5
,,2007 - 2008,4.88
,,2008 - 2009,4.33
,,2009 - 2010,6.18
,,2010 - 2011,3.82
,,2011 - 2012,4.68
,,2012 - 2013,5.29
,,2013 - 2014,6.36
,Sehore,2001 - 2002,5.97
,,2002 - 2003,6.5
,,2003 - 2004,6.5
,,2004 - 2005,6.51
,,2005 - 2006,6.51
,,2006 - 2007,6.49
,,2007 - 2008,6.84
,,2008 - 2009,6.51
,,2009 - 2010,10.3
,,2010 - 2011,5.31
,,2011 - 2012,7.5
,,2012 - 2013,7.94
,,2013 - 2014,7.95
,,2015 - 2016,30.0
,,2016 - 2017,19.58
,,2017 - 2018,30.0
,,2018 - 2019,30.0
,,2019 - 2020,30.0
,Seoni,2001 - 2002,6.36
,,2002 - 2003,5.86
,,2003 - 2004,6.33
,,2004 - 2005,6.31
,,2005 - 2006,5.87
,,2006 - 2007,6.32
,,2007 - 2008,6.31
,,2008 - 2009,6.4
,,2009 - 2010,6.25
,,2010 - 2011,5.33
,,2011 - 2012,5.33
,,2012 - 2013,6.33
,,2013 - 2014,10.82
,,2015 - 2016,17.92
,,2016 - 2017,18.67
,,2017 - 2018,18.63
,,2018 - 2019,18.68
,,2019 - 2020,18.72
,Shahdol,2001 - 2002,5.06
,,2002 - 2003,4.97
,,2003 - 2004,4.97
,,2004 - 2005,4.52
,,2005 - 2006,4.52
,,2006 - 2007,4.52
,,2007 - 2008,4.52
,,2008 - 2009,4.52
,,2009 - 2010,4.97
,,2010 - 2011,3.11
,,2011 - 2012,3.34
,,2012 - 2013,6.86
,,2013 - 2014,6.19
,,2015 - 2016,15.01
,,2016 - 2017,16.12
,,2017 - 2018,13.36
,,2018 - 2019,13.32
,,2019 - 2020,13.32
,Shajapur,2001 - 2002,5.63
,,2002 - 2003,5.31
,,2003 - 2004,6.91
,,2004 - 2005,6.7
,,2005 - 2006,6.69
,,2006 - 2007,7.44
,,2007 - 2008,7.44
,,2008 - 2009,6.38
,,2009 - 2010,7.44
,,2010 - 2011,6.81
,,2011 - 2012,5.97
,,2012 - 2013,6.71
,Sheopur,2002 - 2003,4.5
,Shivpuri,2001 - 2002,6.14
,,2002 - 2003,5.6
,,2003 - 2004,5.75
,,2004 - 2005,6.5
,,2005 - 2006,5.67
,,2006 - 2007,6.11
,,2007 - 2008,6.11
,,2008 - 2009,6.6
,,2009 - 2010,6.6
,,2010 - 2011,4.49
,,2011 - 2012,4.49
,,2012 - 2013,4.95
,,2013 - 2014,6.39
,,2017 - 2018,20.0
,,2018 - 2019,20.0
,,2019 - 2020,19.34
,Sidhi,2001 - 2002,6.34
,,2002 - 2003,6.34
,,2003 - 2004,5.52
,,2004 - 2005,5.76
,,2005 - 2006,5.76
,,2006 - 2007,5.75
,,2007 - 2008,5.75
,,2008 - 2009,7.07
,,2009 - 2010,6.33
,,2010 - 2011,3.75
,,2011 - 2012,3.86
,,2012 - 2013,6.53
,,2013 - 2014,7.15
,Singrauli,2008 - 2009,7.05
,,2009 - 2010,7.04
,,2010 - 2011,5.52
,,2011 - 2012,4.42
,,2012 - 2013,5.52
,,2013 - 2014,5.1
,,2015 - 2016,16.6
,,2016 - 2017,16.7
,,2017 - 2018,16.7
,,2018 - 2019,17.0
,,2019 - 2020,17.25
,Tikamgarh,2001 - 2002,6.41
,,2002 - 2003,6.29
,,2003 - 2004,5.72
,,2004 - 2005,5.72
,,2005 - 2006,5.72
,,2006 - 2007,5.72
,,2007 - 2008,5.73
,,2008 - 2009,6.3
,,2009 - 2010,6.29
,,2010 - 2011,3.59
,,2011 - 2012,3.81
,,2012 - 2013,4.24
,,2013 - 2014,4.69
,,2015 - 2016,15.0
,,2016 - 2017,15.0
,,2017 - 2018,15.0
,,2018 - 2019,15.0
,,2019 - 2020,15.0
,Ujjain,2001 - 2002,4.15
,,2002 - 2003,4.44
,,2003 - 2004,7.25
,,2004 - 2005,7.34
,,2005 - 2006,7.35
,,2006 - 2007,7.58
,,2007 - 2008,7.46
,,2008 - 2009,6.88
,,2009 - 2010,7.0
,,2010 - 2011,5.42
,,2011 - 2012,6.14
,,2013 - 2014,7.0
,,2015 - 2016,18.24
,,2016 - 2017,18.24
,,2017 - 2018,18.6
,,2018 - 2019,18.2
,,2019 - 2020,18.3
,Umaria,2001 - 2002,5.24
,,2002 - 2003,4.97
,,2003 - 2004,5.42
,,2004 - 2005,5.61
,,2005 - 2006,5.88
,,2006 - 2007,4.61
,,2007 - 2008,4.61
,,2008 - 2009,4.7
,,2009 - 2010,4.97
,,2010 - 2011,3.34
,,2011 - 2012,3.47
,,2012 - 2013,5.42
,,2013 - 2014,8.4
,,2017 - 2018,10.0
,,2018 - 2019,10.0
,,2019 - 2020,10.0
,Vidisha,2001 - 2002,5.43
,,2002 - 2003,5.33
,,2003 - 2004,5.33
,,2004 - 2005,6.33
,,2005 - 2006,5.72
,,2006 - 2007,5.75
,,2007 - 2008,5.83
,,2008 - 2009,5.29
,,2009 - 2010,5.28
,,2010 - 2011,4.72
,,2012 - 2013,8.19
,,2013 - 2014,7.93
,,2015 - 2016,10.0
,,2016 - 2017,11.78
,,2017 - 2018,11.78
,,2018 - 2019,11.78
,,2019 - 2020,11.78
Manipur,Bishnupur,2003 - 2004,6.58
,Chandel,2002 - 2003,6.86
,,2003 - 2004,6.6
,Churachandpur,2002 - 2003,5.0
,,2003 - 2004,6.6
,Imphal east,2003 - 2004,6.5
,Imphal west,2002 - 2003,2.75
,,2003 - 2004,6.6
,Senapati,2000 - 2001,3.6
,,2001 - 2002,4.0
,,2003 - 2004,6.63
,,2004 - 2005,3.54
,Tamenglong,2003 - 2004,6.6
,Thoubal,2002 - 2003,5.0
,,2003 - 2004,6.6
,Ukhrul,2003 - 2004,6.6
,,2007 - 2008,3.51
Meghalaya,East garo hills,2000 - 2001,3.12
,,2001 - 2002,3.12
,,2002 - 2003,3.12
,,2003 - 2004,3.12
,,2004 - 2005,3.12
,,2005 - 2006,3.07
,,2006 - 2007,
,,2008 - 2009,3.12
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,East jaintia hills,2000 - 2001,2.92
,,2001 - 2002,2.91
,,2002 - 2003,2.91
,,2003 - 2004,2.91
,,2004 - 2005,2.91
,,2005 - 2006,2.93
,,2006 - 2007,
,,2008 - 2009,2.85
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,East khasi hills,2000 - 2001,3.87
,,2001 - 2002,4.2
,,2002 - 2003,4.34
,,2003 - 2004,3.96
,,2004 - 2005,3.76
,,2005 - 2006,3.86
,,2006 - 2007,
,,2008 - 2009,3.93
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,North garo hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ri bhoi,2000 - 2001,3.68
,,2001 - 2002,3.63
,,2002 - 2003,3.61
,,2003 - 2004,3.6
,,2004 - 2005,3.61
,,2005 - 2006,3.72
,,2006 - 2007,
,,2008 - 2009,5.76
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South garo hills,2000 - 2001,3.28
,,2001 - 2002,3.28
,,2002 - 2003,3.26
,,2003 - 2004,3.26
,,2004 - 2005,3.26
,,2005 - 2006,3.38
,,2006 - 2007,
,,2008 - 2009,3.33
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South west garo hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South west khasi hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West garo hills,2000 - 2001,3.33
,,2001 - 2002,3.32
,,2002 - 2003,3.32
,,2003 - 2004,3.32
,,2004 - 2005,3.32
,,2005 - 2006,3.3
,,2006 - 2007,
,,2008 - 2009,3.33
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West jaintia hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West khasi hills,2000 - 2001,3.82
,,2001 - 2002,3.67
,,2002 - 2003,3.38
,,2003 - 2004,3.6
,,2004 - 2005,3.49
,,2005 - 2006,3.48
,,2006 - 2007,
,,2008 - 2009,3.22
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Nagaland,Chumoukedima,2022 - 2023,
,Dimapur,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kiphire,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kohima,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Longleng,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Mokokchung,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Mon,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Noklak,2022 - 2023,
,Nuiland,2022 - 2023,
,Peren,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Phek,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shamator,2022 - 2023,
,Tseminyu,2022 - 2023,
,Tuensang,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Wokha,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Zunheboto,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Odisha,Anugul,2000 - 2001,8.15
,,2001 - 2002,8.09
,,2002 - 2003,8.12
,,2003 - 2004,8.34
,,2004 - 2005,8.33
,,2019 - 2020,
,Balangir,2000 - 2001,6.79
,,2001 - 2002,8.11
,,2002 - 2003,8.28
,,2003 - 2004,8.4
,,2004 - 2005,8.4
,,2019 - 2020,
,Baleshwar,2000 - 2001,7.11
,,2001 - 2002,8.15
,,2002 - 2003,8.33
,,2003 - 2004,8.15
,,2004 - 2005,8.27
,,2019 - 2020,
,Bargarh,2000 - 2001,7.9
,,2001 - 2002,8.18
,,2002 - 2003,8.24
,,2003 - 2004,8.34
,,2004 - 2005,8.35
,,2019 - 2020,
,Bhadrak,2000 - 2001,8.83
,,2001 - 2002,8.63
,,2002 - 2003,8.33
,,2003 - 2004,8.42
,,2004 - 2005,8.31
,,2019 - 2020,
,Boudh,2000 - 2001,8.3
,,2001 - 2002,8.0
,,2002 - 2003,8.11
,,2003 - 2004,8.33
,,2004 - 2005,8.24
,,2019 - 2020,
,Cuttack,2000 - 2001,8.31
,,2001 - 2002,8.2
,,2002 - 2003,8.05
,,2003 - 2004,8.27
,,2004 - 2005,8.22
,,2019 - 2020,
,Deogarh,2000 - 2001,8.14
,,2001 - 2002,8.22
,,2002 - 2003,8.34
,,2003 - 2004,8.47
,,2004 - 2005,8.49
,,2019 - 2020,
,Dhenkanal,2000 - 2001,8.16
,,2001 - 2002,8.32
,,2002 - 2003,8.31
,,2003 - 2004,8.45
,,2004 - 2005,8.43
,,2019 - 2020,
,Gajapati,2000 - 2001,8.34
,,2001 - 2002,8.24
,,2002 - 2003,8.09
,,2003 - 2004,8.32
,,2004 - 2005,8.33
,,2019 - 2020,
,Ganjam,2000 - 2001,7.4
,,2001 - 2002,8.31
,,2002 - 2003,8.3
,,2003 - 2004,8.44
,,2004 - 2005,8.43
,,2019 - 2020,
,Jagatsinghapur,2000 - 2001,8.16
,,2001 - 2002,8.4
,,2002 - 2003,7.89
,,2003 - 2004,12.89
,,2004 - 2005,12.98
,,2019 - 2020,
,Jajapur,2000 - 2001,8.24
,,2001 - 2002,8.38
,,2002 - 2003,7.69
,,2003 - 2004,7.85
,,2004 - 2005,8.15
,,2019 - 2020,
,Jharsuguda,2000 - 2001,7.9
,,2001 - 2002,7.87
,,2002 - 2003,10.0
,,2003 - 2004,7.67
,,2004 - 2005,8.38
,,2019 - 2020,
,Kalahandi,2000 - 2001,8.44
,,2001 - 2002,8.46
,,2002 - 2003,8.24
,,2003 - 2004,8.28
,,2004 - 2005,8.36
,,2019 - 2020,
,Kandhamal,2000 - 2001,5.53
,,2001 - 2002,7.79
,,2002 - 2003,8.22
,,2003 - 2004,8.37
,,2004 - 2005,8.37
,,2019 - 2020,
,Kendrapara,2000 - 2001,8.22
,,2001 - 2002,7.9
,,2002 - 2003,7.89
,,2003 - 2004,8.12
,,2004 - 2005,8.13
,,2019 - 2020,
,Kendujhar,2000 - 2001,3.1
,,2001 - 2002,8.19
,,2002 - 2003,8.05
,,2003 - 2004,8.37
,,2004 - 2005,8.38
,,2019 - 2020,
,Khordha,2000 - 2001,8.2
,,2001 - 2002,8.5
,,2002 - 2003,8.57
,,2003 - 2004,8.71
,,2004 - 2005,8.26
,,2019 - 2020,
,Koraput,2000 - 2001,7.6
,,2001 - 2002,7.99
,,2002 - 2003,8.19
,,2003 - 2004,8.32
,,2004 - 2005,8.32
,,2019 - 2020,
,Malkangiri,2000 - 2001,7.89
,,2001 - 2002,7.99
,,2002 - 2003,8.54
,,2003 - 2004,8.55
,,2004 - 2005,8.54
,,2019 - 2020,
,Mayurbhanj,2000 - 2001,8.14
,,2001 - 2002,8.02
,,2002 - 2003,8.08
,,2003 - 2004,8.12
,,2004 - 2005,8.13
,,2019 - 2020,
,Nabarangpur,2000 - 2001,7.93
,,2001 - 2002,7.97
,,2002 - 2003,8.33
,,2003 - 2004,8.0
,,2004 - 2005,8.26
,,2019 - 2020,
,Nayagarh,2000 - 2001,8.67
,,2001 - 2002,8.14
,,2002 - 2003,8.0
,,2003 - 2004,8.2
,,2004 - 2005,8.22
,,2019 - 2020,
,Nuapada,2000 - 2001,9.07
,,2001 - 2002,8.44
,,2002 - 2003,8.19
,,2003 - 2004,8.32
,,2004 - 2005,8.34
,,2019 - 2020,
,Puri,2000 - 2001,8.0
,,2001 - 2002,8.6
,,2002 - 2003,8.2
,,2003 - 2004,8.6
,,2004 - 2005,8.12
,,2019 - 2020,
,Rayagada,2000 - 2001,7.5
,,2001 - 2002,7.8
,,2002 - 2003,8.21
,,2003 - 2004,8.38
,,2004 - 2005,8.36
,,2019 - 2020,
,Sambalpur,2000 - 2001,7.92
,,2001 - 2002,7.99
,,2002 - 2003,8.16
,,2003 - 2004,8.32
,,2004 - 2005,8.31
,,2019 - 2020,
,Sonepur,2000 - 2001,8.7
,,2001 - 2002,8.42
,,2002 - 2003,8.0
,,2003 - 2004,8.41
,,2004 - 2005,8.45
,,2019 - 2020,
,Sundargarh,2000 - 2001,7.29
,,2001 - 2002,8.51
,,2002 - 2003,7.91
,,2003 - 2004,8.22
,,2004 - 2005,8.23
,,2019 - 2020,
Puducherry,Pondicherry,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Rajasthan,Ajmer,2000 - 2001,0.8
,,2001 - 2002,0.8
,,2002 - 2003,0.41
,,2003 - 2004,2.43
,,2004 - 2005,0.71
,,2005 - 2006,1.0
,,2006 - 2007,1.89
,,2007 - 2008,1.46
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,1.31
,,2011 - 2012,1.15
,,2012 - 2013,1.13
,,2013 - 2014,1.3
,,2014 - 2015,1.0
,,2015 - 2016,3.0
,,2016 - 2017,1.1
,,2017 - 2018,7.33
,,2018 - 2019,2.0
,,2019 - 2020,10.0
,,2020 - 2021,4.0
,,2021 - 2022,3.08
,,2022 - 2023,1.5
,Alwar,2001 - 2002,1.5
,,2002 - 2003,0.73
,,2003 - 2004,7.09
,,2004 - 2005,3.53
,,2005 - 2006,1.0
,,2006 - 2007,1.71
,,2007 - 2008,3.37
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,3.82
,,2011 - 2012,4.0
,,2012 - 2013,2.08
,,2013 - 2014,1.75
,,2014 - 2015,3.0
,,2015 - 2016,3.63
,,2016 - 2017,3.14
,,2018 - 2019,8.0
,,2021 - 2022,5.0
,Banswara,2011 - 2012,20.0
,,2012 - 2013,20.0
,,2013 - 2014,0.0
,,2022 - 2023,5.0
,Baran,2000 - 2001,1.08
,,2001 - 2002,0.58
,,2002 - 2003,0.11
,,2003 - 2004,1.25
,,2004 - 2005,1.33
,,2005 - 2006,2.43
,,2006 - 2007,3.88
,,2007 - 2008,4.0
,,2008 - 2009,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.83
,,2019 - 2020,2.5
,,2020 - 2021,2.55
,,2021 - 2022,2.5
,Barmer,2000 - 2001,0.24
,,2001 - 2002,0.5
,,2002 - 2003,1.0
,,2003 - 2004,1.03
,,2004 - 2005,0.72
,,2005 - 2006,1.03
,,2006 - 2007,1.0
,,2008 - 2009,0.0
,,2011 - 2012,0.66
,,2012 - 2013,0.96
,,2013 - 2014,1.0
,,2014 - 2015,0.38
,,2015 - 2016,2.94
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Bharatpur,2000 - 2001,3.01
,,2001 - 2002,2.13
,,2002 - 2003,0.78
,,2003 - 2004,5.61
,,2004 - 2005,4.0
,,2005 - 2006,3.41
,,2006 - 2007,4.39
,,2007 - 2008,4.58
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,4.12
,,2011 - 2012,4.84
,,2012 - 2013,4.65
,,2013 - 2014,9.67
,,2014 - 2015,6.94
,,2015 - 2016,5.88
,,2016 - 2017,8.28
,,2017 - 2018,9.15
,,2018 - 2019,8.11
,,2019 - 2020,8.67
,,2020 - 2021,8.0
,,2021 - 2022,3.5
,,2022 - 2023,7.0
,Bhilwara,2000 - 2001,1.5
,,2001 - 2002,2.48
,,2002 - 2003,2.36
,,2003 - 2004,4.0
,,2004 - 2005,2.24
,,2005 - 2006,1.44
,,2006 - 2007,1.31
,,2007 - 2008,1.23
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2011 - 2012,1.33
,,2012 - 2013,1.0
,,2013 - 2014,1.4
,,2014 - 2015,1.22
,,2015 - 2016,2.0
,,2016 - 2017,1.0
,,2021 - 2022,1.2
,Bikaner,2002 - 2003,0.0
,,2003 - 2004,0.5
,,2004 - 2005,0.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2021 - 2022,1.0
,,2022 - 2023,9.5
,Bundi,2000 - 2001,0.84
,,2001 - 2002,0.97
,,2002 - 2003,0.37
,,2003 - 2004,0.37
,,2004 - 2005,4.0
,,2005 - 2006,3.49
,,2006 - 2007,7.53
,,2007 - 2008,7.79
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,4.84
,,2011 - 2012,4.26
,,2012 - 2013,5.19
,,2013 - 2014,4.52
,,2014 - 2015,4.9
,,2015 - 2016,1.71
,,2016 - 2017,1.36
,,2017 - 2018,1.41
,,2018 - 2019,6.47
,,2019 - 2020,5.17
,,2020 - 2021,7.98
,,2021 - 2022,9.29
,,2022 - 2023,6.94
,Chittorgarh,2000 - 2001,1.5
,,2001 - 2002,0.86
,,2002 - 2003,3.13
,,2003 - 2004,3.75
,,2004 - 2005,3.15
,,2005 - 2006,5.67
,,2006 - 2007,4.28
,,2007 - 2008,7.92
,,2008 - 2009,0.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,0.5
,,2013 - 2014,2.91
,,2014 - 2015,5.0
,,2015 - 2016,5.15
,,2016 - 2017,4.33
,,2017 - 2018,4.8
,,2018 - 2019,8.57
,,2019 - 2020,5.39
,,2020 - 2021,6.96
,,2021 - 2022,5.6
,,2022 - 2023,1.0
,Churu,2001 - 2002,0.5
,,2002 - 2003,1.5
,,2004 - 2005,0.22
,,2008 - 2009,0.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.5
,,2021 - 2022,15.0
,Dausa,2000 - 2001,1.0
,,2001 - 2002,2.0
,,2002 - 2003,3.5
,,2003 - 2004,4.25
,,2004 - 2005,1.5
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.25
,,2010 - 2011,2.0
,,2013 - 2014,2.0
,Dholpur,2000 - 2001,1.36
,,2001 - 2002,5.63
,,2002 - 2003,1.74
,,2003 - 2004,1.0
,,2004 - 2005,1.03
,,2005 - 2006,0.0
,,2006 - 2007,1.0
,,2007 - 2008,1.37
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,1.48
,,2011 - 2012,2.72
,,2012 - 2013,1.99
,,2013 - 2014,2.5
,,2014 - 2015,2.41
,,2015 - 2016,2.36
,,2016 - 2017,12.0
,,2017 - 2018,12.0
,,2018 - 2019,12.06
,,2019 - 2020,11.88
,,2020 - 2021,11.88
,Dungarpur,2006 - 2007,0.0
,Ganganagar,2003 - 2004,4.0
,,2004 - 2005,0.0
,,2017 - 2018,10.0
,,2020 - 2021,4.5
,Hanumangarh,2000 - 2001,1.0
,,2001 - 2002,1.0
,Jaipur,2000 - 2001,1.91
,,2001 - 2002,2.62
,,2002 - 2003,0.67
,,2004 - 2005,2.0
,,2005 - 2006,2.76
,,2006 - 2007,4.25
,,2007 - 2008,2.82
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2012 - 2013,2.06
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.38
,,2017 - 2018,1.51
,,2018 - 2019,1.19
,,2019 - 2020,1.02
,,2020 - 2021,1.07
,,2021 - 2022,1.05
,,2022 - 2023,1.04
,Jalore,2000 - 2001,1.31
,,2001 - 2002,2.75
,,2002 - 2003,2.05
,,2003 - 2004,4.4
,,2004 - 2005,3.95
,,2005 - 2006,2.94
,,2006 - 2007,4.92
,,2007 - 2008,3.98
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,4.2
,,2011 - 2012,2.86
,,2012 - 2013,1.03
,,2013 - 2014,2.0
,,2014 - 2015,4.5
,,2015 - 2016,4.18
,,2016 - 2017,4.72
,,2017 - 2018,2.99
,,2018 - 2019,4.94
,,2019 - 2020,6.22
,,2020 - 2021,3.94
,,2021 - 2022,3.31
,,2022 - 2023,2.72
,Jhalawar,2000 - 2001,6.68
,,2001 - 2002,2.51
,,2002 - 2003,0.92
,,2003 - 2004,3.63
,,2004 - 2005,3.89
,,2005 - 2006,4.08
,,2006 - 2007,3.99
,,2007 - 2008,1.97
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,1.37
,,2011 - 2012,7.22
,,2012 - 2013,7.0
,,2013 - 2014,3.95
