state,district,year,sunflower_kharif_yield_tonne_per_hectare
,Jashpur,2001 - 2002,0.2
,,2004 - 2005,0.18
,,2005 - 2006,0.2
,,2006 - 2007,0.17
,,2007 - 2008,0.33
,,2008 - 2009,0.4
,Kabirdham,2000 - 2001,1.0
,,2002 - 2003,0.91
,,2003 - 2004,0.77
,,2004 - 2005,0.78
,,2005 - 2006,0.86
,,2006 - 2007,70.0
,,2008 - 2009,0.44
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,Kanker,2000 - 2001,0.17
,,2001 - 2002,0.33
,,2002 - 2003,0.12
,,2003 - 2004,0.23
,,2004 - 2005,0.22
,,2005 - 2006,0.23
,,2006 - 2007,0.22
,,2007 - 2008,0.23
,,2008 - 2009,0.23
,,2009 - 2010,0.23
,,2010 - 2011,0.22
,,2011 - 2012,0.2
,,2012 - 2013,0.24
,,2013 - 2014,0.14
,,2014 - 2015,0.38
,,2015 - 2016,0.5
,,2016 - 2017,0.07
,,2017 - 2018,0.09
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khairgarh chhuikhadan gandai,2022 - 2023,
,Kondagaon,2011 - 2012,0.19
,,2012 - 2013,0.13
,,2013 - 2014,0.25
,,2014 - 2015,0.17
,,2015 - 2016,0.27
,,2016 - 2017,0.08
,,2017 - 2018,0.08
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Korba,2003 - 2004,0.0
,,2004 - 2005,0.5
,,2005 - 2006,0.4
,,2006 - 2007,0.43
,,2007 - 2008,0.44
,,2008 - 2009,0.38
,,2009 - 2010,0.0
,,2010 - 2011,0.5
,,2011 - 2012,0.44
,,2012 - 2013,0.44
,,2013 - 2014,0.0
,,2014 - 2015,0.33
,,2015 - 2016,0.42
,,2016 - 2017,0.0
,,2017 - 2018,0.0
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,Korea,2001 - 2002,0.25
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,Mahasamund,2000 - 2001,0.42
,,2001 - 2002,0.5
,,2002 - 2003,0.33
,,2003 - 2004,0.21
,,2004 - 2005,0.36
,,2005 - 2006,0.36
,,2006 - 2007,0.36
,,2007 - 2008,0.36
,,2008 - 2009,0.38
,,2009 - 2010,0.0
,,2010 - 2011,0.72
,,2011 - 2012,0.78
,,2012 - 2013,0.78
,,2013 - 2014,0.0
,,2014 - 2015,0.6
,,2015 - 2016,0.47
,,2016 - 2017,0.0
,,2017 - 2018,0.0
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Mohla manpur ambagarh chouki,2022 - 2023,
,Mungeli,2019 - 2020,
,,2022 - 2023,
,Narayanpur,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Raigarh,2000 - 2001,0.2
,,2001 - 2002,0.22
,,2002 - 2003,0.21
,,2003 - 2004,0.22
,,2004 - 2005,0.19
,,2005 - 2006,0.2
,,2006 - 2007,0.28
,,2007 - 2008,0.25
,,2008 - 2009,0.39
,,2009 - 2010,0.0
,,2010 - 2011,0.22
,,2011 - 2012,0.21
,,2012 - 2013,0.21
,,2013 - 2014,0.0
,,2014 - 2015,0.23
,,2015 - 2016,0.22
,,2016 - 2017,0.0
,,2017 - 2018,0.0
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Raipur,2000 - 2001,0.37
,,2001 - 2002,0.38
,,2002 - 2003,0.37
,,2003 - 2004,0.38
,,2004 - 2005,0.37
,,2005 - 2006,0.36
,,2006 - 2007,0.38
,,2007 - 2008,0.36
,,2008 - 2009,0.39
,,2009 - 2010,0.4
,,2010 - 2011,0.4
,,2011 - 2012,0.46
,,2012 - 2013,0.47
,,2013 - 2014,0.0
,,2014 - 2015,0.36
,,2015 - 2016,0.5
,,2016 - 2017,0.0
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rajnandgaon,2000 - 2001,1.01
,,2001 - 2002,0.9
,,2002 - 2003,0.9
,,2003 - 2004,0.73
,,2004 - 2005,0.83
,,2005 - 2006,0.86
,,2006 - 2007,0.93
,,2007 - 2008,0.93
,,2008 - 2009,0.8
,,2009 - 2010,0.82
,,2010 - 2011,0.91
,,2011 - 2012,0.91
,,2012 - 2013,0.77
,,2013 - 2014,0.29
,,2014 - 2015,0.7
,,2015 - 2016,0.88
,,2016 - 2017,0.0
,,2017 - 2018,0.0
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sakti,2022 - 2023,
,Sarangarh bilaigarh,2022 - 2023,
,Sukma,2014 - 2015,0.4
,,2019 - 2020,
,Surajpur,2011 - 2012,0.25
,,2012 - 2013,0.25
,,2013 - 2014,0.22
,,2014 - 2015,0.33
,,2015 - 2016,0.33
,,2016 - 2017,0.2
,,2017 - 2018,0.5
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,Surguja,2001 - 2002,0.3
,,2002 - 2003,0.27
,,2003 - 2004,0.29
,,2004 - 2005,0.3
,,2005 - 2006,0.25
,,2006 - 2007,0.29
,,2007 - 2008,0.3
,,2008 - 2009,0.32
,,2009 - 2010,0.25
,,2010 - 2011,0.29
,,2011 - 2012,0.29
,,2012 - 2013,0.33
,,2013 - 2014,0.19
,,2014 - 2015,0.33
,,2015 - 2016,0.32
,,2016 - 2017,0.08
,,2017 - 2018,0.09
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Haryana,Ambala,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.69
,,2011 - 2012,1.92
,,2012 - 2013,2.17
,,2013 - 2014,1.0
,,2014 - 2015,2.05
,,2015 - 2016,1.97
,,2016 - 2017,1.67
,,2017 - 2018,1.82
,,2018 - 2019,2.04
,,2019 - 2020,2.03
,,2020 - 2021,1.93
,,2021 - 2022,1.58
,Fatehabad,2010 - 2011,0.0
,Hisar,2002 - 2003,
,Jind,2002 - 2003,
,Kaithal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,Karnal,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2010 - 2011,0.0
,Kurukshetra,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.91
,,2011 - 2012,1.04
,,2012 - 2013,2.19
,,2013 - 2014,3.03
,,2014 - 2015,5.87
,,2015 - 2016,3.02
,,2016 - 2017,1.21
,,2017 - 2018,1.84
,,2018 - 2019,1.81
,,2019 - 2020,1.73
,,2020 - 2021,2.05
,,2021 - 2022,1.31
,Panchkula,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2016 - 2017,3.0
,,2017 - 2018,7.0
,,2018 - 2019,2.52
,,2019 - 2020,1.91
,,2020 - 2021,2.29
,,2021 - 2022,1.22
,Panipat,2001 - 2002,
,,2005 - 2006,
,Rewari,2003 - 2004,
,Rohtak,2003 - 2004,
,Sonipat,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,Yamunanagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.53
,,2011 - 2012,0.84
,,2012 - 2013,1.9
,,2013 - 2014,1.75
,,2014 - 2015,1.33
,,2015 - 2016,1.75
,,2016 - 2017,1.0
,,2018 - 2019,2.0
,,2019 - 2020,1.38
,,2020 - 2021,1.25
,,2021 - 2022,1.21
Jharkhand,Bokaro,2017 - 2018,0.58
,Chatra,2017 - 2018,
,,2018 - 2019,0.4
,,2019 - 2020,1.0
,,2021 - 2022,
,Deoghar,2017 - 2018,0.58
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Dumka,2017 - 2018,0.4
,,2018 - 2019,0.42
,,2019 - 2020,0.51
,,2020 - 2021,0.51
,,2021 - 2022,0.67
,East singhbum,2017 - 2018,0.66
,,2018 - 2019,0.44
,,2019 - 2020,0.42
,,2020 - 2021,0.5
,,2021 - 2022,0.6
,Garhwa,2018 - 2019,0.5
,Giridih,2019 - 2020,1.0
,,2020 - 2021,0.4
,,2021 - 2022,0.33
,Godda,2017 - 2018,0.77
,,2018 - 2019,0.76
,Gumla,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,0.24
,Khunti,2018 - 2019,
,,2021 - 2022,1.0
,Koderma,2017 - 2018,0.8
,,2018 - 2019,0.9
,,2020 - 2021,0.81
,Latehar,2017 - 2018,0.73
,,2021 - 2022,1.0
,Lohardaga,2022 - 2023,0.5
,Pakur,2017 - 2018,
,,2018 - 2019,
,Palamu,2017 - 2018,1.5
,,2018 - 2019,1.14
,,2019 - 2020,0.83
,,2020 - 2021,1.0
,,2021 - 2022,0.86
,Ranchi,2017 - 2018,
,,2021 - 2022,
,,2022 - 2023,
,Saraikela kharsawan,2017 - 2018,
,,2018 - 2019,0.45
,,2019 - 2020,0.67
,,2020 - 2021,0.53
,,2021 - 2022,0.53
,,2022 - 2023,0.55
,Simdega,2017 - 2018,0.8
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,1.0
,West singhbhum,2020 - 2021,
,,2021 - 2022,0.52
,,2022 - 2023,0.83
Karnataka,Bagalkot,2000 - 2001,0.64
,,2001 - 2002,0.8
,,2002 - 2003,0.51
,,2003 - 2004,0.79
,,2004 - 2005,0.57
,,2005 - 2006,0.53
,,2006 - 2007,0.28
,,2007 - 2008,0.58
,,2008 - 2009,0.51
,,2009 - 2010,0.2
,,2010 - 2011,0.55
,,2011 - 2012,0.48
,,2012 - 2013,0.53
,,2013 - 2014,0.55
,,2014 - 2015,0.63
,,2015 - 2016,0.54
,,2016 - 2017,0.53
,,2017 - 2018,1.08
,,2018 - 2019,1.0
,,2019 - 2020,0.81
,,2020 - 2021,0.99
,,2021 - 2022,0.9
,,2022 - 2023,0.91
,Bangalore rural,2000 - 2001,0.63
,,2001 - 2002,0.65
,,2002 - 2003,0.75
,,2003 - 2004,0.67
,,2004 - 2005,0.5
,,2005 - 2006,0.73
,,2006 - 2007,0.58
,,2007 - 2008,0.4
,,2008 - 2009,0.34
,,2009 - 2010,0.25
,,2010 - 2011,0.69
,,2011 - 2012,0.33
,,2012 - 2013,0.57
,,2013 - 2014,0.62
,,2014 - 2015,0.56
,,2015 - 2016,0.5
,,2018 - 2019,1.0
,,2019 - 2020,0.71
,,2020 - 2021,0.8
,,2021 - 2022,0.8
,,2022 - 2023,1.0
,Belgaum,2000 - 2001,0.59
,,2001 - 2002,0.78
,,2002 - 2003,0.48
,,2003 - 2004,0.73
,,2004 - 2005,0.71
,,2005 - 2006,0.46
,,2006 - 2007,0.72
,,2007 - 2008,0.66
,,2008 - 2009,0.72
,,2009 - 2010,0.43
,,2010 - 2011,0.85
,,2011 - 2012,0.97
,,2012 - 2013,0.54
,,2013 - 2014,0.6
,,2014 - 2015,0.69
,,2015 - 2016,0.34
,,2016 - 2017,0.56
,,2017 - 2018,1.27
,,2018 - 2019,1.11
,,2019 - 2020,0.86
,,2020 - 2021,0.86
,,2021 - 2022,0.91
,,2022 - 2023,1.04
,Bellary,2000 - 2001,0.6
,,2001 - 2002,0.48
,,2002 - 2003,0.44
,,2003 - 2004,0.44
,,2004 - 2005,0.47
,,2005 - 2006,0.41
,,2006 - 2007,0.37
,,2007 - 2008,0.38
,,2008 - 2009,0.43
,,2009 - 2010,0.35
,,2010 - 2011,0.58
,,2011 - 2012,0.34
,,2012 - 2013,0.53
,,2013 - 2014,0.62
,,2014 - 2015,0.61
,,2015 - 2016,0.51
,,2016 - 2017,0.83
,,2017 - 2018,1.44
,,2018 - 2019,1.01
,,2019 - 2020,1.03
,,2020 - 2021,1.16
,,2021 - 2022,1.09
,,2022 - 2023,1.36
,Bengaluru urban,2000 - 2001,0.8
,,2001 - 2002,0.88
,,2002 - 2003,0.71
,,2003 - 2004,
,,2004 - 2005,0.67
,,2005 - 2006,0.75
,,2006 - 2007,0.58
,,2007 - 2008,0.78
,,2008 - 2009,0.83
,,2009 - 2010,0.6
,,2010 - 2011,1.0
,,2011 - 2012,
,,2012 - 2013,1.0
,,2014 - 2015,0.5
,,2015 - 2016,0.38
,,2016 - 2017,0.5
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,0.83
,,2020 - 2021,1.0
,,2021 - 2022,0.8
,,2022 - 2023,0.92
,Bidar,2000 - 2001,0.36
,,2001 - 2002,0.27
,,2002 - 2003,0.35
,,2003 - 2004,0.45
,,2004 - 2005,0.33
,,2005 - 2006,0.34
,,2006 - 2007,0.39
,,2007 - 2008,0.44
,,2008 - 2009,0.37
,,2009 - 2010,0.31
,,2010 - 2011,0.33
,,2011 - 2012,0.36
,,2012 - 2013,0.54
,,2013 - 2014,0.47
,,2014 - 2015,0.41
,,2015 - 2016,0.09
,,2016 - 2017,0.41
,,2017 - 2018,0.45
,,2018 - 2019,0.09
,,2019 - 2020,0.18
,,2020 - 2021,0.02
,,2021 - 2022,0.84
,,2022 - 2023,1.0
,Bijapur,2000 - 2001,0.49
,,2001 - 2002,0.46
,,2002 - 2003,0.41
,,2003 - 2004,0.49
,,2004 - 2005,0.35
,,2005 - 2006,0.29
,,2006 - 2007,0.18
,,2007 - 2008,0.39
,,2008 - 2009,0.38
,,2009 - 2010,0.27
,,2010 - 2011,0.33
,,2011 - 2012,0.31
,,2012 - 2013,0.47
,,2013 - 2014,0.52
,,2014 - 2015,0.5
,,2015 - 2016,0.29
,,2016 - 2017,0.86
,,2017 - 2018,0.91
,,2018 - 2019,0.59
,,2019 - 2020,0.51
,,2020 - 2021,0.93
,,2021 - 2022,0.99
,,2022 - 2023,0.81
,Chamarajanagar,2000 - 2001,0.44
,,2001 - 2002,0.33
,,2002 - 2003,0.22
,,2003 - 2004,0.16
,,2004 - 2005,0.54
,,2005 - 2006,0.36
,,2006 - 2007,0.52
,,2007 - 2008,0.32
,,2008 - 2009,0.66
,,2009 - 2010,0.21
,,2010 - 2011,0.43
,,2011 - 2012,0.48
,,2012 - 2013,0.12
,,2013 - 2014,0.52
,,2014 - 2015,0.24
,,2015 - 2016,0.31
,,2016 - 2017,0.33
,,2017 - 2018,0.73
,,2018 - 2019,0.97
,,2019 - 2020,0.79
,,2020 - 2021,1.05
,,2021 - 2022,0.97
,,2022 - 2023,1.14
,Chikballapur,2007 - 2008,0.4
,,2008 - 2009,0.5
,,2009 - 2010,0.44
,,2010 - 2011,0.53
,,2011 - 2012,0.62
,,2012 - 2013,0.5
,,2013 - 2014,0.6
,,2014 - 2015,0.6
,,2015 - 2016,0.44
,,2016 - 2017,0.5
,,2017 - 2018,1.0
,,2019 - 2020,0.67
,,2020 - 2021,0.75
,,2021 - 2022,0.83
,,2022 - 2023,0.98
,Chikmagalur,2000 - 2001,0.72
,,2001 - 2002,0.5
,,2002 - 2003,0.25
,,2003 - 2004,0.2
,,2004 - 2005,0.61
,,2005 - 2006,0.77
,,2006 - 2007,0.4
,,2007 - 2008,0.7
,,2008 - 2009,0.43
,,2009 - 2010,0.46
,,2010 - 2011,0.61
,,2011 - 2012,0.34
,,2012 - 2013,0.29
,,2013 - 2014,0.43
,,2014 - 2015,0.45
,,2015 - 2016,0.31
,,2016 - 2017,0.84
,,2017 - 2018,0.64
,,2018 - 2019,0.72
,,2019 - 2020,0.94
,,2020 - 2021,0.95
,,2021 - 2022,0.8
,,2022 - 2023,0.82
,Chitradurga,2000 - 2001,0.63
,,2001 - 2002,0.72
,,2002 - 2003,0.48
,,2003 - 2004,0.47
,,2004 - 2005,0.58
,,2005 - 2006,0.48
,,2006 - 2007,0.51
,,2007 - 2008,0.54
,,2008 - 2009,0.4
,,2009 - 2010,0.36
,,2010 - 2011,0.57
,,2011 - 2012,0.3
,,2012 - 2013,0.47
,,2013 - 2014,0.48
,,2014 - 2015,0.51
,,2015 - 2016,0.5
,,2016 - 2017,0.26
,,2017 - 2018,1.17
,,2018 - 2019,0.61
,,2019 - 2020,0.53
,,2020 - 2021,0.8
,,2021 - 2022,0.72
,,2022 - 2023,0.9
,Davangere,2000 - 2001,0.61
,,2001 - 2002,0.5
,,2002 - 2003,0.41
,,2003 - 2004,0.42
,,2004 - 2005,0.55
,,2005 - 2006,0.4
,,2006 - 2007,0.61
,,2007 - 2008,0.52
,,2008 - 2009,0.58
,,2009 - 2010,0.57
,,2010 - 2011,0.59
,,2011 - 2012,0.6
,,2012 - 2013,0.72
,,2013 - 2014,0.5
,,2014 - 2015,0.67
,,2015 - 2016,0.71
,,2016 - 2017,0.53
,,2017 - 2018,0.84
,,2018 - 2019,0.93
,,2019 - 2020,0.65
,,2020 - 2021,0.4
,,2021 - 2022,0.94
,,2022 - 2023,0.88
,Dharwad,2000 - 2001,0.33
,,2001 - 2002,0.38
,,2002 - 2003,0.39
,,2003 - 2004,0.45
,,2004 - 2005,0.76
,,2005 - 2006,0.44
,,2006 - 2007,0.56
,,2007 - 2008,0.44
,,2008 - 2009,0.41
,,2009 - 2010,0.24
,,2010 - 2011,0.41
,,2011 - 2012,0.34
,,2012 - 2013,0.5
,,2013 - 2014,0.57
,,2014 - 2015,0.57
,,2015 - 2016,0.38
,,2016 - 2017,
,,2017 - 2018,1.01
,,2018 - 2019,0.85
,,2019 - 2020,0.76
,,2020 - 2021,0.85
,,2021 - 2022,0.85
,,2022 - 2023,1.0
,Gadag,2000 - 2001,0.51
,,2001 - 2002,0.35
,,2002 - 2003,0.25
,,2003 - 2004,0.47
,,2004 - 2005,0.48
,,2005 - 2006,0.41
,,2006 - 2007,0.22
,,2007 - 2008,0.32
,,2008 - 2009,0.33
,,2009 - 2010,0.27
,,2010 - 2011,0.41
,,2011 - 2012,0.37
,,2012 - 2013,0.44
,,2013 - 2014,0.52
,,2014 - 2015,0.57
,,2015 - 2016,0.32
,,2016 - 2017,0.47
,,2017 - 2018,0.95
,,2018 - 2019,0.38
,,2019 - 2020,0.53
,,2020 - 2021,0.46
,,2021 - 2022,0.59
,,2022 - 2023,0.59
,Gulbarga,2000 - 2001,0.46
,,2001 - 2002,0.42
,,2002 - 2003,0.66
,,2003 - 2004,0.53
,,2004 - 2005,0.37
,,2005 - 2006,0.4
,,2006 - 2007,0.21
,,2007 - 2008,0.45
,,2008 - 2009,0.37
,,2009 - 2010,0.23
,,2010 - 2011,0.37
,,2011 - 2012,0.48
,,2012 - 2013,0.51
,,2013 - 2014,0.59
,,2014 - 2015,0.59
,,2015 - 2016,0.29
,,2016 - 2017,0.44
,,2017 - 2018,1.17
,,2018 - 2019,1.0
,,2019 - 2020,1.05
,,2020 - 2021,0.65
,,2021 - 2022,0.73
,,2022 - 2023,0.78
,Hassan,2000 - 2001,0.89
,,2001 - 2002,0.95
,,2002 - 2003,0.39
,,2003 - 2004,0.26
,,2004 - 2005,0.87
,,2005 - 2006,0.81
,,2006 - 2007,0.35
,,2007 - 2008,0.59
,,2008 - 2009,0.54
,,2009 - 2010,0.53
,,2010 - 2011,0.83
,,2011 - 2012,0.99
,,2012 - 2013,0.32
,,2013 - 2014,0.42
,,2014 - 2015,0.76
,,2015 - 2016,0.57
,,2016 - 2017,0.41
,,2017 - 2018,0.7
,,2018 - 2019,0.5
,,2019 - 2020,0.75
,,2020 - 2021,0.53
,,2021 - 2022,0.43
,,2022 - 2023,0.78
,Haveri,2000 - 2001,0.51
,,2001 - 2002,0.46
,,2002 - 2003,0.36
,,2003 - 2004,0.26
,,2004 - 2005,0.51
,,2005 - 2006,0.45
,,2006 - 2007,0.34
,,2007 - 2008,0.5
,,2008 - 2009,0.46
,,2009 - 2010,0.53
,,2010 - 2011,0.43
,,2011 - 2012,0.58
,,2012 - 2013,0.19
,,2013 - 2014,0.5
,,2014 - 2015,0.16
,,2015 - 2016,0.27
,,2016 - 2017,0.59
,,2017 - 2018,1.27
,,2018 - 2019,0.25
,,2019 - 2020,0.46
,,2020 - 2021,0.61
,,2021 - 2022,0.56
,,2022 - 2023,0.47
,Kodagu,2012 - 2013,0.5
,Kolar,2000 - 2001,0.7
,,2001 - 2002,0.75
,,2002 - 2003,0.74
,,2003 - 2004,0.58
,,2004 - 2005,0.68
,,2005 - 2006,0.98
,,2006 - 2007,0.32
,,2007 - 2008,0.76
,,2008 - 2009,0.58
,,2009 - 2010,0.35
,,2010 - 2011,0.43
,,2011 - 2012,0.38
,,2012 - 2013,
,,2018 - 2019,1.0
,,2019 - 2020,0.75
,,2020 - 2021,1.0
,,2021 - 2022,0.67
,,2022 - 2023,1.0
,Koppal,2000 - 2001,0.5
,,2001 - 2002,0.44
,,2002 - 2003,0.42
,,2003 - 2004,0.39
,,2004 - 2005,0.39
,,2005 - 2006,0.41
,,2006 - 2007,0.16
,,2007 - 2008,0.4
,,2008 - 2009,0.35
,,2009 - 2010,0.22
,,2010 - 2011,0.51
,,2011 - 2012,0.52
,,2012 - 2013,0.84
,,2013 - 2014,0.93
,,2014 - 2015,0.72
,,2015 - 2016,0.45
,,2016 - 2017,0.38
,,2017 - 2018,1.01
,,2018 - 2019,0.62
,,2019 - 2020,0.7
,,2020 - 2021,0.86
,,2021 - 2022,0.71
,,2022 - 2023,0.64
,Mandya,2000 - 2001,0.45
,,2001 - 2002,0.43
,,2002 - 2003,
,,2003 - 2004,0.5
,,2004 - 2005,0.38
,,2005 - 2006,0.36
,,2006 - 2007,0.63
,,2007 - 2008,0.73
,,2010 - 2011,
,,2012 - 2013,0.5
,,2013 - 2014,0.63
,,2014 - 2015,0.58
,,2015 - 2016,0.33
,,2016 - 2017,0.5
,,2017 - 2018,1.0
,,2018 - 2019,0.75
,,2019 - 2020,0.8
,,2020 - 2021,0.86
,,2021 - 2022,0.85
,,2022 - 2023,1.0
,Mysore,2000 - 2001,0.3
,,2001 - 2002,0.57
,,2002 - 2003,0.39
,,2003 - 2004,0.38
,,2004 - 2005,0.42
,,2005 - 2006,0.35
,,2006 - 2007,0.3
,,2007 - 2008,0.47
,,2008 - 2009,0.58
,,2009 - 2010,0.5
,,2010 - 2011,0.91
,,2011 - 2012,0.7
,,2012 - 2013,0.32
,,2013 - 2014,0.64
,,2014 - 2015,1.19
,,2015 - 2016,0.6
,,2016 - 2017,0.25
,,2017 - 2018,0.79
,,2018 - 2019,1.12
,,2019 - 2020,0.32
,,2020 - 2021,0.49
,,2021 - 2022,0.75
,,2022 - 2023,0.55
,Raichur,2000 - 2001,0.38
,,2001 - 2002,0.29
,,2002 - 2003,0.35
,,2003 - 2004,0.36
,,2004 - 2005,0.22
,,2005 - 2006,0.38
,,2006 - 2007,0.17
,,2007 - 2008,0.49
,,2008 - 2009,0.45
,,2009 - 2010,0.21
,,2010 - 2011,0.5
,,2011 - 2012,0.37
,,2012 - 2013,0.54
,,2013 - 2014,0.56
,,2014 - 2015,0.45
,,2015 - 2016,0.4
,,2016 - 2017,0.87
,,2017 - 2018,0.87
,,2018 - 2019,0.75
,,2019 - 2020,0.67
,,2020 - 2021,0.93
,,2021 - 2022,0.74
,,2022 - 2023,1.59
,Ramanagara,2007 - 2008,0.41
,,2008 - 2009,0.34
,,2009 - 2010,0.23
,,2010 - 2011,0.48
,,2011 - 2012,0.79
,,2012 - 2013,0.5
,,2013 - 2014,0.58
,,2014 - 2015,0.5
,,2015 - 2016,0.38
,,2016 - 2017,0.67
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,0.83
,,2021 - 2022,0.88
,,2022 - 2023,1.0
,Shimoga,2000 - 2001,0.49
,,2001 - 2002,0.39
,,2002 - 2003,0.38
,,2003 - 2004,0.38
,,2004 - 2005,0.33
,,2005 - 2006,0.35
,,2006 - 2007,0.19
,,2007 - 2008,0.42
,,2008 - 2009,0.35
,,2009 - 2010,0.22
,,2010 - 2011,
,,2011 - 2012,0.33
,,2012 - 2013,0.52
,,2013 - 2014,0.5
,,2014 - 2015,0.54
,,2015 - 2016,0.36
,,2016 - 2017,0.63
,,2017 - 2018,
,,2018 - 2019,0.83
,,2019 - 2020,
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,
,Tumkur,2000 - 2001,0.77
,,2001 - 2002,0.7
,,2002 - 2003,0.48
,,2003 - 2004,0.61
,,2004 - 2005,1.47
,,2005 - 2006,0.77
,,2006 - 2007,0.62
,,2007 - 2008,0.58
,,2008 - 2009,0.82
,,2009 - 2010,0.66
,,2010 - 2011,0.95
,,2011 - 2012,0.9
,,2012 - 2013,0.89
,,2013 - 2014,0.66
,,2014 - 2015,0.71
,,2015 - 2016,0.68
,,2016 - 2017,0.54
,,2017 - 2018,0.45
,,2018 - 2019,0.7
,,2019 - 2020,0.88
,,2020 - 2021,0.62
,,2021 - 2022,0.9
,,2022 - 2023,1.41
,Udupi,2005 - 2006,
,,2006 - 2007,
,Uttar kannad,2000 - 2001,0.1
,,2001 - 2002,0.0
,,2002 - 2003,0.5
,,2003 - 2004,0.8
,,2004 - 2005,0.77
,,2005 - 2006,0.67
,,2006 - 2007,0.58
,,2007 - 2008,0.75
,,2008 - 2009,0.75
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,1.0
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Vijayanagar,2022 - 2023,1.04
,Yadgir,2010 - 2011,0.38
,,2011 - 2012,0.27
,,2012 - 2013,0.38
,,2013 - 2014,0.48
,,2014 - 2015,0.5
,,2015 - 2016,0.26
,,2016 - 2017,0.34
,,2017 - 2018,1.15
,,2018 - 2019,0.7
,,2019 - 2020,0.97
,,2020 - 2021,0.88
,,2021 - 2022,1.36
,,2022 - 2023,0.68
Kerala,Alappuzha,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Malappuram,2022 - 2023,
,Palakkad,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Thrissur,2021 - 2022,
,Wayanad,2022 - 2023,
Madhya Pradesh,Anuppur,2006 - 2007,0.25
,Ashoknagar,2013 - 2014,
,,2016 - 2017,
,Balaghat,2000 - 2001,0.25
,,2002 - 2003,0.23
,,2003 - 2004,0.23
,,2004 - 2005,0.29
,,2006 - 2007,0.29
,,2007 - 2008,
,,2008 - 2009,0.23
,,2009 - 2010,
,,2010 - 2011,0.29
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Barwani,2000 - 2001,0.34
,,2004 - 2005,0.33
,,2005 - 2006,0.14
,,2006 - 2007,0.22
,,2007 - 2008,
,,2008 - 2009,0.0
,,2010 - 2011,0.14
,,2012 - 2013,
,Betul,2000 - 2001,0.24
,,2001 - 2002,0.27
,,2002 - 2003,0.29
,,2003 - 2004,0.33
,,2004 - 2005,0.32
,,2005 - 2006,0.32
,,2006 - 2007,0.34
,,2007 - 2008,
,,2008 - 2009,0.38
,,2009 - 2010,
,Burhanpur,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.33
,,2006 - 2007,0.5
,,2007 - 2008,
,,2008 - 2009,0.5
,,2013 - 2014,
