state,district,year,sunflower_rabi_yield_tonne_per_hectare
,,2012 - 2013,1.47
,,2013 - 2014,1.47
,,2014 - 2015,1.5
,,2015 - 2016,1.5
,,2016 - 2017,1.5
,,2017 - 2018,1.5
,,2018 - 2019,1.5
,,2019 - 2020,1.0
,Nalanda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.29
,,2007 - 2008,1.41
,,2008 - 2009,1.41
,,2009 - 2010,1.41
,,2010 - 2011,1.43
,,2011 - 2012,1.45
,,2012 - 2013,1.46
,,2013 - 2014,1.4
,,2014 - 2015,1.4
,,2015 - 2016,1.41
,,2016 - 2017,1.43
,,2017 - 2018,1.42
,,2018 - 2019,1.48
,,2019 - 2020,1.45
,,2020 - 2021,1.43
,,2021 - 2022,1.44
,,2022 - 2023,1.44
,Nawada,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.35
,,2007 - 2008,1.31
,,2008 - 2009,1.31
,,2009 - 2010,1.5
,,2010 - 2011,1.44
,,2011 - 2012,1.47
,,2012 - 2013,1.5
,,2013 - 2014,1.27
,,2014 - 2015,1.4
,,2015 - 2016,1.14
,,2016 - 2017,1.14
,,2017 - 2018,1.45
,,2018 - 2019,1.44
,,2019 - 2020,1.46
,,2020 - 2021,1.45
,,2021 - 2022,1.45
,,2022 - 2023,1.45
,Pashchim champaran,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.4
,,2007 - 2008,1.35
,,2008 - 2009,1.35
,,2009 - 2010,1.4
,,2010 - 2011,1.43
,,2011 - 2012,1.49
,,2012 - 2013,1.49
,,2013 - 2014,1.43
,,2014 - 2015,1.47
,,2015 - 2016,1.43
,,2016 - 2017,1.43
,,2017 - 2018,1.36
,,2018 - 2019,1.43
,,2019 - 2020,1.43
,,2020 - 2021,1.38
,,2021 - 2022,1.5
,,2022 - 2023,1.5
,Patna,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.37
,,2007 - 2008,1.79
,,2008 - 2009,1.79
,,2009 - 2010,1.41
,,2010 - 2011,1.43
,,2011 - 2012,1.5
,,2012 - 2013,1.45
,,2013 - 2014,1.44
,,2014 - 2015,1.47
,,2015 - 2016,1.46
,,2016 - 2017,1.5
,,2017 - 2018,1.45
,,2018 - 2019,1.46
,,2019 - 2020,1.47
,,2020 - 2021,1.48
,,2021 - 2022,1.5
,,2022 - 2023,1.96
,Purbi champaran,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.31
,,2007 - 2008,1.32
,,2008 - 2009,1.32
,,2009 - 2010,1.39
,,2010 - 2011,1.44
,,2011 - 2012,1.5
,,2012 - 2013,1.44
,,2013 - 2014,1.47
,,2014 - 2015,1.43
,,2015 - 2016,1.27
,,2016 - 2017,1.27
,,2017 - 2018,1.27
,,2018 - 2019,1.3
,,2019 - 2020,1.3
,,2020 - 2021,1.3
,,2021 - 2022,1.4
,,2022 - 2023,1.27
,Purnia,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.35
,,2007 - 2008,1.37
,,2008 - 2009,1.37
,,2009 - 2010,1.41
,,2010 - 2011,1.43
,,2011 - 2012,1.43
,,2012 - 2013,1.4
,,2013 - 2014,1.45
,,2014 - 2015,1.45
,,2015 - 2016,1.45
,,2016 - 2017,1.46
,,2017 - 2018,1.46
,,2018 - 2019,1.5
,,2019 - 2020,1.47
,,2020 - 2021,1.46
,,2021 - 2022,1.5
,,2022 - 2023,1.48
,Rohtas,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,2.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.5
,Saharsa,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.39
,,2007 - 2008,1.42
,,2008 - 2009,1.42
,,2009 - 2010,1.41
,,2010 - 2011,1.44
,,2011 - 2012,1.46
,,2012 - 2013,1.43
,,2013 - 2014,1.44
,,2014 - 2015,1.43
,,2015 - 2016,1.42
,,2016 - 2017,1.43
,,2017 - 2018,1.43
,,2018 - 2019,1.43
,,2019 - 2020,1.43
,,2020 - 2021,1.43
,,2021 - 2022,1.42
,,2022 - 2023,1.4
,Samastipur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
