state,district,year,sunflower_rabi_yield_tonne_per_hectare
,,2002 - 2003,0.08
,,2003 - 2004,0.33
,,2004 - 2005,0.49
,,2019 - 2020,1.2
,Puri,2001 - 2002,0.4
,,2002 - 2003,0.3
,,2003 - 2004,0.47
,,2004 - 2005,0.38
,,2019 - 2020,1.22
,Rayagada,2000 - 2001,0.3
,,2001 - 2002,0.32
,,2002 - 2003,0.31
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2019 - 2020,1.28
,Sambalpur,2000 - 2001,0.57
,,2001 - 2002,0.5
,,2002 - 2003,0.46
,,2003 - 2004,0.46
,,2004 - 2005,0.47
,,2019 - 2020,1.21
,Sonepur,2000 - 2001,0.89
,,2001 - 2002,0.9
,,2002 - 2003,0.91
,,2003 - 2004,0.91
,,2004 - 2005,0.97
,,2019 - 2020,1.23
,Sundargarh,2000 - 2001,0.71
,,2001 - 2002,1.09
,,2002 - 2003,0.57
,,2003 - 2004,0.47
,,2004 - 2005,0.52
,,2019 - 2020,1.25
Puducherry,Karaikal,2007 - 2008,
,Pondicherry,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
Punjab,Amritsar,2003 - 2004,2.0
,Fatehgarh sahib,2012 - 2013,2.2
,,2016 - 2017,1.7
,,2017 - 2018,1.75
,,2018 - 2019,2.15
,,2019 - 2020,1.96
,,2020 - 2021,1.8
,,2022 - 2023,1.86
,Hoshiarpur,2003 - 2004,1.71
,,2012 - 2013,2.2
,,2016 - 2017,1.43
,Jalandhar,2003 - 2004,1.6
,,2012 - 2013,1.63
,,2016 - 2017,1.5
,,2017 - 2018,1.5
,Kapurthala,2003 - 2004,1.5
,,2012 - 2013,1.69
,,2016 - 2017,1.5
,,2017 - 2018,2.0
,,2021 - 2022,2.0
,Ludhiana,2003 - 2004,2.0
,,2012 - 2013,1.75
,,2016 - 2017,1.92
,,2017 - 2018,2.08
,,2018 - 2019,1.9
,,2019 - 2020,2.0
,Nawanshahr,2003 - 2004,2.0
,,2012 - 2013,2.0
,,2016 - 2017,1.25
,,2017 - 2018,2.0
,,2019 - 2020,2.0
,Patiala,2003 - 2004,1.5
,,2012 - 2013,1.6
,,2016 - 2017,1.71
,,2017 - 2018,2.07
,,2018 - 2019,1.8
,,2019 - 2020,1.73
,,2020 - 2021,1.86
,,2021 - 2022,1.67
,,2022 - 2023,2.0
,Rupnagar,2003 - 2004,2.0
,S.a.s nagar,2012 - 2013,2.22
,,2016 - 2017,1.75
,,2017 - 2018,1.83
,,2018 - 2019,1.7
,,2019 - 2020,1.67
,,2020 - 2021,1.67
,,2022 - 2023,2.0
,Sangrur,2012 - 2013,2.0
,Tarn taran,2012 - 2013,2.0
Rajasthan,Ajmer,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,Baran,2000 - 2001,
,,2005 - 2006,
,Barmer,2003 - 2004,
,,2004 - 2005,
,Bharatpur,2003 - 2004,
,Bhilwara,2004 - 2005,
,,2006 - 2007,1.0
,Bikaner,2006 - 2007,0.29
,Bundi,2000 - 2001,
,,2001 - 2002,
,Chittorgarh,2000 - 2001,
,,2001 - 2002,
,Dungarpur,2001 - 2002,
,,2003 - 2004,
,Ganganagar,2003 - 2004,
,,2004 - 2005,
,,2007 - 2008,0.0
,,2012 - 2013,
,Hanumangarh,2002 - 2003,
,Jaisalmer,2004 - 2005,
,Jalore,2002 - 2003,
,,2019 - 2020,
,Jhalawar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,Jhunjhunu,2005 - 2006,
,,2006 - 2007,1.0
,Jodhpur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,2.5
,,2007 - 2008,2.5
,Karauli,2007 - 2008,2.0
,Kota,2000 - 2001,
,,2003 - 2004,
,Nagaur,2000 - 2001,
,,2005 - 2006,
,,2006 - 2007,0.0
,,2010 - 2011,
,,2013 - 2014,
,Pali,2011 - 2012,
,Rajsamand,2003 - 2004,
Tamil Nadu,Ariyalur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,0.24
,,2017 - 2018,
,,2018 - 2019,0.5
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,1.0
,,2022 - 2023,
,Coimbatore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,1.5
,,2015 - 2016,
,,2017 - 2018,1.0
,,2018 - 2019,0.0
,,2019 - 2020,0.0
,Cuddalore,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.0
,,2014 - 2015,
,,2015 - 2016,1.0
,,2016 - 2017,0.25
,,2017 - 2018,1.0
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dharmapuri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,3.64
,,2014 - 2015,1.37
,,2015 - 2016,0.96
,,2016 - 2017,0.0
,,2017 - 2018,0.78
,Dindigul,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.53
,,2014 - 2015,1.3
,,2015 - 2016,1.16
,,2016 - 2017,0.86
,,2017 - 2018,1.26
,,2018 - 2019,0.65
,,2019 - 2020,1.35
,,2020 - 2021,0.85
,,2021 - 2022,1.33
,,2022 - 2023,1.15
,Erode,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.0
,,2014 - 2015,1.36
,,2015 - 2016,0.96
,,2017 - 2018,0.75
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,0.5
,,2021 - 2022,1.0
,,2022 - 2023,0.82
,Kanchipuram,2000 - 2001,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,1.0
,,2014 - 2015,1.25
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Karur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.84
,,2014 - 2015,1.64
,,2015 - 2016,1.0
,,2016 - 2017,
,,2017 - 2018,1.6
,,2018 - 2019,0.57
,,2019 - 2020,2.16
,,2020 - 2021,1.33
,,2021 - 2022,1.41
,,2022 - 2023,1.31
,Krishnagiri,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2015 - 2016,1.0
,,2017 - 2018,
,Madurai,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.0
,,2014 - 2015,1.37
,,2015 - 2016,0.95
,,2016 - 2017,0.23
,,2017 - 2018,0.67
,,2018 - 2019,0.9
,,2019 - 2020,0.92
,,2020 - 2021,
,,2021 - 2022,0.82
,,2022 - 2023,0.71
,Nagapattinam,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,Namakkal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,4.33
,,2014 - 2015,1.36
,,2015 - 2016,1.0
,,2016 - 2017,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,0.8
,Perambalur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.0
,,2014 - 2015,1.36
,,2015 - 2016,0.94
,,2016 - 2017,0.21
,,2017 - 2018,0.78
,,2018 - 2019,0.63
,,2019 - 2020,
,,2020 - 2021,0.0
,,2021 - 2022,0.75
,,2022 - 2023,0.77
,Pudukkottai,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,1.0
,,2016 - 2017,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Ramanathapuram,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.99
,,2014 - 2015,1.37
,,2015 - 2016,0.95
,,2016 - 2017,0.23
,,2017 - 2018,0.25
,,2018 - 2019,0.14
,,2019 - 2020,0.4
,,2020 - 2021,0.91
,,2021 - 2022,0.29
,,2022 - 2023,0.25
,Salem,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.0
,,2014 - 2015,1.33
,,2015 - 2016,0.93
,,2016 - 2017,0.0
,,2017 - 2018,0.75
,,2018 - 2019,0.5
,,2019 - 2020,0.91
,,2021 - 2022,0.67
,,2022 - 2023,0.78
,Sivaganga,2000 - 2001,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2013 - 2014,
,,2014 - 2015,1.0
,Thanjavur,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.0
,,2014 - 2015,1.33
,,2015 - 2016,
,,2016 - 2017,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,The nilgiris,2000 - 2001,
,Theni,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.0
,,2014 - 2015,1.25
,,2015 - 2016,
,,2016 - 2017,0.25
,,2017 - 2018,
,,2018 - 2019,0.6
,,2020 - 2021,
,,2022 - 2023,0.75
,Thenkasi,2020 - 2021,0.48
,,2021 - 2022,0.77
,,2022 - 2023,1.04
,Thiruvallur,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.0
,,2014 - 2015,1.33
,,2015 - 2016,1.0
,,2018 - 2019,0.5
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.77
,,2022 - 2023,0.8
,Thiruvarur,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2019 - 2020,0.93
,,2020 - 2021,
,Thoothukudi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.61
,,2014 - 2015,1.07
,,2015 - 2016,0.78
,,2016 - 2017,0.12
,,2017 - 2018,0.64
,,2018 - 2019,0.46
,,2019 - 2020,0.63
,,2020 - 2021,0.17
,,2021 - 2022,0.46
,,2022 - 2023,0.52
,Tiruchirappalli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.34
,,2014 - 2015,2.14
,,2015 - 2016,1.0
,,2016 - 2017,0.23
,,2017 - 2018,0.8
,,2018 - 2019,
,,2019 - 2020,0.94
,,2020 - 2021,0.48
,,2021 - 2022,0.76
,,2022 - 2023,2.04
,Tirunelveli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.38
,,2014 - 2015,2.07
,,2015 - 2016,1.65
,,2016 - 2017,0.25
,,2017 - 2018,0.52
,,2018 - 2019,0.59
,,2019 - 2020,0.9
,,2020 - 2021,
,,2021 - 2022,1.0
,,2022 - 2023,
,Tirupathur,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tiruppur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.56
,,2014 - 2015,1.65
,,2015 - 2016,1.45
,,2016 - 2017,0.33
,,2017 - 2018,0.8
,,2018 - 2019,0.54
,,2019 - 2020,1.0
,,2020 - 2021,0.33
,,2021 - 2022,0.77
,,2022 - 2023,0.77
,Tiruvannamalai,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.56
,,2014 - 2015,1.81
,,2015 - 2016,1.37
,,2016 - 2017,1.37
,,2017 - 2018,1.72
,,2018 - 2019,0.64
,,2019 - 2020,2.43
,,2020 - 2021,1.46
,,2021 - 2022,1.5
,,2022 - 2023,
,Vellore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.0
,,2014 - 2015,1.33
,,2015 - 2016,0.95
,,2016 - 2017,0.0
,,2017 - 2018,1.0
,,2018 - 2019,0.5
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,1.0
,Villupuram,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.61
,,2014 - 2015,1.71
,,2015 - 2016,0.95
,,2016 - 2017,0.23
,,2017 - 2018,0.79
,,2018 - 2019,
,,2019 - 2020,1.94
,,2020 - 2021,
,,2022 - 2023,0.75
,Virudhunagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.45
,,2014 - 2015,1.36
,,2015 - 2016,0.94
,,2016 - 2017,0.28
,,2017 - 2018,1.01
,,2018 - 2019,0.74
,,2019 - 2020,1.08
,,2020 - 2021,0.61
,,2021 - 2022,0.81
,,2022 - 2023,0.85
Telangana,Adilabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.53
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,1.14
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,1.61
,,2014 - 2015,0.93
,,2015 - 2016,0.83
,,2016 - 2017,1.79
,,2017 - 2018,2.13
,,2018 - 2019,1.95
,,2020 - 2021,4.5
,,2021 - 2022,1.33
,,2022 - 2023,1.87
,Bhadradri,2017 - 2018,2.14
,,2018 - 2019,2.0
,,2020 - 2021,2.67
,,2021 - 2022,1.36
,,2022 - 2023,1.86
,Jagitial,2016 - 2017,1.77
,,2020 - 2021,4.0
,,2021 - 2022,1.4
,,2022 - 2023,2.0
,Jangoan,2016 - 2017,1.8
,,2020 - 2021,2.83
,,2021 - 2022,1.36
,,2022 - 2023,1.86
,Jayashankar,2017 - 2018,2.0
,,2020 - 2021,2.86
,,2021 - 2022,1.36
,Jogulamba,2016 - 2017,1.78
,,2017 - 2018,2.0
,,2019 - 2020,2.22
,,2020 - 2021,2.79
,,2021 - 2022,1.36
,,2022 - 2023,1.86
,Kamareddy,2016 - 2017,1.79
,,2017 - 2018,2.13
,,2018 - 2019,1.96
,,2019 - 2020,2.23
,,2020 - 2021,2.68
,,2021 - 2022,1.36
,,2022 - 2023,1.93
,Karimnagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.01
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,2.0
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,1.44
,,2014 - 2015,1.49
,,2015 - 2016,1.38
,,2018 - 2019,2.0
,,2019 - 2020,2.0
,,2020 - 2021,2.67
,,2021 - 2022,1.36
,,2022 - 2023,1.87
,Khammam,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.57
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,1.0
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,0.96
,,2014 - 2015,1.43
,,2015 - 2016,1.18
,,2016 - 2017,1.79
,,2017 - 2018,2.11
,,2018 - 2019,2.0
,,2020 - 2021,2.65
,,2021 - 2022,1.36
,,2022 - 2023,1.89
,Komaram bheem asifabad,2016 - 2017,1.8
,,2019 - 2020,2.0
,,2020 - 2021,2.57
,,2021 - 2022,1.36
,,2022 - 2023,2.0
,Mahabubabad,2018 - 2019,2.0
,,2020 - 2021,2.66
,,2021 - 2022,1.36
,,2022 - 2023,1.87
,Mahbubnagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.5
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.76
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,0.67
,,2013 - 2014,1.05
,,2014 - 2015,0.71
,,2015 - 2016,0.48
,,2016 - 2017,1.8
,,2017 - 2018,2.14
,,2020 - 2021,2.92
,,2021 - 2022,1.4
,,2022 - 2023,1.75
,Mancherial,2020 - 2021,2.74
,,2021 - 2022,1.36
,,2022 - 2023,2.0
,Medak,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.76
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,1.56
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,1.55
,,2013 - 2014,1.26
,,2014 - 2015,1.74
,,2015 - 2016,1.46
,,2016 - 2017,1.79
,,2017 - 2018,1.42
,,2018 - 2019,1.97
,,2019 - 2020,2.23
,,2020 - 2021,2.68
,,2021 - 2022,0.8
,,2022 - 2023,2.03
,Medchal,2016 - 2017,2.0
,,2017 - 2018,2.0
,,2018 - 2019,2.0
,,2020 - 2021,2.0
,,2021 - 2022,1.33
,,2022 - 2023,1.85
,Mulugu,2018 - 2019,2.0
,,2020 - 2021,2.5
,,2021 - 2022,1.35
,,2022 - 2023,2.0
,Nagarkurnool,2016 - 2017,1.79
,,2017 - 2018,2.25
,,2018 - 2019,2.0
,,2019 - 2020,2.25
,,2020 - 2021,2.74
,,2021 - 2022,1.36
,,2022 - 2023,1.85
,Nalgonda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.57
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,2.0
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,0.96
,,2014 - 2015,1.43
,,2015 - 2016,1.17
,,2016 - 2017,1.79
,,2017 - 2018,2.25
,,2020 - 2021,2.71
,,2021 - 2022,1.36
,,2022 - 2023,1.83
,Narayanapet,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,3.0
,,2021 - 2022,1.36
,,2022 - 2023,1.88
,Nirmal,2016 - 2017,1.81
,,2020 - 2021,2.69
,,2021 - 2022,1.36
,,2022 - 2023,1.87
,Nizamabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.54
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,1.53
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,0.82
,,2013 - 2014,0.56
,,2014 - 2015,1.3
,,2015 - 2016,0.88
,,2016 - 2017,1.25
,,2017 - 2018,1.1
,,2018 - 2019,1.96
,,2019 - 2020,2.23
,,2020 - 2021,2.68
,,2021 - 2022,1.37
,,2022 - 2023,1.63
,Peddapalli,2020 - 2021,2.65
,,2021 - 2022,1.36
,,2022 - 2023,2.0
,Rajanna,2016 - 2017,1.8
,,2017 - 2018,2.2
,,2018 - 2019,2.0
,,2019 - 2020,2.0
,,2020 - 2021,2.67
,,2021 - 2022,1.36
,,2022 - 2023,1.87
,Rangareddi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.57
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,0.96
,,2014 - 2015,1.43
,,2015 - 2016,1.17
,,2016 - 2017,1.79
,,2017 - 2018,2.14
,,2018 - 2019,1.96
,,2019 - 2020,2.22
,,2020 - 2021,2.71
,,2021 - 2022,1.36
,,2022 - 2023,1.86
,Sangareddy,2016 - 2017,1.79
,,2017 - 2018,2.17
,,2019 - 2020,2.33
,,2020 - 2021,2.68
,,2021 - 2022,1.36
,,2022 - 2023,1.86
,Siddipet,2016 - 2017,1.86
,,2017 - 2018,2.21
,,2018 - 2019,1.96
,,2019 - 2020,2.23
,,2020 - 2021,2.68
,,2021 - 2022,1.5
,,2022 - 2023,2.01
,Suryapet,2020 - 2021,2.6
,,2021 - 2022,1.0
,Vikarabad,2016 - 2017,1.75
,,2017 - 2018,2.13
,,2018 - 2019,2.0
,,2019 - 2020,2.22
,,2020 - 2021,2.75
,,2021 - 2022,1.38
,,2022 - 2023,2.0
,Wanaparthy,2016 - 2017,1.67
,,2019 - 2020,2.0
,,2022 - 2023,2.0
,Warangal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.57
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,0.96
,,2014 - 2015,1.43
,,2015 - 2016,1.14
,,2016 - 2017,2.0
,,2017 - 2018,2.0
,,2018 - 2019,
,,2020 - 2021,2.73
,,2021 - 2022,1.36
,,2022 - 2023,1.9
,Warangal urban,2020 - 2021,2.73
,,2021 - 2022,1.36
,,2022 - 2023,1.87
,Yadadri,2021 - 2022,1.4
Uttar Pradesh,Agra,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2011 - 2012,
,Aligarh,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Allahabad,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2006 - 2007,
,,2021 - 2022,
,,2022 - 2023,
,Ambedkar nagar,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2012 - 2013,
,,2015 - 2016,
,,2020 - 2021,
,,2022 - 2023,
,Amethi,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Auraiya,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2017 - 2018,
,Azamgarh,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
