state,district,year,safflower_rabi_yield_tonne_per_hectare
,,2014 - 2015,0.33
,,2015 - 2016,0.34
,,2016 - 2017,0.43
,,2017 - 2018,0.48
,,2018 - 2019,0.44
,,2019 - 2020,0.47
,,2020 - 2021,0.67
,,2021 - 2022,0.78
,,2022 - 2023,0.46
,Surguja,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2005 - 2006,0.14
,,2006 - 2007,0.0
Jharkhand,Bokaro,2022 - 2023,1.64
,Chatra,2021 - 2022,0.3
,Deoghar,2017 - 2018,0.56
,Dumka,2017 - 2018,0.58
,,2018 - 2019,0.52
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,East singhbum,2017 - 2018,0.5
,,2018 - 2019,0.51
,,2019 - 2020,0.46
,,2020 - 2021,0.45
,,2021 - 2022,0.45
,,2022 - 2023,0.4
,Giridih,2017 - 2018,0.38
,,2018 - 2019,0.5
,,2019 - 2020,0.4
,,2020 - 2021,0.5
,,2021 - 2022,0.33
,,2022 - 2023,0.5
,Godda,2017 - 2018,0.68
,,2018 - 2019,0.63
,Gumla,2019 - 2020,0.4
,,2020 - 2021,0.37
,,2021 - 2022,0.3
,,2022 - 2023,0.4
,Hazaribagh,2017 - 2018,0.48
,,2021 - 2022,0.36
,,2022 - 2023,0.0
,Khunti,2017 - 2018,0.5
,,2018 - 2019,0.41
,,2019 - 2020,0.5
,,2020 - 2021,0.7
,Koderma,2017 - 2018,0.7
,,2021 - 2022,0.0
,,2022 - 2023,0.0
,Pakur,2017 - 2018,0.5
,,2018 - 2019,0.5
,Palamu,2017 - 2018,0.0
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,1.25
,,2022 - 2023,0.0
,Ramgarh,2017 - 2018,0.46
,Ranchi,2017 - 2018,0.5
,,2021 - 2022,0.31
,Saraikela kharsawan,2018 - 2019,0.58
,,2021 - 2022,0.31
,Simdega,2017 - 2018,1.15
,,2018 - 2019,1.2
,,2019 - 2020,0.63
,,2021 - 2022,0.27
Karnataka,Bagalkot,2000 - 2001,0.92
,,2001 - 2002,0.59
,,2002 - 2003,0.69
,,2003 - 2004,0.12
,,2004 - 2005,0.33
,,2005 - 2006,0.45
,,2006 - 2007,0.35
,,2007 - 2008,0.87
,,2008 - 2009,0.63
,,2009 - 2010,0.67
,,2010 - 2011,0.72
,,2011 - 2012,0.89
,,2012 - 2013,0.62
,,2013 - 2014,0.3
,,2014 - 2015,0.39
,,2015 - 2016,0.24
,,2016 - 2017,0.07
,,2017 - 2018,0.54
,,2018 - 2019,0.27
,,2019 - 2020,0.73
,,2020 - 2021,0.59
,,2021 - 2022,0.71
,,2022 - 2023,0.55
,Bangalore rural,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,0.63
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Belgaum,2000 - 2001,0.53
,,2001 - 2002,0.57
,,2002 - 2003,0.55
,,2003 - 2004,0.26
,,2004 - 2005,0.48
,,2005 - 2006,0.72
,,2006 - 2007,0.57
,,2007 - 2008,0.55
,,2008 - 2009,0.75
,,2009 - 2010,0.52
,,2010 - 2011,1.32
,,2011 - 2012,0.43
,,2012 - 2013,0.32
,,2013 - 2014,0.56
,,2014 - 2015,0.77
,,2015 - 2016,0.27
,,2016 - 2017,0.57
,,2017 - 2018,1.08
,,2018 - 2019,0.77
,,2019 - 2020,0.72
,,2020 - 2021,0.56
,,2021 - 2022,0.68
,,2022 - 2023,0.56
,Bellary,2000 - 2001,0.53
,,2001 - 2002,0.39
,,2002 - 2003,0.26
,,2003 - 2004,0.25
,,2004 - 2005,0.33
,,2005 - 2006,0.33
,,2006 - 2007,0.43
,,2007 - 2008,0.62
,,2008 - 2009,0.37
,,2009 - 2010,0.31
,,2010 - 2011,0.37
,,2011 - 2012,0.23
,,2012 - 2013,0.45
,,2013 - 2014,1.67
,,2014 - 2015,0.29
,,2015 - 2016,0.39
,,2016 - 2017,0.29
,,2017 - 2018,1.0
,,2018 - 2019,0.36
,,2019 - 2020,0.55
,,2020 - 2021,1.02
,,2021 - 2022,0.81
,,2022 - 2023,0.89
,Bengaluru urban,2019 - 2020,0.9
,,2020 - 2021,0.67
,,2021 - 2022,0.67
,,2022 - 2023,1.0
,Bidar,2000 - 2001,1.06
,,2001 - 2002,1.45
,,2002 - 2003,1.3
,,2003 - 2004,1.31
,,2004 - 2005,0.81
,,2005 - 2006,1.25
,,2006 - 2007,1.36
,,2007 - 2008,1.46
,,2008 - 2009,1.24
,,2009 - 2010,1.35
,,2010 - 2011,1.28
,,2011 - 2012,1.23
,,2012 - 2013,0.98
,,2013 - 2014,1.02
,,2014 - 2015,1.01
,,2015 - 2016,0.91
,,2016 - 2017,0.96
,,2017 - 2018,1.3
,,2018 - 2019,0.95
,,2019 - 2020,1.31
,,2020 - 2021,0.89
,,2021 - 2022,1.04
,,2022 - 2023,1.19
,Bijapur,2000 - 2001,0.64
,,2001 - 2002,0.63
,,2002 - 2003,0.52
,,2003 - 2004,0.18
,,2004 - 2005,0.57
,,2005 - 2006,0.33
,,2006 - 2007,0.41
,,2007 - 2008,0.29
,,2008 - 2009,0.49
,,2009 - 2010,0.46
,,2010 - 2011,0.44
,,2011 - 2012,0.17
,,2012 - 2013,0.29
,,2013 - 2014,0.29
,,2014 - 2015,0.37
,,2015 - 2016,0.08
,,2016 - 2017,0.52
,,2017 - 2018,0.43
,,2018 - 2019,0.41
,,2019 - 2020,0.53
,,2020 - 2021,0.66
,,2021 - 2022,0.63
,,2022 - 2023,0.72
,Chamarajanagar,2018 - 2019,0.62
,,2019 - 2020,0.92
,,2020 - 2021,0.67
,,2021 - 2022,0.8
,,2022 - 2023,0.85
,Chikballapur,2018 - 2019,0.62
,,2019 - 2020,1.0
,,2020 - 2021,0.6
,,2021 - 2022,0.86
,,2022 - 2023,0.88
,Chikmagalur,2000 - 2001,0.77
,,2001 - 2002,0.78
,,2002 - 2003,0.66
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.77
,,2006 - 2007,0.74
,,2007 - 2008,0.85
,,2008 - 2009,0.81
,,2009 - 2010,0.77
,,2010 - 2011,0.88
,,2011 - 2012,0.6
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,0.5
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Chitradurga,2000 - 2001,0.56
,,2001 - 2002,0.39
,,2002 - 2003,0.65
,,2003 - 2004,0.36
,,2004 - 2005,0.33
,,2005 - 2006,0.18
,,2006 - 2007,0.86
,,2007 - 2008,0.52
,,2008 - 2009,0.55
,,2009 - 2010,0.3
,,2010 - 2011,0.57
,,2011 - 2012,0.28
,,2012 - 2013,0.37
,,2013 - 2014,0.49
,,2014 - 2015,0.47
