state,district,year,maize_rabi_yield_tonne_per_hectare
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,1.0
,Kokrajhar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.85
,Lakhimpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,3.8
,Majuli,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.56
,Marigaon,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,4.08
,Nagaon,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,4.25
,Nalbari,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,3.37
,Sivasagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.81
,Sonitpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,3.34
,South salmara mancachar,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,3.9
,Tinsukia,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.06
,Udalguri,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.13
,West karbi anglong,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.3
Bihar,Araria,2000 - 2001,1.65
,,2001 - 2002,2.24
,,2002 - 2003,1.75
,,2003 - 2004,3.3
,,2004 - 2005,3.08
,,2005 - 2006,1.83
,,2006 - 2007,2.87
,,2007 - 2008,4.64
,,2008 - 2009,4.74
,,2009 - 2010,2.64
,,2010 - 2011,6.49
,,2011 - 2012,3.73
,,2012 - 2013,2.98
,,2013 - 2014,6.09
,,2014 - 2015,4.44
,,2015 - 2016,4.87
,,2016 - 2017,5.86
,,2017 - 2018,4.95
,,2018 - 2019,9.93
,,2019 - 2020,9.24
,,2020 - 2021,9.74
,,2021 - 2022,8.75
,,2022 - 2023,9.87
,Arwal,2003 - 2004,3.03
,,2004 - 2005,3.1
,,2005 - 2006,3.05
,,2007 - 2008,4.0
,,2008 - 2009,3.52
,,2009 - 2010,2.6
,,2010 - 2011,3.88
,,2011 - 2012,4.59
,,2012 - 2013,3.26
,,2013 - 2014,4.55
,,2014 - 2015,3.63
,,2015 - 2016,4.42
,,2016 - 2017,7.48
,,2017 - 2018,6.14
,,2018 - 2019,3.27
,,2019 - 2020,2.47
,,2020 - 2021,2.62
,,2021 - 2022,3.37
,,2022 - 2023,3.0
,Aurangabad,2000 - 2001,2.67
,,2001 - 2002,3.33
,,2002 - 2003,2.6
,,2003 - 2004,3.05
,,2004 - 2005,3.14
,,2005 - 2006,3.0
,,2006 - 2007,3.57
,,2007 - 2008,4.0
,,2008 - 2009,4.0
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,3.33
,,2013 - 2014,
,,2014 - 2015,3.63
,,2015 - 2016,4.45
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,3.5
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Banka,2000 - 2001,2.76
,,2001 - 2002,1.14
,,2002 - 2003,2.16
,,2003 - 2004,3.13
,,2004 - 2005,3.21
,,2005 - 2006,1.55
,,2006 - 2007,4.21
,,2007 - 2008,10.68
,,2008 - 2009,8.5
,,2009 - 2010,2.45
,,2010 - 2011,2.94
,,2011 - 2012,5.34
,,2012 - 2013,4.65
,,2013 - 2014,4.07
,,2014 - 2015,2.46
,,2015 - 2016,2.52
,,2016 - 2017,3.29
,,2017 - 2018,3.63
,,2018 - 2019,9.18
,,2019 - 2020,4.61
,,2020 - 2021,3.59
,,2021 - 2022,3.91
,,2022 - 2023,4.11
,Begusarai,2000 - 2001,2.67
,,2001 - 2002,2.92
,,2002 - 2003,1.85
,,2003 - 2004,2.21
,,2004 - 2005,2.36
,,2005 - 2006,3.35
,,2006 - 2007,3.97
,,2007 - 2008,3.58
,,2008 - 2009,2.1
,,2009 - 2010,0.61
,,2010 - 2011,3.57
,,2011 - 2012,6.28
,,2012 - 2013,3.42
,,2013 - 2014,4.46
,,2014 - 2015,3.39
,,2015 - 2016,2.9
,,2016 - 2017,7.68
,,2017 - 2018,3.84
,,2018 - 2019,6.87
,,2019 - 2020,7.93
,,2020 - 2021,7.11
,,2021 - 2022,6.75
,,2022 - 2023,7.21
,Bhagalpur,2000 - 2001,3.1
,,2001 - 2002,4.39
,,2002 - 2003,1.84
,,2003 - 2004,2.13
,,2004 - 2005,2.99
,,2005 - 2006,2.13
,,2006 - 2007,3.94
,,2007 - 2008,4.12
,,2008 - 2009,6.99
,,2009 - 2010,2.61
,,2010 - 2011,4.84
,,2011 - 2012,5.34
,,2012 - 2013,6.75
,,2013 - 2014,7.64
,,2014 - 2015,2.46
,,2015 - 2016,6.44
,,2016 - 2017,4.64
,,2017 - 2018,4.43
,,2018 - 2019,8.13
,,2019 - 2020,7.31
,,2020 - 2021,6.12
,,2021 - 2022,7.32
,,2022 - 2023,6.92
,Bhojpur,2000 - 2001,1.54
,,2001 - 2002,1.5
,,2002 - 2003,2.17
,,2003 - 2004,2.57
,,2004 - 2005,4.89
,,2005 - 2006,2.45
,,2006 - 2007,2.25
,,2007 - 2008,2.38
,,2008 - 2009,0.94
,,2009 - 2010,1.35
,,2010 - 2011,3.0
,,2011 - 2012,3.2
,,2012 - 2013,3.84
,,2013 - 2014,3.77
,,2014 - 2015,2.65
,,2015 - 2016,2.27
,,2016 - 2017,4.06
,,2017 - 2018,4.23
,,2018 - 2019,4.05
,,2019 - 2020,5.0
,,2020 - 2021,4.21
,,2021 - 2022,5.0
,,2022 - 2023,
,Buxar,2000 - 2001,1.55
,,2001 - 2002,1.45
,,2002 - 2003,2.13
,,2003 - 2004,2.58
,,2004 - 2005,
,,2005 - 2006,2.45
,,2006 - 2007,2.25
,,2007 - 2008,2.38
,,2008 - 2009,0.95
,,2009 - 2010,1.37
,,2010 - 2011,3.0
,,2011 - 2012,3.18
,,2012 - 2013,3.8
,,2013 - 2014,3.82
,,2014 - 2015,2.63
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Darbhanga,2000 - 2001,1.92
,,2001 - 2002,1.57
,,2002 - 2003,2.67
,,2003 - 2004,2.02
,,2004 - 2005,2.1
,,2005 - 2006,2.01
,,2006 - 2007,2.85
,,2007 - 2008,3.51
,,2008 - 2009,3.93
,,2009 - 2010,3.38
,,2010 - 2011,3.0
,,2011 - 2012,2.46
,,2012 - 2013,3.26
,,2013 - 2014,2.3
,,2014 - 2015,2.97
,,2015 - 2016,5.22
,,2016 - 2017,7.62
,,2017 - 2018,3.81
,,2018 - 2019,6.18
,,2019 - 2020,4.44
,,2020 - 2021,3.36
,,2021 - 2022,5.38
,,2022 - 2023,5.82
,Gaya,2000 - 2001,2.91
,,2001 - 2002,
,,2002 - 2003,2.61
,,2003 - 2004,3.03
,,2004 - 2005,3.09
,,2005 - 2006,3.05
,,2006 - 2007,3.61
,,2007 - 2008,4.0
,,2008 - 2009,3.52
,,2009 - 2010,2.6
,,2010 - 2011,3.88
,,2011 - 2012,4.59
,,2012 - 2013,3.27
,,2013 - 2014,4.55
,,2014 - 2015,3.63
,,2015 - 2016,4.42
,,2016 - 2017,7.48
,,2017 - 2018,6.13
,,2018 - 2019,3.26
,,2019 - 2020,2.37
,,2020 - 2021,2.59
,,2021 - 2022,3.34
,,2022 - 2023,3.0
,Gopalganj,2000 - 2001,3.44
,,2001 - 2002,3.27
,,2002 - 2003,1.23
,,2003 - 2004,3.3
,,2004 - 2005,2.67
,,2005 - 2006,1.75
,,2006 - 2007,1.98
,,2007 - 2008,2.08
,,2008 - 2009,1.7
,,2009 - 2010,5.13
,,2010 - 2011,4.92
,,2011 - 2012,3.55
,,2012 - 2013,3.42
,,2013 - 2014,2.71
,,2014 - 2015,2.75
,,2015 - 2016,2.79
,,2016 - 2017,2.36
,,2017 - 2018,3.12
,,2018 - 2019,3.83
,,2019 - 2020,4.78
,,2020 - 2021,4.69
,,2021 - 2022,4.71
,,2022 - 2023,3.87
,Jamui,2000 - 2001,3.66
,,2001 - 2002,3.78
,,2002 - 2003,2.26
,,2003 - 2004,3.28
,,2004 - 2005,3.16
,,2005 - 2006,3.95
,,2006 - 2007,4.95
,,2007 - 2008,5.04
,,2008 - 2009,3.76
,,2009 - 2010,2.6
,,2010 - 2011,4.2
,,2011 - 2012,6.3
,,2012 - 2013,3.4
,,2013 - 2014,4.42
,,2014 - 2015,3.46
,,2015 - 2016,3.79
,,2016 - 2017,9.04
,,2017 - 2018,3.23
,,2018 - 2019,3.96
,,2019 - 2020,3.19
,,2020 - 2021,3.2
,,2021 - 2022,2.83
,,2022 - 2023,2.77
,Jehanabad,2000 - 2001,2.92
,,2001 - 2002,3.32
,,2002 - 2003,2.61
,,2003 - 2004,3.03
,,2004 - 2005,3.1
,,2005 - 2006,3.04
,,2006 - 2007,3.62
,,2007 - 2008,4.0
,,2008 - 2009,3.51
,,2009 - 2010,2.6
,,2010 - 2011,3.88
,,2011 - 2012,4.59
,,2012 - 2013,3.27
,,2013 - 2014,4.55
,,2014 - 2015,3.63
,,2015 - 2016,4.43
,,2016 - 2017,7.49
,,2017 - 2018,6.15
,,2018 - 2019,3.26
,,2019 - 2020,2.75
,,2020 - 2021,2.6
,,2021 - 2022,3.33
,,2022 - 2023,3.0
,Kaimur (bhabua),2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,2.0
,,2003 - 2004,2.6
,,2004 - 2005,5.0
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Katihar,2000 - 2001,3.29
,,2001 - 2002,2.83
,,2002 - 2003,2.38
,,2003 - 2004,2.35
,,2004 - 2005,3.08
,,2005 - 2006,3.05
,,2006 - 2007,3.15
,,2007 - 2008,3.25
,,2008 - 2009,3.74
,,2009 - 2010,3.26
,,2010 - 2011,3.68
,,2011 - 2012,4.39
,,2012 - 2013,2.98
,,2013 - 2014,7.25
,,2014 - 2015,9.61
,,2015 - 2016,10.3
,,2016 - 2017,11.99
,,2017 - 2018,10.38
,,2018 - 2019,10.07
,,2019 - 2020,10.24
,,2020 - 2021,9.64
,,2021 - 2022,8.97
,,2022 - 2023,10.7
,Khagaria,2000 - 2001,4.57
,,2001 - 2002,4.49
,,2002 - 2003,2.56
,,2003 - 2004,4.1
,,2004 - 2005,3.83
,,2005 - 2006,4.33
,,2006 - 2007,5.62
,,2007 - 2008,5.87
,,2008 - 2009,4.53
,,2009 - 2010,3.65
,,2010 - 2011,4.59
,,2011 - 2012,6.4
,,2012 - 2013,3.42
,,2013 - 2014,4.44
,,2014 - 2015,3.5
,,2015 - 2016,4.51
,,2016 - 2017,9.91
,,2017 - 2018,7.67
,,2018 - 2019,6.53
,,2019 - 2020,7.02
,,2020 - 2021,7.57
,,2021 - 2022,7.21
,,2022 - 2023,7.94
,Kishanganj,2000 - 2001,2.95
,,2001 - 2002,2.64
,,2002 - 2003,2.33
,,2003 - 2004,1.62
,,2004 - 2005,3.08
,,2005 - 2006,2.72
,,2006 - 2007,3.48
,,2007 - 2008,3.31
,,2008 - 2009,3.99
,,2009 - 2010,1.11
,,2010 - 2011,1.76
,,2011 - 2012,1.5
,,2012 - 2013,2.98
,,2013 - 2014,6.02
,,2014 - 2015,1.81
,,2015 - 2016,2.39
,,2016 - 2017,7.61
,,2017 - 2018,9.1
,,2018 - 2019,8.74
,,2019 - 2020,10.24
,,2020 - 2021,8.96
,,2021 - 2022,6.49
,,2022 - 2023,8.14
,Lakhisarai,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,2.25
,,2003 - 2004,3.28
,,2004 - 2005,3.16
,,2005 - 2006,3.95
,,2006 - 2007,4.94
,,2007 - 2008,5.04
,,2008 - 2009,3.76
,,2009 - 2010,2.61
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,4.07
,,2019 - 2020,5.05
,,2020 - 2021,4.48
,,2021 - 2022,4.07
,,2022 - 2023,5.65
,Madhepura,2000 - 2001,4.72
,,2001 - 2002,4.11
,,2002 - 2003,4.49
,,2003 - 2004,5.07
,,2004 - 2005,3.81
,,2005 - 2006,3.14
,,2006 - 2007,2.89
,,2007 - 2008,3.09
,,2008 - 2009,3.02
,,2009 - 2010,2.05
,,2010 - 2011,3.58
,,2011 - 2012,6.97
,,2012 - 2013,3.26
,,2013 - 2014,5.8
,,2014 - 2015,5.75
,,2015 - 2016,3.9
,,2016 - 2017,7.52
,,2017 - 2018,5.55
,,2018 - 2019,9.26
,,2019 - 2020,8.99
,,2020 - 2021,8.34
,,2021 - 2022,8.51
,,2022 - 2023,8.89
,Madhubani,2000 - 2001,2.17
,,2001 - 2002,2.43
,,2002 - 2003,3.0
,,2003 - 2004,2.44
,,2004 - 2005,2.76
,,2005 - 2006,2.73
,,2006 - 2007,4.26
,,2007 - 2008,4.16
,,2008 - 2009,4.0
,,2009 - 2010,2.32
,,2010 - 2011,4.43
,,2011 - 2012,2.46
,,2012 - 2013,3.26
,,2013 - 2014,2.53
,,2014 - 2015,2.83
,,2015 - 2016,3.31
,,2016 - 2017,5.6
,,2017 - 2018,8.21
,,2018 - 2019,5.49
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Munger,2000 - 2001,1.45
,,2001 - 2002,2.86
,,2002 - 2003,1.48
,,2003 - 2004,2.36
,,2004 - 2005,1.69
,,2005 - 2006,2.0
,,2006 - 2007,2.09
,,2007 - 2008,2.43
,,2008 - 2009,3.06
,,2009 - 2010,1.75
,,2010 - 2011,1.63
,,2011 - 2012,2.4
,,2012 - 2013,3.42
,,2013 - 2014,3.34
,,2014 - 2015,2.79
,,2015 - 2016,2.35
,,2016 - 2017,2.84
,,2017 - 2018,5.8
,,2018 - 2019,2.98
,,2019 - 2020,5.52
,,2020 - 2021,5.55
,,2021 - 2022,4.98
,,2022 - 2023,5.89
,Muzaffarpur,2000 - 2001,1.8
,,2001 - 2002,3.97
,,2002 - 2003,1.56
,,2003 - 2004,1.93
,,2004 - 2005,2.88
,,2005 - 2006,3.88
,,2006 - 2007,2.63
,,2007 - 2008,2.84
,,2008 - 2009,2.44
,,2009 - 2010,2.5
,,2010 - 2011,2.67
,,2011 - 2012,3.81
,,2012 - 2013,1.95
,,2013 - 2014,2.96
,,2014 - 2015,2.13
,,2015 - 2016,2.23
,,2016 - 2017,1.88
,,2017 - 2018,2.4
,,2018 - 2019,4.57
,,2019 - 2020,5.04
,,2020 - 2021,5.1
,,2021 - 2022,5.2
,,2022 - 2023,5.43
,Nalanda,2000 - 2001,1.54
,,2001 - 2002,1.46
,,2002 - 2003,2.12
,,2003 - 2004,2.6
,,2004 - 2005,4.9
,,2005 - 2006,2.45
,,2006 - 2007,2.55
,,2007 - 2008,2.29
,,2008 - 2009,0.95
,,2009 - 2010,0.76
,,2010 - 2011,3.0
,,2011 - 2012,3.2
,,2012 - 2013,3.84
,,2013 - 2014,3.78
,,2014 - 2015,2.64
,,2015 - 2016,2.27
,,2016 - 2017,4.4
,,2017 - 2018,3.64
,,2018 - 2019,3.6
,,2019 - 2020,5.26
,,2020 - 2021,4.41
,,2021 - 2022,4.78
,,2022 - 2023,6.3
,Nawada,2000 - 2001,2.93
,,2001 - 2002,3.32
,,2002 - 2003,2.61
,,2003 - 2004,3.03
,,2004 - 2005,3.1
,,2005 - 2006,3.04
,,2006 - 2007,3.61
,,2007 - 2008,4.0
,,2008 - 2009,3.52
,,2009 - 2010,2.59
,,2010 - 2011,3.88
,,2011 - 2012,4.59
,,2012 - 2013,3.3
,,2013 - 2014,4.57
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pashchim champaran,2000 - 2001,1.76
,,2001 - 2002,4.24
,,2002 - 2003,3.54
,,2003 - 2004,1.73
,,2004 - 2005,2.9
,,2005 - 2006,2.39
,,2006 - 2007,0.7
,,2007 - 2008,7.25
,,2008 - 2009,1.67
,,2009 - 2010,3.7
,,2010 - 2011,3.15
,,2011 - 2012,3.17
,,2012 - 2013,1.95
,,2013 - 2014,2.84
,,2014 - 2015,2.82
,,2015 - 2016,3.06
,,2016 - 2017,4.02
,,2017 - 2018,4.13
,,2018 - 2019,4.6
,,2019 - 2020,5.77
,,2020 - 2021,5.56
,,2021 - 2022,6.49
,,2022 - 2023,6.34
,Patna,2000 - 2001,1.54
,,2001 - 2002,1.46
,,2002 - 2003,2.1
,,2003 - 2004,2.6
,,2004 - 2005,4.9
,,2005 - 2006,2.45
,,2006 - 2007,1.84
,,2007 - 2008,2.52
,,2008 - 2009,0.95
,,2009 - 2010,2.71
,,2010 - 2011,3.0
,,2011 - 2012,3.2
,,2012 - 2013,3.84
,,2013 - 2014,3.78
,,2014 - 2015,2.64
,,2015 - 2016,2.27
,,2016 - 2017,2.82
,,2017 - 2018,6.07
,,2018 - 2019,4.89
,,2019 - 2020,4.1
,,2020 - 2021,3.52
,,2021 - 2022,5.19
,,2022 - 2023,5.09
,Purbi champaran,2000 - 2001,1.6
,,2001 - 2002,4.11
,,2002 - 2003,3.88
,,2003 - 2004,5.37
,,2004 - 2005,2.61
,,2005 - 2006,3.41
,,2006 - 2007,0.56
,,2007 - 2008,5.88
,,2008 - 2009,0.85
,,2009 - 2010,2.14
,,2010 - 2011,3.3
,,2011 - 2012,3.76
,,2012 - 2013,1.96
,,2013 - 2014,1.96
,,2014 - 2015,0.7
,,2015 - 2016,0.74
,,2016 - 2017,3.54
,,2017 - 2018,2.13
,,2018 - 2019,3.83
,,2019 - 2020,4.1
,,2020 - 2021,4.3
,,2021 - 2022,4.76
,,2022 - 2023,4.65
,Purnia,2000 - 2001,3.11
,,2001 - 2002,2.63
,,2002 - 2003,2.49
,,2003 - 2004,2.68
,,2004 - 2005,3.08
,,2005 - 2006,2.29
,,2006 - 2007,2.26
,,2007 - 2008,1.36
,,2008 - 2009,3.63
,,2009 - 2010,1.32
,,2010 - 2011,1.66
,,2011 - 2012,2.47
,,2012 - 2013,2.98
,,2013 - 2014,3.13
,,2014 - 2015,1.82
,,2015 - 2016,4.17
,,2016 - 2017,9.94
,,2017 - 2018,8.43
,,2018 - 2019,9.43
,,2019 - 2020,8.83
,,2020 - 2021,9.27
,,2021 - 2022,8.22
,,2022 - 2023,9.41
,Rohtas,2000 - 2001,1.6
,,2001 - 2002,1.4
,,2002 - 2003,2.2
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,2.0
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,2.0
,,2016 - 2017,4.0
,,2017 - 2018,
,Saharsa,2000 - 2001,3.79
,,2001 - 2002,3.1
,,2002 - 2003,6.61
,,2003 - 2004,3.64
,,2004 - 2005,3.92
,,2005 - 2006,3.23
,,2006 - 2007,4.33
,,2007 - 2008,3.86
,,2008 - 2009,3.8
,,2009 - 2010,2.86
,,2010 - 2011,4.82
,,2011 - 2012,7.51
,,2012 - 2013,3.26
,,2013 - 2014,5.8
,,2014 - 2015,4.24
,,2015 - 2016,5.01
,,2016 - 2017,6.87
,,2017 - 2018,5.56
,,2018 - 2019,6.83
,,2019 - 2020,6.12
,,2020 - 2021,6.55
,,2021 - 2022,6.71
,,2022 - 2023,6.08
,Samastipur,2000 - 2001,2.23
,,2001 - 2002,2.62
,,2002 - 2003,3.09
,,2003 - 2004,2.58
,,2004 - 2005,2.96
,,2005 - 2006,2.94
,,2006 - 2007,4.7
,,2007 - 2008,4.35
,,2008 - 2009,4.02
,,2009 - 2010,1.95
,,2010 - 2011,5.22
,,2011 - 2012,2.46
,,2012 - 2013,3.26
,,2013 - 2014,2.64
,,2014 - 2015,2.78
,,2015 - 2016,2.48
,,2016 - 2017,4.76
,,2017 - 2018,9.24
,,2018 - 2019,5.35
,,2019 - 2020,5.98
,,2020 - 2021,5.68
,,2021 - 2022,6.21
,,2022 - 2023,6.19
,Saran,2000 - 2001,2.48
,,2001 - 2002,2.45
,,2002 - 2003,1.76
,,2003 - 2004,2.22
,,2004 - 2005,2.51
,,2005 - 2006,1.84
,,2006 - 2007,2.26
,,2007 - 2008,1.64
,,2008 - 2009,2.28
,,2009 - 2010,1.71
,,2010 - 2011,2.58
,,2011 - 2012,4.19
,,2012 - 2013,2.76
,,2013 - 2014,2.89
,,2014 - 2015,3.07
,,2015 - 2016,3.92
,,2016 - 2017,4.36
,,2017 - 2018,4.0
,,2018 - 2019,4.5
,,2019 - 2020,4.48
,,2020 - 2021,5.0
,,2021 - 2022,4.73
,,2022 - 2023,5.02
,Sheikhpura,2000 - 2001,3.66
,,2001 - 2002,
,,2002 - 2003,2.5
,,2003 - 2004,3.27
,,2004 - 2005,
,,2005 - 2006,3.94
,,2006 - 2007,4.92
,,2007 - 2008,5.04
,,2008 - 2009,3.76
,,2009 - 2010,2.61
,,2010 - 2011,4.2
,,2011 - 2012,6.29
,,2012 - 2013,3.43
,,2013 - 2014,4.44
,,2014 - 2015,3.45
,,2015 - 2016,3.79
,,2016 - 2017,9.04
,,2017 - 2018,6.1
,,2018 - 2019,1.99
,,2019 - 2020,3.36
,,2020 - 2021,3.39
,,2021 - 2022,2.95
,,2022 - 2023,3.65
,Sheohar,2000 - 2001,3.35
,,2001 - 2002,3.97
,,2002 - 2003,2.67
,,2003 - 2004,4.15
,,2004 - 2005,2.88
,,2005 - 2006,1.93
,,2006 - 2007,4.4
,,2007 - 2008,1.42
,,2008 - 2009,1.67
,,2009 - 2010,3.3
,,2010 - 2011,3.59
,,2011 - 2012,2.51
,,2012 - 2013,1.96
,,2013 - 2014,3.28
,,2014 - 2015,3.38
,,2015 - 2016,3.02
,,2016 - 2017,4.84
,,2017 - 2018,3.77
,,2018 - 2019,4.84
,,2019 - 2020,5.04
,,2020 - 2021,4.78
,,2021 - 2022,5.96
,,2022 - 2023,5.76
,Sitamarhi,2000 - 2001,3.18
,,2001 - 2002,3.97
,,2002 - 2003,2.79
,,2003 - 2004,4.05
,,2004 - 2005,1.92
,,2005 - 2006,0.78
,,2006 - 2007,1.92
,,2007 - 2008,1.2
,,2008 - 2009,1.67
,,2009 - 2010,3.23
,,2010 - 2011,6.32
,,2011 - 2012,5.59
,,2012 - 2013,1.96
,,2013 - 2014,4.95
,,2014 - 2015,3.22
,,2015 - 2016,4.57
,,2016 - 2017,4.57
,,2017 - 2018,4.52
,,2018 - 2019,4.79
,,2019 - 2020,5.58
,,2020 - 2021,6.24
,,2021 - 2022,5.14
,,2022 - 2023,5.77
,Siwan,2000 - 2001,2.05
,,2001 - 2002,2.64
,,2002 - 2003,2.51
,,2003 - 2004,2.31
,,2004 - 2005,2.26
,,2005 - 2006,3.29
,,2006 - 2007,3.9
,,2007 - 2008,3.33
,,2008 - 2009,2.0
,,2009 - 2010,3.38
,,2010 - 2011,2.14
,,2011 - 2012,3.95
,,2012 - 2013,2.01
,,2013 - 2014,2.83
,,2014 - 2015,2.0
,,2015 - 2016,3.29
,,2016 - 2017,9.22
,,2017 - 2018,3.9
,,2018 - 2019,3.46
,,2019 - 2020,3.56
,,2020 - 2021,3.76
,,2021 - 2022,3.75
,,2022 - 2023,3.73
