state,district,year,wheat_rabi_yield_tonne_per_hectare
,,2016 - 2017,1.33
,,2017 - 2018,1.25
,,2018 - 2019,1.38
,,2019 - 2020,1.33
,,2020 - 2021,1.43
,,2021 - 2022,1.24
,,2022 - 2023,1.31
,Majuli,2020 - 2021,1.5
,,2021 - 2022,1.0
,,2022 - 2023,1.5
,Marigaon,2000 - 2001,1.15
,,2001 - 2002,1.05
,,2002 - 2003,1.0
,,2003 - 2004,0.87
,,2004 - 2005,0.8
,,2005 - 2006,0.88
,,2006 - 2007,0.94
,,2007 - 2008,0.99
,,2008 - 2009,0.94
,,2009 - 2010,0.97
,,2010 - 2011,0.89
,,2011 - 2012,1.22
,,2012 - 2013,1.13
,,2013 - 2014,1.26
,,2014 - 2015,1.19
,,2015 - 2016,1.13
,,2016 - 2017,1.28
,,2017 - 2018,1.36
,,2018 - 2019,1.46
,,2019 - 2020,1.19
,,2020 - 2021,1.25
,,2021 - 2022,0.88
,,2022 - 2023,1.24
,Nagaon,2000 - 2001,0.85
,,2001 - 2002,1.04
,,2002 - 2003,0.92
,,2003 - 2004,0.8
,,2004 - 2005,0.85
,,2005 - 2006,1.09
,,2006 - 2007,1.06
,,2007 - 2008,0.93
,,2008 - 2009,0.92
,,2009 - 2010,0.99
,,2010 - 2011,1.03
,,2011 - 2012,1.02
,,2012 - 2013,1.11
,,2013 - 2014,1.12
,,2014 - 2015,1.01
,,2015 - 2016,0.88
,,2016 - 2017,0.97
,,2017 - 2018,1.04
,,2018 - 2019,1.03
,,2019 - 2020,1.3
,,2020 - 2021,1.13
,,2021 - 2022,1.01
,,2022 - 2023,1.27
,Nalbari,2000 - 2001,1.16
,,2001 - 2002,1.15
,,2002 - 2003,1.31
,,2003 - 2004,1.34
,,2004 - 2005,1.41
,,2005 - 2006,1.71
,,2006 - 2007,1.04
,,2007 - 2008,1.23
,,2008 - 2009,0.94
,,2009 - 2010,1.09
,,2010 - 2011,1.23
,,2011 - 2012,0.94
,,2012 - 2013,0.78
,,2013 - 2014,0.91
,,2014 - 2015,1.2
,,2015 - 2016,0.99
,,2016 - 2017,1.01
,,2017 - 2018,0.8
,,2018 - 2019,1.07
,,2019 - 2020,1.27
,,2020 - 2021,1.14
,,2021 - 2022,1.37
,,2022 - 2023,1.24
,Sivasagar,2000 - 2001,1.22
,,2001 - 2002,1.18
,,2002 - 2003,1.13
,,2003 - 2004,0.82
,,2004 - 2005,1.07
,,2005 - 2006,1.06
,,2006 - 2007,0.9
,,2007 - 2008,1.26
,,2008 - 2009,1.08
,,2009 - 2010,1.08
,,2010 - 2011,1.25
,,2011 - 2012,1.22
,,2012 - 2013,1.33
,,2013 - 2014,1.25
,,2014 - 2015,1.2
,,2015 - 2016,1.13
,,2016 - 2017,1.0
,,2017 - 2018,1.5
,,2018 - 2019,1.25
,,2019 - 2020,1.33
,,2020 - 2021,1.5
,,2021 - 2022,1.0
,,2022 - 2023,1.33
