state,district,year,wheat_rabi_yield_tonne_per_hectare
,,2022 - 2023,1.63
,Karimnagar,2000 - 2001,0.57
,,2001 - 2002,0.7
,,2002 - 2003,0.92
,,2003 - 2004,0.59
,,2004 - 2005,0.52
,,2005 - 2006,0.82
,,2006 - 2007,0.93
,,2008 - 2009,1.14
,,2009 - 2010,1.0
,,2010 - 2011,1.29
,,2011 - 2012,1.31
,,2021 - 2022,2.0
,Komaram bheem asifabad,2016 - 2017,1.57
,,2017 - 2018,1.39
,,2018 - 2019,1.88
,,2019 - 2020,1.84
,,2020 - 2021,1.3
,,2021 - 2022,2.01
,,2022 - 2023,2.32
,Mahabubabad,2021 - 2022,2.0
,Mahbubnagar,2000 - 2001,0.57
,,2001 - 2002,0.69
,,2002 - 2003,0.92
,,2003 - 2004,0.59
,,2004 - 2005,0.53
,,2005 - 2006,0.83
,,2006 - 2007,0.94
,,2008 - 2009,1.15
,,2009 - 2010,1.09
,,2010 - 2011,1.31
,,2011 - 2012,1.43
,,2013 - 2014,0.62
,,2014 - 2015,1.0
,,2017 - 2018,
,,2020 - 2021,3.0
,,2021 - 2022,2.0
,,2022 - 2023,2.0
,Mancherial,2016 - 2017,1.5
,,2019 - 2020,2.0
,,2020 - 2021,2.63
,,2021 - 2022,2.0
,,2022 - 2023,2.0
,Medak,2000 - 2001,0.57
,,2001 - 2002,0.53
,,2002 - 2003,2.74
,,2003 - 2004,0.62
,,2004 - 2005,0.72
,,2005 - 2006,1.72
,,2006 - 2007,1.16
,,2007 - 2008,1.0
,,2008 - 2009,1.25
,,2009 - 2010,0.87
,,2010 - 2011,1.3
,,2011 - 2012,1.34
,,2012 - 2013,1.0
,,2013 - 2014,0.81
,,2014 - 2015,0.75
,,2015 - 2016,0.75
,,2016 - 2017,1.11
,,2017 - 2018,1.39
,,2018 - 2019,1.87
,,2019 - 2020,1.84
,,2020 - 2021,2.63
,,2021 - 2022,2.01
,,2022 - 2023,2.08
,Medchal,2016 - 2017,1.0
,,2020 - 2021,3.0
,,2021 - 2022,2.0
,,2022 - 2023,2.0
,Mulugu,2021 - 2022,2.0
,Nagarkurnool,2020 - 2021,2.67
,,2021 - 2022,2.0
,,2022 - 2023,2.0
,Nalgonda,2016 - 2017,1.25
,,2020 - 2021,2.67
,,2021 - 2022,2.0
,,2022 - 2023,2.0
,Narayanapet,2021 - 2022,2.0
,Nirmal,2016 - 2017,1.57
,,2017 - 2018,1.86
,,2018 - 2019,1.93
,,2019 - 2020,1.82
,,2020 - 2021,2.08
,,2021 - 2022,0.72
,,2022 - 2023,2.2
,Nizamabad,2000 - 2001,0.57
,,2001 - 2002,0.61
,,2002 - 2003,0.92
,,2003 - 2004,0.46
,,2004 - 2005,0.69
,,2005 - 2006,0.82
,,2006 - 2007,1.12
,,2007 - 2008,1.0
,,2008 - 2009,1.36
,,2009 - 2010,1.09
,,2010 - 2011,1.3
,,2011 - 2012,1.32
,,2012 - 2013,2.0
,,2013 - 2014,1.46
,,2014 - 2015,1.65
,,2015 - 2016,2.32
,,2016 - 2017,0.9
,,2017 - 2018,1.39
,,2018 - 2019,1.88
,,2019 - 2020,1.85
,,2020 - 2021,2.65
,,2021 - 2022,2.01
,,2022 - 2023,2.08
,Peddapalli,2021 - 2022,2.0
,Rajanna,2019 - 2020,1.85
,,2020 - 2021,2.63
,,2021 - 2022,2.01
,,2022 - 2023,2.06
,Rangareddi,2000 - 2001,0.68
,,2001 - 2002,0.69
,,2002 - 2003,0.64
,,2003 - 2004,0.65
,,2004 - 2005,0.54
,,2005 - 2006,0.61
,,2006 - 2007,0.6
,,2007 - 2008,1.0
,,2008 - 2009,0.64
,,2009 - 2010,0.85
,,2010 - 2011,1.3
,,2011 - 2012,1.32
,,2012 - 2013,1.0
,,2013 - 2014,0.63
,,2014 - 2015,1.19
,,2015 - 2016,3.83
,,2016 - 2017,1.26
,,2017 - 2018,1.39
,,2018 - 2019,1.89
,,2019 - 2020,1.86
,,2020 - 2021,2.65
,,2021 - 2022,2.0
,,2022 - 2023,2.14
,Sangareddy,2016 - 2017,1.11
,,2017 - 2018,1.04
,,2018 - 2019,0.77
,,2019 - 2020,1.25
,,2020 - 2021,2.64
,,2021 - 2022,1.43
,,2022 - 2023,2.07
,Siddipet,2016 - 2017,1.13
,,2017 - 2018,1.43
,,2018 - 2019,1.83
,,2019 - 2020,1.86
,,2020 - 2021,2.67
,,2021 - 2022,2.0
,,2022 - 2023,2.0
,Vikarabad,2016 - 2017,1.25
,,2017 - 2018,1.39
,,2018 - 2019,1.88
,,2019 - 2020,1.85
,,2020 - 2021,2.64
,,2021 - 2022,2.01
,,2022 - 2023,2.07
,Wanaparthy,2021 - 2022,2.0
,Warangal,2000 - 2001,0.63
,,2001 - 2002,0.68
,,2002 - 2003,0.93
,,2003 - 2004,0.59
,,2004 - 2005,0.53
,,2005 - 2006,0.83
,,2006 - 2007,0.93
,,2010 - 2011,1.3
,Warangal urban,2021 - 2022,2.0
,,2022 - 2023,2.0
,Yadadri,2016 - 2017,1.0
,,2020 - 2021,3.0
,,2021 - 2022,2.0
Tripura,Dhalai,2000 - 2001,2.11
,,2001 - 2002,2.07
,,2002 - 2003,2.29
,,2003 - 2004,2.1
,,2004 - 2005,1.91
,,2005 - 2006,2.07
,,2006 - 2007,1.97
,,2007 - 2008,1.94
,,2008 - 2009,1.76
,,2009 - 2010,1.93
,,2010 - 2011,2.0
,,2011 - 2012,1.99
,,2012 - 2013,2.45
,,2013 - 2014,2.05
,,2014 - 2015,2.21
,,2015 - 2016,2.14
,,2016 - 2017,2.32
,,2017 - 2018,1.86
,,2018 - 2019,2.16
,,2019 - 2020,2.43
,Gomati,2012 - 2013,2.55
,,2013 - 2014,2.0
,,2014 - 2015,2.46
,,2015 - 2016,2.2
,,2016 - 2017,2.35
,,2017 - 2018,2.08
,,2018 - 2019,2.14
,,2019 - 2020,2.17
,,2020 - 2021,2.0
,,2021 - 2022,2.0
,,2022 - 2023,2.0
,Khowai,2012 - 2013,2.5
,,2013 - 2014,1.67
,,2014 - 2015,2.22
,,2016 - 2017,2.0
,,2017 - 2018,2.0
,,2018 - 2019,2.0
,,2019 - 2020,2.15
,,2020 - 2021,2.07
,,2021 - 2022,2.07
,,2022 - 2023,2.0
,North tripura,2000 - 2001,2.04
,,2001 - 2002,2.09
,,2002 - 2003,1.75
,,2003 - 2004,2.07
,,2004 - 2005,2.29
,,2005 - 2006,1.94
,,2006 - 2007,1.76
,,2007 - 2008,2.06
,,2008 - 2009,2.31
,,2009 - 2010,2.19
,,2010 - 2011,2.11
,,2011 - 2012,2.0
,,2012 - 2013,2.39
,,2013 - 2014,1.88
,,2014 - 2015,2.24
,,2015 - 2016,2.24
,,2016 - 2017,2.38
,,2017 - 2018,2.0
,,2018 - 2019,1.99
,Sepahijala,2012 - 2013,2.38
,,2013 - 2014,2.0
,,2014 - 2015,2.14
,,2015 - 2016,2.22
,,2016 - 2017,2.24
,,2017 - 2018,1.97
,,2018 - 2019,2.15
,,2019 - 2020,2.24
,,2022 - 2023,2.14
,South tripura,2000 - 2001,2.13
,,2001 - 2002,1.94
,,2002 - 2003,1.94
,,2003 - 2004,1.96
,,2004 - 2005,1.83
,,2005 - 2006,1.77
,,2006 - 2007,1.83
,,2007 - 2008,1.76
,,2008 - 2009,1.83
,,2009 - 2010,1.9
,,2010 - 2011,2.09
,,2011 - 2012,1.91
,,2012 - 2013,2.14
,,2013 - 2014,1.64
,,2014 - 2015,2.06
,,2015 - 2016,2.27
,,2016 - 2017,2.31
,,2017 - 2018,2.05
,,2018 - 2019,2.09
,,2022 - 2023,2.0
,Unakoti,2012 - 2013,2.75
,,2013 - 2014,2.23
,,2014 - 2015,2.38
,,2015 - 2016,2.28
,,2016 - 2017,2.3
,,2017 - 2018,2.2
,,2018 - 2019,2.06
,,2019 - 2020,2.21
,,2020 - 2021,2.0
,,2021 - 2022,2.0
,West tripura,2000 - 2001,2.1
,,2001 - 2002,1.96
,,2002 - 2003,2.03
,,2003 - 2004,1.98
,,2004 - 2005,2.18
,,2005 - 2006,1.55
,,2006 - 2007,1.98
,,2007 - 2008,1.76
,,2008 - 2009,1.72
,,2009 - 2010,1.91
,,2010 - 2011,1.88
,,2011 - 2012,1.85
,,2012 - 2013,2.33
,,2013 - 2014,2.0
,,2014 - 2015,2.0
,,2015 - 2016,2.2
,,2016 - 2017,2.15
,,2017 - 2018,2.04
,,2018 - 2019,2.1
,,2019 - 2020,2.17
,,2020 - 2021,2.17
,,2021 - 2022,2.17
,,2022 - 2023,2.0
Uttar Pradesh,Agra,2000 - 2001,3.05
,,2001 - 2002,3.06
,,2002 - 2003,3.3
,,2003 - 2004,3.26
,,2004 - 2005,3.23
,,2005 - 2006,3.31
,,2006 - 2007,2.77
,,2007 - 2008,3.15
,,2008 - 2009,3.29
,,2009 - 2010,3.18
,,2010 - 2011,3.7
,,2011 - 2012,3.9
,,2012 - 2013,3.83
,,2013 - 2014,3.71
,,2014 - 2015,2.41
,,2015 - 2016,3.23
,,2016 - 2017,4.08
,,2017 - 2018,4.04
,,2018 - 2019,4.37
,,2019 - 2020,4.04
,,2020 - 2021,4.26
,,2021 - 2022,4.05
,,2022 - 2023,4.22
,Aligarh,2000 - 2001,3.35
,,2001 - 2002,3.27
,,2002 - 2003,3.38
,,2003 - 2004,3.29
,,2004 - 2005,2.89
,,2005 - 2006,3.05
,,2006 - 2007,2.86
,,2007 - 2008,3.22
,,2008 - 2009,3.39
,,2009 - 2010,3.19
,,2010 - 2011,3.55
,,2011 - 2012,3.77
,,2012 - 2013,3.47
,,2013 - 2014,3.6
,,2014 - 2015,2.45
,,2015 - 2016,3.28
,,2016 - 2017,3.98
,,2017 - 2018,4.3
,,2018 - 2019,4.27
,,2019 - 2020,4.12
,,2020 - 2021,4.18
,,2021 - 2022,4.19
,,2022 - 2023,4.2
,Allahabad,2000 - 2001,2.27
,,2001 - 2002,2.11
,,2002 - 2003,1.9
,,2003 - 2004,2.52
,,2004 - 2005,1.79
,,2005 - 2006,1.98
,,2006 - 2007,2.34
,,2007 - 2008,2.23
,,2008 - 2009,2.49
,,2009 - 2010,2.14
,,2010 - 2011,2.47
,,2011 - 2012,2.64
,,2012 - 2013,2.49
,,2013 - 2014,2.44
,,2014 - 2015,1.36
,,2015 - 2016,1.91
,,2016 - 2017,3.0
,,2017 - 2018,3.76
,,2018 - 2019,3.55
,,2019 - 2020,2.82
,,2020 - 2021,3.59
,,2021 - 2022,2.87
,,2022 - 2023,2.3
,Ambedkar nagar,2000 - 2001,2.68
,,2001 - 2002,2.4
,,2002 - 2003,2.75
,,2003 - 2004,3.02
,,2004 - 2005,2.72
,,2005 - 2006,2.98
,,2006 - 2007,2.96
,,2007 - 2008,3.24
,,2008 - 2009,3.31
,,2009 - 2010,3.13
,,2010 - 2011,3.35
,,2011 - 2012,3.36
,,2012 - 2013,3.34
,,2013 - 2014,3.44
,,2014 - 2015,2.3
,,2015 - 2016,3.18
,,2016 - 2017,3.55
,,2017 - 2018,4.11
,,2018 - 2019,4.1
,,2019 - 2020,3.92
,,2020 - 2021,3.84
,,2021 - 2022,3.68
,,2022 - 2023,3.4
,Amethi,2010 - 2011,2.79
,,2011 - 2012,2.87
,,2012 - 2013,3.06
,,2013 - 2014,2.38
,,2014 - 2015,1.82
,,2015 - 2016,2.38
,,2016 - 2017,3.06
,,2017 - 2018,3.88
,,2018 - 2019,3.54
,,2019 - 2020,3.09
,,2020 - 2021,3.88
,,2021 - 2022,3.22
,,2022 - 2023,2.95
,Amroha,2000 - 2001,3.0
,,2001 - 2002,3.22
,,2002 - 2003,2.9
,,2003 - 2004,3.11
,,2004 - 2005,2.49
,,2005 - 2006,2.9
,,2006 - 2007,3.14
,,2007 - 2008,3.01
,,2008 - 2009,3.16
,,2009 - 2010,2.85
,,2010 - 2011,3.17
,,2011 - 2012,3.16
,,2012 - 2013,3.21
,,2013 - 2014,3.29
,,2014 - 2015,2.11
,,2015 - 2016,2.96
,,2016 - 2017,3.51
,,2017 - 2018,3.71
,,2018 - 2019,3.81
,,2019 - 2020,3.87
,,2020 - 2021,4.02
,,2021 - 2022,3.95
,,2022 - 2023,4.11
,Auraiya,2000 - 2001,3.36
,,2001 - 2002,3.27
,,2002 - 2003,2.83
,,2003 - 2004,3.12
,,2004 - 2005,2.51
,,2005 - 2006,2.92
,,2006 - 2007,3.14
,,2007 - 2008,3.06
,,2008 - 2009,3.54
,,2009 - 2010,2.87
,,2010 - 2011,3.75
,,2011 - 2012,3.85
,,2012 - 2013,3.63
,,2013 - 2014,3.81
,,2014 - 2015,2.26
,,2015 - 2016,3.08
,,2016 - 2017,4.02
,,2017 - 2018,3.88
,,2018 - 2019,4.14
,,2019 - 2020,3.88
,,2020 - 2021,4.15
,,2021 - 2022,3.97
,,2022 - 2023,4.17
,Azamgarh,2000 - 2001,2.24
,,2001 - 2002,2.39
,,2002 - 2003,2.0
,,2003 - 2004,2.49
,,2004 - 2005,2.12
,,2005 - 2006,2.4
,,2006 - 2007,2.45
,,2007 - 2008,2.59
,,2008 - 2009,2.73
,,2009 - 2010,2.59
,,2010 - 2011,2.8
,,2011 - 2012,2.89
,,2012 - 2013,2.94
,,2013 - 2014,3.09
,,2014 - 2015,2.12
,,2015 - 2016,2.73
,,2016 - 2017,3.35
,,2017 - 2018,3.44
,,2018 - 2019,3.69
,,2019 - 2020,3.45
,,2020 - 2021,3.54
,,2021 - 2022,3.47
,,2022 - 2023,3.59
,Baghpat,2000 - 2001,3.4
,,2001 - 2002,3.52
,,2002 - 2003,3.67
,,2003 - 2004,3.62
,,2004 - 2005,3.56
,,2005 - 2006,3.27
,,2006 - 2007,4.03
,,2007 - 2008,3.36
,,2008 - 2009,3.8
,,2009 - 2010,3.63
,,2010 - 2011,4.12
,,2011 - 2012,4.24
,,2012 - 2013,4.45
,,2013 - 2014,4.5
,,2014 - 2015,3.39
,,2015 - 2016,4.14
,,2016 - 2017,4.74
,,2017 - 2018,4.43
,,2018 - 2019,4.56
,,2019 - 2020,4.52
,,2020 - 2021,4.57
,,2021 - 2022,4.55
,,2022 - 2023,4.54
,Bahraich,2000 - 2001,2.29
,,2001 - 2002,2.48
,,2002 - 2003,2.47
,,2003 - 2004,2.73
,,2004 - 2005,2.46
,,2005 - 2006,2.4
,,2006 - 2007,2.64
,,2007 - 2008,2.75
,,2008 - 2009,2.83
,,2009 - 2010,2.6
,,2010 - 2011,2.9
,,2011 - 2012,3.07
,,2012 - 2013,2.84
,,2013 - 2014,3.23
,,2014 - 2015,2.38
,,2015 - 2016,2.66
,,2016 - 2017,3.16
,,2017 - 2018,3.75
,,2018 - 2019,3.79
,,2019 - 2020,3.06
,,2020 - 2021,3.49
,,2021 - 2022,3.52
,,2022 - 2023,3.24
,Ballia,2000 - 2001,2.37
,,2001 - 2002,2.41
,,2002 - 2003,2.04
,,2003 - 2004,2.35
,,2004 - 2005,1.83
,,2005 - 2006,2.11
,,2006 - 2007,2.47
,,2007 - 2008,2.6
,,2008 - 2009,2.71
,,2009 - 2010,2.54
,,2010 - 2011,2.93
,,2011 - 2012,3.25
,,2012 - 2013,3.38
,,2013 - 2014,2.87
,,2014 - 2015,2.27
,,2015 - 2016,2.71
,,2016 - 2017,3.94
,,2017 - 2018,3.62
,,2018 - 2019,3.84
,,2019 - 2020,3.81
,,2020 - 2021,3.77
,,2021 - 2022,3.77
,,2022 - 2023,3.48
,Balrampur,2000 - 2001,2.12
,,2001 - 2002,2.29
,,2002 - 2003,2.0
,,2003 - 2004,2.33
,,2004 - 2005,2.21
,,2005 - 2006,2.22
,,2006 - 2007,2.44
,,2007 - 2008,3.5
,,2008 - 2009,2.79
,,2009 - 2010,2.89
,,2010 - 2011,2.84
,,2011 - 2012,2.88
,,2012 - 2013,2.72
,,2013 - 2014,2.76
,,2014 - 2015,2.1
,,2015 - 2016,2.39
,,2016 - 2017,2.87
,,2017 - 2018,3.65
,,2018 - 2019,3.5
,,2019 - 2020,3.68
,,2020 - 2021,3.4
,,2021 - 2022,3.3
,,2022 - 2023,3.05
,Banda,2000 - 2001,1.38
,,2001 - 2002,1.84
,,2002 - 2003,1.49
,,2003 - 2004,1.81
,,2004 - 2005,1.55
,,2005 - 2006,1.4
,,2006 - 2007,1.47
,,2007 - 2008,1.33
,,2008 - 2009,1.81
,,2009 - 2010,1.68
,,2010 - 2011,1.81
,,2011 - 2012,2.09
,,2012 - 2013,2.23
,,2013 - 2014,1.9
,,2014 - 2015,0.91
,,2015 - 2016,1.2
,,2016 - 2017,2.34
,,2017 - 2018,2.29
,,2018 - 2019,3.06
,,2019 - 2020,2.85
,,2020 - 2021,2.81
,,2021 - 2022,3.02
,,2022 - 2023,3.28
,Barabanki,2000 - 2001,2.81
,,2001 - 2002,2.94
,,2002 - 2003,2.76
,,2003 - 2004,3.03
,,2004 - 2005,2.63
,,2005 - 2006,2.91
,,2006 - 2007,2.96
,,2007 - 2008,2.91
,,2008 - 2009,3.07
,,2009 - 2010,3.08
,,2010 - 2011,3.25
,,2011 - 2012,3.51
,,2012 - 2013,3.72
,,2013 - 2014,3.55
,,2014 - 2015,2.37
,,2015 - 2016,2.97
,,2016 - 2017,3.64
,,2017 - 2018,4.02
,,2018 - 2019,3.95
,,2019 - 2020,4.04
,,2020 - 2021,4.33
,,2021 - 2022,4.04
,,2022 - 2023,3.79
,Bareilly,2000 - 2001,2.69
,,2001 - 2002,2.72
,,2002 - 2003,2.64
,,2003 - 2004,2.76
,,2004 - 2005,2.46
,,2005 - 2006,2.54
,,2006 - 2007,2.85
,,2007 - 2008,2.82
,,2008 - 2009,2.99
,,2009 - 2010,2.79
,,2010 - 2011,2.91
,,2011 - 2012,3.25
,,2012 - 2013,3.07
,,2013 - 2014,3.15
,,2014 - 2015,1.86
,,2015 - 2016,2.93
,,2016 - 2017,3.66
,,2017 - 2018,3.67
,,2018 - 2019,3.91
,,2019 - 2020,3.16
,,2020 - 2021,3.87
,,2021 - 2022,3.91
,,2022 - 2023,4.07
,Basti,2000 - 2001,2.54
,,2001 - 2002,2.4
,,2002 - 2003,2.07
,,2003 - 2004,2.37
,,2004 - 2005,2.34
,,2005 - 2006,2.29
,,2006 - 2007,2.37
,,2007 - 2008,2.42
,,2008 - 2009,2.78
,,2009 - 2010,2.46
,,2010 - 2011,2.77
,,2011 - 2012,3.15
,,2012 - 2013,2.91
,,2013 - 2014,3.22
,,2014 - 2015,2.12
,,2015 - 2016,2.62
,,2016 - 2017,3.18
,,2017 - 2018,3.94
,,2018 - 2019,3.76
,,2019 - 2020,3.07
,,2020 - 2021,3.56
,,2021 - 2022,3.64
,,2022 - 2023,3.42
,Bijnor,2000 - 2001,2.67
,,2001 - 2002,2.95
,,2002 - 2003,2.74
,,2003 - 2004,2.76
,,2004 - 2005,2.66
,,2005 - 2006,2.74
,,2006 - 2007,2.95
,,2007 - 2008,2.93
,,2008 - 2009,2.99
,,2009 - 2010,2.86
,,2010 - 2011,3.05
,,2011 - 2012,3.2
,,2012 - 2013,3.19
,,2013 - 2014,3.3
,,2014 - 2015,2.7
,,2015 - 2016,3.1
,,2016 - 2017,3.46
,,2017 - 2018,3.62
,,2018 - 2019,3.75
,,2019 - 2020,3.5
,,2020 - 2021,3.81
,,2021 - 2022,3.75
,,2022 - 2023,3.79
,Budaun,2000 - 2001,3.05
,,2001 - 2002,3.0
,,2002 - 2003,2.7
,,2003 - 2004,2.94
,,2004 - 2005,2.5
,,2005 - 2006,2.72
,,2006 - 2007,2.99
,,2007 - 2008,2.85
,,2008 - 2009,3.2
,,2009 - 2010,3.47
,,2010 - 2011,3.4
,,2011 - 2012,3.47
,,2012 - 2013,3.32
,,2013 - 2014,3.65
,,2014 - 2015,2.11
,,2015 - 2016,2.83
,,2016 - 2017,3.51
,,2017 - 2018,3.69
,,2018 - 2019,3.89
,,2019 - 2020,4.08
,,2020 - 2021,3.91
,,2021 - 2022,3.89
,,2022 - 2023,4.24
,Bulandshahr,2000 - 2001,3.79
,,2001 - 2002,3.87
,,2002 - 2003,3.95
,,2003 - 2004,3.56
,,2004 - 2005,3.44
,,2005 - 2006,3.34
,,2006 - 2007,3.77
,,2007 - 2008,3.57
,,2008 - 2009,3.96
,,2009 - 2010,3.71
,,2010 - 2011,3.95
,,2011 - 2012,4.22
,,2012 - 2013,4.03
,,2013 - 2014,4.12
,,2014 - 2015,2.73
,,2015 - 2016,3.87
,,2016 - 2017,4.27
,,2017 - 2018,4.54
,,2018 - 2019,4.53
,,2019 - 2020,4.38
,,2020 - 2021,4.4
,,2021 - 2022,4.44
,,2022 - 2023,4.29
,Chandauli,2000 - 2001,2.0
,,2001 - 2002,2.0
,,2002 - 2003,1.45
,,2003 - 2004,2.02
,,2004 - 2005,1.33
,,2005 - 2006,1.73
,,2006 - 2007,2.26
,,2007 - 2008,2.26
,,2008 - 2009,2.32
,,2009 - 2010,2.07
,,2010 - 2011,2.54
,,2011 - 2012,2.54
,,2012 - 2013,2.99
,,2013 - 2014,2.63
,,2014 - 2015,1.47
,,2015 - 2016,1.92
,,2016 - 2017,2.88
,,2017 - 2018,3.37
,,2018 - 2019,3.75
,,2019 - 2020,3.41
,,2020 - 2021,3.64
,,2021 - 2022,3.52
,,2022 - 2023,3.18
,Chitrakoot,2000 - 2001,1.56
,,2001 - 2002,2.08
,,2002 - 2003,2.21
,,2003 - 2004,2.26
,,2004 - 2005,1.65
,,2005 - 2006,1.52
,,2006 - 2007,1.25
,,2007 - 2008,1.18
,,2008 - 2009,1.72
,,2009 - 2010,1.88
,,2010 - 2011,1.78
,,2011 - 2012,2.5
,,2012 - 2013,2.41
,,2013 - 2014,1.96
,,2014 - 2015,1.12
,,2015 - 2016,1.19
,,2016 - 2017,3.1
,,2017 - 2018,2.64
,,2018 - 2019,2.71
,,2019 - 2020,2.65
,,2020 - 2021,3.31
,,2021 - 2022,3.19
,,2022 - 2023,3.14
,Deoria,2000 - 2001,2.78
,,2001 - 2002,2.62
,,2002 - 2003,2.18
,,2003 - 2004,2.56
,,2004 - 2005,2.37
,,2005 - 2006,2.19
,,2006 - 2007,2.51
,,2007 - 2008,2.75
,,2008 - 2009,2.72
,,2009 - 2010,2.54
,,2010 - 2011,2.96
,,2011 - 2012,3.08
,,2012 - 2013,3.11
,,2013 - 2014,3.02
,,2014 - 2015,1.88
,,2015 - 2016,2.54
,,2016 - 2017,3.34
,,2017 - 2018,3.14
,,2018 - 2019,3.33
,,2019 - 2020,3.36
,,2020 - 2021,3.48
,,2021 - 2022,3.35
,,2022 - 2023,3.68
,Etah,2000 - 2001,3.24
,,2001 - 2002,2.96
,,2002 - 2003,2.77
,,2003 - 2004,3.1
,,2004 - 2005,2.52
,,2005 - 2006,2.77
,,2006 - 2007,2.83
,,2007 - 2008,2.81
,,2008 - 2009,3.22
,,2009 - 2010,3.04
,,2010 - 2011,3.24
,,2011 - 2012,3.51
,,2012 - 2013,3.39
,,2013 - 2014,3.62
,,2014 - 2015,1.98
,,2015 - 2016,2.9
,,2016 - 2017,3.88
,,2017 - 2018,3.91
,,2018 - 2019,3.84
,,2019 - 2020,4.15
,,2020 - 2021,4.13
,,2021 - 2022,3.89
,,2022 - 2023,4.14
,Etawah,2000 - 2001,2.74
,,2001 - 2002,2.98
,,2002 - 2003,3.11
,,2003 - 2004,3.12
,,2004 - 2005,2.83
,,2005 - 2006,3.06
,,2006 - 2007,3.23
,,2007 - 2008,2.78
,,2008 - 2009,3.48
,,2009 - 2010,2.91
,,2010 - 2011,3.52
,,2011 - 2012,3.85
,,2012 - 2013,3.91
,,2013 - 2014,3.73
,,2014 - 2015,1.71
,,2015 - 2016,3.33
,,2016 - 2017,4.14
,,2017 - 2018,3.75
,,2018 - 2019,4.37
,,2019 - 2020,4.11
,,2020 - 2021,4.12
,,2021 - 2022,3.83
,,2022 - 2023,4.05
,Faizabad,2000 - 2001,2.36
,,2001 - 2002,2.39
,,2002 - 2003,2.18
,,2003 - 2004,2.64
,,2004 - 2005,2.38
,,2005 - 2006,2.61
,,2006 - 2007,2.69
,,2007 - 2008,2.76
,,2008 - 2009,2.82
,,2009 - 2010,2.62
,,2010 - 2011,2.82
,,2011 - 2012,2.96
,,2012 - 2013,2.96
,,2013 - 2014,2.47
,,2014 - 2015,2.06
,,2015 - 2016,2.74
,,2016 - 2017,3.29
,,2017 - 2018,3.78
,,2018 - 2019,3.89
,,2019 - 2020,3.71
,,2020 - 2021,3.53
,,2021 - 2022,3.4
,,2022 - 2023,3.17
,Farrukhabad,2000 - 2001,3.35
,,2001 - 2002,3.35
,,2002 - 2003,3.18
,,2003 - 2004,3.3
,,2004 - 2005,2.92
,,2005 - 2006,3.12
,,2006 - 2007,3.26
,,2007 - 2008,3.17
,,2008 - 2009,3.44
,,2009 - 2010,3.46
,,2010 - 2011,3.58
,,2011 - 2012,3.79
,,2012 - 2013,3.61
,,2013 - 2014,3.48
,,2014 - 2015,2.34
,,2015 - 2016,3.17
,,2016 - 2017,3.92
,,2017 - 2018,4.5
,,2018 - 2019,4.28
,,2019 - 2020,4.21
,,2020 - 2021,4.08
,,2021 - 2022,3.88
,,2022 - 2023,4.14
,Fatehpur,2000 - 2001,2.32
,,2001 - 2002,2.51
,,2002 - 2003,2.45
,,2003 - 2004,2.63
,,2004 - 2005,2.39
,,2005 - 2006,2.16
,,2006 - 2007,2.47
,,2007 - 2008,2.58
,,2008 - 2009,2.9
,,2009 - 2010,2.74
,,2010 - 2011,3.27
,,2011 - 2012,3.28
,,2012 - 2013,3.28
,,2013 - 2014,3.42
,,2014 - 2015,1.96
,,2015 - 2016,2.48
,,2016 - 2017,3.49
,,2017 - 2018,3.48
,,2018 - 2019,3.99
,,2019 - 2020,3.96
,,2020 - 2021,3.8
,,2021 - 2022,3.66
,,2022 - 2023,3.76
,Firozabad,2000 - 2001,2.79
,,2001 - 2002,2.91
,,2002 - 2003,2.84
,,2003 - 2004,3.16
,,2004 - 2005,2.81
,,2005 - 2006,3.1
,,2006 - 2007,2.93
,,2007 - 2008,3.28
,,2008 - 2009,3.45
,,2009 - 2010,3.36
,,2010 - 2011,3.64
,,2011 - 2012,3.61
,,2012 - 2013,3.71
,,2013 - 2014,3.61
,,2014 - 2015,1.92
,,2015 - 2016,3.29
,,2016 - 2017,3.8
,,2017 - 2018,3.4
,,2018 - 2019,3.77
,,2019 - 2020,4.05
,,2020 - 2021,4.14
,,2021 - 2022,3.53
,,2022 - 2023,4.23
,Gautam buddha nagar,2000 - 2001,3.41
,,2001 - 2002,3.73
,,2002 - 2003,3.34
,,2003 - 2004,3.19
,,2004 - 2005,3.19
,,2005 - 2006,2.95
,,2006 - 2007,2.88
,,2007 - 2008,3.17
,,2008 - 2009,3.48
,,2009 - 2010,3.58
,,2010 - 2011,3.73
,,2011 - 2012,3.75
,,2012 - 2013,3.89
,,2013 - 2014,4.18
,,2014 - 2015,2.15
,,2015 - 2016,3.42
,,2016 - 2017,4.08
,,2017 - 2018,3.9
,,2018 - 2019,4.14
,,2019 - 2020,4.22
,,2020 - 2021,4.02
,,2021 - 2022,3.85
,,2022 - 2023,4.06
,Ghaziabad,2000 - 2001,3.45
,,2001 - 2002,3.5
,,2002 - 2003,3.63
,,2003 - 2004,3.54
,,2004 - 2005,3.43
,,2005 - 2006,3.52
,,2006 - 2007,4.01
,,2007 - 2008,3.59
,,2008 - 2009,4.03
,,2009 - 2010,3.52
,,2010 - 2011,4.16
,,2011 - 2012,4.37
,,2012 - 2013,4.38
,,2013 - 2014,4.11
,,2014 - 2015,3.26
,,2015 - 2016,3.61
,,2016 - 2017,4.16
,,2017 - 2018,4.03
,,2018 - 2019,4.25
,,2019 - 2020,4.11
,,2020 - 2021,4.27
,,2021 - 2022,4.2
,,2022 - 2023,3.98
