state,district,year,turmeric_whole_year_yield_tonne_per_hectare
,,2011 - 2012,3.47
,,2012 - 2013,2.93
,,2013 - 2014,2.99
,,2014 - 2015,2.99
,,2015 - 2016,3.0
,,2016 - 2017,2.31
,,2017 - 2018,2.33
,,2018 - 2019,2.51
,,2019 - 2020,2.38
,,2020 - 2021,2.62
,,2021 - 2022,2.78
,,2022 - 2023,2.79
Madhya Pradesh,Agar malwa,2015 - 2016,20.2
,,2016 - 2017,20.2
,,2017 - 2018,20.2
,,2018 - 2019,20.2
,,2019 - 2020,20.2
,Alirajpur,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,0.92
,,2013 - 2014,0.86
,,2015 - 2016,25.0
,,2016 - 2017,27.0
,,2017 - 2018,29.3
,,2018 - 2019,29.32
,,2019 - 2020,19.34
,Anuppur,2004 - 2005,0.8
,,2007 - 2008,0.83
,,2008 - 2009,0.8
,,2009 - 2010,0.8
,,2010 - 2011,0.54
,,2011 - 2012,0.67
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2015 - 2016,18.5
,,2016 - 2017,19.3
,,2017 - 2018,19.4
,,2018 - 2019,19.5
,,2019 - 2020,19.75
,Ashoknagar,2015 - 2016,16.0
,,2016 - 2017,16.0
,,2017 - 2018,16.0
,,2018 - 2019,16.06
,,2019 - 2020,16.06
,Balaghat,2000 - 2001,0.87
,,2001 - 2002,0.86
,,2003 - 2004,0.86
,,2004 - 2005,0.88
,,2006 - 2007,0.72
,,2007 - 2008,0.71
,,2008 - 2009,0.92
,,2009 - 2010,0.73
,,2010 - 2011,0.48
,,2011 - 2012,0.67
,,2012 - 2013,0.71
,,2013 - 2014,0.72
,,2015 - 2016,19.98
,,2016 - 2017,19.25
,,2017 - 2018,21.12
,,2018 - 2019,21.27
,,2019 - 2020,21.33
,Barwani,2000 - 2001,0.74
,,2001 - 2002,1.11
,,2002 - 2003,0.5
,,2003 - 2004,1.14
,,2004 - 2005,1.11
,,2006 - 2007,0.82
,,2007 - 2008,0.76
,,2008 - 2009,0.86
,,2009 - 2010,0.87
,,2010 - 2011,0.67
,,2011 - 2012,0.62
,,2012 - 2013,1.86
,,2013 - 2014,1.76
,,2015 - 2016,22.5
,,2016 - 2017,26.5
,,2017 - 2018,22.0
,,2018 - 2019,22.0
,,2019 - 2020,22.0
,Betul,2000 - 2001,0.88
,,2001 - 2002,1.0
,,2002 - 2003,0.44
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2015 - 2016,12.0
,,2016 - 2017,12.0
,,2017 - 2018,12.24
,,2018 - 2019,11.46
,,2019 - 2020,11.49
,Bhind,2003 - 2004,1.0
,,2015 - 2016,43.87
,,2016 - 2017,12.0
,,2017 - 2018,12.19
,,2018 - 2019,12.19
,,2019 - 2020,12.19
,Bhopal,2015 - 2016,32.48
,,2016 - 2017,25.33
,,2017 - 2018,26.0
,,2018 - 2019,26.0
,,2019 - 2020,21.04
,Burhanpur,2003 - 2004,1.0
,,2009 - 2010,1.0
,,2010 - 2011,0.75
,,2011 - 2012,0.67
,,2012 - 2013,1.0
,,2013 - 2014,0.76
,,2015 - 2016,25.0
,,2016 - 2017,30.0
,,2017 - 2018,30.0
,,2018 - 2019,30.0
,,2019 - 2020,26.07
,Chhatarpur,2000 - 2001,0.67
,,2001 - 2002,0.67
,,2003 - 2004,0.74
,,2004 - 2005,0.74
,,2006 - 2007,0.69
,,2007 - 2008,0.61
,,2008 - 2009,0.61
,,2009 - 2010,0.6
,,2010 - 2011,0.35
,,2011 - 2012,0.39
,,2012 - 2013,0.69
,,2013 - 2014,0.74
,,2015 - 2016,16.01
,,2016 - 2017,16.03
,,2017 - 2018,10.0
,,2018 - 2019,8.11
,,2019 - 2020,15.11
,Chhindwara,2000 - 2001,0.88
,,2001 - 2002,1.0
,,2002 - 2003,1.41
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2006 - 2007,1.0
,,2007 - 2008,0.75
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,0.83
,,2011 - 2012,0.9
,,2012 - 2013,1.14
,,2013 - 2014,1.22
,,2015 - 2016,20.0
,,2016 - 2017,20.0
,,2017 - 2018,20.0
,,2018 - 2019,22.0
,,2019 - 2020,22.0
,Damoh,2000 - 2001,0.6
,,2001 - 2002,0.83
,,2003 - 2004,1.0
,,2004 - 2005,0.83
,,2006 - 2007,0.67
,,2007 - 2008,0.67
,,2008 - 2009,1.0
,,2009 - 2010,0.6
,,2010 - 2011,0.69
,,2011 - 2012,0.71
,,2012 - 2013,1.23
,,2013 - 2014,1.33
,,2015 - 2016,25.0
,,2016 - 2017,25.0
,,2017 - 2018,25.0
,,2018 - 2019,25.0
,,2019 - 2020,25.0
,Datia,2002 - 2003,0.01
,,2004 - 2005,0.5
,,2013 - 2014,0.75
,,2015 - 2016,23.0
,,2016 - 2017,23.0
,,2017 - 2018,23.0
,,2018 - 2019,23.0
,,2019 - 2020,23.0
,Dewas,2002 - 2003,0.69
,,2010 - 2011,1.0
,,2011 - 2012,0.8
,,2012 - 2013,0.9
,,2013 - 2014,0.8
,,2015 - 2016,19.25
,,2016 - 2017,19.25
,,2017 - 2018,19.37
,,2018 - 2019,19.48
,,2019 - 2020,19.48
,Dhar,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.8
,,2003 - 2004,0.75
,,2004 - 2005,0.89
,,2006 - 2007,0.93
,,2007 - 2008,0.94
,,2008 - 2009,0.86
,,2009 - 2010,0.88
,,2010 - 2011,0.77
,,2011 - 2012,0.76
,,2012 - 2013,1.0
,,2013 - 2014,0.93
,,2015 - 2016,16.0
,,2016 - 2017,30.84
,,2017 - 2018,30.85
,,2018 - 2019,30.85
,,2019 - 2020,26.27
,Dindori,2015 - 2016,0.01
,,2016 - 2017,16.75
,,2017 - 2018,16.5
,,2018 - 2019,16.5
,,2019 - 2020,16.49
,Guna,2015 - 2016,15.0
,,2016 - 2017,15.0
,,2017 - 2018,15.0
,,2018 - 2019,15.0
,,2019 - 2020,15.0
,Gwalior,2015 - 2016,25.0
,,2016 - 2017,25.0
,,2017 - 2018,25.0
,,2018 - 2019,25.0
,,2019 - 2020,25.0
,Harda,2001 - 2002,1.0
,,2002 - 2003,0.51
,,2003 - 2004,1.33
,,2004 - 2005,1.33
,,2009 - 2010,1.07
,,2010 - 2011,0.88
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.09
,,2015 - 2016,24.0
,,2016 - 2017,24.0
,,2017 - 2018,24.02
,,2018 - 2019,24.0
,,2019 - 2020,24.0
,Hoshangabad,2000 - 2001,1.33
,,2001 - 2002,1.44
,,2002 - 2003,0.5
,,2003 - 2004,1.43
,,2004 - 2005,1.5
,,2006 - 2007,1.43
,,2007 - 2008,1.31
,,2008 - 2009,1.46
,,2009 - 2010,1.47
,,2010 - 2011,1.21
,,2011 - 2012,1.33
,,2012 - 2013,1.33
,,2013 - 2014,1.4
,,2015 - 2016,21.0
,,2016 - 2017,20.5
,,2017 - 2018,20.5
,,2018 - 2019,20.03
,,2019 - 2020,20.03
,Indore,2000 - 2001,0.5
,,2001 - 2002,1.0
,,2002 - 2003,0.45
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2008 - 2009,1.0
,,2010 - 2011,0.67
,,2012 - 2013,1.0
,,2017 - 2018,25.0
,,2018 - 2019,30.0
,,2019 - 2020,18.5
,Jabalpur,2001 - 2002,1.0
,,2003 - 2004,1.44
,,2004 - 2005,1.5
,,2006 - 2007,2.29
,,2007 - 2008,1.21
,,2009 - 2010,1.8
,,2010 - 2011,1.25
,,2011 - 2012,1.0
,,2012 - 2013,1.65
,,2013 - 2014,1.7
,,2015 - 2016,13.87
,,2016 - 2017,13.87
,,2017 - 2018,16.51
,,2018 - 2019,16.51
,,2019 - 2020,16.51
,Jhabua,2001 - 2002,1.0
,,2002 - 2003,0.43
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,0.8
,,2011 - 2012,0.73
,,2012 - 2013,1.29
,,2013 - 2014,1.2
,,2015 - 2016,20.0
,,2016 - 2017,5.0
,,2017 - 2018,20.0
,,2018 - 2019,20.0
,,2019 - 2020,20.0
,Katni,2000 - 2001,1.19
,,2001 - 2002,1.17
,,2003 - 2004,1.44
,,2004 - 2005,1.44
,,2006 - 2007,0.79
,,2007 - 2008,0.74
,,2008 - 2009,0.93
,,2009 - 2010,0.79
,,2010 - 2011,0.36
,,2011 - 2012,0.7
,,2012 - 2013,0.96
,,2013 - 2014,1.01
,,2015 - 2016,12.52
,,2016 - 2017,22.5
,,2017 - 2018,22.5
,,2018 - 2019,22.5
,,2019 - 2020,22.5
,Khandwa,2000 - 2001,1.0
,,2001 - 2002,0.67
,,2002 - 2003,0.57
,,2003 - 2004,0.8
,,2004 - 2005,1.0
,,2006 - 2007,0.75
,,2007 - 2008,0.76
,,2008 - 2009,0.87
,,2009 - 2010,0.75
,,2010 - 2011,0.75
,,2011 - 2012,0.63
,,2012 - 2013,1.0
,,2013 - 2014,0.74
,,2015 - 2016,20.0
,,2016 - 2017,11.0
,,2017 - 2018,11.0
,,2018 - 2019,11.0
,,2019 - 2020,11.01
,Khargone,2000 - 2001,0.71
,,2001 - 2002,1.08
,,2002 - 2003,0.68
,,2003 - 2004,1.0
,,2004 - 2005,1.1
,,2006 - 2007,1.0
,,2007 - 2008,1.03
,,2008 - 2009,1.24
,,2009 - 2010,1.21
,,2010 - 2011,0.89
,,2011 - 2012,0.89
,,2012 - 2013,0.98
,,2013 - 2014,0.93
,,2015 - 2016,24.2
,,2016 - 2017,24.3
,,2017 - 2018,24.3
,,2018 - 2019,24.3
,,2019 - 2020,24.3
,Mandla,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2003 - 2004,1.25
,,2004 - 2005,1.2
,,2006 - 2007,1.6
,,2007 - 2008,1.2
,,2008 - 2009,1.5
,,2009 - 2010,1.67
,,2010 - 2011,1.33
,,2011 - 2012,1.4
,,2012 - 2013,1.86
,,2013 - 2014,2.0
,,2015 - 2016,16.84
,,2016 - 2017,28.68
,,2017 - 2018,29.35
,,2018 - 2019,29.38
,,2019 - 2020,18.27
,Mandsaur,2002 - 2003,0.29
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2011 - 2012,1.0
,,2012 - 2013,0.75
,Narsinghpur,2000 - 2001,0.83
,,2001 - 2002,1.0
,,2003 - 2004,1.18
,,2004 - 2005,1.12
,,2006 - 2007,1.17
,,2007 - 2008,1.14
,,2008 - 2009,1.08
,,2009 - 2010,1.17
,,2010 - 2011,0.9
,,2011 - 2012,1.2
,,2012 - 2013,1.43
,,2013 - 2014,1.3
,,2015 - 2016,16.48
,,2016 - 2017,16.3
,,2017 - 2018,16.3
,,2018 - 2019,16.35
,,2019 - 2020,16.35
,Neemuch,2001 - 2002,0.75
,,2003 - 2004,0.75
,,2004 - 2005,1.0
,,2006 - 2007,1.0
,,2007 - 2008,0.67
,,2008 - 2009,1.0
,,2009 - 2010,0.67
,,2010 - 2011,1.0
,,2011 - 2012,0.6
,,2012 - 2013,0.8
,,2013 - 2014,1.0
,,2017 - 2018,12.0
,,2018 - 2019,4.0
,,2019 - 2020,24.0
,Panna,2000 - 2001,0.75
,,2004 - 2005,0.9
,,2006 - 2007,0.75
,,2007 - 2008,1.0
,,2015 - 2016,10.0
,,2016 - 2017,10.0
,,2017 - 2018,10.0
,,2018 - 2019,10.0
,,2019 - 2020,10.0
,Raisen,2000 - 2001,0.8
,,2003 - 2004,0.67
,,2006 - 2007,0.73
,,2007 - 2008,0.85
,,2012 - 2013,0.78
,,2013 - 2014,1.0
,,2015 - 2016,20.63
,,2016 - 2017,17.0
,,2017 - 2018,17.0
,,2018 - 2019,17.0
,,2019 - 2020,17.0
,Rajgarh,2003 - 2004,1.0
,,2004 - 2005,1.0
,Ratlam,2000 - 2001,0.5
,,2002 - 2003,0.66
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2006 - 2007,1.0
,,2007 - 2008,0.68
,,2008 - 2009,1.0
,,2009 - 2010,0.75
,,2010 - 2011,0.67
,,2011 - 2012,0.67
,,2012 - 2013,0.75
,,2013 - 2014,1.0
,,2015 - 2016,17.27
,,2016 - 2017,17.28
,,2017 - 2018,17.28
,,2018 - 2019,17.88
,,2019 - 2020,17.51
,Rewa,2000 - 2001,1.06
,,2001 - 2002,1.06
,,2003 - 2004,0.87
,,2004 - 2005,0.88
,,2006 - 2007,0.85
,,2007 - 2008,0.9
,,2008 - 2009,0.89
,,2009 - 2010,0.85
,,2010 - 2011,0.53
,,2011 - 2012,0.65
,,2012 - 2013,0.92
,,2013 - 2014,0.65
,,2015 - 2016,13.15
,,2016 - 2017,14.5
,,2017 - 2018,14.5
,,2018 - 2019,14.5
,,2019 - 2020,14.5
,Sagar,2000 - 2001,0.82
,,2001 - 2002,0.92
,,2003 - 2004,0.83
,,2004 - 2005,0.76
,,2006 - 2007,0.77
,,2007 - 2008,0.75
,,2008 - 2009,0.61
,,2009 - 2010,0.64
,,2010 - 2011,0.45
,,2011 - 2012,0.5
,,2012 - 2013,0.86
,,2013 - 2014,1.16
,,2015 - 2016,20.0
,,2016 - 2017,20.0
,,2017 - 2018,20.0
,,2018 - 2019,20.03
,,2019 - 2020,20.03
,Satna,2000 - 2001,0.85
,,2001 - 2002,1.12
,,2003 - 2004,1.12
,,2004 - 2005,1.11
,,2006 - 2007,0.9
,,2007 - 2008,0.93
,,2008 - 2009,0.92
,,2009 - 2010,1.04
,,2010 - 2011,0.76
,,2011 - 2012,0.78
,,2012 - 2013,1.0
,,2013 - 2014,0.68
,,2015 - 2016,13.04
,,2016 - 2017,12.94
,,2017 - 2018,13.27
,,2018 - 2019,12.83
,,2019 - 2020,12.79
,Sehore,2000 - 2001,1.0
,,2002 - 2003,0.36
,,2015 - 2016,27.5
,,2016 - 2017,29.5
,,2017 - 2018,20.0
,,2018 - 2019,20.0
,,2019 - 2020,20.0
,Seoni,2000 - 2001,0.86
,,2001 - 2002,0.82
,,2002 - 2003,0.78
,,2003 - 2004,0.8
,,2004 - 2005,0.8
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,0.77
,,2011 - 2012,0.8
,,2012 - 2013,1.08
,,2013 - 2014,1.31
,,2015 - 2016,14.01
,,2016 - 2017,15.19
,,2017 - 2018,15.4
,,2018 - 2019,15.36
,,2019 - 2020,15.37
,Shahdol,2000 - 2001,0.83
,,2001 - 2002,0.95
,,2003 - 2004,0.86
,,2004 - 2005,0.8
,,2006 - 2007,0.8
,,2007 - 2008,0.79
,,2008 - 2009,0.81
,,2009 - 2010,0.78
,,2010 - 2011,0.59
,,2011 - 2012,0.54
,,2012 - 2013,0.98
,,2013 - 2014,1.56
,,2015 - 2016,17.85
,,2016 - 2017,17.16
,,2017 - 2018,15.24
,,2018 - 2019,15.42
,,2019 - 2020,15.45
,Shajapur,2002 - 2003,0.5
,,2006 - 2007,1.0
,,2009 - 2010,1.0
,,2015 - 2016,20.45
,,2016 - 2017,20.5
,,2017 - 2018,20.6
,,2018 - 2019,20.6
,,2019 - 2020,20.6
,Sheopur,2002 - 2003,0.25
,,2015 - 2016,19.5
,,2016 - 2017,28.57
,,2017 - 2018,24.0
,,2018 - 2019,24.0
,,2019 - 2020,24.0
,Shivpuri,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2003 - 2004,0.75
,,2004 - 2005,1.0
,,2006 - 2007,0.5
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2012 - 2013,1.0
,,2015 - 2016,19.0
,,2016 - 2017,20.0
,,2017 - 2018,20.0
,,2018 - 2019,20.0
,,2019 - 2020,19.57
,Sidhi,2000 - 2001,0.96
,,2001 - 2002,1.09
,,2002 - 2003,0.01
,,2003 - 2004,0.93
,,2004 - 2005,0.91
,,2006 - 2007,0.9
,,2007 - 2008,0.83
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,0.6
,,2011 - 2012,0.64
,,2012 - 2013,1.26
,,2013 - 2014,1.92
,,2015 - 2016,20.0
,,2016 - 2017,21.09
,,2017 - 2018,20.0
,,2018 - 2019,20.07
,,2019 - 2020,20.07
,Singrauli,2008 - 2009,0.94
,,2009 - 2010,1.08
,,2010 - 2011,0.84
,,2011 - 2012,0.74
,,2012 - 2013,1.25
,,2013 - 2014,1.96
,,2015 - 2016,16.5
,,2016 - 2017,16.6
,,2017 - 2018,16.8
,,2018 - 2019,17.0
,,2019 - 2020,18.0
,Tikamgarh,2000 - 2001,1.55
,,2001 - 2002,1.58
,,2003 - 2004,1.48
,,2004 - 2005,0.99
,,2006 - 2007,0.98
,,2007 - 2008,0.98
,,2008 - 2009,1.27
,,2009 - 2010,1.22
,,2010 - 2011,0.54
,,2011 - 2012,0.9
,,2012 - 2013,0.99
,,2013 - 2014,0.89
,,2015 - 2016,11.0
,,2016 - 2017,11.0
,,2017 - 2018,11.0
,,2018 - 2019,13.0
,,2019 - 2020,13.0
,Ujjain,2002 - 2003,0.26
,,2003 - 2004,1.0
,,2004 - 2005,1.54
,,2006 - 2007,1.56
,,2007 - 2008,1.5
,,2012 - 2013,1.4
,,2013 - 2014,1.5
,,2015 - 2016,23.5
,,2016 - 2017,23.5
,,2017 - 2018,23.72
,,2018 - 2019,23.9
,,2019 - 2020,24.0
,Umaria,2000 - 2001,0.8
,,2001 - 2002,0.83
,,2003 - 2004,0.77
,,2004 - 2005,0.78
,,2006 - 2007,0.75
,,2007 - 2008,0.8
,,2008 - 2009,0.82
,,2009 - 2010,0.8
,,2010 - 2011,0.42
,,2011 - 2012,0.48
,,2012 - 2013,0.8
,,2013 - 2014,1.68
,,2015 - 2016,4.44
,,2016 - 2017,7.0
,,2017 - 2018,4.75
,,2018 - 2019,4.75
,,2019 - 2020,13.97
,Vidisha,2001 - 2002,0.67
,,2010 - 2011,1.0
,,2015 - 2016,10.26
,,2016 - 2017,21.78
,,2017 - 2018,16.91
,,2018 - 2019,17.49
,,2019 - 2020,17.47
Manipur,Bishnupur,2002 - 2003,0.65
,,2003 - 2004,0.68
,,2004 - 2005,0.68
,,2005 - 2006,0.67
,,2006 - 2007,1.0
,,2007 - 2008,0.7
,,2008 - 2009,10.67
,,2009 - 2010,10.7
,,2010 - 2011,10.12
,,2011 - 2012,11.47
,,2012 - 2013,11.7
,,2013 - 2014,12.0
,,2014 - 2015,11.82
,,2015 - 2016,10.05
,,2016 - 2017,10.0
,,2017 - 2018,9.98
,,2018 - 2019,9.98
,Chandel,2002 - 2003,0.75
,,2003 - 2004,0.75
,,2006 - 2007,1.0
,,2008 - 2009,6.94
,,2009 - 2010,6.96
,,2010 - 2011,6.88
,,2011 - 2012,11.47
,,2012 - 2013,11.7
,,2013 - 2014,12.0
,,2014 - 2015,11.95
,,2015 - 2016,11.0
,,2016 - 2017,10.76
,,2017 - 2018,17.0
,,2018 - 2019,17.0
,Churachandpur,2002 - 2003,0.67
,,2008 - 2009,23.65
,,2009 - 2010,23.68
,,2010 - 2011,21.83
,,2011 - 2012,11.47
,,2012 - 2013,11.7
,,2013 - 2014,12.0
,,2014 - 2015,11.0
,,2015 - 2016,12.0
,,2016 - 2017,12.0
,,2017 - 2018,11.98
,,2018 - 2019,11.98
,Imphal east,2003 - 2004,0.75
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2008 - 2009,11.05
,,2009 - 2010,11.06
,,2010 - 2011,10.82
,,2011 - 2012,11.47
,,2012 - 2013,11.7
,,2013 - 2014,12.0
,,2014 - 2015,12.02
,,2015 - 2016,12.0
,,2016 - 2017,12.01
,Imphal west,2002 - 2003,1.0
,,2005 - 2006,0.67
,,2007 - 2008,1.0
,,2008 - 2009,11.12
,,2009 - 2010,11.21
,,2010 - 2011,11.15
,,2011 - 2012,11.47
,,2012 - 2013,11.7
,,2013 - 2014,12.0
,,2014 - 2015,11.85
,,2015 - 2016,10.81
,,2016 - 2017,10.81
,,2017 - 2018,10.77
,,2018 - 2019,10.77
,Senapati,2005 - 2006,1.0
,,2006 - 2007,0.67
,,2007 - 2008,0.75
,,2008 - 2009,13.39
,,2009 - 2010,13.4
,,2010 - 2011,12.96
,,2011 - 2012,11.47
,,2012 - 2013,11.7
,,2013 - 2014,12.0
,,2014 - 2015,11.86
,,2015 - 2016,12.01
,,2016 - 2017,12.09
,,2017 - 2018,12.08
,,2018 - 2019,12.04
,Tamenglong,2008 - 2009,8.82
,,2009 - 2010,8.84
,,2010 - 2011,8.17
,,2011 - 2012,11.47
,,2012 - 2013,11.7
,,2013 - 2014,12.0
,,2014 - 2015,13.19
,,2015 - 2016,15.2
,,2016 - 2017,15.45
,,2017 - 2018,14.93
,,2018 - 2019,15.29
,Thoubal,2002 - 2003,1.0
,,2003 - 2004,0.75
,,2004 - 2005,0.6
,,2008 - 2009,10.69
,,2009 - 2010,10.71
,,2010 - 2011,9.81
,,2011 - 2012,11.47
,,2012 - 2013,11.7
,,2013 - 2014,12.0
,,2014 - 2015,11.81
,,2015 - 2016,10.93
,,2016 - 2017,10.93
,,2017 - 2018,10.88
,,2018 - 2019,10.9
,Ukhrul,2002 - 2003,0.75
,,2003 - 2004,0.67
,,2004 - 2005,0.68
,,2006 - 2007,1.0
,,2007 - 2008,0.6
,,2008 - 2009,9.66
,,2009 - 2010,9.71
,,2010 - 2011,9.3
,,2011 - 2012,11.47
,,2012 - 2013,11.7
,,2013 - 2014,12.0
,,2014 - 2015,12.0
,,2015 - 2016,12.71
,,2016 - 2017,12.0
,,2017 - 2018,12.0
,,2018 - 2019,11.92
Meghalaya,East garo hills,2000 - 2001,5.56
,,2001 - 2002,5.56
,,2002 - 2003,5.48
,,2003 - 2004,5.54
,,2004 - 2005,4.52
,,2005 - 2006,5.51
,,2006 - 2007,
,,2008 - 2009,5.54
,,2010 - 2011,5.54
,,2011 - 2012,5.55
,,2012 - 2013,6.1
,,2013 - 2014,6.49
,,2014 - 2015,6.56
,,2015 - 2016,6.77
,,2016 - 2017,5.55
,,2017 - 2018,5.55
,,2018 - 2019,5.56
,,2019 - 2020,5.56
,,2020 - 2021,5.57
,,2022 - 2023,5.5
,East jaintia hills,2000 - 2001,5.87
,,2001 - 2002,5.87
,,2002 - 2003,5.84
,,2003 - 2004,5.73
,,2004 - 2005,5.95
,,2005 - 2006,6.12
,,2006 - 2007,
,,2008 - 2009,5.29
,,2010 - 2011,5.29
,,2011 - 2012,5.3
,,2012 - 2013,5.87
,,2013 - 2014,5.49
,,2014 - 2015,5.66
,,2015 - 2016,5.83
,,2016 - 2017,5.8
,,2017 - 2018,5.81
,,2018 - 2019,5.81
,,2019 - 2020,5.81
,,2020 - 2021,5.82
,,2022 - 2023,5.01
,East khasi hills,2000 - 2001,6.38
,,2001 - 2002,6.4
,,2002 - 2003,6.01
,,2003 - 2004,5.72
,,2004 - 2005,5.47
,,2005 - 2006,5.52
,,2006 - 2007,
,,2008 - 2009,5.2
,,2010 - 2011,4.96
,,2011 - 2012,5.08
,,2012 - 2013,5.5
,,2013 - 2014,5.68
,,2014 - 2015,5.8
,,2015 - 2016,5.85
,,2016 - 2017,5.38
,,2017 - 2018,5.39
,,2018 - 2019,5.39
,,2019 - 2020,5.39
,,2020 - 2021,5.41
,,2022 - 2023,5.4
,North garo hills,2013 - 2014,6.25
,,2014 - 2015,6.31
,,2015 - 2016,6.51
,,2016 - 2017,5.52
,,2017 - 2018,5.53
,,2018 - 2019,5.54
,,2019 - 2020,5.55
,,2020 - 2021,5.56
,,2022 - 2023,5.58
,Ri bhoi,2000 - 2001,7.43
,,2001 - 2002,7.47
,,2002 - 2003,7.45
,,2003 - 2004,7.35
,,2004 - 2005,4.51
,,2005 - 2006,8.46
,,2006 - 2007,
,,2008 - 2009,4.29
,,2010 - 2011,6.41
,,2011 - 2012,6.46
,,2012 - 2013,7.1
,,2013 - 2014,7.47
,,2014 - 2015,7.77
,,2015 - 2016,8.01
,,2016 - 2017,8.01
,,2017 - 2018,8.02
,,2018 - 2019,8.02
,,2019 - 2020,8.02
,,2020 - 2021,8.02
,,2022 - 2023,8.02
,South garo hills,2000 - 2001,5.0
,,2001 - 2002,5.0
,,2002 - 2003,5.07
,,2003 - 2004,5.0
,,2004 - 2005,3.64
,,2005 - 2006,5.0
,,2006 - 2007,
,,2008 - 2009,5.07
,,2010 - 2011,5.04
,,2011 - 2012,5.05
,,2012 - 2013,5.66
,,2013 - 2014,6.02
,,2014 - 2015,6.11
,,2015 - 2016,6.24
,,2016 - 2017,6.24
,,2017 - 2018,6.24
,,2018 - 2019,6.25
,,2019 - 2020,6.25
,,2020 - 2021,6.26
,,2022 - 2023,7.55
,South west garo hills,2013 - 2014,5.92
,,2014 - 2015,5.94
,,2015 - 2016,6.08
,,2016 - 2017,6.4
,,2017 - 2018,6.4
,,2018 - 2019,6.4
,,2019 - 2020,6.41
,,2020 - 2021,6.41
,,2022 - 2023,6.42
,South west khasi hills,2013 - 2014,4.4
,,2014 - 2015,4.44
,,2015 - 2016,4.53
,,2016 - 2017,4.52
,,2017 - 2018,4.52
,,2018 - 2019,4.52
,,2019 - 2020,4.53
,,2020 - 2021,4.54
,,2022 - 2023,4.55
,West garo hills,2000 - 2001,4.96
,,2001 - 2002,4.96
,,2002 - 2003,4.96
,,2003 - 2004,4.96
,,2004 - 2005,4.96
,,2005 - 2006,4.97
,,2006 - 2007,
,,2008 - 2009,5.0
,,2010 - 2011,5.0
,,2011 - 2012,5.01
,,2012 - 2013,5.55
,,2013 - 2014,5.86
,,2014 - 2015,5.88
,,2015 - 2016,6.1
,,2016 - 2017,6.1
,,2017 - 2018,6.1
,,2018 - 2019,6.1
,,2019 - 2020,6.11
,,2020 - 2021,6.11
,,2022 - 2023,6.11
,West jaintia hills,2013 - 2014,6.23
,,2014 - 2015,6.33
,,2015 - 2016,6.38
,,2016 - 2017,6.29
,,2017 - 2018,6.29
,,2018 - 2019,6.29
,,2019 - 2020,6.31
,,2020 - 2021,6.32
,,2022 - 2023,6.47
,West khasi hills,2000 - 2001,3.05
,,2001 - 2002,3.32
,,2002 - 2003,3.29
,,2003 - 2004,4.0
,,2004 - 2005,3.96
,,2005 - 2006,3.77
,,2006 - 2007,
,,2008 - 2009,3.65
,,2010 - 2011,3.93
,,2011 - 2012,4.02
,,2012 - 2013,4.45
,,2013 - 2014,4.98
,,2014 - 2015,5.17
,,2015 - 2016,5.22
,,2016 - 2017,5.22
,,2017 - 2018,5.22
,,2018 - 2019,5.22
,,2019 - 2020,5.22
,,2020 - 2021,5.22
,,2022 - 2023,5.53
Nagaland,Dimapur,2007 - 2008,
,,2008 - 2009,
,Kiphire,2008 - 2009,
,Kohima,2007 - 2008,
,,2008 - 2009,
,Longleng,2008 - 2009,
,Mokokchung,2007 - 2008,
,,2008 - 2009,
,Mon,2008 - 2009,
,Peren,2008 - 2009,
,Phek,2008 - 2009,
,Tuensang,2008 - 2009,
,Wokha,2007 - 2008,
,,2008 - 2009,
,Zunheboto,2008 - 2009,
Odisha,Anugul,2000 - 2001,2.35
,,2001 - 2002,2.34
,,2002 - 2003,2.34
,,2003 - 2004,2.33
,,2004 - 2005,2.35
,,2019 - 2020,
,Balangir,2001 - 2002,2.29
,,2002 - 2003,2.0
,,2003 - 2004,2.5
,,2004 - 2005,2.16
,,2019 - 2020,
,Baleshwar,2000 - 2001,2.38
,,2001 - 2002,2.38
,,2002 - 2003,2.38
,,2003 - 2004,2.39
,,2004 - 2005,2.38
,,2019 - 2020,
,Bargarh,2000 - 2001,2.3
