state,district,year,cotton_kharif_yield_tonne_per_hectare
,,2001 - 2002,1.47
,,2002 - 2003,0.7
,,2003 - 2004,1.19
,,2004 - 2005,1.47
,,2005 - 2006,1.72
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.58
,,2011 - 2012,3.22
,,2012 - 2013,3.04
,,2013 - 2014,2.95
,,2014 - 2015,3.38
,,2015 - 2016,2.21
,,2016 - 2017,1.33
,,2017 - 2018,0.0
,,2018 - 2019,2.49
,,2019 - 2020,3.1
,,2020 - 2021,2.37
,,2021 - 2022,2.25
,,2022 - 2023,2.38
,Dindigul,2000 - 2001,2.97
,,2001 - 2002,2.18
,,2002 - 2003,1.05
,,2003 - 2004,1.29
,,2004 - 2005,1.67
,,2005 - 2006,2.17
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.78
,,2011 - 2012,2.85
,,2012 - 2013,1.67
,,2013 - 2014,3.11
,,2014 - 2015,6.1
,,2015 - 2016,4.64
,,2016 - 2017,1.3
,,2017 - 2018,0.0
,,2018 - 2019,2.17
,,2019 - 2020,2.43
,,2020 - 2021,1.95
,,2021 - 2022,1.62
,,2022 - 2023,1.91
,Erode,2000 - 2001,2.0
,,2001 - 2002,2.18
,,2002 - 2003,1.74
,,2003 - 2004,1.37
,,2004 - 2005,2.26
,,2005 - 2006,2.65
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,3.38
,,2011 - 2012,4.36
,,2012 - 2013,2.46
,,2013 - 2014,2.87
,,2014 - 2015,3.14
,,2015 - 2016,1.86
,,2016 - 2017,1.3
,,2017 - 2018,0.0
,,2018 - 2019,2.16
,,2019 - 2020,2.44
,,2020 - 2021,1.95
,,2021 - 2022,1.61
,,2022 - 2023,1.9
,Kallakurichi,2020 - 2021,1.63
,,2021 - 2022,0.68
,,2022 - 2023,1.41
,Kanchipuram,2000 - 2001,2.39
,,2001 - 2002,2.05
,,2002 - 2003,1.95
,,2003 - 2004,1.88
,,2004 - 2005,1.96
,,2005 - 2006,2.11
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.0
,,2013 - 2014,3.0
,,2014 - 2015,3.14
,,2015 - 2016,2.0
,,2016 - 2017,1.0
,Kanniyakumari,2000 - 2001,2.0
,,2001 - 2002,0.25
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,Karur,2000 - 2001,2.09
,,2001 - 2002,1.73
,,2002 - 2003,1.69
,,2003 - 2004,1.5
,,2004 - 2005,1.71
,,2005 - 2006,1.82
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.89
,,2011 - 2012,2.85
,,2012 - 2013,1.86
,,2013 - 2014,2.87
,,2014 - 2015,3.14
,,2015 - 2016,1.86
,,2016 - 2017,1.29
,,2017 - 2018,0.0
,,2018 - 2019,2.17
,,2019 - 2020,2.42
,,2020 - 2021,1.96
,,2021 - 2022,1.61
,,2022 - 2023,1.89
,Krishnagiri,2004 - 2005,1.37
,,2005 - 2006,1.04
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.32
,,2011 - 2012,2.56
,,2012 - 2013,2.66
,,2013 - 2014,3.03
,,2014 - 2015,2.93
,,2015 - 2016,2.58
,,2016 - 2017,1.52
,,2017 - 2018,0.0
,,2018 - 2019,2.45
,,2019 - 2020,3.14
,,2020 - 2021,3.33
,,2021 - 2022,0.69
,,2022 - 2023,1.37
,Madurai,2000 - 2001,1.15
,,2001 - 2002,0.83
,,2002 - 2003,0.65
,,2003 - 2004,0.62
,,2004 - 2005,0.57
,,2005 - 2006,1.32
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.76
,,2011 - 2012,1.96
,,2012 - 2013,1.32
,,2013 - 2014,1.72
,,2014 - 2015,1.34
,,2015 - 2016,2.03
,,2016 - 2017,1.27
,,2017 - 2018,0.0
,,2018 - 2019,1.63
,,2019 - 2020,2.4
,,2020 - 2021,2.11
,,2021 - 2022,1.02
,,2022 - 2023,1.99
,Mayiladuthurai,2020 - 2021,1.95
,,2021 - 2022,1.63
,,2022 - 2023,
,Nagapattinam,2000 - 2001,2.24
,,2001 - 2002,1.45
,,2002 - 2003,1.95
,,2003 - 2004,1.88
,,2004 - 2005,1.7
,,2005 - 2006,2.13
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.92
,,2011 - 2012,3.0
,,2012 - 2013,2.51
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,1.25
,,2017 - 2018,0.0
,,2018 - 2019,2.07
,,2019 - 2020,2.44
,,2020 - 2021,2.5
,,2021 - 2022,1.62
,,2022 - 2023,2.0
,Namakkal,2000 - 2001,2.1
,,2001 - 2002,2.15
,,2002 - 2003,1.78
,,2003 - 2004,1.69
,,2004 - 2005,1.57
,,2005 - 2006,2.48
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,3.62
,,2011 - 2012,4.49
,,2012 - 2013,1.94
,,2013 - 2014,4.32
,,2014 - 2015,1.79
,,2015 - 2016,2.13
,,2016 - 2017,1.29
,,2017 - 2018,0.0
,,2018 - 2019,2.28
,,2019 - 2020,1.51
,,2020 - 2021,2.16
,,2021 - 2022,1.91
,,2022 - 2023,1.51
,Perambalur,2000 - 2001,1.42
,,2001 - 2002,1.25
,,2002 - 2003,1.13
,,2003 - 2004,1.53
,,2004 - 2005,1.73
,,2005 - 2006,1.42
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.55
,,2011 - 2012,2.65
,,2012 - 2013,1.14
,,2013 - 2014,2.95
,,2014 - 2015,3.83
,,2015 - 2016,1.81
,,2016 - 2017,0.9
,,2017 - 2018,0.0
,,2018 - 2019,2.17
,,2019 - 2020,2.37
,,2020 - 2021,1.79
,,2021 - 2022,1.48
,,2022 - 2023,2.15
,Pudukkottai,2000 - 2001,2.28
,,2001 - 2002,1.96
,,2002 - 2003,1.88
,,2003 - 2004,1.17
,,2004 - 2005,1.28
,,2005 - 2006,1.82
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.83
,,2011 - 2012,2.85
,,2012 - 2013,1.8
,,2013 - 2014,2.9
,,2014 - 2015,3.14
,,2015 - 2016,1.86
,,2016 - 2017,1.27
,,2017 - 2018,0.0
,,2018 - 2019,2.22
,,2019 - 2020,2.57
,,2020 - 2021,1.96
,,2021 - 2022,1.67
,,2022 - 2023,1.9
,Ramanathapuram,2000 - 2001,0.97
,,2001 - 2002,1.09
,,2002 - 2003,0.68
,,2003 - 2004,0.12
,,2004 - 2005,0.7
,,2005 - 2006,0.79
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.38
,,2011 - 2012,2.75
,,2012 - 2013,0.72
,,2013 - 2014,2.87
,,2014 - 2015,3.12
,,2015 - 2016,1.83
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,3.0
,,2020 - 2021,2.0
,,2021 - 2022,
,,2022 - 2023,1.91
,Ranipet,2020 - 2021,1.93
,,2021 - 2022,1.62
,,2022 - 2023,1.88
,Salem,2000 - 2001,1.87
,,2001 - 2002,1.8
,,2002 - 2003,1.24
,,2003 - 2004,1.41
,,2004 - 2005,1.9
,,2005 - 2006,1.88
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.49
,,2011 - 2012,2.91
,,2013 - 2014,3.64
,,2014 - 2015,3.69
,,2015 - 2016,3.05
,,2016 - 2017,1.77
,,2017 - 2018,0.0
,,2018 - 2019,2.88
,,2019 - 2020,2.65
,,2020 - 2021,2.63
,,2021 - 2022,2.4
,,2022 - 2023,1.77
,Sivaganga,2000 - 2001,1.9
,,2001 - 2002,1.64
,,2002 - 2003,2.32
,,2003 - 2004,0.59
,,2004 - 2005,1.18
,,2005 - 2006,1.57
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.4
,,2011 - 2012,2.85
,,2012 - 2013,1.84
,,2013 - 2014,2.86
,,2014 - 2015,3.14
,,2015 - 2016,1.87
,,2016 - 2017,1.29
,,2017 - 2018,0.0
,,2018 - 2019,2.16
,,2019 - 2020,2.47
,,2020 - 2021,1.94
,,2021 - 2022,1.63
,,2022 - 2023,1.9
,Thanjavur,2000 - 2001,2.13
,,2001 - 2002,2.03
,,2002 - 2003,1.95
,,2003 - 2004,1.88
,,2004 - 2005,2.35
,,2005 - 2006,2.99
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.72
,,2011 - 2012,
,,2012 - 2013,3.23
,,2013 - 2014,
,,2014 - 2015,3.14
,,2015 - 2016,1.86
,,2016 - 2017,1.3
,,2017 - 2018,0.0
,,2018 - 2019,2.16
,,2019 - 2020,2.41
,,2020 - 2021,1.94
,,2021 - 2022,1.61
,,2022 - 2023,1.91
,The nilgiris,2000 - 2001,1.0
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.8
,,2011 - 2012,2.8
,,2012 - 2013,2.0
,,2013 - 2014,2.83
,,2014 - 2015,
,Theni,2000 - 2001,1.85
,,2001 - 2002,1.46
,,2002 - 2003,1.53
,,2003 - 2004,1.75
,,2004 - 2005,1.38
,,2005 - 2006,1.21
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,4.06
,,2011 - 2012,4.62
,,2012 - 2013,4.08
,,2013 - 2014,2.94
,,2014 - 2015,3.85
,,2015 - 2016,4.73
,,2016 - 2017,1.29
,,2017 - 2018,0.0
,,2018 - 2019,2.17
,,2019 - 2020,4.54
,,2020 - 2021,4.27
,,2021 - 2022,6.05
,,2022 - 2023,5.57
,Thenkasi,2020 - 2021,1.95
,,2021 - 2022,1.61
,,2022 - 2023,1.9
,Thiruvallur,2001 - 2002,0.5
,,2002 - 2003,0.75
,,2003 - 2004,1.87
,,2005 - 2006,1.13
,,2014 - 2015,
,,2015 - 2016,
,Thiruvarur,2000 - 2001,2.16
,,2001 - 2002,2.03
,,2002 - 2003,1.95
,,2003 - 2004,2.89
,,2004 - 2005,1.4
,,2005 - 2006,0.84
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.84
,,2011 - 2012,
,,2012 - 2013,1.83
,,2013 - 2014,
,,2014 - 2015,3.14
,,2015 - 2016,2.0
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.95
,,2021 - 2022,
,,2022 - 2023,1.88
,Thoothukudi,2000 - 2001,0.77
,,2001 - 2002,0.45
,,2002 - 2003,0.52
,,2003 - 2004,0.46
,,2004 - 2005,1.08
,,2005 - 2006,1.02
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,3.36
,,2011 - 2012,2.85
,,2012 - 2013,1.01
,,2013 - 2014,2.86
,,2014 - 2015,3.15
,,2015 - 2016,1.86
,,2016 - 2017,1.29
,,2017 - 2018,0.0
,,2018 - 2019,2.0
,,2019 - 2020,2.45
,,2020 - 2021,1.94
,,2021 - 2022,1.62
,,2022 - 2023,1.9
,Tiruchirappalli,2000 - 2001,1.74
,,2001 - 2002,1.14
,,2002 - 2003,1.66
,,2003 - 2004,1.29
,,2004 - 2005,1.4
,,2005 - 2006,1.47
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.97
,,2011 - 2012,2.62
,,2012 - 2013,1.04
,,2013 - 2014,2.16
,,2014 - 2015,1.67
,,2015 - 2016,1.21
,,2016 - 2017,1.24
,,2017 - 2018,0.0
,,2018 - 2019,2.24
,,2019 - 2020,2.16
,,2020 - 2021,1.74
,,2021 - 2022,1.43
,,2022 - 2023,1.73
,Tirunelveli,2000 - 2001,2.0
,,2001 - 2002,1.49
,,2002 - 2003,1.73
,,2003 - 2004,1.64
,,2004 - 2005,2.24
,,2005 - 2006,2.18
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.94
,,2011 - 2012,3.28
,,2012 - 2013,2.05
,,2013 - 2014,1.98
,,2014 - 2015,3.28
,,2015 - 2016,3.89
,,2016 - 2017,3.08
,,2017 - 2018,0.0
,,2018 - 2019,2.38
,,2019 - 2020,2.43
,,2020 - 2021,1.95
,,2021 - 2022,1.62
,,2022 - 2023,1.91
,Tirupathur,2020 - 2021,2.1
,,2021 - 2022,1.35
,,2022 - 2023,2.45
,Tiruppur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.44
,,2011 - 2012,2.86
,,2012 - 2013,1.84
,,2013 - 2014,2.87
,,2014 - 2015,3.14
,,2015 - 2016,1.87
,,2016 - 2017,1.29
,,2017 - 2018,0.0
,,2018 - 2019,2.16
,,2019 - 2020,2.44
,,2020 - 2021,1.95
,,2021 - 2022,1.63
,,2022 - 2023,1.9
,Tiruvannamalai,2000 - 2001,2.17
,,2001 - 2002,1.02
,,2002 - 2003,1.69
,,2003 - 2004,2.25
,,2004 - 2005,2.05
,,2005 - 2006,2.61
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.14
,,2011 - 2012,2.85
,,2012 - 2013,1.9
,,2013 - 2014,1.88
,,2014 - 2015,3.14
,,2015 - 2016,1.87
,,2016 - 2017,1.29
,,2017 - 2018,0.0
,,2018 - 2019,2.17
,,2019 - 2020,2.44
,,2020 - 2021,1.95
,,2021 - 2022,1.62
,,2022 - 2023,1.95
,Vellore,2000 - 2001,1.19
,,2001 - 2002,0.94
,,2002 - 2003,1.15
,,2003 - 2004,2.82
,,2004 - 2005,2.71
,,2005 - 2006,1.37
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.29
,,2011 - 2012,1.96
,,2012 - 2013,2.35
,,2013 - 2014,2.69
,,2014 - 2015,2.73
,,2015 - 2016,1.72
,,2016 - 2017,1.72
,,2017 - 2018,0.0
,,2018 - 2019,1.97
,,2019 - 2020,2.82
,,2020 - 2021,3.11
,,2021 - 2022,3.19
,,2022 - 2023,3.17
,Villupuram,2000 - 2001,2.03
,,2001 - 2002,2.02
,,2002 - 2003,1.96
,,2003 - 2004,2.3
,,2004 - 2005,1.84
,,2005 - 2006,1.48
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.42
,,2011 - 2012,2.08
,,2012 - 2013,2.47
,,2013 - 2014,2.26
,,2014 - 2015,2.52
,,2015 - 2016,1.26
,,2016 - 2017,1.55
,,2017 - 2018,0.0
,,2018 - 2019,2.02
,,2019 - 2020,2.55
,,2020 - 2021,1.95
,,2021 - 2022,1.62
,,2022 - 2023,1.9
,Virudhunagar,2000 - 2001,1.26
,,2001 - 2002,1.35
,,2002 - 2003,1.02
,,2003 - 2004,0.77
,,2004 - 2005,0.95
,,2005 - 2006,1.14
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.77
,,2011 - 2012,2.54
,,2012 - 2013,1.44
,,2013 - 2014,2.42
,,2014 - 2015,1.69
,,2015 - 2016,1.44
,,2016 - 2017,0.57
,,2017 - 2018,0.0
,,2018 - 2019,1.05
,,2019 - 2020,1.8
,,2020 - 2021,1.61
,,2021 - 2022,1.63
,,2022 - 2023,1.17
Telangana,Adilabad,2000 - 2001,0.62
,,2001 - 2002,1.54
,,2002 - 2003,1.06
,,2003 - 2004,1.98
,,2004 - 2005,1.33
,,2005 - 2006,1.69
,,2006 - 2007,2.02
,,2007 - 2008,3.05
,,2008 - 2009,2.21
,,2009 - 2010,1.97
,,2010 - 2011,2.03
,,2011 - 2012,1.46
,,2012 - 2013,1.95
,,2013 - 2014,2.17
,,2014 - 2015,1.88
,,2015 - 2016,2.49
,,2016 - 2017,2.72
,,2017 - 2018,3.15
,,2018 - 2019,2.55
,,2019 - 2020,4.74
,,2020 - 2021,2.67
,,2021 - 2022,2.56
,,2022 - 2023,3.17
,Bhadradri,2016 - 2017,3.38
,,2017 - 2018,3.89
,,2018 - 2019,2.43
,,2019 - 2020,3.42
,,2020 - 2021,3.07
,,2021 - 2022,3.82
,,2022 - 2023,3.47
,Jagitial,2016 - 2017,3.2
,,2017 - 2018,1.94
,,2018 - 2019,2.8
,,2019 - 2020,3.4
,,2020 - 2021,3.31
,,2021 - 2022,2.94
,,2022 - 2023,2.94
,Jangoan,2016 - 2017,3.03
,,2017 - 2018,3.16
,,2018 - 2019,2.19
,,2019 - 2020,2.88
,,2020 - 2021,2.51
,,2021 - 2022,2.32
,,2022 - 2023,3.11
,Jayashankar,2016 - 2017,3.03
,,2017 - 2018,2.52
,,2018 - 2019,2.92
,,2019 - 2020,3.55
,,2020 - 2021,2.75
,,2021 - 2022,2.99
,,2022 - 2023,4.01
,Jogulamba,2016 - 2017,1.75
,,2017 - 2018,2.19
,,2018 - 2019,1.97
,,2019 - 2020,3.07
,,2020 - 2021,2.54
,,2021 - 2022,2.62
,,2022 - 2023,2.11
,Kamareddy,2016 - 2017,2.31
,,2017 - 2018,2.53
,,2018 - 2019,3.64
,,2019 - 2020,3.23
,,2020 - 2021,1.92
,,2021 - 2022,2.86
,,2022 - 2023,3.36
,Karimnagar,2000 - 2001,2.49
,,2001 - 2002,1.29
,,2002 - 2003,1.54
,,2003 - 2004,2.19
,,2004 - 2005,1.25
,,2005 - 2006,2.29
,,2006 - 2007,1.91
,,2007 - 2008,3.3
,,2008 - 2009,2.36
,,2009 - 2010,2.31
,,2010 - 2011,2.14
,,2011 - 2012,1.25
,,2012 - 2013,1.99
,,2013 - 2014,2.89
,,2014 - 2015,2.73
,,2015 - 2016,2.72
,,2016 - 2017,3.2
,,2017 - 2018,3.48
,,2018 - 2019,2.19
,,2019 - 2020,3.02
,,2020 - 2021,3.07
,,2021 - 2022,3.16
,,2022 - 2023,3.6
,Khammam,2000 - 2001,2.32
,,2001 - 2002,2.11
,,2002 - 2003,1.67
,,2003 - 2004,2.31
,,2004 - 2005,2.3
,,2005 - 2006,2.01
,,2006 - 2007,2.26
,,2007 - 2008,3.18
,,2008 - 2009,2.55
,,2009 - 2010,2.28
,,2010 - 2011,2.73
,,2011 - 2012,1.23
,,2012 - 2013,2.73
,,2013 - 2014,3.13
,,2014 - 2015,3.08
,,2015 - 2016,2.99
,,2016 - 2017,3.38
,,2017 - 2018,3.98
,,2018 - 2019,2.24
,,2019 - 2020,3.5
,,2020 - 2021,2.18
,,2021 - 2022,2.82
,,2022 - 2023,2.97
,Komaram bheem asifabad,2016 - 2017,2.72
,,2017 - 2018,2.12
,,2018 - 2019,2.35
,,2019 - 2020,3.27
,,2020 - 2021,2.95
,,2021 - 2022,2.71
,,2022 - 2023,3.17
,Mahabubabad,2016 - 2017,3.03
,,2017 - 2018,2.49
,,2018 - 2019,2.52
,,2019 - 2020,2.22
,,2020 - 2021,2.27
,,2021 - 2022,2.73
,,2022 - 2023,3.02
,Mahbubnagar,2000 - 2001,1.51
,,2001 - 2002,1.22
,,2002 - 2003,1.33
,,2003 - 2004,1.64
,,2004 - 2005,1.41
,,2005 - 2006,1.41
,,2006 - 2007,1.25
,,2007 - 2008,2.13
,,2008 - 2009,1.14
,,2009 - 2010,1.26
,,2010 - 2011,1.96
,,2011 - 2012,1.18
,,2012 - 2013,2.24
,,2013 - 2014,2.07
,,2014 - 2015,1.95
,,2015 - 2016,0.96
,,2016 - 2017,1.75
,,2017 - 2018,1.64
,,2018 - 2019,1.29
,,2019 - 2020,3.18
,,2020 - 2021,1.99
,,2021 - 2022,2.65
,,2022 - 2023,2.59
,Mancherial,2016 - 2017,2.72
,,2017 - 2018,3.44
,,2018 - 2019,3.26
,,2019 - 2020,2.88
,,2020 - 2021,2.4
,,2021 - 2022,2.46
,,2022 - 2023,2.66
,Medak,2000 - 2001,1.61
,,2001 - 2002,1.51
,,2002 - 2003,1.27
,,2003 - 2004,2.31
,,2004 - 2005,2.43
,,2005 - 2006,2.58
,,2006 - 2007,2.67
,,2007 - 2008,3.48
,,2008 - 2009,2.39
,,2009 - 2010,0.82
,,2010 - 2011,1.63
,,2011 - 2012,1.75
,,2012 - 2013,3.46
,,2013 - 2014,2.45
,,2014 - 2015,1.75
,,2015 - 2016,1.68
,,2016 - 2017,2.14
,,2017 - 2018,4.88
,,2018 - 2019,2.47
,,2019 - 2020,3.02
,,2020 - 2021,2.57
,,2021 - 2022,2.49
,,2022 - 2023,2.68
,Medchal,2016 - 2017,1.59
,,2017 - 2018,2.74
,,2018 - 2019,2.14
,,2019 - 2020,3.21
,,2020 - 2021,2.46
,,2021 - 2022,2.54
,,2022 - 2023,2.91
,Mulugu,2018 - 2019,0.5
,,2019 - 2020,3.69
,,2020 - 2021,1.88
,,2021 - 2022,3.31
,,2022 - 2023,2.9
,Nagarkurnool,2016 - 2017,1.75
,,2017 - 2018,1.53
,,2018 - 2019,0.89
,,2019 - 2020,3.36
,,2020 - 2021,2.37
,,2021 - 2022,2.06
,,2022 - 2023,2.32
,Nalgonda,2000 - 2001,0.89
,,2001 - 2002,0.91
,,2002 - 2003,0.87
,,2003 - 2004,1.76
,,2004 - 2005,1.26
,,2005 - 2006,1.53
,,2006 - 2007,2.04
,,2007 - 2008,2.15
,,2008 - 2009,1.92
,,2009 - 2010,1.59
,,2010 - 2011,1.84
,,2011 - 2012,1.01
,,2012 - 2013,2.02
,,2013 - 2014,2.31
,,2014 - 2015,1.64
,,2015 - 2016,1.88
,,2016 - 2017,1.65
,,2017 - 2018,2.13
,,2018 - 2019,1.74
,,2019 - 2020,2.62
,,2020 - 2021,2.19
,,2021 - 2022,2.28
,,2022 - 2023,2.14
,Narayanapet,2018 - 2019,0.22
,,2019 - 2020,3.24
,,2020 - 2021,1.98
,,2021 - 2022,2.81
,,2022 - 2023,2.28
,Nirmal,2016 - 2017,2.72
,,2017 - 2018,3.34
,,2018 - 2019,2.64
,,2019 - 2020,2.95
,,2020 - 2021,2.97
,,2021 - 2022,2.01
,,2022 - 2023,3.46
,Nizamabad,2000 - 2001,1.61
,,2001 - 2002,1.51
,,2002 - 2003,1.27
,,2003 - 2004,0.75
,,2004 - 2005,0.68
,,2005 - 2006,0.64
,,2006 - 2007,0.76
,,2007 - 2008,1.67
,,2008 - 2009,2.47
,,2009 - 2010,2.56
,,2010 - 2011,3.2
,,2011 - 2012,1.36
,,2012 - 2013,2.3
,,2013 - 2014,1.99
,,2014 - 2015,1.19
,,2015 - 2016,0.99
,,2016 - 2017,2.31
,,2017 - 2018,3.41
,,2018 - 2019,2.88
,,2019 - 2020,4.11
,,2020 - 2021,2.09
,,2021 - 2022,2.69
,,2022 - 2023,2.75
,Peddapalli,2016 - 2017,3.2
,,2017 - 2018,3.22
,,2018 - 2019,3.16
,,2019 - 2020,3.01
,,2020 - 2021,2.92
,,2021 - 2022,3.15
,,2022 - 2023,3.85
,Rajanna,2016 - 2017,3.2
,,2017 - 2018,3.36
,,2018 - 2019,2.69
,,2019 - 2020,4.9
,,2020 - 2021,3.78
,,2021 - 2022,3.12
,,2022 - 2023,3.88
,Rangareddi,2000 - 2001,1.37
,,2001 - 2002,1.55
,,2002 - 2003,1.59
,,2003 - 2004,2.35
,,2004 - 2005,1.68
,,2005 - 2006,1.9
,,2006 - 2007,1.35
,,2007 - 2008,2.35
,,2008 - 2009,2.71
,,2009 - 2010,1.34
,,2010 - 2011,1.68
,,2011 - 2012,0.98
,,2012 - 2013,2.42
,,2013 - 2014,2.35
,,2014 - 2015,1.74
,,2015 - 2016,1.49
,,2016 - 2017,1.6
,,2017 - 2018,2.21
,,2018 - 2019,1.24
,,2019 - 2020,2.72
,,2020 - 2021,2.01
,,2021 - 2022,2.28
,,2022 - 2023,2.22
,Sangareddy,2016 - 2017,2.14
,,2017 - 2018,3.92
,,2018 - 2019,1.9
,,2019 - 2020,3.21
,,2020 - 2021,2.81
,,2021 - 2022,2.28
,,2022 - 2023,3.75
,Siddipet,2016 - 2017,2.14
,,2017 - 2018,3.39
,,2018 - 2019,1.71
,,2019 - 2020,3.42
,,2020 - 2021,3.15
,,2021 - 2022,2.77
,,2022 - 2023,3.4
,Suryapet,2016 - 2017,1.65
,,2017 - 2018,3.3
,,2018 - 2019,3.29
,,2019 - 2020,3.29
,,2020 - 2021,2.35
,,2021 - 2022,2.83
,,2022 - 2023,3.4
,Vikarabad,2016 - 2017,1.6
,,2017 - 2018,2.56
,,2018 - 2019,2.1
,,2019 - 2020,2.89
,,2020 - 2021,1.6
,,2021 - 2022,2.25
,,2022 - 2023,2.48
,Wanaparthy,2016 - 2017,1.75
,,2017 - 2018,2.75
,,2018 - 2019,1.48
,,2019 - 2020,3.39
,,2020 - 2021,1.51
,,2021 - 2022,1.88
,,2022 - 2023,2.09
,Warangal,2000 - 2001,2.52
,,2001 - 2002,1.72
,,2002 - 2003,1.42
,,2003 - 2004,2.26
,,2004 - 2005,1.88
,,2005 - 2006,2.46
,,2006 - 2007,2.34
,,2007 - 2008,2.97
,,2008 - 2009,3.24
,,2009 - 2010,2.85
,,2010 - 2011,2.62
,,2011 - 2012,2.26
,,2012 - 2013,2.13
,,2013 - 2014,2.77
,,2014 - 2015,2.66
,,2015 - 2016,2.56
,,2016 - 2017,3.03
,,2017 - 2018,1.7
,,2018 - 2019,2.64
,,2019 - 2020,2.82
,,2020 - 2021,2.25
,,2021 - 2022,3.12
,,2022 - 2023,4.05
,Warangal urban,2016 - 2017,3.03
,,2017 - 2018,2.26
,,2018 - 2019,2.25
,,2019 - 2020,2.66
,,2020 - 2021,1.5
,,2021 - 2022,2.56
,,2022 - 2023,3.75
,Yadadri,2016 - 2017,1.65
,,2017 - 2018,2.46
,,2018 - 2019,1.61
,,2019 - 2020,3.1
,,2020 - 2021,2.54
,,2021 - 2022,2.35
,,2022 - 2023,3.18
Tripura,Dhalai,2000 - 2001,1.49
,,2001 - 2002,1.5
,,2002 - 2003,1.37
,,2003 - 2004,0.26
,,2004 - 2005,1.54
,,2005 - 2006,1.43
,,2006 - 2007,1.43
,,2007 - 2008,1.41
,,2008 - 2009,1.55
,,2009 - 2010,1.6
,,2010 - 2011,1.5
,,2011 - 2012,1.52
,,2012 - 2013,1.66
,,2013 - 2014,1.67
,,2014 - 2015,1.65
,,2015 - 2016,1.61
,,2016 - 2017,1.68
,,2017 - 2018,1.5
,,2018 - 2019,1.71
,,2019 - 2020,1.75
,,2020 - 2021,1.66
,,2021 - 2022,1.73
,,2022 - 2023,1.71
,Gomati,2012 - 2013,1.33
,,2013 - 2014,1.36
,,2014 - 2015,1.5
,,2015 - 2016,1.45
,,2016 - 2017,1.53
,,2017 - 2018,1.11
,,2018 - 2019,1.08
,,2019 - 2020,1.1
,,2020 - 2021,1.61
,,2021 - 2022,1.3
,,2022 - 2023,1.4
,Khowai,2012 - 2013,1.36
,,2013 - 2014,1.49
,,2014 - 2015,1.49
,,2015 - 2016,1.53
,,2016 - 2017,1.6
,,2017 - 2018,1.36
,,2018 - 2019,1.4
,,2019 - 2020,1.41
,,2020 - 2021,1.52
,,2021 - 2022,1.46
