state,district,year,gram_rabi_yield_tonne_per_hectare
,,2019 - 2020,1.57
,,2020 - 2021,1.75
,,2021 - 2022,1.42
,,2022 - 2023,1.57
,Karimnagar,2000 - 2001,0.72
,,2001 - 2002,1.11
,,2002 - 2003,1.24
,,2003 - 2004,1.19
,,2004 - 2005,0.88
,,2005 - 2006,1.42
,,2006 - 2007,1.6
,,2007 - 2008,1.0
,,2008 - 2009,1.43
,,2009 - 2010,0.97
,,2010 - 2011,0.74
,,2011 - 2012,0.87
,,2012 - 2013,0.5
,,2013 - 2014,1.35
,,2014 - 2015,1.23
,,2015 - 2016,1.41
,,2016 - 2017,1.3
,,2017 - 2018,1.52
,,2018 - 2019,1.57
,,2019 - 2020,1.53
,,2020 - 2021,1.68
,,2021 - 2022,0.85
,,2022 - 2023,1.05
,Khammam,2000 - 2001,0.7
,,2001 - 2002,1.11
,,2002 - 2003,1.23
,,2003 - 2004,1.19
,,2004 - 2005,0.88
,,2005 - 2006,1.42
,,2006 - 2007,1.38
,,2008 - 2009,1.57
,,2009 - 2010,1.44
,,2010 - 2011,1.36
,,2011 - 2012,0.85
,,2013 - 2014,1.72
,,2014 - 2015,1.39
,,2015 - 2016,0.8
,,2016 - 2017,1.3
,,2017 - 2018,1.53
,,2018 - 2019,1.59
,,2019 - 2020,1.6
,,2020 - 2021,1.67
,,2021 - 2022,1.4
,,2022 - 2023,1.6
,Komaram bheem asifabad,2016 - 2017,1.88
,,2017 - 2018,1.24
,,2018 - 2019,1.77
,,2019 - 2020,0.76
,,2020 - 2021,0.86
,,2021 - 2022,1.33
,,2022 - 2023,1.32
,Mahabubabad,2016 - 2017,1.2
,,2017 - 2018,1.6
,,2020 - 2021,1.5
,,2021 - 2022,1.4
,,2022 - 2023,1.5
,Mahbubnagar,2000 - 2001,0.72
,,2001 - 2002,1.11
,,2002 - 2003,1.24
,,2003 - 2004,1.19
,,2004 - 2005,0.88
,,2005 - 2006,1.93
,,2006 - 2007,1.66
,,2007 - 2008,1.62
,,2008 - 2009,1.54
,,2009 - 2010,1.54
,,2010 - 2011,1.5
,,2011 - 2012,0.14
,,2012 - 2013,1.42
,,2013 - 2014,1.84
,,2014 - 2015,1.78
,,2015 - 2016,0.28
,,2016 - 2017,1.3
,,2017 - 2018,1.52
,,2019 - 2020,1.4
,,2020 - 2021,1.7
,,2021 - 2022,1.41
,,2022 - 2023,1.5
,Mancherial,2016 - 2017,1.3
,,2017 - 2018,1.51
,,2018 - 2019,1.57
,,2019 - 2020,1.53
,,2020 - 2021,1.66
,,2021 - 2022,1.48
,,2022 - 2023,1.57
,Medak,2000 - 2001,0.75
,,2001 - 2002,1.11
,,2002 - 2003,1.24
,,2003 - 2004,1.19
,,2004 - 2005,0.88
,,2005 - 2006,1.23
,,2006 - 2007,1.17
,,2007 - 2008,0.97
,,2008 - 2009,1.0
,,2009 - 2010,1.21
,,2010 - 2011,1.17
,,2011 - 2012,1.07
,,2012 - 2013,1.47
,,2013 - 2014,1.59
,,2014 - 2015,1.08
,,2015 - 2016,1.07
,,2016 - 2017,1.06
,,2017 - 2018,1.34
,,2018 - 2019,1.2
,,2019 - 2020,0.94
,,2020 - 2021,1.66
,,2021 - 2022,1.18
,,2022 - 2023,0.87
,Medchal,2016 - 2017,1.3
,,2017 - 2018,1.51
,,2018 - 2019,1.58
,,2019 - 2020,1.54
,,2020 - 2021,1.5
,,2021 - 2022,1.33
,,2022 - 2023,1.5
,Mulugu,2019 - 2020,1.5
,,2020 - 2021,1.75
,,2021 - 2022,1.43
,Nagarkurnool,2016 - 2017,1.3
,,2017 - 2018,1.52
,,2018 - 2019,1.57
,,2019 - 2020,1.53
,,2020 - 2021,1.69
,,2021 - 2022,1.25
,,2022 - 2023,1.2
,Nalgonda,2000 - 2001,0.72
,,2001 - 2002,1.1
,,2002 - 2003,1.24
,,2003 - 2004,1.19
,,2004 - 2005,0.88
,,2005 - 2006,1.42
,,2006 - 2007,1.38
,,2007 - 2008,1.0
,,2008 - 2009,1.57
,,2009 - 2010,1.44
,,2010 - 2011,1.36
,,2011 - 2012,0.85
,,2012 - 2013,1.0
,,2013 - 2014,1.72
,,2014 - 2015,1.37
,,2015 - 2016,0.72
,,2016 - 2017,1.3
,,2017 - 2018,1.52
,,2018 - 2019,1.57
,,2019 - 2020,1.53
,,2020 - 2021,1.67
,,2021 - 2022,1.14
,,2022 - 2023,1.58
,Narayanapet,2018 - 2019,1.57
,,2019 - 2020,1.53
,,2020 - 2021,1.68
,,2021 - 2022,1.57
,,2022 - 2023,1.19
,Nirmal,2016 - 2017,1.17
,,2017 - 2018,1.07
,,2018 - 2019,1.84
,,2019 - 2020,1.62
,,2020 - 2021,1.75
,,2021 - 2022,1.57
,,2022 - 2023,1.62
,Nizamabad,2000 - 2001,0.72
,,2001 - 2002,1.1
,,2002 - 2003,1.24
,,2003 - 2004,1.19
,,2004 - 2005,0.88
,,2005 - 2006,1.42
,,2006 - 2007,1.37
,,2007 - 2008,1.81
,,2008 - 2009,2.48
,,2009 - 2010,1.8
,,2010 - 2011,1.65
,,2011 - 2012,1.36
,,2012 - 2013,1.57
,,2013 - 2014,2.05
,,2014 - 2015,1.17
,,2015 - 2016,0.52
,,2016 - 2017,1.56
,,2017 - 2018,1.67
,,2018 - 2019,1.82
,,2019 - 2020,1.48
,,2020 - 2021,1.78
,,2021 - 2022,1.43
,,2022 - 2023,1.7
,Peddapalli,2016 - 2017,1.3
,,2017 - 2018,1.52
,,2018 - 2019,1.57
,,2019 - 2020,1.53
,,2020 - 2021,1.68
,,2021 - 2022,1.41
,,2022 - 2023,1.55
,Rajanna,2016 - 2017,1.3
,,2017 - 2018,1.52
,,2018 - 2019,1.57
,,2019 - 2020,1.53
,,2020 - 2021,1.68
,,2021 - 2022,1.22
,,2022 - 2023,1.12
,Rangareddi,2000 - 2001,0.72
,,2001 - 2002,1.1
,,2002 - 2003,1.24
,,2003 - 2004,1.19
,,2004 - 2005,0.88
,,2005 - 2006,1.42
,,2006 - 2007,1.06
,,2007 - 2008,1.11
,,2008 - 2009,1.36
,,2009 - 2010,1.54
,,2010 - 2011,1.02
,,2011 - 2012,1.06
,,2012 - 2013,1.4
,,2013 - 2014,1.25
,,2014 - 2015,1.0
,,2015 - 2016,1.13
,,2016 - 2017,1.48
,,2017 - 2018,1.4
,,2018 - 2019,1.14
,,2019 - 2020,1.44
,,2020 - 2021,1.4
,,2021 - 2022,1.15
,,2022 - 2023,1.48
,Sangareddy,2016 - 2017,1.42
,,2017 - 2018,1.37
,,2018 - 2019,1.27
,,2019 - 2020,1.35
,,2020 - 2021,1.23
,,2021 - 2022,1.24
,,2022 - 2023,1.27
,Siddipet,2016 - 2017,1.42
,,2017 - 2018,1.32
,,2018 - 2019,2.26
,,2019 - 2020,1.4
,,2020 - 2021,1.19
,,2021 - 2022,1.07
,,2022 - 2023,1.31
,Suryapet,2016 - 2017,1.3
,,2017 - 2018,1.52
,,2018 - 2019,1.58
,,2019 - 2020,1.53
,,2020 - 2021,1.66
,,2021 - 2022,1.41
,,2022 - 2023,1.54
,Vikarabad,2016 - 2017,1.58
,,2017 - 2018,1.44
,,2018 - 2019,1.61
,,2019 - 2020,1.68
,,2020 - 2021,1.41
,,2021 - 2022,1.18
,,2022 - 2023,1.6
,Wanaparthy,2016 - 2017,1.3
,,2017 - 2018,2.13
,,2018 - 2019,2.14
,,2019 - 2020,1.8
,,2020 - 2021,2.37
,,2021 - 2022,2.08
,,2022 - 2023,1.97
,Warangal,2000 - 2001,0.72
,,2001 - 2002,1.11
,,2002 - 2003,1.24
,,2003 - 2004,1.19
,,2004 - 2005,0.88
,,2005 - 2006,1.42
,,2006 - 2007,1.38
,,2007 - 2008,0.5
,,2008 - 2009,0.8
,,2009 - 2010,0.88
,,2010 - 2011,0.81
,,2011 - 2012,1.33
,,2012 - 2013,2.0
,,2013 - 2014,0.84
,,2014 - 2015,1.34
,,2015 - 2016,1.14
,,2016 - 2017,1.3
,,2017 - 2018,1.52
,,2018 - 2019,1.57
,,2019 - 2020,1.53
,,2020 - 2021,1.67
,,2021 - 2022,0.59
,,2022 - 2023,1.07
,Warangal urban,2016 - 2017,1.3
,,2017 - 2018,1.52
,,2018 - 2019,1.57
,,2019 - 2020,1.53
,,2020 - 2021,1.68
,,2021 - 2022,0.49
,,2022 - 2023,2.0
,Yadadri,2016 - 2017,1.3
,,2017 - 2018,1.51
,,2018 - 2019,1.57
,,2019 - 2020,1.52
,,2020 - 2021,1.75
,,2021 - 2022,1.41
,,2022 - 2023,1.63
Tripura,Dhalai,2004 - 2005,0.69
,,2005 - 2006,0.85
,,2006 - 2007,0.75
,,2007 - 2008,0.91
,,2008 - 2009,1.57
,,2009 - 2010,0.72
,,2010 - 2011,0.88
,,2011 - 2012,0.85
,,2012 - 2013,0.67
,,2013 - 2014,0.86
,,2014 - 2015,1.0
,,2015 - 2016,0.87
,,2016 - 2017,0.64
,,2017 - 2018,0.88
,,2018 - 2019,0.75
,,2019 - 2020,0.71
,,2020 - 2021,0.7
,,2021 - 2022,1.0
,,2022 - 2023,0.67
,Gomati,2012 - 2013,0.88
,,2014 - 2015,1.0
,,2015 - 2016,0.79
,,2016 - 2017,0.68
,,2017 - 2018,0.66
,,2018 - 2019,0.68
,,2019 - 2020,0.67
,,2020 - 2021,0.65
,,2021 - 2022,1.15
,,2022 - 2023,0.71
,Khowai,2012 - 2013,0.83
,,2014 - 2015,0.83
,,2015 - 2016,0.8
,,2016 - 2017,0.65
,,2017 - 2018,1.0
,,2018 - 2019,0.73
,,2019 - 2020,0.63
,,2020 - 2021,0.6
,,2022 - 2023,0.6
,North tripura,2004 - 2005,0.67
,,2005 - 2006,0.67
,,2006 - 2007,0.7
,,2007 - 2008,0.66
,,2008 - 2009,0.76
,,2009 - 2010,0.73
,,2010 - 2011,0.7
,,2011 - 2012,0.73
,,2012 - 2013,0.76
,,2013 - 2014,0.73
,,2014 - 2015,0.82
,,2015 - 2016,0.77
,,2016 - 2017,0.62
,,2017 - 2018,0.84
,,2018 - 2019,0.64
,,2019 - 2020,0.6
,,2020 - 2021,0.62
,Sepahijala,2015 - 2016,0.8
,,2016 - 2017,0.59
,,2017 - 2018,0.71
,,2018 - 2019,0.64
,,2019 - 2020,0.59
,,2020 - 2021,0.7
,,2021 - 2022,1.0
,,2022 - 2023,0.67
,South tripura,2004 - 2005,0.67
,,2005 - 2006,0.85
,,2006 - 2007,0.85
,,2007 - 2008,0.72
,,2008 - 2009,0.93
,,2009 - 2010,0.77
,,2010 - 2011,0.73
,,2011 - 2012,0.79
,,2012 - 2013,0.7
,,2013 - 2014,0.67
,,2014 - 2015,0.72
,,2015 - 2016,0.74
,,2016 - 2017,0.54
,,2017 - 2018,0.76
,,2018 - 2019,0.62
,,2019 - 2020,0.59
,,2020 - 2021,0.63
,,2021 - 2022,1.11
,,2022 - 2023,0.6
,Unakoti,2012 - 2013,0.69
,,2014 - 2015,0.75
,,2015 - 2016,0.71
,,2016 - 2017,0.53
,,2017 - 2018,0.74
,,2018 - 2019,0.65
,,2019 - 2020,0.58
,,2020 - 2021,0.63
,,2021 - 2022,1.4
,,2022 - 2023,0.62
,West tripura,2004 - 2005,0.78
,,2005 - 2006,0.68
,,2006 - 2007,0.61
,,2007 - 2008,0.68
,,2008 - 2009,0.82
,,2009 - 2010,0.81
,,2010 - 2011,0.79
,,2011 - 2012,0.81
,,2012 - 2013,1.0
,,2015 - 2016,0.81
,,2016 - 2017,0.58
,,2017 - 2018,0.83
,,2018 - 2019,0.65
,,2019 - 2020,0.59
,,2020 - 2021,0.67
,,2022 - 2023,1.0
Uttar Pradesh,Agra,2000 - 2001,1.15
,,2001 - 2002,1.17
,,2002 - 2003,1.05
,,2003 - 2004,1.3
,,2004 - 2005,1.23
,,2005 - 2006,1.08
,,2006 - 2007,0.83
,,2007 - 2008,1.36
,,2008 - 2009,1.01
,,2009 - 2010,0.83
,,2010 - 2011,1.94
,,2011 - 2012,1.56
,,2012 - 2013,1.8
,,2013 - 2014,1.88
,,2014 - 2015,1.14
,,2015 - 2016,0.71
,,2016 - 2017,1.87
,,2017 - 2018,1.9
,,2018 - 2019,1.59
,,2019 - 2020,1.54
,,2020 - 2021,1.72
,,2021 - 2022,1.81
,,2022 - 2023,1.25
,Aligarh,2000 - 2001,1.16
,,2001 - 2002,1.2
,,2002 - 2003,0.96
,,2003 - 2004,1.36
,,2004 - 2005,1.24
,,2005 - 2006,1.3
,,2006 - 2007,0.83
,,2007 - 2008,1.34
,,2008 - 2009,1.0
,,2009 - 2010,0.83
,,2010 - 2011,0.87
,,2011 - 2012,1.2
,,2012 - 2013,1.09
,,2013 - 2014,0.41
,,2015 - 2016,0.63
,,2016 - 2017,1.08
,,2017 - 2018,1.03
,,2018 - 2019,1.23
,,2019 - 2020,1.33
,,2020 - 2021,1.21
,,2021 - 2022,1.36
,,2022 - 2023,1.36
,Allahabad,2000 - 2001,0.9
,,2001 - 2002,0.81
,,2002 - 2003,0.91
,,2003 - 2004,0.99
,,2004 - 2005,0.8
,,2005 - 2006,1.03
,,2006 - 2007,0.94
,,2007 - 2008,0.89
,,2008 - 2009,0.96
,,2009 - 2010,0.58
,,2010 - 2011,1.06
,,2011 - 2012,1.1
,,2012 - 2013,0.84
,,2013 - 2014,0.75
,,2014 - 2015,0.26
,,2015 - 2016,0.54
,,2016 - 2017,0.94
,,2017 - 2018,1.36
,,2018 - 2019,1.24
,,2019 - 2020,0.93
,,2020 - 2021,1.27
,,2021 - 2022,1.22
,,2022 - 2023,1.42
,Ambedkar nagar,2000 - 2001,1.18
,,2001 - 2002,1.23
,,2002 - 2003,0.92
,,2003 - 2004,1.07
,,2004 - 2005,0.72
,,2005 - 2006,0.89
,,2006 - 2007,0.74
,,2007 - 2008,1.03
,,2008 - 2009,1.04
,,2009 - 2010,1.01
,,2010 - 2011,1.09
,,2011 - 2012,1.37
,,2012 - 2013,0.91
,,2013 - 2014,0.37
,,2014 - 2015,0.32
,,2015 - 2016,0.6
,,2016 - 2017,1.79
,,2017 - 2018,0.75
,,2018 - 2019,1.55
,,2019 - 2020,0.76
,,2020 - 2021,1.59
,,2021 - 2022,2.35
,,2022 - 2023,1.35
,Amethi,2010 - 2011,1.09
,,2011 - 2012,1.4
,,2012 - 2013,0.91
,,2013 - 2014,0.37
,,2014 - 2015,0.32
,,2015 - 2016,0.6
,,2016 - 2017,1.79
,,2017 - 2018,0.75
,,2018 - 2019,1.55
,,2019 - 2020,0.76
,,2020 - 2021,1.59
,,2021 - 2022,2.35
,,2022 - 2023,1.35
,Amroha,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,0.71
,,2007 - 2008,0.75
,,2008 - 2009,1.0
,,2014 - 2015,0.5
,,2020 - 2021,1.0
,Auraiya,2000 - 2001,1.38
,,2001 - 2002,1.05
,,2002 - 2003,1.35
,,2003 - 2004,1.07
,,2004 - 2005,1.07
,,2005 - 2006,1.06
,,2006 - 2007,0.99
,,2007 - 2008,1.21
,,2008 - 2009,1.65
,,2009 - 2010,1.29
,,2010 - 2011,1.47
,,2011 - 2012,1.67
,,2012 - 2013,1.41
,,2013 - 2014,0.78
,,2014 - 2015,0.52
,,2015 - 2016,1.2
,,2016 - 2017,1.42
,,2017 - 2018,1.68
,,2018 - 2019,1.42
,,2019 - 2020,1.45
,,2020 - 2021,1.41
,,2021 - 2022,1.37
,,2022 - 2023,1.12
,Azamgarh,2000 - 2001,1.27
,,2001 - 2002,0.93
,,2002 - 2003,0.9
,,2003 - 2004,1.16
,,2004 - 2005,0.81
,,2005 - 2006,1.06
,,2006 - 2007,1.05
,,2007 - 2008,1.27
,,2008 - 2009,1.37
,,2009 - 2010,1.03
,,2010 - 2011,1.2
,,2011 - 2012,1.3
,,2012 - 2013,1.66
,,2013 - 2014,0.8
,,2014 - 2015,1.42
,,2015 - 2016,0.94
,,2016 - 2017,1.64
,,2017 - 2018,1.05
,,2018 - 2019,0.95
,,2019 - 2020,1.1
,,2020 - 2021,1.48
,,2021 - 2022,1.03
,,2022 - 2023,1.06
,Baghpat,2000 - 2001,0.86
,,2001 - 2002,1.0
,,2002 - 2003,0.91
,,2003 - 2004,1.04
,,2004 - 2005,0.91
,,2005 - 2006,0.89
,,2006 - 2007,0.72
,,2007 - 2008,0.75
,,2008 - 2009,1.0
,,2009 - 2010,0.88
,,2011 - 2012,1.17
,,2012 - 2013,1.08
,,2014 - 2015,0.0
,,2015 - 2016,1.0
,,2018 - 2019,1.2
,,2020 - 2021,1.18
,Bahraich,2000 - 2001,0.58
,,2001 - 2002,0.63
,,2002 - 2003,0.54
,,2003 - 2004,0.77
,,2004 - 2005,0.92
,,2005 - 2006,0.92
,,2006 - 2007,0.75
,,2007 - 2008,0.75
,,2008 - 2009,0.99
,,2009 - 2010,0.83
,,2010 - 2011,0.92
,,2011 - 2012,1.18
,,2012 - 2013,1.11
,,2013 - 2014,0.43
,,2014 - 2015,0.3
,,2015 - 2016,1.0
,,2016 - 2017,1.09
,,2017 - 2018,1.05
,,2018 - 2019,1.26
,,2019 - 2020,1.35
,,2020 - 2021,1.21
,,2021 - 2022,1.35
,,2022 - 2023,1.35
,Ballia,2000 - 2001,1.36
,,2001 - 2002,0.91
,,2002 - 2003,0.9
,,2003 - 2004,1.16
,,2004 - 2005,1.03
,,2005 - 2006,0.97
,,2006 - 2007,0.84
,,2007 - 2008,0.96
,,2008 - 2009,1.28
,,2009 - 2010,0.9
,,2010 - 2011,1.2
,,2011 - 2012,1.3
,,2012 - 2013,1.66
,,2013 - 2014,0.8
,,2014 - 2015,1.42
,,2015 - 2016,0.93
,,2016 - 2017,1.76
,,2017 - 2018,1.68
,,2018 - 2019,1.98
,,2019 - 2020,1.83
,,2020 - 2021,1.67
,,2021 - 2022,1.72
,,2022 - 2023,1.8
,Balrampur,2000 - 2001,0.58
,,2001 - 2002,0.57
,,2002 - 2003,0.51
,,2003 - 2004,0.68
,,2004 - 2005,0.92
,,2005 - 2006,0.92
,,2006 - 2007,0.75
,,2007 - 2008,0.75
,,2008 - 2009,0.99
,,2009 - 2010,0.83
,,2010 - 2011,0.92
,,2011 - 2012,1.18
,,2012 - 2013,1.11
,,2013 - 2014,0.43
,,2014 - 2015,0.3
,,2015 - 2016,0.98
,,2016 - 2017,1.09
,,2017 - 2018,1.05
,,2018 - 2019,1.26
,,2019 - 2020,1.35
,,2020 - 2021,1.21
,,2021 - 2022,1.35
,,2022 - 2023,1.35
,Banda,2000 - 2001,0.78
,,2001 - 2002,0.77
,,2002 - 2003,0.79
,,2003 - 2004,0.97
,,2004 - 2005,0.83
,,2005 - 2006,0.75
,,2006 - 2007,0.57
,,2007 - 2008,0.54
,,2008 - 2009,0.8
,,2009 - 2010,0.55
,,2010 - 2011,0.63
,,2011 - 2012,1.11
,,2012 - 2013,1.07
,,2013 - 2014,0.23
,,2014 - 2015,0.14
,,2015 - 2016,0.37
,,2016 - 2017,0.84
,,2017 - 2018,0.91
,,2018 - 2019,1.19
,,2019 - 2020,1.32
,,2020 - 2021,1.18
,,2021 - 2022,1.31
,,2022 - 2023,1.31
,Barabanki,2000 - 2001,1.18
,,2001 - 2002,0.85
,,2002 - 2003,0.92
,,2003 - 2004,1.07
,,2004 - 2005,0.88
,,2005 - 2006,0.89
,,2006 - 2007,0.74
,,2007 - 2008,1.03
,,2008 - 2009,1.04
,,2009 - 2010,1.01
,,2010 - 2011,1.09
,,2011 - 2012,1.37
,,2012 - 2013,0.91
,,2013 - 2014,0.37
,,2014 - 2015,0.32
,,2015 - 2016,0.6
,,2016 - 2017,1.79
,,2017 - 2018,0.75
,,2018 - 2019,1.56
,,2019 - 2020,0.76
,,2020 - 2021,1.59
,,2021 - 2022,2.35
,,2022 - 2023,1.35
,Bareilly,2000 - 2001,0.85
,,2001 - 2002,1.0
,,2002 - 2003,0.92
,,2003 - 2004,1.05
,,2004 - 2005,0.94
,,2005 - 2006,0.89
,,2006 - 2007,0.75
,,2007 - 2008,0.78
,,2008 - 2009,1.0
,,2009 - 2010,0.82
,,2010 - 2011,0.83
,,2011 - 2012,1.2
,,2012 - 2013,1.1
,,2013 - 2014,0.44
,,2014 - 2015,0.25
,,2015 - 2016,0.5
,,2016 - 2017,1.17
,,2017 - 2018,1.05
,,2018 - 2019,1.26
,,2019 - 2020,1.34
,,2020 - 2021,1.19
,,2021 - 2022,1.33
,,2022 - 2023,1.35
,Basti,2000 - 2001,1.16
,,2001 - 2002,0.91
,,2002 - 2003,0.55
,,2003 - 2004,0.17
,,2004 - 2005,0.91
,,2005 - 2006,0.89
,,2006 - 2007,0.73
,,2007 - 2008,0.75
,,2008 - 2009,0.99
,,2009 - 2010,0.82
,,2010 - 2011,0.89
,,2011 - 2012,1.18
,,2012 - 2013,1.11
,,2013 - 2014,0.42
,,2014 - 2015,0.3
,,2015 - 2016,0.62
,,2016 - 2017,1.1
,,2017 - 2018,1.07
,,2019 - 2020,1.35
,,2020 - 2021,1.21
,,2021 - 2022,1.35
,,2022 - 2023,1.35
,Bijnor,2000 - 2001,0.86
,,2001 - 2002,1.0
,,2002 - 2003,0.91
,,2003 - 2004,1.05
,,2004 - 2005,0.92
,,2005 - 2006,0.89
,,2006 - 2007,0.73
,,2007 - 2008,0.75
,,2008 - 2009,0.99
,,2009 - 2010,0.83
,,2010 - 2011,0.88
,,2011 - 2012,1.18
,,2012 - 2013,1.11
,,2013 - 2014,0.5
,,2014 - 2015,0.3
,,2015 - 2016,0.41
,,2016 - 2017,1.07
,,2017 - 2018,1.23
,,2018 - 2019,1.29
,,2019 - 2020,1.33
,,2020 - 2021,1.21
,,2021 - 2022,1.25
,,2022 - 2023,1.25
,Budaun,2000 - 2001,0.86
,,2001 - 2002,1.0
,,2002 - 2003,0.91
,,2003 - 2004,1.05
,,2004 - 2005,0.92
,,2005 - 2006,0.89
,,2006 - 2007,0.73
,,2007 - 2008,0.74
,,2008 - 2009,0.99
,,2009 - 2010,0.83
,,2010 - 2011,0.89
,,2011 - 2012,1.25
,,2012 - 2013,1.2
,,2013 - 2014,0.42
,,2014 - 2015,0.31
,,2015 - 2016,0.6
,,2016 - 2017,1.09
,,2017 - 2018,1.06
,,2018 - 2019,1.27
,,2020 - 2021,1.21
,,2021 - 2022,1.35
,,2022 - 2023,1.34
,Bulandshahr,2000 - 2001,0.85
,,2001 - 2002,1.0
,,2002 - 2003,0.91
,,2003 - 2004,1.04
,,2004 - 2005,0.92
,,2005 - 2006,0.89
,,2006 - 2007,0.72
,,2007 - 2008,0.75
,,2008 - 2009,0.98
,,2009 - 2010,0.83
,,2010 - 2011,0.87
,,2011 - 2012,1.16
,,2012 - 2013,1.12
,,2013 - 2014,0.8
,,2015 - 2016,0.59
,,2016 - 2017,1.09
,,2017 - 2018,1.04
,,2018 - 2019,1.21
,,2019 - 2020,1.33
,,2020 - 2021,1.2
,,2021 - 2022,1.36
,,2022 - 2023,1.34
,Chandauli,2000 - 2001,0.96
,,2001 - 2002,1.0
,,2002 - 2003,0.62
,,2003 - 2004,1.21
,,2004 - 2005,0.72
,,2005 - 2006,0.92
,,2006 - 2007,0.86
,,2007 - 2008,0.84
,,2008 - 2009,1.08
,,2009 - 2010,0.88
,,2010 - 2011,0.97
,,2011 - 2012,1.24
,,2012 - 2013,1.15
,,2013 - 2014,0.94
,,2014 - 2015,0.62
,,2015 - 2016,1.0
,,2016 - 2017,1.08
,,2017 - 2018,1.35
,,2018 - 2019,1.32
,,2019 - 2020,1.38
,,2020 - 2021,1.38
,,2021 - 2022,1.4
,,2022 - 2023,1.31
,Chitrakoot,2000 - 2001,0.68
,,2001 - 2002,0.69
,,2002 - 2003,0.74
,,2003 - 2004,0.94
,,2004 - 2005,0.86
,,2005 - 2006,0.63
,,2006 - 2007,0.41
,,2007 - 2008,0.53
,,2008 - 2009,0.81
,,2009 - 2010,0.68
,,2010 - 2011,0.61
,,2011 - 2012,1.07
,,2012 - 2013,1.06
,,2013 - 2014,0.28
,,2014 - 2015,0.23
,,2015 - 2016,0.33
,,2016 - 2017,0.92
,,2017 - 2018,1.07
,,2018 - 2019,1.11
,,2019 - 2020,0.99
,,2020 - 2021,1.27
,,2021 - 2022,1.3
,,2022 - 2023,1.11
,Deoria,2000 - 2001,0.79
,,2001 - 2002,0.89
,,2002 - 2003,0.83
,,2003 - 2004,0.92
,,2004 - 2005,0.85
,,2005 - 2006,0.88
,,2006 - 2007,0.71
,,2007 - 2008,0.71
,,2008 - 2009,0.95
,,2009 - 2010,0.76
,,2010 - 2011,0.92
,,2011 - 2012,1.08
,,2012 - 2013,0.95
,,2013 - 2014,0.66
,,2014 - 2015,0.36
,,2015 - 2016,0.59
,,2016 - 2017,1.03
,,2017 - 2018,1.06
,,2018 - 2019,1.49
,,2019 - 2020,1.26
,,2020 - 2021,1.21
,,2021 - 2022,1.34
,,2022 - 2023,1.35
,Etah,2000 - 2001,1.15
,,2001 - 2002,1.25
,,2002 - 2003,0.81
,,2003 - 2004,1.36
,,2004 - 2005,1.24
,,2005 - 2006,13.08
,,2006 - 2007,0.83
,,2007 - 2008,1.35
,,2008 - 2009,1.01
,,2009 - 2010,0.82
,,2010 - 2011,0.88
,,2011 - 2012,1.18
,,2012 - 2013,1.11
,,2013 - 2014,0.42
,,2014 - 2015,0.3
,,2015 - 2016,0.59
,,2016 - 2017,1.08
,,2017 - 2018,1.05
,,2018 - 2019,1.25
,,2019 - 2020,1.34
,,2020 - 2021,1.21
,,2021 - 2022,1.35
,,2022 - 2023,1.35
,Etawah,2000 - 2001,1.11
,,2001 - 2002,1.31
,,2002 - 2003,1.01
,,2003 - 2004,1.39
,,2004 - 2005,1.23
,,2005 - 2006,1.26
,,2006 - 2007,1.27
,,2007 - 2008,0.94
,,2008 - 2009,1.52
,,2009 - 2010,1.22
,,2010 - 2011,1.52
,,2011 - 2012,1.54
,,2012 - 2013,1.36
,,2013 - 2014,0.61
,,2014 - 2015,0.41
,,2015 - 2016,0.93
,,2016 - 2017,1.3
,,2017 - 2018,1.68
,,2018 - 2019,1.46
,,2019 - 2020,1.39
,,2020 - 2021,1.44
,,2021 - 2022,1.46
,,2022 - 2023,1.22
,Faizabad,2000 - 2001,1.18
,,2001 - 2002,1.27
,,2002 - 2003,0.75
,,2003 - 2004,1.16
,,2004 - 2005,0.72
,,2005 - 2006,0.89
,,2006 - 2007,0.74
,,2007 - 2008,1.03
,,2008 - 2009,1.04
,,2009 - 2010,1.01
,,2010 - 2011,1.09
,,2011 - 2012,1.37
,,2012 - 2013,0.91
,,2013 - 2014,0.37
,,2014 - 2015,0.32
,,2015 - 2016,0.6
,,2016 - 2017,1.79
,,2017 - 2018,0.75
,,2018 - 2019,1.55
,,2019 - 2020,0.76
,,2020 - 2021,1.59
,,2021 - 2022,2.35
,,2022 - 2023,1.35
,Farrukhabad,2000 - 2001,1.28
,,2001 - 2002,1.22
,,2002 - 2003,1.25
,,2003 - 2004,1.26
,,2004 - 2005,1.13
,,2005 - 2006,1.38
,,2006 - 2007,1.16
,,2007 - 2008,1.21
,,2008 - 2009,1.52
,,2009 - 2010,1.22
,,2010 - 2011,1.52
,,2011 - 2012,1.54
,,2012 - 2013,1.36
,,2013 - 2014,0.61
,,2014 - 2015,0.41
,,2015 - 2016,0.93
,,2016 - 2017,1.3
,,2017 - 2018,1.68
,,2018 - 2019,1.46
,,2019 - 2020,1.39
,,2020 - 2021,1.41
,,2021 - 2022,1.46
,,2022 - 2023,1.22
,Fatehpur,2000 - 2001,0.93
,,2001 - 2002,1.1
,,2002 - 2003,1.19
,,2003 - 2004,1.23
,,2004 - 2005,0.98
