state,district,year,cowpea_rabi_yield_tonne_per_hectare
,,2014 - 2015,
,Idukki,2014 - 2015,
,Kannur,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Kasaragod,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Kollam,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Kottayam,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Kozhikode,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Malappuram,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Palakkad,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Pathanamthitta,2013 - 2014,
,,2014 - 2015,
,Thiruvananthapuram,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Wayanad,2012 - 2013,
,,2013 - 2014,
Madhya Pradesh,Anuppur,2009 - 2010,0.33
,,2010 - 2011,0.18
,Balaghat,2009 - 2010,0.29
,,2010 - 2011,0.2
,Betul,2009 - 2010,0.3
,,2010 - 2011,0.24
,Bhopal,2009 - 2010,
,,2010 - 2011,0.21
,Chhatarpur,2009 - 2010,0.33
,,2010 - 2011,0.2
,Chhindwara,2009 - 2010,0.33
,,2010 - 2011,0.22
,Damoh,2009 - 2010,0.44
,,2010 - 2011,0.2
,Datia,2009 - 2010,
,Dhar,2009 - 2010,
,,2010 - 2011,
,Hoshangabad,2009 - 2010,0.46
,,2010 - 2011,0.37
,Jabalpur,2009 - 2010,0.38
,,2010 - 2011,0.29
,Jhabua,2009 - 2010,
,,2010 - 2011,
,Katni,2009 - 2010,0.23
,,2010 - 2011,0.12
,Khandwa,2009 - 2010,0.33
,,2010 - 2011,0.25
,Mandla,2009 - 2010,0.28
,,2010 - 2011,0.21
,Narsinghpur,2009 - 2010,0.5
,,2010 - 2011,0.4
,Panna,2009 - 2010,
,,2010 - 2011,0.2
,Raisen,2009 - 2010,0.25
,,2010 - 2011,0.0
,Rewa,2009 - 2010,0.33
,,2010 - 2011,0.22
,Sagar,2009 - 2010,0.41
,,2010 - 2011,0.33
,Satna,2009 - 2010,0.32
,,2010 - 2011,0.11
,Seoni,2009 - 2010,0.36
,,2010 - 2011,0.29
,Shahdol,2009 - 2010,0.5
,,2010 - 2011,
,Shajapur,2009 - 2010,0.5
,,2010 - 2011,
,Sidhi,2009 - 2010,0.0
,,2010 - 2011,
,Singrauli,2009 - 2010,
,,2010 - 2011,
,Tikamgarh,2009 - 2010,0.32
,,2010 - 2011,0.32
,Umaria,2009 - 2010,0.5
,,2010 - 2011,0.33
Manipur,Bishnupur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Chandel,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Churachandpur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Imphal east,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Imphal west,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Senapati,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
